"","TFC.Open","TFC.High","TFC.Low","TFC.Close","TFC.Volume","TFC.Adjusted"
"2020-07-01",37.82,37.889999,36.330002,36.41,6076300,33.961246
"2020-07-02",37.540001,38.09,36.389999,36.419998,5578500,33.970573
"2020-07-06",37.470001,37.93,36.369999,36.689999,3787800,34.22242
"2020-07-07",36.099998,36.130001,35.060001,35.299999,6080300,32.925896
"2020-07-08",35.130001,35.849998,34.630001,35.32,5017500,32.944561
"2020-07-09",35.009998,35.119999,33.470001,33.610001,4815700,31.34956
"2020-07-10",33.610001,35.259998,33.610001,35.200001,4393200,32.832634
"2020-07-13",35.630001,36.07,34.75,35.610001,6138800,33.215057
"2020-07-14",35.490002,36.02,34.639999,35.18,6329500,32.813976
"2020-07-15",36.279999,37.200001,35.900002,36.93,6954400,34.446274
"2020-07-16",36.950001,37.939999,36.080002,37.220001,5062400,34.716774
"2020-07-17",37.150002,37.25,36.290001,36.299999,4440500,33.858646
"2020-07-20",36.16,36.259998,35.59,35.720001,2793200,33.317657
"2020-07-21",35.939999,37.549999,35.939999,37.25,5086300,34.744747
"2020-07-22",36.419998,37.220001,36.240002,37.169998,5834200,34.670132
"2020-07-23",36.919998,38.07,36.84,37.900002,4311400,35.351044
"2020-07-24",38.16,38.330002,37.41,37.740002,3966300,35.201801
"2020-07-27",37.25,37.48,36.349998,36.669998,4229900,34.203766
"2020-07-28",36.369999,37.189999,36.34,36.869999,3361900,34.390308
"2020-07-29",36.720001,38.41,36.490002,38.34,4406000,35.761448
"2020-07-30",37.110001,37.349998,36.189999,37.240002,3519100,34.735428
"2020-07-31",37.119999,37.5,36.57,37.459999,5053000,34.940624
"2020-08-03",37.400002,38.029999,36.860001,37.77,4142100,35.229778
"2020-08-04",37.779999,37.959999,36.779999,37.18,4716600,34.679462
"2020-08-05",37.5,37.93,37.380001,37.66,3480100,35.127182
"2020-08-06",37.349998,37.849998,37.139999,37.549999,3110500,35.024578
"2020-08-07",37.23,39.110001,37,39.060001,3777800,36.433022
"2020-08-10",39.18,40.080002,39.119999,39.419998,3803900,36.76881
"2020-08-11",41.200001,42.040001,40.450001,40.700001,7344200,37.962727
"2020-08-12",41.610001,41.790001,40.119999,40.810001,10482500,38.065327
"2020-08-13",39.689999,39.880001,38.540001,38.82,4911300,36.612881
"2020-08-14",38.5,39.950001,38.299999,39.5,3620200,37.254223
"2020-08-17",39.139999,39.389999,38.52,38.740002,3264100,36.537434
"2020-08-18",38.860001,38.889999,37.779999,37.91,2638600,35.754623
"2020-08-19",38.150002,38.77,37.779999,37.950001,3700600,35.792347
"2020-08-20",37.32,37.740002,36.889999,37.209999,2921600,35.094418
"2020-08-21",37.150002,37.529999,36.759998,36.91,3193700,34.811474
"2020-08-24",37.080002,38.669998,36.880001,38.650002,4001400,36.452549
"2020-08-25",39.330002,39.529999,38.330002,38.82,3363000,36.612881
"2020-08-26",38.459999,38.580002,37.860001,37.869999,3159000,35.716892
"2020-08-27",37.919998,39.459999,37.82,39.209999,3525100,36.980705
"2020-08-28",39.580002,39.630001,39,39.59,2979500,37.339108
"2020-08-31",39.52,39.580002,38.709999,38.810001,3807300,36.603451
"2020-09-01",38.75,39.560001,38.130001,39.169998,4672800,36.942978
