"","KEYS.Open","KEYS.High","KEYS.Low","KEYS.Close","KEYS.Volume","KEYS.Adjusted"
"2021-04-20",143.089996,143.779999,141.740005,143,588400,143
"2021-04-21",142.830002,145.360001,142.600006,144.649994,506900,144.649994
"2021-04-22",144.979996,146.100006,144.100006,145.600006,836100,145.600006
"2021-04-23",145.699997,148.160004,145.220001,147.860001,685900,147.860001
"2021-04-26",147.990005,148.964996,147.190002,148.740005,562700,148.740005
"2021-04-27",149,149.779999,147,148.389999,939800,148.389999
"2021-04-28",148.320007,149.289993,146.529999,146.610001,929000,146.610001
"2021-04-29",147.589996,148.490005,145.949997,148.389999,431600,148.389999
"2021-04-30",147.119995,147.729996,143.910004,144.350006,808400,144.350006
"2021-05-03",145.449997,145.449997,140.270004,140.399994,1111400,140.399994
"2021-05-04",139.300003,140.600006,137.479996,140.320007,1028900,140.320007
"2021-05-05",141.410004,141.889999,140.139999,140.720001,741400,140.720001
"2021-05-06",140.479996,142.869995,139.729996,142.809998,632400,142.809998
"2021-05-07",143.360001,144.910004,142.610001,143.410004,611900,143.410004
"2021-05-10",142.850006,142.850006,139.679993,139.899994,660200,139.899994
"2021-05-11",138.039993,139.669998,137.009995,138.929993,1038100,138.929993
"2021-05-12",137.639999,138.490005,135.309998,135.419998,1009500,135.419998
"2021-05-13",136.509995,138.410004,136,138.050003,983400,138.050003
"2021-05-14",139.580002,140.729996,138.800003,139.850006,814600,139.850006
"2021-05-17",139.850006,141.100006,138.800003,139.539993,689300,139.539993
"2021-05-18",140.740005,140.740005,138.350006,138.389999,1009000,138.389999
"2021-05-19",136.25,138.270004,134.649994,138.149994,1324300,138.149994
"2021-05-20",135.966003,142.080002,135.966003,141.029999,1513600,141.029999
"2021-05-21",141.320007,142.169998,139.360001,139.660004,1015900,139.660004
"2021-05-24",140.479996,141.690002,140.440002,140.800003,611200,140.800003
"2021-05-25",141.110001,141.169998,139.809998,139.979996,753700,139.979996
"2021-05-26",139.910004,141.649994,139.815002,141.350006,701100,141.350006
"2021-05-27",141.300003,142.154999,140.184998,140.539993,1148600,140.539993
"2021-05-28",141,142.610001,140.884995,142.380005,785200,142.380005
"2021-06-01",143.070007,143.899994,141.960007,141.970001,829500,141.970001
"2021-06-02",141.619995,143.990005,141.220001,143.929993,841600,143.929993
"2021-06-03",143.789993,145.5,142.600006,145.029999,997500,145.029999
"2021-06-04",145.589996,149.199997,145.589996,148.880005,1105100,148.880005
"2021-06-07",148.880005,150.050003,147.360001,148.149994,908500,148.149994
"2021-06-08",148.919998,149.429993,147.880005,148.740005,655900,148.740005
"2021-06-09",149.139999,149.259995,146.899994,146.970001,462100,146.970001
"2021-06-10",147,148.979996,146.669998,148.940002,413000,148.940002
"2021-06-11",149.149994,149.149994,146.929993,147.830002,637300,147.830002
"2021-06-14",148.190002,148.669998,146.925003,148.580002,670100,148.580002
"2021-06-15",149.339996,150.690002,147.800003,147.979996,1198100,147.979996
"2021-06-16",148.5,149.729004,147.449997,148.899994,788500,148.899994
"2021-06-17",148.899994,151.929993,148.529999,149.350006,982300,149.350006
"2021-06-18",148.309998,149.619995,146.899994,147.479996,1533500,147.479996
"2021-06-21",148.029999,149.470001,146.313995,149.080002,986500,149.080002
"2021-06-22",148.610001,150.800003,148.070007,150.570007,917000,150.570007
"2021-06-23",150.610001,151.270004,150.25,150.949997,1665900,150.949997
