"","POOL.Open","POOL.High","POOL.Low","POOL.Close","POOL.Volume","POOL.Adjusted"
"2020-12-15",347,353.190002,345.920013,348.790009,276000,344.950378
"2020-12-16",348.089996,355.549988,347.190002,352.940002,288700,349.054688
"2020-12-17",352.630005,357.26001,350.350006,356.149994,294800,352.22934
"2020-12-18",358.200012,366.350006,356.609985,364.369995,637400,360.358826
"2020-12-21",360.429993,365,352.790009,362.01001,309700,358.024841
"2020-12-22",362.01001,370.880005,362,369.730011,204400,365.659851
"2020-12-23",371.459991,371.690002,363.019989,365.519989,138900,361.496155
"2020-12-24",364.950012,366.869995,361.190002,364.730011,83200,360.714935
"2020-12-28",368.75,369.950012,360.920013,362.76001,153400,358.766571
"2020-12-29",363.910004,367.350006,357.600006,364.040009,187300,360.032471
"2020-12-30",366.160004,369.070007,362.829987,367.279999,147300,363.236786
"2020-12-31",368.470001,373.070007,364.670013,372.5,272600,368.399353
"2021-01-04",373.820007,378.670013,353.609985,356.890015,314800,352.961243
"2021-01-05",356.529999,360.029999,353.790009,356.869995,214800,352.941406
"2021-01-06",352.200012,370.910004,349.190002,370.380005,362400,366.302643
"2021-01-07",374.579987,401.290009,371.100006,385.950012,446800,381.701294
"2021-01-08",388.809998,399.470001,387.519989,390.98999,333400,386.685822
"2021-01-11",389.73999,392.850006,384.320007,385.25,357500,381.008972
"2021-01-12",387.75,387.75,382.320007,385,257900,380.761719
"2021-01-13",385,386.630005,373.230011,373.720001,293300,369.605927
"2021-01-14",374.380005,374.600006,365.809998,366.700012,261300,362.663177
"2021-01-15",365.01001,365.799988,357.01001,359.399994,298000,355.443542
"2021-01-19",359.619995,364.690002,355.890015,360.630005,319400,356.660004
"2021-01-20",360.910004,368.369995,357.779999,366.23999,360300,362.208252
"2021-01-21",365.369995,372.320007,363,366.709991,229100,362.673096
"2021-01-22",361.470001,371.350006,361.470001,369.309998,233500,365.244446
"2021-01-25",371.480011,373.809998,364.940002,368.940002,199600,364.87854
"2021-01-26",370.029999,370.880005,363.519989,363.679993,212800,359.676422
"2021-01-27",360,364.269989,348.01001,354.660004,365000,350.755737
"2021-01-28",356.76001,365.089996,352.51001,362.660004,285200,358.667694
"2021-01-29",360.790009,364.040009,353.75,354.179993,301600,350.281006
"2021-02-01",356.170013,360.959991,353.959991,359.820007,205600,355.858917
"2021-02-02",363.940002,363.940002,357.299988,357.299988,392600,353.366638
"2021-02-03",360.190002,361.01001,352.880005,354.850006,322600,350.943634
"2021-02-04",356.559998,363.119995,354.5,358.98999,316700,355.038025
"2021-02-05",359,362.109985,356.730011,359.320007,248100,355.36441
"2021-02-08",360.839996,362.910004,359.040009,359.399994,418700,355.443542
"2021-02-09",361.070007,364.429993,357.959991,360.290009,545200,356.32373
"2021-02-10",361.01001,362.790009,349.209991,350.540009,446700,346.681061
"2021-02-11",351.109985,359.98999,328.809998,329.890015,966100,326.258423
"2021-02-12",331.75,344.859985,331.75,337.839996,859800,334.120911
"2021-02-16",341.200012,344.100006,330.299988,333.329987,562900,329.660492
"2021-02-17",331.480011,335.779999,326.429993,330.170013,401700,326.535309
"2021-02-18",328.329987,330.850006,328,330.429993,264500,326.79245
"2021-02-19",329.959991,332.540009,325.420013,326.079987,363400,322.490326
"2021-02-22",325.070007,326.019989,311.570007,314.429993,580700,310.968597
"2021-02-23",310.75,319.910004,305.470001,318.25,534300,314.746552
"2021-02-24",318.910004,329.670013,314.920013,328.390015,654200,324.774933
"2021-02-25",326.589996,328.100006,320.709991,322.98999,460000,319.434357
"2021-02-26",327.769989,338.720001,325.73999,334.769989,677100,331.084717
"2021-03-01",335.01001,340.470001,332.769989,334.200012,604000,330.520966
"2021-03-02",332.170013,334.630005,327.079987,330.700012,515700,327.059509
"2021-03-03",330.290009,335.359985,328.369995,331.100006,311300,327.455109
