"","ECL.Open","ECL.High","ECL.Low","ECL.Close","ECL.Volume","ECL.Adjusted"
"2020-10-07",199.639999,203.279999,199.570007,201.399994,1357100,197.866135
"2020-10-08",203.339996,203.470001,201.320007,201.460007,842000,197.925095
"2020-10-09",203.639999,204.720001,202.910004,203.160004,670800,199.595245
"2020-10-12",204.350006,206.179993,201.970001,202.729996,1249000,199.172791
"2020-10-13",202.110001,204.490005,200.850006,201.050003,990400,197.522293
"2020-10-14",201.360001,203.410004,201.119995,201.309998,668100,197.777725
"2020-10-15",198.789993,203.190002,197.940002,201.440002,1054300,197.905457
"2020-10-16",202.529999,206.800003,202.160004,204.529999,1070600,200.941208
"2020-10-19",205.300003,206.029999,200.789993,201.789993,993900,198.249313
"2020-10-20",202.179993,205.25,201.899994,203.009995,887200,199.447876
"2020-10-21",202.289993,206.210007,202.289993,203.210007,1039900,199.644394
"2020-10-22",203.279999,205.830002,202.369995,204.869995,689800,201.275253
"2020-10-23",206.25,207.740005,204.039993,204.869995,748200,201.275253
"2020-10-26",202.449997,203.350006,197.820007,198.169998,1148100,194.69281
"2020-10-27",200,204.490005,189.039993,189.770004,2387200,186.440216
"2020-10-28",185.919998,189.190002,185,185.350006,1198900,182.097778
"2020-10-29",185.729996,188.399994,184.020004,186.940002,1206000,183.659882
"2020-10-30",185.639999,188.309998,181.25,183.589996,1159000,180.368637
"2020-11-02",186.589996,192.580002,186.589996,188.850006,941500,185.536377
"2020-11-03",191.059998,194.270004,189.660004,192.610001,966500,189.230377
"2020-11-04",192.979996,194.869995,190.130005,191.889999,837100,188.52301
"2020-11-05",195.25,198.020004,194.440002,196.419998,917400,192.973526
"2020-11-06",198.490005,200.820007,196.710007,199.389999,914800,195.891388
"2020-11-09",210,220.210007,208.850006,216.899994,2693800,213.094193
"2020-11-10",219.470001,220.610001,210.830002,212.229996,1829300,208.506134
"2020-11-11",213.399994,213.880005,207.720001,209.830002,1077900,206.148239
"2020-11-12",209.880005,209.880005,201.110001,203.479996,1180500,199.909622
"2020-11-13",205.229996,208.710007,204.960007,208.429993,1081700,204.772797
"2020-11-16",210.270004,215.020004,209.559998,213.380005,839600,209.635956
"2020-11-17",211.339996,212.990005,209.899994,212.270004,874000,208.545395
"2020-11-18",213.130005,213.389999,209.440002,209.440002,828300,205.76506
"2020-11-19",208.880005,212.589996,207.600006,210.929993,802700,207.228928
"2020-11-20",210.399994,212.339996,209.75,210.660004,847000,206.963669
"2020-11-23",212.779999,215.5,212.009995,213.919998,730500,210.166473
"2020-11-24",216.389999,221.720001,216.389999,219.309998,979600,215.461884
"2020-11-25",218.399994,220.479996,216.910004,218.029999,757800,214.20433
"2020-11-27",219.449997,225.380005,218.830002,224.809998,792700,220.865372
"2020-11-30",222.899994,224.699997,219.460007,222.149994,2060500,218.252045
"2020-12-01",224.970001,226.320007,221.589996,224.020004,997000,220.089249
"2020-12-02",223.389999,224.539993,218.949997,219.139999,898600,215.294891
"2020-12-03",219.169998,223.809998,219.009995,219.75,992700,215.894165
"2020-12-04",221.199997,225.860001,221.199997,225.610001,781200,221.651352
"2020-12-07",224.869995,225.029999,221.759995,222.740005,794600,218.831711
"2020-12-08",222.600006,224.600006,221.949997,224.410004,712700,220.472397
"2020-12-09",225.229996,226.559998,222.960007,225.899994,734200,221.936249
"2020-12-10",225.229996,227.289993,222.660004,223.080002,924000,219.165741
"2020-12-11",221.929993,224.5,220.279999,221.25,734500,217.367859
"2020-12-14",222.240005,222.789993,216.619995,217,758300,213.65596
"2020-12-15",219.449997,224.089996,218.080002,222.949997,942100,219.514236
"2020-12-16",222.130005,223.339996,219.929993,220.009995,751600,216.619553
"2020-12-17",221.399994,222.600006,219.789993,220.610001,925500,217.210297
"2020-12-18",221.059998,221.339996,216.869995,218.580002,2178300,215.211594
"2020-12-21",215.580002,215.899994,210.789993,215.809998,1241600,212.484283
"2020-12-22",216.279999,217.600006,214.380005,215.210007,946900,211.893539
"2020-12-23",216.690002,219.210007,213.279999,213.320007,510600,210.032669
"2020-12-24",213.220001,216.360001,212.059998,216.119995,279200,212.789505
"2020-12-28",217.350006,218.660004,214.270004,214.699997,729600,211.391388
"2020-12-29",216.009995,216.929993,213.369995,214.470001,395100,211.164932
"2020-12-30",215.669998,218.389999,214.770004,215.240005,477300,211.92308
"2020-12-31",215.25,216.839996,214.729996,216.360001,752300,213.025818
"2021-01-04",218,220.449997,213.110001,214.309998,1459900,211.007385
"2021-01-05",214.270004,216.850006,212.429993,216.559998,721700,213.222717
"2021-01-06",219.509995,227.179993,217.919998,225.429993,1310800,221.956024
"2021-01-07",227.429993,227.970001,224.270004,225.740005,814200,222.261246
"2021-01-08",224.949997,226.479996,218.610001,221.75,981500,218.332764
"2021-01-11",219.839996,221.970001,218.860001,221.059998,673200,217.653381
"2021-01-12",221.070007,223.679993,220,223.130005,595100,219.691467
"2021-01-13",222.479996,223.259995,216.139999,216.960007,1058800,213.616562
"2021-01-14",217.559998,219.029999,212.130005,212.429993,814300,209.156387
"2021-01-15",213.169998,213.979996,209.789993,210.770004,1155500,207.521957
"2021-01-19",212.380005,216.690002,211.020004,215.910004,1003500,212.582748
"2021-01-20",217.300003,219.429993,216.339996,218.380005,702300,215.014679
"2021-01-21",218.309998,220,213.929993,214.009995,724900,210.712021
"2021-01-22",213.809998,213.949997,210.75,212.389999,856000,209.116989
"2021-01-25",212.169998,213,208,211.259995,743600,208.00441
"2021-01-26",211.270004,212.039993,209.070007,209.330002,875900,206.104141
"2021-01-27",206.729996,209,201.550003,207.369995,1123700,204.174332
"2021-01-28",210.059998,217.119995,207.100006,211.100006,1203000,207.846878
"2021-01-29",209.300003,211.559998,203.669998,204.509995,1116100,201.358414
"2021-02-01",205.339996,209.110001,204.690002,208.429993,1125700,205.218002
"2021-02-02",209.919998,211.490005,208.160004,210.279999,920400,207.039505
"2021-02-03",209.820007,210.940002,207.080002,208.970001,876100,205.74968
"2021-02-04",209.559998,210.600006,205.789993,208.130005,993100,204.922638
"2021-02-05",210.899994,214.070007,210.880005,212.779999,818300,209.500992
"2021-02-08",214.070007,217.300003,213.149994,217.050003,754100,213.70517
"2021-02-09",217.309998,217.679993,215.119995,215.559998,922100,212.238129
"2021-02-10",217.460007,217.970001,215.270004,215.649994,581100,212.326736
"2021-02-11",215.710007,218.580002,214.470001,216.399994,911400,213.065186
"2021-02-12",215.690002,220,215.330002,219.880005,1001500,216.491562
"2021-02-16",219.800003,220,210.5,210.910004,1091800,207.659821
"2021-02-17",209.600006,210.639999,205.699997,208.789993,953500,205.572449
"2021-02-18",206.850006,211.070007,206.210007,209.800003,783800,206.566895
"2021-02-19",210.240005,211.460007,208.009995,208.080002,856000,204.873413
"2021-02-22",207.050003,207.889999,206,206.539993,955000,203.357132
"2021-02-23",207.220001,211.880005,205.5,211.160004,1149000,207.905914
"2021-02-24",212.289993,217.419998,212.279999,216.190002,1004200,212.858429
"2021-02-25",215.690002,216.160004,210.929993,211.960007,960200,208.693604
"2021-02-26",212.059998,213.160004,209.139999,209.360001,1117600,206.133682
"2021-03-01",210.800003,212.970001,210.570007,211.220001,1080100,207.965027
"2021-03-02",211.740005,213.820007,210.229996,211.539993,702600,208.280075
"2021-03-03",211.080002,212.210007,208.179993,208.320007,1097700,205.109726
"2021-03-04",208.449997,210.470001,201.360001,204.570007,1284600,201.417496
"2021-03-05",206.429993,208.729996,201.149994,207.910004,1601900,204.706009
"2021-03-08",210.020004,214.509995,208.830002,211.589996,1041500,208.329315
"2021-03-09",213.600006,216.880005,212.419998,214.479996,1114500,211.174774
"2021-03-10",215.020004,218.699997,212.800003,216.970001,765700,213.626419
"2021-03-11",216.509995,218.5,214.089996,214.399994,790900,211.096024
"2021-03-12",214.589996,216.080002,213.630005,214.720001,619000,211.411072
"2021-03-15",213.479996,215.770004,213.119995,215.369995,581800,212.526154
"2021-03-16",215.539993,216.860001,211.960007,212.949997,640000,210.138107
"2021-03-17",212.860001,212.940002,208.309998,209.179993,1235600,206.417908
