"","SPGI.Open","SPGI.High","SPGI.Low","SPGI.Close","SPGI.Volume","SPGI.Adjusted"
"2020-07-01",330.420013,336.130005,328.690002,334.519989,963200,329.204681
"2020-07-02",338.350006,339.290009,332.600006,333.25,707900,327.954895
"2020-07-06",338.600006,344.049988,337.600006,341.019989,1296500,335.601349
"2020-07-07",339.390015,345.619995,339.390015,341.190002,836800,335.768738
"2020-07-08",345.390015,354.75,345.390015,354.320007,1121200,348.690125
"2020-07-09",353.940002,356.790009,349.440002,352.720001,1126400,347.115479
"2020-07-10",353.019989,354.339996,348.529999,351.809998,821000,346.21994
"2020-07-13",353.019989,356.459991,344.25,346.089996,919700,340.590851
"2020-07-14",344.929993,351.809998,343.850006,351.640015,724500,346.052704
"2020-07-15",357.070007,357.070007,350.230011,354.799988,613100,349.162476
"2020-07-16",353.079987,354.660004,346.850006,349.51001,624600,343.956573
"2020-07-17",351.470001,355.089996,349.609985,354.690002,577800,349.054199
"2020-07-20",352.600006,359.309998,352.600006,358.089996,597700,352.400177
"2020-07-21",359,359.5,353.26001,354.829987,611400,349.191986
"2020-07-22",353.880005,358.23999,353.640015,356.450012,634700,350.786255
"2020-07-23",354.98999,357.640015,346.220001,348.26001,1383300,342.726349
"2020-07-24",347.359985,352.309998,345.450012,349.970001,860900,344.40921
"2020-07-27",350.130005,355.51001,349.390015,351.320007,1057800,345.737762
"2020-07-28",356.570007,356.570007,343.619995,347.600006,1185300,342.076843
"2020-07-29",348.230011,360,348.230011,359.859985,1036300,354.142029
"2020-07-30",354.359985,356.630005,348.660004,352.369995,1122600,346.771057
"2020-07-31",353.660004,354.73999,344.720001,350.25,1126800,344.684753
"2020-08-03",352.76001,355.279999,349.540009,350.679993,673300,345.10788
"2020-08-04",348.5,350.899994,342.130005,345.769989,1116300,340.27594
"2020-08-05",347.019989,349.950012,345.649994,347.390015,712200,341.870239
"2020-08-06",347.140015,352.730011,346.350006,352.570007,623300,346.967865
"2020-08-07",350,351.48999,341.660004,347.269989,828000,341.752075
"2020-08-10",345,345.309998,340.480011,344.070007,552700,338.602936
"2020-08-11",344.929993,349.709991,341.730011,343.709991,745100,338.248657
"2020-08-12",347.440002,353,347.029999,349.190002,522200,343.641571
"2020-08-13",347.390015,356.470001,347.390015,356.130005,723000,350.471283
"2020-08-14",354.480011,357.75,350.850006,352.269989,530800,346.672668
"2020-08-17",353.269989,359.850006,353.269989,357.140015,618800,351.465302
"2020-08-18",357.149994,362.279999,356.5,360.119995,561100,354.397919
"2020-08-19",361.790009,363.100006,357.75,358.109985,1018900,352.419861
"2020-08-20",355.119995,361.480011,355.01001,361.220001,735500,355.480438
"2020-08-21",361.790009,363.369995,358.350006,362.01001,722500,356.257904
"2020-08-24",364.079987,365,358.25,360,588500,354.279816
