"","CI.Open","CI.High","CI.Low","CI.Close","CI.Volume","CI.Adjusted"
"2020-07-01",187.960007,192.350006,187.479996,190.5,2004000,185.44165
"2020-07-02",191.960007,194.520004,190.089996,190.490005,892500,185.4319
"2020-07-06",191.800003,192.800003,189.009995,189.330002,1571100,184.302719
"2020-07-07",186.949997,188.199997,181.529999,182.050003,2183500,177.216019
"2020-07-08",182.479996,184.529999,177.139999,180.080002,2535200,175.298309
"2020-07-09",179.5,180.320007,171.770004,173.899994,2331500,169.28241
"2020-07-10",174.350006,176.050003,170.789993,175.539993,1520600,170.878891
"2020-07-13",176.350006,180.130005,176.210007,177.369995,1733600,172.660294
"2020-07-14",176.970001,182.389999,175.330002,182.169998,1798900,177.33284
"2020-07-15",183.100006,184.720001,180.190002,181.039993,1816400,176.232819
"2020-07-16",181,181.360001,178.899994,180,1706800,175.220474
"2020-07-17",181.279999,181.910004,179.289993,179.809998,2537500,175.035492
"2020-07-20",179.970001,180.240005,175.720001,175.860001,2002200,171.190369
"2020-07-21",178,178.479996,176.259995,178.300003,2542700,173.565613
"2020-07-22",178.339996,178.479996,175.199997,176.929993,1608400,172.231964
"2020-07-23",177.050003,181.190002,176.800003,179.119995,2042400,174.3638
"2020-07-24",180.809998,184.169998,179.910004,181.020004,2263600,176.213379
"2020-07-27",179.899994,180.089996,175.389999,175.5,1886200,170.839951
"2020-07-28",175.240005,177.869995,174.190002,175.75,1816400,171.083313
"2020-07-29",177.119995,183.339996,176.610001,181.800003,2132200,176.972656
"2020-07-30",179.210007,181.220001,177,178.470001,1730200,173.731079
"2020-07-31",177.039993,177.130005,171.009995,172.690002,2452600,168.104553
"2020-08-03",173.889999,174,170.839996,173,2063400,168.406326
"2020-08-04",172.490005,175.789993,171.770004,173.5,1860200,168.893036
"2020-08-05",175.429993,176.800003,173.270004,174.869995,2416100,170.226654
"2020-08-06",173.210007,175.619995,171.419998,173.070007,1775800,168.474457
"2020-08-07",173.199997,178.309998,172.979996,178.190002,1801000,173.458527
"2020-08-10",177.139999,183.229996,177.139999,183,2048300,178.140778
"2020-08-11",185,187.199997,182.020004,182.380005,1928100,177.537247
"2020-08-12",185.139999,186.770004,181.75,184.320007,2154200,179.425766
"2020-08-13",182.440002,182.660004,179.710007,180.880005,1210700,176.077087
"2020-08-14",179.660004,184.660004,178.740005,183.399994,1211900,178.530167
"2020-08-17",183.300003,183.919998,181.600006,182.190002,1522500,177.352295
"2020-08-18",182,183.520004,180.759995,181.929993,1145100,177.099182
"2020-08-19",182.410004,183.5,181.029999,181.25,1688200,176.437256
"2020-08-20",180.050003,180.520004,177.449997,178.009995,1247700,173.283279
"2020-08-21",178.570007,180.5,177.339996,178.300003,1385800,173.565613
"2020-08-24",179.429993,179.740005,175.610001,177.679993,1454100,172.962036
"2020-08-25",178.460007,178.460007,176.009995,177.410004,1337700,172.699219
"2020-08-26",177.029999,177.029999,172.160004,174.100006,1938600,169.477112
"2020-08-27",175.139999,178.350006,174.289993,177.080002,1648000,172.378006
