"","GD.Open","GD.High","GD.Low","GD.Close","GD.Volume","GD.Adjusted"
"2020-07-01",149,150.610001,146.910004,147.139999,873300,139.924103
"2020-07-02",149.639999,150.860001,147.059998,147.300003,761200,140.076248
"2020-07-06",149.509995,149.660004,147.020004,148.470001,931300,141.188889
"2020-07-07",148,149.199997,145.009995,145.179993,1511700,138.060211
"2020-07-08",145.520004,145.809998,143.059998,143.899994,1176300,136.842987
"2020-07-09",142.979996,143.889999,137.820007,138.020004,1301400,131.251358
"2020-07-10",138.199997,142.059998,138.199997,141.970001,948900,135.007629
"2020-07-13",142.919998,144.429993,141.350006,142.820007,1293500,135.815933
"2020-07-14",142.25,143.929993,141.110001,143.360001,960100,136.329468
"2020-07-15",146.850006,146.850006,145.210007,145.789993,1999900,138.640274
"2020-07-16",145.520004,149.589996,144.559998,148.509995,1648400,141.226913
"2020-07-17",149.399994,149.639999,148.029999,148.910004,827100,141.6073
"2020-07-20",147.850006,148.470001,145.350006,145.449997,1010400,138.316971
"2020-07-21",146.660004,149.759995,146.300003,147.809998,881000,140.561218
"2020-07-22",146.919998,151.580002,146.619995,151.529999,1253500,144.098785
"2020-07-23",152.199997,152.919998,150.110001,151.009995,963200,143.604309
"2020-07-24",151.619995,153.259995,149.520004,150.149994,787700,142.786484
"2020-07-27",149.470001,149.509995,147.509995,147.979996,695000,140.7229
"2020-07-28",147.5,150.649994,147.100006,148.570007,1000700,141.283966
"2020-07-29",147.229996,149.649994,144.580002,149.440002,1918500,142.111298
"2020-07-30",147.020004,149.690002,146.800003,148.860001,1408800,141.559753
"2020-07-31",148.229996,148.229996,144.759995,146.740005,1659600,139.543716
"2020-08-03",145.660004,148.369995,144.320007,147.720001,1387600,140.475662
"2020-08-04",148.119995,149.039993,146.75,147.240005,2103900,140.019196
"2020-08-05",148.699997,149.889999,148.080002,149.190002,1148300,141.873535
"2020-08-06",148.990005,149.649994,148.330002,149.139999,867200,141.826004
"2020-08-07",149.110001,152.979996,148.509995,152.970001,1851900,145.46817
"2020-08-10",153.520004,156.770004,153.429993,156.559998,1144600,148.882126
"2020-08-11",159.479996,160.839996,157.949997,158.850006,1793200,151.059814
"2020-08-12",160.369995,160.679993,154.690002,156.410004,1312000,148.739471
"2020-08-13",154.320007,156.5,153.740005,154.949997,1053800,147.351074
"2020-08-14",154.110001,157.660004,153.649994,156.460007,719100,148.787048
"2020-08-17",156.520004,156.789993,153.350006,153.720001,1089900,146.181412
"2020-08-18",153.279999,154.100006,152.720001,153.029999,617500,145.525253
"2020-08-19",152.960007,154.559998,152.089996,152.490005,701900,145.011719
"2020-08-20",151.25,151.949997,150.490005,150.940002,801500,143.537735
"2020-08-21",150,151.350006,149.029999,149.809998,1518900,142.463135
"2020-08-24",150.490005,153.389999,149.75,153.300003,1002300,145.781998
"2020-08-25",154.300003,154.729996,150.869995,151.470001,741200,144.041733
"2020-08-26",150.919998,151.490005,149.419998,150.470001,806200,143.090775
"2020-08-27",150.610001,153.529999,150.399994,152.440002,1147600,144.964172
"2020-08-28",152.839996,152.990005,150.729996,152.270004,670600,144.802505
"2020-08-31",152.070007,152.399994,148.949997,149.350006,1176600,142.025711
"2020-09-01",147.800003,150.320007,147.360001,150.190002,954300,142.824539
"2020-09-02",150.059998,154.5,149.919998,153.919998,1259100,146.371582
"2020-09-03",155,156.559998,150.610001,151.940002,1338400,144.488693
"2020-09-04",153.5,154.380005,149.789993,151.699997,1121700,144.260452
"2020-09-08",149.779999,150.550003,146.600006,146.960007,1587900,139.752899
"2020-09-09",147.279999,147.789993,145.149994,146.169998,1289700,139.001648
"2020-09-10",146.600006,147.75,142.410004,142.580002,1396000,135.587738
"2020-09-11",144.100006,146.199997,142.619995,145.360001,1131500,138.231369
"2020-09-14",146.460007,148.520004,145.75,147.470001,763800,140.237915
"2020-09-15",147.320007,148.110001,144.979996,145.139999,830900,138.022171
