"","EMN.Open","EMN.High","EMN.Low","EMN.Close","EMN.Volume","EMN.Adjusted"
"2020-07-01",69.550003,69.68,68.059998,68.699997,1356700,65.063667
"2020-07-02",70.089996,71.589996,69.190002,69.980003,1019400,66.275925
"2020-07-06",71.830002,72.040001,70.07,71.970001,1161700,68.160591
"2020-07-07",71.190002,72.209999,70.800003,71.300003,1079300,67.526054
"2020-07-08",71.07,71.349998,68.709999,69.790001,1303300,66.095985
"2020-07-09",69.739998,69.739998,67.690002,68.309998,980400,64.694313
"2020-07-10",68.309998,70.349998,68.239998,70.190002,659300,66.474815
"2020-07-13",71.110001,72.519997,70.379997,71.419998,1004500,67.639694
"2020-07-14",71.050003,73.169998,71.010002,73.019997,1058300,69.155006
"2020-07-15",74.339996,75.550003,73.879997,75.230003,1120200,71.248047
"2020-07-16",75,76,74.410004,75.650002,770900,71.645805
"2020-07-17",76.019997,76.199997,75.040001,75.889999,956200,71.8731
"2020-07-20",75.260002,75.989998,74.370003,74.989998,958800,71.020737
"2020-07-21",75.050003,76.57,75.050003,76.209999,870500,72.176155
"2020-07-22",76.019997,76.690002,75.690002,76.599998,580500,72.545532
"2020-07-23",76.32,77.099998,75.5,76.480003,545900,72.43187
"2020-07-24",76.599998,77.300003,76.080002,76.639999,757800,72.583405
"2020-07-27",76.629997,78.959999,75.910004,78.419998,1100000,74.269173
"2020-07-28",77.809998,78.139999,76.080002,76.360001,826100,72.318214
"2020-07-29",76.769997,77.559998,76.230003,77.43,638900,73.331589
"2020-07-30",75.989998,76.07,74.330002,74.940002,706900,70.973389
"2020-07-31",74.790001,75.050003,73.5,74.629997,1873700,70.679794
"2020-08-03",74.989998,75.989998,74.190002,75.169998,1032200,71.191208
"2020-08-04",72.849998,72.949997,69.639999,71.080002,1991700,67.317703
"2020-08-05",71.25,73.620003,71.25,72.559998,1475400,68.719368
"2020-08-06",72.199997,72.529999,71.550003,71.919998,881000,68.11322
"2020-08-07",71.550003,73.059998,71,73.059998,655100,69.192886
"2020-08-10",72.769997,74.540001,72.769997,74.25,953900,70.319908
"2020-08-11",75.489998,76.470001,74.940002,75.18,724300,71.200684
"2020-08-12",75.5,75.940002,73.489998,73.580002,1099500,69.685364
"2020-08-13",73.309998,74.029999,72.870003,73.370003,612900,69.486488
"2020-08-14",72.720001,73.550003,72.519997,73.290001,370900,69.410728
"2020-08-17",73.120003,73.949997,71.68,72.400002,1138200,68.567833
"2020-08-18",72.309998,73.080002,71.860001,71.900002,517600,68.094299
"2020-08-19",72.199997,72.440002,71.519997,71.879997,494800,68.075348
"2020-08-20",71.059998,71.919998,71.059998,71.449997,482300,67.668114
"2020-08-21",71.260002,71.639999,70.5,70.800003,681400,67.052521
"2020-08-24",71.459999,73.43,71.349998,73.339996,634200,69.458076
"2020-08-25",73.580002,74.550003,73.010002,73.459999,1404700,69.571724
"2020-08-26",73.370003,74.099998,73.110001,73.279999,534500,69.401237
"2020-08-27",73.43,74.190002,72.550003,73.889999,718300,69.978973
"2020-08-28",74.169998,74.589996,72.599998,74.43,565300,70.490379
"2020-08-31",74.5,74.580002,72.989998,73.110001,983300,69.240242
"2020-09-01",72.690002,76.639999,72.019997,76.610001,1228500,72.554993
"2020-09-02",76.989998,79.269997,76.110001,79.089996,1326200,74.903725
"2020-09-03",78.68,78.980003,76.480003,77.639999,1425300,73.530472
