"","IEX.Open","IEX.High","IEX.Low","IEX.Close","IEX.Volume","IEX.Adjusted"
"2020-07-01",158.25,158.470001,155.279999,155.839996,264100,152.054352
"2020-07-02",157.449997,160,156.880005,157.889999,347200,154.054535
"2020-07-06",160.350006,160.690002,158.240005,160.029999,350200,156.142548
"2020-07-07",158.899994,160.619995,157.619995,158.330002,229400,154.483856
"2020-07-08",158.410004,159.100006,156.690002,157.809998,180000,153.976486
"2020-07-09",156.940002,158.389999,155.160004,157.190002,315100,153.371552
"2020-07-10",157.240005,157.699997,155.820007,156.940002,252300,153.127594
"2020-07-13",157.990005,161.550003,157.990005,159.440002,345600,155.566895
"2020-07-14",159.080002,163.289993,159.029999,162.789993,373100,158.83548
"2020-07-15",164.330002,168.470001,163.309998,168.119995,6e+05,164.541412
"2020-07-16",167.759995,169.149994,167,168.460007,332900,164.874191
"2020-07-17",169.679993,170.330002,168.160004,169.570007,327200,165.960571
"2020-07-20",169.199997,170.25,167.130005,168.979996,343000,165.383118
"2020-07-21",169.460007,171.880005,169.009995,170.149994,417200,166.528198
"2020-07-22",170.149994,171.729996,169.279999,169.339996,467100,165.735443
"2020-07-23",170.320007,172.360001,169.639999,170.910004,511200,167.272034
"2020-07-24",170.339996,170.339996,165.039993,167.669998,622200,164.100998
"2020-07-27",168.539993,171.029999,167.110001,169.559998,503300,165.95076
"2020-07-28",169.220001,169.520004,165.350006,165.380005,282500,161.859741
"2020-07-29",166.380005,167.800003,165.910004,166.600006,266700,163.053772
"2020-07-30",164.940002,165.649994,162.600006,164.600006,332700,161.096344
"2020-07-31",164.300003,165.119995,162.779999,164.820007,302800,161.31163
"2020-08-03",165.580002,167.570007,165.360001,166.289993,350800,162.750366
"2020-08-04",165.440002,166.029999,164.330002,165.050003,225500,161.536774
"2020-08-05",165.960007,167.360001,165.820007,166.149994,332400,162.613342
"2020-08-06",166.070007,166.619995,164.580002,166.520004,201300,162.975479
"2020-08-07",166.660004,167.559998,165.710007,167.539993,365700,163.97374
"2020-08-10",167.220001,171.25,167.220001,171.210007,461000,167.565659
"2020-08-11",172,175.960007,171.440002,174.020004,499400,170.315811
"2020-08-12",175.210007,177.619995,174.259995,176.979996,407000,173.212799
"2020-08-13",175.850006,175.850006,173.639999,174.860001,276700,171.137939
"2020-08-14",173.820007,177.080002,173.440002,176.699997,429300,172.938797
"2020-08-17",176.660004,177.119995,174.169998,174.860001,295500,171.137939
"2020-08-18",174.809998,177.179993,174.809998,176.559998,377200,172.801758
"2020-08-19",177.220001,177.570007,175.380005,175.789993,300900,172.048126
"2020-08-20",174.490005,176.309998,173.580002,176.279999,370400,172.527695
"2020-08-21",176.380005,179.580002,175.839996,178.850006,637100,175.042999
"2020-08-24",179.020004,181.130005,178.869995,180.589996,337700,176.745987
"2020-08-25",180.899994,181.089996,179.110001,179.699997,480600,175.874908
"2020-08-26",179.529999,180.589996,178.380005,180,280900,176.168564
"2020-08-27",180.630005,181.25,178.679993,178.740005,335500,174.935364
"2020-08-28",178.729996,180.899994,177.630005,180.889999,284700,177.039581
"2020-08-31",180.690002,180.690002,178.970001,180.229996,361800,176.393631
"2020-09-01",179.550003,182.559998,178.809998,182.080002,234200,178.204254
"2020-09-02",182.429993,185.179993,181.979996,184.169998,319100,180.249771
"2020-09-03",184.479996,184.479996,178.970001,180.149994,328800,176.315338
"2020-09-04",182.720001,183.199997,176.899994,177.619995,440500,173.839188
"2020-09-08",176.860001,178.940002,173.979996,176.009995,368700,172.263443
"2020-09-09",177.220001,181.460007,176.199997,179.690002,282800,175.865128
"2020-09-10",179.860001,180.529999,177.330002,177.399994,353700,173.623886
"2020-09-11",178.389999,181.550003,177.970001,181.119995,356400,177.264694
"2020-09-14",181.820007,184.649994,181.419998,184.100006,360700,180.181274
"2020-09-15",184.199997,186.630005,184.199997,186.210007,304300,182.246338
"2020-09-16",187.220001,188.139999,185.679993,186.460007,357900,182.491043
"2020-09-17",185.309998,188.169998,183.130005,186.520004,383700,182.549759
"2020-09-18",186.160004,187.5,184.880005,186.039993,572500,182.079956
"2020-09-21",183.570007,184.160004,176.5,178.25,499000,174.455795
"2020-09-22",179.059998,180.789993,177.529999,180.339996,395300,176.501282
"2020-09-23",180.119995,181.589996,176.399994,176.509995,275300,172.752808
"2020-09-24",176.960007,179.820007,175.589996,177.759995,251500,173.976196
"2020-09-25",176.830002,179.860001,175.919998,179.029999,342100,175.219177
"2020-09-28",180.869995,183.470001,180.830002,181.320007,214300,177.460464
"2020-09-29",180.679993,182.669998,180.679993,181.75,201700,177.881271
"2020-09-30",182.869995,183.809998,180.339996,182.410004,494700,178.527222
"2020-10-01",184.100006,185.210007,177.130005,178.119995,351700,174.328537
"2020-10-02",176.520004,181.699997,176.229996,179.919998,228700,176.09021
"2020-10-05",181.649994,183.729996,181.649994,182.910004,166000,179.016586
"2020-10-06",182.960007,186.910004,181.929993,183.800003,277700,179.88765
"2020-10-07",185.660004,189.350006,185.550003,189.179993,344000,185.153122
"2020-10-08",190.020004,190.960007,189.110001,190,333500,185.955688
"2020-10-09",190.470001,191.360001,188.910004,190.410004,258400,186.356964
"2020-10-12",190.759995,190.759995,184.940002,189.179993,497300,185.153122
"2020-10-13",188.270004,189.169998,184.850006,186.199997,321000,182.236557
"2020-10-14",185.149994,189.320007,184.809998,188.149994,408800,184.640869
"2020-10-15",186.660004,189.770004,185.429993,189.619995,411800,186.08345
"2020-10-16",190.539993,193.139999,190.539993,192.729996,1249900,189.135437
"2020-10-19",193.360001,193.800003,188.470001,189.740005,329600,186.201202
"2020-10-20",190.720001,194.300003,190.669998,190.940002,372300,187.37883
"2020-10-21",191.139999,193.589996,190.380005,190.449997,303800,186.897949
"2020-10-22",190.910004,192.339996,188.990005,189.070007,287700,185.543732
"2020-10-23",190.460007,191.809998,189.020004,191.630005,298200,188.055984
"2020-10-26",190.160004,190.490005,186.839996,190.080002,299100,186.534882
"2020-10-27",189.369995,190.110001,185.949997,186,527300,182.53096
"2020-10-28",176.539993,180,172.289993,172.570007,1125000,169.35144
"2020-10-29",172.729996,173.729996,167.729996,168.729996,1167100,165.583084
"2020-10-30",169.169998,170.410004,166.509995,170.389999,683000,167.212112
"2020-11-02",172.970001,178.839996,172.449997,178.759995,648900,175.425995
"2020-11-03",180.990005,184.270004,178.830002,180.419998,505200,177.055038
"2020-11-04",182.009995,182.009995,176.850006,176.899994,319900,173.600708
"2020-11-05",179.509995,181.740005,176.970001,177.770004,504600,174.454468
"2020-11-06",177.410004,183.509995,176.619995,183.020004,437100,179.606552
