"","DE.Open","DE.High","DE.Low","DE.Close","DE.Volume","DE.Adjusted"
"2020-10-28",225,227.5,222.509995,223.369995,1375200,218.922119
"2020-10-29",222.070007,229.809998,221.729996,228.020004,1190700,223.479568
"2020-10-30",227.630005,228.589996,222.610001,225.910004,1306200,221.41156
"2020-11-02",228.490005,232.240005,227.5,231.699997,1435900,227.086227
"2020-11-03",235.610001,241.619995,234.419998,239.960007,1571800,235.181793
"2020-11-04",237.399994,240,233.199997,233.300003,1992600,228.654388
"2020-11-05",237.820007,247.089996,237.330002,246.020004,2031800,241.121124
"2020-11-06",246.580002,250.369995,246.110001,247.639999,1481600,242.708847
"2020-11-09",260.589996,265.869995,248.350006,248.869995,2219500,243.914352
"2020-11-10",249.490005,256.899994,249.490005,253.970001,1852800,248.912811
"2020-11-11",253.960007,254.270004,245.960007,249.350006,1659000,244.384827
"2020-11-12",250.850006,252.199997,246.869995,248.009995,1275700,243.071457
"2020-11-13",250.820007,252.589996,249.080002,251.789993,976700,246.77623
"2020-11-16",255,260.339996,253.610001,259.100006,1927500,253.940659
"2020-11-17",256.5,259.720001,253.5,258.209991,1411100,253.06839
"2020-11-18",258.440002,260.600006,257.25,257.329987,1618400,252.205902
"2020-11-19",257.290009,259.529999,255,255.589996,1700400,250.500549
"2020-11-20",256.640015,259.660004,255.5,258.559998,1614900,253.411423
"2020-11-23",260.700012,262.76001,260.160004,261.109985,2094900,255.91066
"2020-11-24",263.649994,264.170013,260.01001,261.51001,2345300,256.302704
"2020-11-25",263.01001,265.869995,254.509995,256.429993,3037900,251.323792
"2020-11-27",258.619995,262.200012,258.149994,261.950012,1072200,256.733917
"2020-11-30",262.940002,264.230011,258.109985,261.619995,2342200,256.410431
"2020-12-01",263.220001,265.350006,255.119995,255.130005,2086400,250.049713
"2020-12-02",255.130005,260.440002,254.389999,259,2773200,253.842651
"2020-12-03",258.48999,259.809998,251.929993,252.679993,2079900,247.648499
"2020-12-04",253.860001,255.75,252.789993,253.389999,1655000,248.344345
"2020-12-07",253.130005,253.5,250.539993,252.009995,1598400,246.991837
"2020-12-08",253.119995,254.839996,251.270004,252.600006,1303600,247.570084
"2020-12-09",252.5,255.5,251.600006,254.830002,1373800,249.755676
"2020-12-10",253.589996,254.240005,250.619995,253.449997,1158900,248.403152
"2020-12-11",251.440002,256,250.820007,255.770004,1403600,250.676971
"2020-12-14",258,258.75,252.509995,252.720001,972900,247.687714
"2020-12-15",256.329987,264.109985,255.979996,261.98999,2051100,256.773132
