"","UAL.Open","UAL.High","UAL.Low","UAL.Close","UAL.Volume","UAL.Adjusted"
"2020-10-06",36.73,37.09,34.84,34.880001,28719000,34.880001
"2020-10-07",36.509998,37.220001,35.880001,36.380001,27677300,36.380001
"2020-10-08",37.16,37.689999,35.849998,37,28333500,37
"2020-10-09",37.049999,37.799999,36.27,37.119999,25311800,37.119999
"2020-10-12",36.700001,36.990002,36.259998,36.380001,20202600,36.380001
"2020-10-13",35.669998,35.950001,35.220001,35.259998,17303000,35.259998
"2020-10-14",35.259998,36.330002,35.169998,35.610001,14976500,35.610001
"2020-10-15",35.18,35.380001,33.639999,34.25,23652000,34.25
"2020-10-16",34.310001,34.580002,33.82,34.16,16210000,34.16
"2020-10-19",34.450001,36.549999,34.439999,35.5,33094400,35.5
"2020-10-20",36.16,36.59,35.200001,36.060001,22578100,36.060001
"2020-10-21",35.91,36.139999,35.209999,35.540001,16092700,35.540001
"2020-10-22",35.900002,37.450001,35.650002,37.240002,24747800,37.240002
"2020-10-23",37.099998,38.099998,36.52,38.009998,20690300,38.009998
"2020-10-26",37.369999,37.400002,34.669998,35.34,25924500,35.34
"2020-10-27",35.110001,35.650002,34.150002,34.169998,17594200,34.169998
"2020-10-28",33.110001,33.66,32.16,32.599998,21822900,32.599998
"2020-10-29",32.630001,33.75,32.43,33.57,17257400,33.57
"2020-10-30",33.150002,34.02,32.830002,33.860001,18783200,33.860001
"2020-11-02",34.080002,34.099998,32.950001,33.779999,13901000,33.779999
"2020-11-03",34.32,34.68,33.759998,34.02,16309000,34.02
"2020-11-04",34,34.25,32.959999,33.34,14812300,33.34
"2020-11-05",33.700001,35.459999,33.57,35.349998,16192100,35.349998
"2020-11-06",34.900002,35.150002,34.200001,34.68,13194100,34.68
"2020-11-09",41.900002,44.060001,39.130001,41.32,60942600,41.32
"2020-11-10",40.450001,41.630001,39.48,40.049999,26596600,40.049999
"2020-11-11",40.07,40.16,38.189999,38.509998,20044100,38.509998
"2020-11-12",37.450001,38.709999,36.560001,36.849998,23503200,36.849998
"2020-11-13",37.240002,39.099998,37.080002,38.990002,19977400,38.990002
"2020-11-16",42.18,42.779999,40.049999,41,28722700,41
"2020-11-17",40,41.099998,39.580002,40.599998,19661400,40.599998
"2020-11-18",41.490002,42.889999,41.049999,41.049999,22482000,41.049999
"2020-11-19",41,41.439999,40.189999,40.939999,18556300,40.939999
"2020-11-20",40.709999,40.970001,39.669998,39.900002,15604700,39.900002
"2020-11-23",40.169998,41.18,40.049999,40.93,21730000,40.93
"2020-11-24",42.709999,45,42.450001,44.959999,29934600,44.959999
"2020-11-25",44.490002,45.91,43.650002,45.639999,24250800,45.639999
"2020-11-27",46.200001,46.759998,45.139999,45.299999,14103900,45.299999
"2020-11-30",46.470001,46.5,44.200001,45.049999,23401500,45.049999
"2020-12-01",45.830002,46.57,45.23,45.32,18811700,45.32
"2020-12-02",45.099998,46.73,44.52,46.73,17745700,46.73
"2020-12-03",47.669998,50.970001,47.66,49.91,32545200,49.91
"2020-12-04",50.490002,51.310001,48.77,49.240002,26300600,49.240002
"2020-12-07",49.279999,50.349998,48.709999,49.200001,22364600,49.200001
"2020-12-08",49.02,50.400002,48.720001,49.040001,17797900,49.040001
"2020-12-09",49.84,50.09,46.73,48.02,23325100,48.02
"2020-12-10",46.740002,49.709999,46.599998,49.639999,19020500,49.639999
"2020-12-11",49.150002,49.889999,47.639999,48.360001,14770600,48.360001
"2020-12-14",49.599998,49.650002,46.700001,46.720001,15745000,46.720001
"2020-12-15",47.200001,47.560001,45.799999,47.459999,16803400,47.459999
"2020-12-16",46.5,46.91,45.549999,46,17369500,46
"2020-12-17",46.299999,46.400002,45.459999,45.880001,13785000,45.880001
"2020-12-18",45.75,45.950001,44.560001,44.740002,16333200,44.740002
"2020-12-21",43.349998,44.419998,42.630001,44.060001,21879100,44.060001
"2020-12-22",44.650002,44.790001,42.43,42.970001,16519200,42.970001
"2020-12-23",43.099998,44.689999,43.080002,44.110001,15284700,44.110001
"2020-12-24",44.400002,44.419998,43.009998,43.259998,7230600,43.259998
"2020-12-28",44.040001,44.630001,43.75,43.919998,13693200,43.919998
"2020-12-29",44.450001,44.650002,43.549999,43.740002,9927700,43.740002
"2020-12-30",43.639999,44.759998,43.459999,44.650002,9473300,44.650002
"2020-12-31",44.41,44.560001,43.110001,43.25,12684000,43.25
"2021-01-04",43.68,43.700001,41.43,41.630001,14710200,41.630001
"2021-01-05",41.580002,43.599998,41.5,43.400002,12294500,43.400002
"2021-01-06",43.599998,44.279999,42.860001,43.540001,12318900,43.540001
"2021-01-07",43.799999,44.84,43.610001,43.619999,9592900,43.619999
"2021-01-08",43.580002,44,43.02,43.290001,9215300,43.290001
"2021-01-11",42.669998,43.259998,42.25,42.700001,8973200,42.700001
"2021-01-12",42.810001,44.169998,42.459999,44.080002,9053100,44.080002
"2021-01-13",44.169998,44.639999,43.439999,44.43,11390200,44.43
"2021-01-14",45.32,46.799999,45.32,46.290001,16310500,46.290001
"2021-01-15",45.849998,45.98,43.880001,43.889999,13211500,43.889999
"2021-01-19",44.599998,44.900002,43.77,44.75,9706300,44.75
"2021-01-20",45.040001,45.650002,44.41,45.18,11661300,45.18
"2021-01-21",43.799999,43.98,41.720001,42.59,32158200,42.59
"2021-01-22",41.950001,42.290001,41.610001,42.139999,13545000,42.139999
"2021-01-25",41.540001,41.73,39.900002,40.380001,20281900,40.380001
"2021-01-26",40.799999,41.389999,40.560001,41.25,13388600,41.25
"2021-01-27",40.740002,41.650002,40.310001,40.91,15280000,40.91
"2021-01-28",42.830002,44.200001,41.619999,42.549999,22175000,42.549999
"2021-01-29",42.110001,42.5,39.77,39.990002,24192600,39.990002
"2021-02-01",40.349998,40.41,39.169998,39.939999,13143400,39.939999
"2021-02-02",40.630001,40.91,39.939999,40.830002,13118600,40.830002
"2021-02-03",41.02,42.200001,40.52,42.040001,15174800,42.040001
"2021-02-04",42.150002,42.610001,41.84,42.41,13633800,42.41
"2021-02-05",42.880001,42.939999,41.939999,42.139999,10764300,42.139999
"2021-02-08",42.5,44.639999,42.220001,44.349998,19794300,44.349998
"2021-02-09",44.060001,44.09,42.82,43.32,11967200,43.32
"2021-02-10",43.860001,44.220001,43.360001,43.779999,9772500,43.779999
"2021-02-11",43.639999,43.84,42.990002,43.439999,8478100,43.439999
"2021-02-12",43.110001,44.470001,42.900002,43.939999,8987500,43.939999
"2021-02-16",45.07,45.810001,44.560001,45.709999,13954900,45.709999
"2021-02-17",45.41,46.48,44.720001,46.080002,12821500,46.080002
"2021-02-18",45.200001,45.439999,44.299999,44.959999,10250400,44.959999
"2021-02-19",45.52,48.360001,45.439999,48.029999,21112000,48.029999
"2021-02-22",49.259998,51.82,48.349998,49.700001,27547900,49.700001
"2021-02-23",50.200001,51.18,46.959999,50.610001,20125000,50.610001
"2021-02-24",51.110001,55.869999,50.869999,54.959999,27482100,54.959999
"2021-02-25",54.849998,55,50.419998,51.779999,25950000,51.779999
"2021-02-26",51.509998,53.41,51.200001,52.68,18330200,52.68
"2021-03-01",55.439999,55.93,52.779999,53.310001,19500600,53.310001
"2021-03-02",53.66,54.049999,52.75,53.209999,12371000,53.209999
"2021-03-03",53.610001,55.200001,53.279999,54.57,18438900,54.57
"2021-03-04",54.639999,54.849998,49.950001,52.049999,19937500,52.049999
"2021-03-05",52.650002,52.73,46.560001,50.52,21503200,50.52
"2021-03-08",51.349998,54.330002,51.34,54.060001,17589000,54.060001
"2021-03-09",53.810001,54.16,51.799999,53.43,15292800,53.43
"2021-03-10",53.400002,54.369999,52.849998,53.919998,13438900,53.919998
"2021-03-11",54.299999,55.869999,53.369999,54.060001,17140800,54.060001
"2021-03-12",54,56.439999,53.610001,56.290001,19762500,56.290001
"2021-03-15",58.25,61.689999,57.919998,60.939999,35290100,60.939999
"2021-03-16",61.110001,61.200001,59.209999,59.810001,18306400,59.810001
"2021-03-17",59.110001,62.560001,58.860001,62.450001,18338000,62.450001
"2021-03-18",62.169998,63.700001,60.580002,60.82,19105700,60.82
"2021-03-19",60.900002,60.950001,58.639999,60.77,19643800,60.77
"2021-03-22",59.75,60.200001,58.209999,58.330002,12958300,58.330002
"2021-03-23",57.110001,58.080002,53.849998,54.360001,21698200,54.360001
"2021-03-24",55.66,56.959999,53.779999,53.830002,18015800,53.830002
"2021-03-25",52.91,56.290001,52.029999,56.049999,21500100,56.049999
"2021-03-26",57.09,57.369999,55.220001,56.830002,15432400,56.830002
"2021-03-29",56.799999,57.310001,55.41,56.200001,12083000,56.200001
"2021-03-30",56.779999,58.5,56.48,58.209999,12708900,58.209999
"2021-03-31",58,58.009998,57.060001,57.540001,11023800,57.540001
"2021-04-01",57.66,58.549999,57.279999,57.82,10932200,57.82
"2021-04-05",59.34,60.889999,58.939999,59.290001,17175700,59.290001
"2021-04-06",59.880001,60.419998,58.869999,59.48,11917200,59.48
"2021-04-07",59.790001,61.34,59.189999,59.57,13772600,59.57
"2021-04-08",59.139999,59.470001,57.75,59.43,13655800,59.43
"2021-04-09",59.02,59.360001,57.790001,58.43,10896100,58.43
"2021-04-12",57.57,57.709999,55.290001,56.16,18714700,56.16
"2021-04-13",54.41,56.860001,53.900002,56.66,15349400,56.66
"2021-04-14",57.459999,58.52,56.540001,56.919998,12971100,56.919998
"2021-04-15",57.790001,57.849998,55.57,56.119999,12123400,56.119999
"2021-04-16",56.470001,57.150002,55.709999,55.869999,10620400,55.869999
"2021-04-19",55.790001,55.970001,54.740002,54.990002,13984400,54.990002
"2021-04-20",53.470001,53.790001,49.470001,50.299999,44364800,50.299999
"2021-04-21",49.880001,51.889999,48.900002,51.860001,21085600,51.860001
"2021-04-22",52.34,53.09,50.880001,51.029999,20538200,51.029999
"2021-04-23",51.209999,53.349998,50.639999,53.110001,13841100,53.110001
"2021-04-26",54.049999,54.470001,53.220001,53.779999,12358800,53.779999
"2021-04-27",53.779999,54.119999,53.189999,53.48,10331500,53.48
"2021-04-28",53.25,54.040001,52.970001,53.549999,11536000,53.549999
"2021-04-29",54.099998,54.32,53.119999,53.689999,9804800,53.689999
"2021-04-30",53.220001,54.91,53.130001,54.400002,11144000,54.400002
"2021-05-03",54.669998,54.869999,53.610001,54.459999,9912900,54.459999
"2021-05-04",54.09,54.470001,51.73,52.799999,13673200,52.799999
"2021-05-05",52.75,53.959999,52.439999,53.27,11151300,53.27
"2021-05-06",53.43,53.77,52.099998,53.049999,10524400,53.049999
"2021-05-07",52.93,54.959999,52.689999,54.73,11819900,54.73
"2021-05-10",54.950001,55.610001,54,54.029999,10852900,54.029999
"2021-05-11",52.040001,53.169998,51.200001,52.700001,15065900,52.700001
"2021-05-12",52.119999,53.080002,50.900002,51.009998,12728700,51.009998
"2021-05-13",51.419998,52.73,51.07,52.43,13363900,52.43
"2021-05-14",53.400002,55.509998,53.290001,55.279999,14499200,55.279999
"2021-05-17",55.009998,56.73,54.259998,56.57,17529900,56.57
"2021-05-18",57.080002,57.75,55.950001,56.380001,13706200,56.380001
"2021-05-19",55.080002,56.27,54.48,55.790001,15121600,55.790001
"2021-05-20",56,56,54.209999,55.09,11702500,55.09
"2021-05-21",55.450001,55.970001,55.119999,55.299999,10527400,55.299999
"2021-05-24",56,56.34,54.919998,56.139999,9470700,56.139999
"2021-05-25",57.650002,59.290001,56.779999,56.98,23605700,56.98
"2021-05-26",57.75,58.43,57.23,58.009998,11697300,58.009998
"2021-05-27",58.59,59.23,57.869999,59.130001,12307500,59.130001
"2021-05-28",58.950001,59.200001,57.959999,58.349998,14357300,58.349998
"2021-06-01",59.119999,60.41,58.959999,59.669998,14321100,59.669998
"2021-06-02",60.150002,60.59,59.610001,60.290001,12089200,60.290001
"2021-06-03",59.599998,59.599998,57.68,57.73,13746500,57.73
"2021-06-04",58.299999,58.400002,56.720001,56.93,13622800,56.93
"2021-06-07",57.34,57.970001,57.02,57.299999,8915000,57.299999
"2021-06-08",57.900002,58.119999,56.830002,57.73,10778000,57.73
"2021-06-09",57.990002,58.009998,57.169998,57.23,8151500,57.23
"2021-06-10",57.599998,58.07,55.93,56.259998,11664000,56.259998
"2021-06-11",56.16,56.830002,56.099998,56.52,9780500,56.52
"2021-06-14",56.630001,57,55.540001,55.740002,8248500,55.740002
"2021-06-15",55.740002,56.02,54.919998,55.290001,7542000,55.290001
"2021-06-16",55.18,56.099998,54.98,55.599998,9952000,55.599998
"2021-06-17",55.77,56.41,53.48,54.240002,12509900,54.240002
"2021-06-18",53.869999,55.380001,53.540001,54.919998,12490700,54.919998
"2021-06-21",55.240002,55.880001,54.549999,55.689999,10891600,55.689999
"2021-06-22",55.490002,55.57,54.099998,55.169998,9819700,55.169998
"2021-06-23",55.130001,55.490002,54.900002,55.119999,9957500,55.119999
"2021-06-24",55.110001,55.389999,53.959999,54.34,11548600,54.34
"2021-06-25",54.52,54.57,53.720001,53.880001,12256400,53.880001
"2021-06-28",53.5,53.509998,51.669998,52.490002,19098800,52.490002
"2021-06-29",52.66,53.080002,52.029999,52.150002,12598300,52.150002
"2021-06-30",52.27,52.959999,51.869999,52.290001,9244500,52.290001
"2021-07-01",52.790001,53.759998,52.689999,53.080002,8577600,53.080002
"2021-07-02",53.169998,53.169998,52.09,52.77,9205500,52.77
"2021-07-06",52.68,53.209999,51.02,51.439999,10652300,51.439999
"2021-07-07",51.040001,51.869999,49.779999,50.299999,12719100,50.299999
"2021-07-08",49.080002,50.52,48.57,49.66,13207800,49.66
"2021-07-09",50.330002,51.32,49.970001,51.099998,9914700,51.099998
"2021-07-12",50.330002,51.02,49.439999,50.619999,11567200,50.619999
"2021-07-13",49.759998,50.040001,48.380001,48.5,14287200,48.5
"2021-07-14",49.040001,49.959999,47.869999,48.16,14949300,48.16
"2021-07-15",47.900002,48.630001,46.959999,47.709999,12331800,47.709999
"2021-07-16",48.450001,48.48,45.830002,46.009998,13760700,46.009998
"2021-07-19",43.700001,44.650002,42.560001,43.459999,26444000,43.459999
"2021-07-20",43.549999,46.459999,43.07,46.32,21894000,46.32
"2021-07-21",47.119999,48.939999,46.990002,48.099998,23048300,48.099998
"2021-07-22",47.689999,48.700001,46.799999,47.950001,12922300,47.950001
"2021-07-23",48.139999,48.48,47.16,47.529999,9491300,47.529999
"2021-07-26",47.5,49.529999,47.400002,49.459999,10775300,49.459999
"2021-07-27",49.110001,49.57,48.09,48.650002,10559900,48.650002
"2021-07-28",49.080002,49.509998,48.040001,49.139999,9772500,49.139999
"2021-07-29",49.580002,49.599998,48.459999,48.490002,7643600,48.490002
"2021-07-30",47.689999,48.23,46.490002,46.720001,12123500,46.720001
"2021-08-02",46.849998,48.23,45.950001,46.07,10995900,46.07
"2021-08-03",46.119999,46.57,44.610001,46.540001,12597000,46.540001
"2021-08-04",45.52,46.650002,44.900002,45.279999,12205000,45.279999
"2021-08-05",45.52,47.669998,45.380001,47.240002,12644600,47.240002
"2021-08-06",47.720001,48.130001,46.580002,47.619999,9919300,47.619999
"2021-08-09",46.990002,47,45.529999,46.450001,13064800,46.450001
"2021-08-10",46.369999,48.240002,46.169998,47.68,12551700,47.68
"2021-08-11",47.139999,48.41,46.459999,48.209999,12779300,48.209999
"2021-08-12",47.91,48.009998,46.549999,47.240002,9307300,47.240002
"2021-08-13",47.080002,47.380001,46.27,46.490002,7572400,46.490002
"2021-08-16",45.619999,46.549999,45.16,46.299999,8402500,46.299999
"2021-08-17",45.439999,45.799999,44.52,45.290001,9745500,45.290001
"2021-08-18",45.119999,45.990002,44.709999,45.040001,9460700,45.040001
"2021-08-19",44.77,44.900002,43.169998,43.93,12360700,43.93
"2021-08-20",43.790001,44.32,43.48,44.029999,9867000,44.029999
"2021-08-23",44.639999,45.630001,44.32,45.529999,8269200,45.529999
"2021-08-24",46.34,47.560001,46.279999,47.119999,10048000,47.119999
"2021-08-25",47.299999,47.939999,46.540001,47.59,9772300,47.59
"2021-08-26",47.299999,48.02,46.400002,47.009998,8604000,47.009998
"2021-08-27",47.169998,48.220001,47.029999,47.709999,6824300,47.709999
"2021-08-30",48.009998,48.009998,45.709999,45.91,11376100,45.91
"2021-08-31",45.73,46.830002,45.610001,46.509998,8884200,46.509998
"2021-09-01",46.75,46.93,45.950001,46.189999,8608000,46.189999
"2021-09-02",46.279999,47.490002,45.869999,46.759998,9780100,46.759998
"2021-09-03",46.599998,47.360001,45.919998,46.220001,7705300,46.220001
"2021-09-07",46.02,46.779999,45.68,46.57,7802500,46.57
"2021-09-08",46.700001,47.189999,45.419998,45.529999,9053400,45.529999
"2021-09-09",45.240002,47.740002,45.07,46.580002,12872300,46.580002
"2021-09-10",46.82,46.82,44.18,44.34,17498600,44.34
"2021-09-13",44.73,45.18,43.57,44.84,14173600,44.84
"2021-09-14",44.630001,44.93,43.580002,43.869999,10762800,43.869999
"2021-09-15",43.650002,43.91,43.02,43.860001,10321600,43.860001
"2021-09-16",43.860001,45.41,43.849998,44.470001,12204300,44.470001
"2021-09-17",44.779999,45.5,44.110001,44.540001,11743900,44.540001
"2021-09-20",44.759998,45.34,43.59,45.27,14700300,45.27
"2021-09-21",45.5,46.259998,44.279999,44.450001,12217700,44.450001
"2021-09-22",44.849998,46.290001,44.830002,45.68,13783000,45.68
"2021-09-23",46.18,47.830002,46.099998,47.470001,13703500,47.470001
"2021-09-24",47.380001,48.950001,47.380001,48.790001,12236400,48.790001
"2021-09-27",49.509998,50.560001,48.98,49.080002,14094300,49.080002
"2021-09-28",49.02,49.669998,48.349998,48.68,9820600,48.68
"2021-09-29",48.880001,49.41,47.779999,48.709999,9791600,48.709999
"2021-09-30",48.380001,48.400002,47.18,47.57,12016500,47.57
"2021-10-01",48.900002,51.48,48.880001,51.34,21464900,51.34
"2021-10-04",51.759998,52.43,50.98,51.299999,13986700,51.299999
"2021-10-05",51.360001,51.860001,50.369999,50.880001,9828100,50.880001
"2021-10-06",49.849998,50.279999,49.060001,50.220001,9995900,50.220001
"2021-10-07",50.869999,50.900002,49.209999,49.52,10812100,49.52
"2021-10-08",49.5,49.650002,48.650002,49.16,7349300,49.16
"2021-10-11",48.75,49.98,48.23,49.18,8145100,49.18
"2021-10-12",49.09,50.139999,48.669998,49.669998,7402300,49.669998
"2021-10-13",49.369999,49.41,47.459999,47.880001,13271500,47.880001
"2021-10-14",48.330002,48.650002,47.830002,47.91,7435000,47.91
"2021-10-15",48.630001,49.290001,47.939999,48,8528000,48
"2021-10-18",47.700001,48.130001,47.150002,47.169998,9126800,47.169998
"2021-10-19",47.200001,47.25,46.080002,46.220001,14646400,46.220001
"2021-10-20",46.900002,46.900002,45.580002,45.950001,19751200,45.950001
"2021-10-21",46.18,47.18,45.98,46.720001,13252600,46.720001
"2021-10-22",46.119999,47.380001,46.119999,46.73,8565800,46.73
"2021-10-25",46.540001,47.18,46.240002,46.650002,7494200,46.650002
"2021-10-26",47.099998,47.630001,46.540001,46.790001,9345500,46.790001
"2021-10-27",47.119999,47.43,45.790001,45.82,7896600,45.82
"2021-10-28",46,46.259998,45.439999,46.009998,7376800,46.009998
"2021-10-29",45.860001,46.450001,45.48,46.139999,9674900,46.139999
"2021-11-01",46.18,48.150002,45.82,48.049999,13566900,48.049999
"2021-11-02",47.919998,48.080002,47.189999,47.98,8764900,47.98
"2021-11-03",47.779999,49.23,47.189999,49.049999,11270800,49.049999
"2021-11-04",49.299999,49.470001,48.380001,49.139999,8659200,49.139999
"2021-11-05",52.389999,52.869999,50.880001,52.709999,21551800,52.709999
"2021-11-08",53.869999,54.52,52.810001,53.110001,14923100,53.110001
"2021-11-09",52.91,53.099998,51.66,52.810001,7623900,52.810001
"2021-11-10",51.93,52.810001,51.529999,51.77,7155800,51.77
"2021-11-11",51.57,52.150002,51.310001,51.34,5878800,51.34
"2021-11-12",51.349998,51.41,49.279999,49.830002,10277100,49.830002
"2021-11-15",50.200001,50.830002,50.07,50.48,6506800,50.48
"2021-11-16",50.200001,50.360001,48.919998,49.200001,9333100,49.200001
"2021-11-17",48.68,49.5,48.259998,48.740002,8291600,48.740002
"2021-11-18",48.68,48.849998,46.91,47.43,9883600,47.43
"2021-11-19",46.540001,46.540001,45.220001,46.110001,17014000,46.110001
"2021-11-22",46.68,47.330002,45.799999,46.48,10954000,46.48
"2021-11-23",46.75,47.580002,46.459999,46.700001,7006900,46.700001
"2021-11-24",46.200001,47.130001,45.799999,46.73,5595600,46.73
"2021-11-26",43.669998,43.709999,40.110001,42.259998,36386900,42.259998
"2021-11-29",43.18,44.110001,41.68,42.540001,18487100,42.540001
"2021-11-30",41.450001,42.34,40.669998,42.259998,14919000,42.259998
"2021-12-01",43.029999,43.57,38.880001,39.060001,27503000,39.060001
"2021-12-02",39.77,42.040001,38.900002,41.639999,24005600,41.639999
"2021-12-03",41.220001,41.59,39.700001,40.610001,17327300,40.610001
"2021-12-06",41.610001,45.41,41.529999,43.990002,27543800,43.990002
"2021-12-07",44.98,45.459999,42.98,43.41,17781000,43.41
"2021-12-08",43.740002,46.599998,43.59,45.25,22497300,45.25
"2021-12-09",44.799999,45.25,43.98,44.439999,12453100,44.439999
"2021-12-10",44.16,44.290001,43.119999,44.049999,11038400,44.049999
"2021-12-13",42.84,42.990002,41.049999,41.740002,16089500,41.740002
"2021-12-14",41.16,42.59,41.16,41.380001,12280300,41.380001
"2021-12-15",41.099998,41.639999,39.740002,41.5,14853300,41.5
"2021-12-16",42.330002,42.650002,39.880001,40.049999,12724200,40.049999
"2021-12-17",40.330002,41.619999,39.48,40.779999,14993800,40.779999
"2021-12-20",39.459999,41.709999,39.110001,41.099998,14567200,41.099998
"2021-12-21",41.619999,44.23,41.580002,43.93,19615800,43.93
"2021-12-22",43.950001,45.209999,43.509998,44.57,13013100,44.57
"2021-12-23",45.220001,45.48,44.34,44.869999,10323000,44.869999
"2021-12-27",43.560001,44.779999,43.080002,44.580002,11239300,44.580002
"2021-12-28",44.32,45.799999,44.049999,45.27,9256200,45.27
"2021-12-29",44.82,45.169998,44.330002,44.43,8341000,44.43
"2021-12-30",44.290001,45.200001,44.07,44.130001,9854600,44.130001
"2021-12-31",44.139999,44.709999,43.720001,43.779999,7398900,43.779999
"2022-01-03",44.669998,46.400002,44.610001,45.490002,13869100,45.490002
"2022-01-04",46.549999,47.02,45.900002,46.25,11254900,46.25
"2022-01-05",46.700001,47.099998,45.540001,45.779999,10987900,45.779999
"2022-01-06",46.459999,46.900002,45.209999,45.77,8225800,45.77
"2022-01-07",46.310001,47.77,45.990002,47.310001,11643900,47.310001
"2022-01-10",47.529999,47.77,46.18,46.580002,9204500,46.580002
"2022-01-11",46.41,47.549999,46.150002,46.900002,8589900,46.900002
"2022-01-12",46.950001,47.509998,46.279999,46.540001,8995700,46.540001
"2022-01-13",47.209999,49.27,46.779999,48.169998,14671200,48.169998
"2022-01-14",47.240002,47.540001,46.09,46.740002,11204800,46.740002
"2022-01-18",45.919998,46.98,45.450001,45.610001,11110800,45.610001
"2022-01-19",45.52,45.700001,44.349998,44.400002,10365300,44.400002
