"","UAL.Open","UAL.High","UAL.Low","UAL.Close","UAL.Volume","UAL.Adjusted"
"2020-07-01",36.919998,38.369999,34.029999,34.450001,87861300,34.450001
"2020-07-02",35.880001,36.080002,33.950001,34.139999,53576600,34.139999
"2020-07-06",34.759998,35.41,33.52,35.209999,46540300,35.209999
"2020-07-07",34.07,34.119999,32.380001,32.549999,47337600,32.549999
"2020-07-08",31.620001,33.029999,31.32,32.529999,55863900,32.529999
"2020-07-09",32,32.490002,29.959999,30.17,53324000,30.17
"2020-07-10",29.379999,32.900002,29.23,32.669998,80475500,32.669998
"2020-07-13",33.23,33.369999,31.01,31.76,56573000,31.76
"2020-07-14",30.700001,32.32,30.42,31.74,44172200,31.74
"2020-07-15",34.130001,36.779999,33.16,36.369999,84741900,36.369999
"2020-07-16",34.599998,35.380001,33.880001,34.490002,53333200,34.490002
"2020-07-17",34.27,34.98,33.48,33.919998,37397500,33.919998
"2020-07-20",33.900002,34.389999,32.18,32.330002,36534200,32.330002
"2020-07-21",32.639999,33.779999,32.459999,33.07,45726100,33.07
"2020-07-22",32.82,33.259998,31.629999,31.67,48195800,31.67
"2020-07-23",31.35,35.130001,30.950001,33.23,82254200,33.23
"2020-07-24",32.880001,33.689999,32.470001,32.880001,38446600,32.880001
"2020-07-27",32.889999,33.66,32.049999,32.419998,33062600,32.419998
"2020-07-28",32.27,34.040001,32.27,33.459999,41625400,33.459999
"2020-07-29",33.610001,34.150002,32.220001,32.57,31122800,32.57
"2020-07-30",32.029999,32.279999,31.549999,31.74,31536800,31.74
"2020-07-31",31.690001,31.77,30.690001,31.379999,29584900,31.379999
"2020-08-03",31.33,32.279999,30.32,31.870001,35214400,31.870001
"2020-08-04",32.009998,33.700001,32.009998,32.290001,30010100,32.290001
"2020-08-05",33.310001,34.57,32.169998,33.73,48193200,33.73
"2020-08-06",34.25,35.029999,33.23,34.400002,51250700,34.400002
"2020-08-07",33.900002,34.419998,33.450001,34.330002,30394500,34.330002
"2020-08-10",34.650002,37.549999,34.639999,37.540001,48876400,37.540001
"2020-08-11",39.639999,39.860001,36.66,36.830002,56549300,36.830002
"2020-08-12",37.549999,37.740002,35.470001,36.400002,34982400,36.400002
"2020-08-13",35.740002,37.52,35.52,35.810001,35460100,35.810001
"2020-08-14",35.349998,36.57,35.200001,36.18,28384100,36.18
"2020-08-17",36.209999,36.299999,34.360001,34.400002,22574300,34.400002
"2020-08-18",34.389999,34.880001,33.580002,33.98,19070300,33.98
"2020-08-19",34.360001,36.560001,34.130001,34.439999,40587900,34.439999
"2020-08-20",33.919998,34.389999,33.200001,34.049999,28197000,34.049999
"2020-08-21",33.799999,34.439999,32.98,33.040001,22730300,33.040001
"2020-08-24",33.669998,36.389999,33.200001,36.32,50533600,36.32
"2020-08-25",36.439999,36.939999,34.48,35.220001,39748300,35.220001
"2020-08-26",35.259998,35.509998,34.110001,34.25,23414500,34.25
"2020-08-27",35.5,37.990002,35.18,36.220001,51046500,36.220001
"2020-08-28",37.139999,37.439999,35.889999,37.34,35228900,37.34
"2020-08-31",37.25,37.439999,35.73,36,27114200,36
"2020-09-01",35.25,37.240002,34.950001,36.009998,29722200,36.009998
"2020-09-02",36.099998,37.099998,35.209999,36.889999,26622800,36.889999
"2020-09-03",37.130001,39.77,36.139999,37.400002,53966400,37.400002
"2020-09-04",38.150002,38.740002,36.459999,38.209999,33121600,38.209999
"2020-09-08",37.299999,38.48,36.48,37.279999,33207100,37.279999
"2020-09-09",36.900002,37.080002,35.59,36.029999,25407600,36.029999
"2020-09-10",36.349998,37.330002,36.18,36.450001,24905300,36.450001
"2020-09-11",36.630001,36.799999,35.48,36.07,19198700,36.07
"2020-09-14",36.299999,36.880001,35.84,36.740002,18939900,36.740002
"2020-09-15",36.84,37.880001,36.380001,36.799999,21378200,36.799999
"2020-09-16",36.900002,38.900002,36.360001,38.299999,33232400,38.299999
"2020-09-17",37.689999,39.279999,37.139999,38.349998,31339700,38.349998
"2020-09-18",38.16,38.34,36.68,36.970001,32772800,36.970001
"2020-09-21",35.400002,35.470001,33.18,33.790001,29900900,33.790001
"2020-09-22",34.150002,34.650002,33.560001,34.07,16700600,34.07
"2020-09-23",34.279999,35.049999,33.049999,33.080002,21576900,33.080002
"2020-09-24",32.779999,33.400002,31.219999,32.740002,24638800,32.740002
"2020-09-25",32.560001,34.27,32.490002,34.200001,21461100,34.200001
"2020-09-28",35.32,36.900002,34.66,35.939999,34828100,35.939999
"2020-09-29",35.549999,35.610001,34.240002,34.509998,24979800,34.509998
"2020-09-30",34.950001,36.220001,34.540001,34.75,29441400,34.75
"2020-10-01",35.23,35.490002,34.57,35.18,18972200,35.18
"2020-10-02",33.360001,36.77,33.27,36.009998,35081000,36.009998
"2020-10-05",36.43,36.580002,35.419998,36.200001,18046400,36.200001
