"","MMC.Open","MMC.High","MMC.Low","MMC.Close","MMC.Volume","MMC.Adjusted"
"2021-01-25",111.519997,112.910004,110.790001,112.029999,1223100,109.21328
"2021-01-26",112.120003,112.410004,110.970001,111.260002,1140700,108.462624
"2021-01-27",110.440002,110.589996,106.949997,107.599998,2370600,104.894653
"2021-01-28",108.599998,110.870003,107.599998,108.830002,2144300,106.093735
"2021-01-29",107.739998,110.480003,107.290001,109.910004,2488400,107.606339
"2021-02-01",110.730003,112.620003,109.970001,109.989998,2278400,107.684662
"2021-02-02",110.790001,113.349998,110.75,112.900002,2110400,110.533684
"2021-02-03",112.519997,112.790001,110.989998,111.139999,1631800,108.81057
"2021-02-04",111.580002,112.059998,110.650002,111.699997,1590600,109.358826
"2021-02-05",112.440002,113.980003,112.07,113.599998,1638800,111.218994
"2021-02-08",113.419998,114.099998,112.830002,113.870003,1346300,111.483345
"2021-02-09",113.760002,114.220001,112.870003,113.849998,1271500,111.46376
"2021-02-10",114.580002,114.669998,112.510002,112.730003,1331800,110.367241
"2021-02-11",113.339996,113.559998,112.589996,112.800003,1104900,110.435768
"2021-02-12",112.779999,113.18,111.769997,112.800003,1339100,110.435768
"2021-02-16",112.800003,114.5,112.720001,114.5,2340800,112.100136
"2021-02-17",114.860001,118.019997,114.540001,117.68,2558900,115.213478
"2021-02-18",117.510002,118.309998,116.82,117.730003,2422800,115.262444
"2021-02-19",118.360001,118.43,116.629997,117.07,1445500,114.616272
"2021-02-22",116.959999,118.419998,116.620003,118.389999,1758900,115.9086
"2021-02-23",119.309998,119.849998,117.800003,118.330002,1342100,115.849869
"2021-02-24",118.150002,119.93,118.050003,119.019997,1536800,116.525391
"2021-02-25",119.199997,119.900002,117.910004,118.230003,1419200,115.751961
"2021-02-26",118.580002,118.580002,115.080002,115.220001,1845700,112.805054
"2021-03-01",115.620003,118.25,115.620003,117.459999,1330300,114.9981
"2021-03-02",117.010002,117.459999,115.419998,115.959999,1757000,113.529541
"2021-03-03",115.589996,116.239998,114.970001,115.029999,2388100,112.619034
"2021-03-04",115.279999,116.449997,112.980003,113.209999,2210300,110.837173
"2021-03-05",114.169998,117.110001,113.379997,117.010002,2015500,114.557533
"2021-03-08",117.410004,119.120003,117.169998,117.349998,1840700,114.890404
"2021-03-09",117.07,119.199997,116.690002,116.809998,2038700,114.361725
"2021-03-10",117.059998,117.730003,116.379997,117.349998,1449200,114.890404
"2021-03-11",116.599998,118.57,115.959999,118.199997,3677400,115.722588
"2021-03-12",118.699997,118.709999,117.160004,117.889999,1441900,115.41909
"2021-03-15",117.769997,118.93,117.169998,118.860001,1358800,116.368759
"2021-03-16",118.5,119.610001,118.449997,118.779999,1368700,116.290428
"2021-03-17",119.43,119.830002,118.300003,119.160004,1702200,116.662476
"2021-03-18",119.220001,119.610001,118.050003,119.32,2267600,116.819115
"2021-03-19",119.419998,119.440002,116.699997,116.879997,4104300,114.43026
"2021-03-22",116.970001,117.879997,116.550003,117.279999,2146300,114.821869
"2021-03-23",117.519997,117.980003,116.629997,116.93,1581400,114.479202
"2021-03-24",116.639999,118.75,116.480003,118,1493400,115.526779
"2021-03-25",118.599998,118.760002,117.209999,118.669998,1730900,116.182732
"2021-03-26",118.830002,120.360001,118.099998,120.230003,1966600,117.710052
"2021-03-29",119.739998,122,119.300003,121.879997,1558400,119.325462
"2021-03-30",121.470001,121.989998,120.709999,121.519997,1299700,118.973
"2021-03-31",121.669998,122.089996,121.25,121.800003,2233400,119.247131
"2021-04-01",121.779999,123.410004,121.309998,123.150002,1827200,120.56884
"2021-04-05",123.5,124.989998,123.5,124.889999,1798300,122.272362
"2021-04-06",124.519997,124.720001,123.669998,124.480003,1139000,122.326424
"2021-04-07",124.010002,124.5,123.449997,124.059998,1334600,121.913689
"2021-04-08",124.290001,125.199997,124.209999,124.830002,1316100,122.670364
"2021-04-09",125.360001,126.330002,124.709999,126.18,1117400,123.997002
"2021-04-12",126.059998,126.360001,125.550003,126.209999,956700,124.026482
"2021-04-13",125.699997,126.730003,125.129997,126.239998,1110800,124.055977
"2021-04-14",126.419998,126.959999,125.239998,125.440002,1097600,123.269814
"2021-04-15",124.870003,127.129997,124.620003,126.959999,1624200,124.763512
"2021-04-16",127.760002,128.020004,126.540001,127.440002,2206700,125.235214
"2021-04-19",127.25,127.629997,126.529999,127.150002,1236800,124.950226
"2021-04-20",127.379997,128.860001,127.260002,127.349998,1238500,125.146759
"2021-04-21",127.709999,128.139999,126.82,127.529999,1765500,125.323647
"2021-04-22",127.239998,127.669998,126.57,126.910004,1032600,124.714378
"2021-04-23",127.260002,127.970001,126.650002,127.669998,1231400,125.461227
"2021-04-26",127.669998,128.070007,127.019997,127.199997,1337000,124.999352
