"","LHX.Open","LHX.High","LHX.Low","LHX.Close","LHX.Volume","LHX.Adjusted"
"2021-10-26",237.009995,240.410004,232.380005,233.389999,1678100,230.222778
"2021-10-27",233.330002,233.699997,228.270004,228.490005,1320600,225.389282
"2021-10-28",228.300003,228.710007,221.449997,224.029999,2145600,220.989792
"2021-10-29",225.179993,231.360001,223.929993,230.539993,1982200,227.411438
"2021-11-01",229.919998,230.529999,221.050003,221.350006,1418100,218.346176
"2021-11-02",222.419998,222.669998,216.440002,218.419998,2639300,215.455917
"2021-11-03",217.729996,221.619995,217.160004,221.100006,1674700,218.099564
"2021-11-04",220.240005,222.490005,219.410004,222.139999,1216000,219.125443
"2021-11-05",224.470001,225.539993,222.789993,223.970001,1084000,220.930603
"2021-11-08",222.610001,224.330002,220.619995,223.839996,969000,220.802368
"2021-11-09",223.940002,225.399994,222.679993,224.720001,508900,221.670441
"2021-11-10",224.130005,225.820007,223.289993,223.460007,663900,220.427551
"2021-11-11",223.029999,223.179993,218.839996,218.979996,838400,216.008331
"2021-11-12",218.710007,220.860001,218.210007,220.300003,1813900,217.31041
"2021-11-15",221.020004,221.649994,219.850006,221.229996,1024100,218.227783
"2021-11-16",222.100006,223.279999,219.559998,220,1261900,217.014481
"2021-11-17",219.669998,222.410004,219.169998,221.190002,840000,218.188339
"2021-11-18",220.009995,220.830002,218,220,1321600,218.019867
"2021-11-19",220.5,220.850006,218.699997,220,1028900,218.019867
"2021-11-22",220.050003,224.330002,220.050003,222.130005,989200,220.130707
"2021-11-23",222.380005,224.410004,221.050003,221.509995,640000,219.516266
"2021-11-24",221.149994,221.820007,218.009995,218.740005,732000,216.77121
"2021-11-26",215,217.270004,213,215.119995,833600,213.183777
"2021-11-29",216.759995,217.279999,213.820007,214.679993,1035800,212.747742
"2021-11-30",213.389999,214.029999,208.759995,209.080002,1896300,207.198151
"2021-12-01",211.130005,212.309998,207.320007,207.320007,962200,205.453995
"2021-12-02",208.589996,212.360001,208.050003,211.149994,983200,209.249512
"2021-12-03",211.039993,213.789993,210.289993,212,1094400,210.091873
"2021-12-06",213.720001,216.860001,213.119995,215.300003,730000,213.362183
"2021-12-07",215.300003,217,213.339996,214.679993,1008700,212.747742
"2021-12-08",214.940002,216.970001,213.979996,216.630005,969900,214.680191
"2021-12-09",216.550003,216.800003,214.770004,216.520004,764600,214.571198
"2021-12-10",217.929993,217.929993,215.300003,216.800003,990800,214.848679
"2021-12-13",216.300003,219.520004,215.740005,217.940002,946600,215.978409
"2021-12-14",212.490005,215.600006,212.259995,213,1684600,211.08287
"2021-12-15",214.350006,214.350006,210.729996,213,1157800,211.08287
"2021-12-16",213.690002,214.660004,209.039993,210.759995,2180000,208.863037
"2021-12-17",210.75,211.729996,207.570007,207.929993,3256300,206.058502
"2021-12-20",206.550003,206.550003,200.710007,202.020004,1813200,200.201706
"2021-12-21",203.619995,208.559998,203.020004,207.130005,1889400,205.265717
"2021-12-22",206.649994,207.940002,205.559998,206.75,1153900,204.889114
"2021-12-23",207.479996,209.619995,206.850006,208.259995,1001300,206.385544
"2021-12-27",209.139999,210.75,208.279999,210.330002,592000,208.436905
"2021-12-28",209.949997,212.889999,208.630005,212.160004,537100,210.250443
"2021-12-29",211.039993,212.559998,211.039993,212.369995,900800,210.458527
"2021-12-30",211.860001,213.929993,211.759995,212.940002,573200,211.023407
"2021-12-31",213.039993,214.039993,212.179993,213.240005,587100,211.320724
"2022-01-03",213.470001,213.970001,210,211.570007,1031700,209.665741
"2022-01-04",212.929993,217.929993,212.600006,214.009995,1443700,212.083786
"2022-01-05",214.410004,215.789993,209.300003,209.380005,2238100,207.495453
"2022-01-06",210.059998,217.630005,209.289993,217.550003,1750200,215.591919
"2022-01-07",218.369995,220.580002,217.949997,219.770004,1797100,217.791946
"2022-01-10",221,224.389999,221,223.440002,2102400,221.428909
