"","COST.Open","COST.High","COST.Low","COST.Close","COST.Volume","COST.Adjusted"
"2020-09-23",348,348.25,344.059998,344.630005,3577100,331.036499
"2020-09-24",345,347.329987,338.309998,347,5779300,333.313019
"2020-09-25",340.73999,343.769989,335.359985,342.579987,7338500,329.067322
"2020-09-28",343.76001,349.769989,343.100006,349.619995,3459200,335.829681
"2020-09-29",348.950012,354.290009,347.100006,352.140015,2526000,338.250244
"2020-09-30",352.559998,357.700012,351.170013,355,2525800,340.997437
"2020-10-01",356.26001,359.690002,354.820007,358.459991,2053000,344.320984
"2020-10-02",354.730011,357.839996,352.850006,355.01001,2125000,341.00708
"2020-10-05",355.329987,358.980011,355.329987,358.579987,2093500,344.436218
"2020-10-06",361.899994,363,357.040009,358.350006,2760400,344.215332
"2020-10-07",360.470001,364.73999,359.660004,363.019989,1959100,348.70108
"2020-10-08",364.799988,365.970001,361.75,365.089996,1793100,350.689453
"2020-10-09",366,369.75,365.700012,369.459991,1730700,354.887115
"2020-10-12",371,380.660004,370.769989,376.480011,2806900,361.630219
"2020-10-13",378.420013,382.290009,376.480011,380.679993,1823300,365.66449
"2020-10-14",382.890015,383.869995,376.700012,378.339996,1904400,363.41684
"2020-10-15",376.459991,378.359985,373.059998,376.579987,1697800,361.726257
"2020-10-16",380.5,384.869995,379.119995,381.540009,2459400,366.490631
"2020-10-19",382.029999,383.089996,374.709991,375.559998,1938100,360.746521
"2020-10-20",377.690002,382.079987,376.119995,378.309998,1282300,363.388062
"2020-10-21",378.559998,381.279999,377.019989,377.820007,1466500,362.917389
"2020-10-22",377.350006,378.380005,372.029999,375.75,1813200,360.928986
"2020-10-23",375.609985,376.519989,373.559998,374.600006,1108000,359.82431
"2020-10-26",366.679993,372.630005,366.119995,370.709991,2145000,356.087799
"2020-10-27",368.769989,374.910004,368.769989,372.720001,1525400,358.018494
"2020-10-28",367.329987,372.410004,364.670013,364.959991,1908300,350.564606
"2020-10-29",363.230011,369.089996,362.51001,364.859985,1838500,351.141998
"2020-10-30",361.130005,363.850006,355.790009,357.619995,2724100,344.174286
"2020-11-02",362.220001,365.660004,360.709991,364.390015,1646300,350.689697
"2020-11-03",368.940002,374.799988,367.890015,371.959991,2013100,357.975098
"2020-11-04",374.019989,381.640015,374,376.170013,2449800,362.026794
"2020-11-05",382.480011,386.579987,379.5,385.230011,2255800,370.746185
"2020-11-06",381.880005,386.799988,380.890015,385.660004,1950200,371.159973
"2020-11-09",388.25,389.5,364.76001,365,4371300,351.276794
"2020-11-10",363.880005,371.540009,360.589996,366.619995,2662600,352.835815
"2020-11-11",369.679993,374.700012,368.160004,372.920013,1688800,358.898987
"2020-11-12",376.950012,378.23999,373.5,375.709991,1535900,361.584106
"2020-11-13",376.519989,379.829987,374.98999,378.839996,1274600,364.596405
"2020-11-16",376.910004,381.279999,376.910004,379.790009,1691500,365.510712
"2020-11-17",387.320007,388.480011,381.790009,381.920013,3299100,367.560608
"2020-11-18",382.890015,388.049988,381.730011,382.230011,2134600,367.858948
"2020-11-19",383.609985,384.709991,380.309998,383.540009,1768900,369.11969
"2020-11-20",383.950012,385.5,381.01001,381.119995,1807600,366.79071
"2020-11-23",383,383.059998,380.339996,381.709991,1679600,367.358521
"2020-11-24",383.690002,386.049988,380.709991,384.220001,2061100,369.774139
"2020-11-25",385.790009,388.339996,385.559998,387.75,2034200,373.171417
"2020-11-27",390.459991,390.670013,387.75,388.390015,1329400,373.787354
"2020-11-30",391.75,393.149994,385.230011,391.769989,3733800,377.040283
"2020-12-01",384.5,388.070007,381.179993,387.559998,2996800,382.758514
"2020-12-02",385.470001,386.880005,381.570007,383.5,2212800,378.74881
"2020-12-03",378,378.730011,373.279999,374.049988,3976400,369.415924
"2020-12-04",375.209991,375.309998,371.890015,373.429993,2839700,368.803558
"2020-12-07",374.269989,376.5,372.649994,373.329987,2652900,368.704803
"2020-12-08",373.950012,379.519989,370.75,377.600006,2685500,372.921906
"2020-12-09",379.880005,381,372.799988,374.290009,2461600,369.652924
"2020-12-10",374.290009,375,371.559998,372.790009,2566300,368.171539
"2020-12-11",379.769989,379.769989,372.540009,375.100006,3483900,370.45285
"2020-12-14",376.559998,378.179993,373.209991,374.380005,2778400,369.741821
"2020-12-15",374.5,375.690002,369.299988,371.880005,2133900,367.272766
"2020-12-16",371.160004,372.839996,368.850006,369.440002,2385100,364.863037
"2020-12-17",370.26001,370.970001,368,370.290009,2314200,365.702515
"2020-12-18",371.100006,371.359985,365.929993,367,4140000,362.453247
"2020-12-21",365.089996,366.119995,361.809998,364.970001,2329700,360.448425
"2020-12-22",364.100006,364.76001,360.609985,362.029999,2105500,357.54483
"2020-12-23",362.450012,363.100006,359.5,361.890015,1782100,357.406586
"2020-12-24",361.410004,365.339996,361.410004,364.579987,972500,360.063202
"2020-12-28",365.5,371.690002,365.079987,371.059998,3207700,366.462952
"2020-12-29",372.25,373.26001,370.26001,372.720001,2072600,368.102386
"2020-12-30",374.200012,375.859985,373.279999,374.450012,1778000,369.810944
"2020-12-31",374.98999,377.040009,372.459991,376.779999,1628900,372.112091
"2021-01-04",377.429993,381.549988,374.809998,380.149994,3322200,375.440338
"2021-01-05",378.859985,380.209991,375.25,375.73999,2748400,371.08493
"2021-01-06",373.820007,375.799988,369.649994,370.019989,2661400,365.435852
"2021-01-07",371.01001,371.649994,366.790009,367.920013,2849500,363.361847
"2021-01-08",368.119995,370.26001,364.290009,369.940002,2599700,365.356842
"2021-01-11",368.579987,371,363.859985,364.01001,2562500,359.500336
"2021-01-12",364,365.070007,360.25,364.200012,2387600,359.687958
"2021-01-13",364.369995,368.73999,363,366.950012,1968800,362.40387
"2021-01-14",366,366.5,361.559998,362.350006,2363900,357.86087
"2021-01-15",361.059998,364.910004,360.799988,362.160004,2340400,357.673157
"2021-01-19",362.359985,362.950012,352.440002,354.470001,4533800,350.078461
"2021-01-20",354.390015,361.899994,353.410004,361.299988,2767200,356.823853
"2021-01-21",361.299988,363.98999,359.940002,362.799988,2121600,358.305267
"2021-01-22",363.200012,364.630005,359.850006,362.299988,1960300,357.811432
"2021-01-25",360.859985,361.959991,356.820007,361.880005,2735900,357.396667
"2021-01-26",360.200012,365.899994,358.880005,364.980011,1807000,360.458282
"2021-01-27",362.98999,365.799988,354.850006,356.390015,3120800,351.974731
"2021-01-28",356.850006,361.609985,356.070007,357.059998,2251100,352.636383
"2021-01-29",354.75,356.290009,351.880005,352.429993,2598700,348.063751
"2021-02-01",351.209991,352.790009,349.209991,350.519989,2371200,346.177429
"2021-02-02",351.76001,357.700012,350.720001,355.579987,1905000,351.174683
"2021-02-03",356.230011,357.529999,353.209991,355.209991,1759800,350.809326
"2021-02-04",356.709991,358.380005,353.850006,355.850006,3411600,352.135315
"2021-02-05",356.549988,356.850006,354.100006,355.170013,2165600,351.462463
"2021-02-08",356.570007,360.040009,355.570007,359.829987,2520700,356.073761
"2021-02-09",360.040009,361.670013,358.299988,359.559998,2154000,355.80661
"2021-02-10",361,361,355.119995,356.119995,2162400,352.402527
"2021-02-11",355.730011,356.5,351.390015,352.200012,2088400,348.523468
"2021-02-12",351.98999,352.980011,350.100006,352.75,2096600,349.067719
"2021-02-16",353.079987,355.359985,352.040009,354,1829000,350.304626
"2021-02-17",353.109985,358.170013,351.910004,358.040009,2143000,354.30249
"2021-02-18",352.279999,358.200012,352.279999,356.920013,1914900,353.194183
"2021-02-19",356.690002,357.929993,354.579987,354.769989,1839400,351.066589
"2021-02-22",352.75,353.290009,348.820007,350.209991,2215600,346.554169
"2021-02-23",349.799988,351,342.029999,342.149994,3692600,338.578339
"2021-02-24",341.790009,342.5,337.890015,340.700012,3305800,337.143463
"2021-02-25",340.850006,343,333.350006,333.899994,3618100,330.414398
"2021-02-26",335.51001,335.890015,330.940002,331,3362200,327.544708
"2021-03-01",335.209991,336,331.359985,331.769989,4653200,328.306702
"2021-03-02",333.690002,334.690002,328.420013,328.459991,4660100,325.03125
"2021-03-03",328.170013,328.420013,323.76001,323.920013,4064200,320.538635
"2021-03-04",323.369995,325.600006,315.040009,319.040009,5501200,315.709564
"2021-03-05",315.329987,318.429993,307,317.320007,8102800,314.007568
"2021-03-08",318.910004,322.329987,310.920013,311.420013,4873500,308.169159
"2021-03-09",313.76001,320.279999,312.709991,318.779999,5426800,315.452301
"2021-03-10",321.140015,327.390015,317.320007,323.829987,4523500,320.449524
"2021-03-11",330.410004,331.25,326.720001,328.649994,4338900,325.219238
"2021-03-12",328.100006,331.630005,325.600006,331.140015,3182100,327.683258
"2021-03-15",333.600006,333.679993,327.320007,330.51001,3243000,327.059875
"2021-03-16",329.670013,330.029999,326.640015,327.25,3066700,323.833862
"2021-03-17",326,330.5,324.119995,329.190002,2672400,325.753632
"2021-03-18",326.480011,328.140015,322.380005,322.980011,2736900,319.608459
"2021-03-19",323.609985,329.25,322.390015,328.910004,4859300,325.476532
"2021-03-22",328.450012,336.170013,328.190002,334.48999,4064900,330.99826
"2021-03-23",333.890015,342.51001,333.799988,340.339996,3641200,336.787231
"2021-03-24",342.220001,342.51001,336.829987,338.040009,3006400,334.51123
"2021-03-25",337.809998,347.779999,337.269989,346.339996,4307100,342.724609
"2021-03-26",346.209991,352.459991,344.100006,352.019989,3061200,348.345276
"2021-03-29",351.450012,357.769989,351.01001,356.149994,3012000,352.432159
"2021-03-30",353.579987,354.769989,348.839996,349.75,2602400,346.098999
"2021-03-31",350.660004,357.450012,349.230011,352.480011,2832200,348.800507
"2021-04-01",352.540009,357.320007,351.630005,354.940002,2938600,351.234833
"2021-04-05",357.5,362.670013,356.839996,360.820007,2705700,357.053436
"2021-04-06",359.799988,362.799988,359,360.119995,2142000,356.360748
"2021-04-07",360.869995,361.459991,357.609985,358.809998,1808400,355.064392
"2021-04-08",362.799988,366.019989,359.600006,361.220001,2839200,357.449249
"2021-04-09",360.910004,363.709991,359.600006,363.209991,1610800,359.418457
"2021-04-12",362.839996,365.25,361.339996,364.809998,1836600,361.001801
"2021-04-13",365.339996,367.299988,364.269989,365.209991,1796400,361.397614
"2021-04-14",364.850006,364.850006,362.549988,363.170013,1509400,359.378906
"2021-04-15",364.880005,369.549988,364.269989,368.799988,1850100,364.950134
"2021-04-16",369.700012,372.799988,368.579987,370.720001,2249200,366.850098
"2021-04-19",371,371.529999,368.200012,369.549988,1560000,365.692291
"2021-04-20",369,375.359985,368.730011,371.730011,2330700,367.849579
"2021-04-21",371.609985,374.579987,371.470001,374.089996,1531800,370.184906
"2021-04-22",374.339996,375.440002,370.029999,371.26001,2138000,367.384491
"2021-04-23",371.26001,374.850006,370.410004,373.279999,1404500,369.383392
"2021-04-26",373.899994,373.899994,368.209991,368.519989,2059700,364.673065
"2021-04-27",368.170013,370.959991,365.290009,370.209991,1875900,366.345398
"2021-04-28",369.549988,370.5,368.179993,369.589996,1305600,365.731934
"2021-04-29",368.540009,374.709991,368.529999,373.540009,1848300,370.432434
"2021-04-30",372.910004,374.160004,371.329987,372.089996,2118900,368.994537
"2021-05-03",373.839996,379.619995,372.890015,379.320007,2685800,376.164398
"2021-05-04",379.029999,379.230011,373.75,375.290009,2133800,372.167908
"2021-05-05",376.350006,377.519989,372.049988,372.5,1905300,369.401123
"2021-05-06",373.190002,382.940002,373.190002,382.76001,2641400,379.575745
"2021-05-07",382.829987,386.450012,382.200012,384.320007,1817100,381.122803
"2021-05-10",385.48999,387.890015,381.279999,381.480011,1998700,378.306396
"2021-05-11",379.309998,380.920013,376,378.179993,1859700,375.033844
"2021-05-12",376,376.940002,371.109985,372.200012,2344600,369.103607
"2021-05-13",373.089996,381.440002,371.570007,379.529999,2023100,376.37262
"2021-05-14",382.140015,385.820007,380.100006,384.420013,1876100,381.221954
"2021-05-17",385.040009,387.049988,382.899994,383.959991,1830800,380.765778
"2021-05-18",386.450012,389.450012,382.51001,382.809998,1698200,379.625305
"2021-05-19",377.149994,381.730011,376.130005,379.660004,1725000,376.501556
"2021-05-20",379.179993,384.519989,378.279999,383.579987,1427300,380.388916
"2021-05-21",385.049988,385.350006,380.429993,380.720001,1706600,377.552704
"2021-05-24",384.339996,385.76001,381.890015,383.450012,1657000,380.26001
"2021-05-25",383.619995,385.73999,382.029999,385.380005,1379700,382.17395
"2021-05-26",385.859985,387.75,385.019989,385.619995,1648000,382.411987
"2021-05-27",385.130005,387.769989,383.5,387.5,4452000,384.276306
"2021-05-28",384.149994,385.309998,377.029999,378.269989,4681200,375.123108
"2021-06-01",379.929993,380.200012,375.5,378.230011,2117800,375.083405
"2021-06-02",378.380005,381.920013,377.709991,380.589996,1881000,377.423767
"2021-06-03",379.640015,384.190002,378.859985,383.869995,1780300,380.676514
"2021-06-04",384.190002,387.76001,383.709991,387.519989,1765900,384.296143
"2021-06-07",385.470001,386.450012,378.570007,380.399994,2515800,377.235382
"2021-06-08",380.410004,381.209991,377.690002,379.700012,1553800,376.541229
"2021-06-09",380.209991,381.779999,379.130005,379.959991,1398900,376.799042
"2021-06-10",380.269989,383.359985,379.48999,383.01001,1404000,379.823669
"2021-06-11",383.859985,383.859985,380.529999,381.829987,1404200,378.653473
"2021-06-14",380.790009,383.980011,379.079987,383.76001,1652600,380.567444
"2021-06-15",383.76001,384.5,381.559998,383.910004,1252000,380.716187
"2021-06-16",384.399994,386.440002,377.119995,379.410004,1801700,376.253601
"2021-06-17",380.380005,386.470001,379.209991,384.75,1686500,381.549194
"2021-06-18",384.75,384.910004,380.299988,380.880005,3415700,377.711395
"2021-06-21",382.25,387.649994,380.559998,386.799988,1631600,383.582153
"2021-06-22",387.019989,392.5,386.559998,392.179993,1934800,388.917328
"2021-06-23",393,393.440002,390.589996,391.970001,1538000,388.709137
"2021-06-24",393.420013,395.5,391.799988,392.070007,1487300,388.808289
"2021-06-25",392.970001,394.549988,391.25,394.51001,2056100,391.227997
"2021-06-28",395,397.420013,393.130005,396.540009,1645500,393.241119
"2021-06-29",396.299988,399.440002,395.470001,398.790009,1523600,395.472412
"2021-06-30",397.970001,400.470001,395,395.670013,2031700,392.378387
"2021-07-01",396.299988,397.690002,393.880005,394.529999,1523400,391.247833
"2021-07-02",396.209991,400.769989,396.109985,398.940002,1676600,395.621155
"2021-07-06",399.839996,401.399994,397.109985,398.859985,2113100,395.541779
"2021-07-07",399.200012,406.119995,399.200012,404.679993,2308600,401.313416
"2021-07-08",403.5,408.640015,403.160004,407.149994,2235500,403.762848
"2021-07-09",408.549988,414,407.589996,412.369995,2304200,408.939423
"2021-07-12",414.040009,414.350006,404.529999,407.880005,2491300,404.486786
"2021-07-13",404.700012,409.290009,404.700012,407.059998,1540300,403.673615
"2021-07-14",408.579987,410.470001,407.26001,409.950012,1265800,406.539551
"2021-07-15",410.459991,412.200012,407.880005,411.820007,1894100,408.394012
"2021-07-16",412.119995,413.420013,409.769989,410.369995,1413900,406.956055
"2021-07-19",410.059998,415.320007,410.049988,414.149994,2293100,410.70459
"2021-07-20",414,418.070007,412.850006,416.23999,2045400,412.777222
"2021-07-21",417.109985,417.109985,412.220001,415.01001,1480000,411.557465
"2021-07-22",416,418.600006,413.549988,417.540009,1339200,414.066406
"2021-07-23",418.290009,423.98999,417.049988,423.429993,1344500,419.907379
"2021-07-26",423.399994,424.5,420.350006,423.230011,1220000,419.709106
"2021-07-27",424,424.559998,421.600006,424.339996,1666500,420.809814
"2021-07-28",423.269989,424.859985,420.540009,422.220001,1362700,418.707489
"2021-07-29",421.679993,425.850006,420.359985,425.279999,1434200,422.532593
"2021-07-30",425.980011,431.5,425.940002,429.720001,2283900,426.943909
"2021-08-02",430.619995,430.709991,425.480011,428.920013,1366900,426.149078
"2021-08-03",429.920013,436.799988,429.119995,435.070007,1448100,432.259369
"2021-08-04",436,437.98999,432.890015,435.040009,1280500,432.229553
"2021-08-05",437.75,443.5,436.730011,443.190002,1742600,440.326874
"2021-08-06",442.730011,443.459991,438.899994,439.630005,1789800,436.789917
"2021-08-09",440.649994,442.779999,439.309998,440.470001,1472500,437.624451
"2021-08-10",440.660004,443.799988,440.660004,443.029999,1893700,440.167908
"2021-08-11",445.5,448,441.799988,444.299988,2267500,441.429688
"2021-08-12",443,446.630005,442.25,445.359985,1230700,442.482849
"2021-08-13",445.779999,448.359985,444.540009,447.820007,1309300,444.927002
"2021-08-16",447.910004,453.190002,447.049988,452.859985,1515600,449.934418
"2021-08-17",452.859985,453.779999,449.700012,452.339996,1936700,449.417755
"2021-08-18",450.959991,455.23999,445.899994,446.209991,2030100,443.327362
"2021-08-19",442.950012,455.5,441.309998,454.26001,1953700,451.325378
"2021-08-20",455.48999,460.619995,453.660004,458.98999,1911200,456.024811
"2021-08-23",457.269989,459.059998,454.589996,454.929993,1835900,451.991058
"2021-08-24",455.25,455.390015,450.299988,451.790009,1541700,448.871338
"2021-08-25",450.829987,452.820007,447.320007,451.230011,1520600,448.314941
"2021-08-26",451.230011,452.480011,446.700012,449.309998,1418600,446.407379
"2021-08-27",449.309998,451.619995,446.799988,450.339996,1310200,447.430695
"2021-08-30",451.040009,456.589996,450.440002,455.929993,1219800,452.984589
"2021-08-31",456.140015,456.880005,452.440002,455.48999,1699000,452.547424
"2021-09-01",455.480011,456.679993,451.850006,456.519989,1325400,453.57077
"2021-09-02",459.420013,461.440002,458.390015,460.970001,1455000,457.992035
"2021-09-03",459,463.600006,459,462.549988,1302400,459.561829
"2021-09-07",462.5,463.200012,457.630005,459.600006,1463400,456.63089
"2021-09-08",459.109985,465.829987,458.079987,465.700012,1372000,462.691437
"2021-09-09",467.339996,469.769989,465.23999,465.940002,1398700,462.929962
"2021-09-10",467.170013,468.399994,463.200012,465.160004,1324800,462.154968
"2021-09-13",467.059998,468.23999,458.200012,459.660004,1679500,456.690491
"2021-09-14",460.950012,462.200012,457.420013,458.410004,1383900,455.448578
"2021-09-15",458.23999,462.25,456.140015,460.730011,1770300,457.753601
"2021-09-16",460.790009,463.769989,456.570007,463.309998,1577500,460.316925
"2021-09-17",461.619995,462.820007,457.019989,459.51001,3411400,456.541504
"2021-09-20",456.630005,460.950012,446.619995,451.140015,2602000,448.225555
"2021-09-21",451.140015,456.839996,450.160004,452.109985,1531300,449.18927
"2021-09-22",454.700012,455.350006,449.839996,452.329987,1380800,449.407837
"2021-09-23",452.299988,455.549988,451.100006,452.779999,2061200,449.854919
"2021-09-24",455.980011,468.720001,455,467.75,3353800,464.72821
"2021-09-27",465.549988,470.48999,457.23999,460.559998,2526000,457.584686
"2021-09-28",457.140015,457.5,445.670013,447.350006,2632700,444.460022
"2021-09-29",449.869995,456,448.899994,451.790009,1922000,448.871338
"2021-09-30",453.619995,455.359985,449.299988,449.350006,1836400,446.447113
"2021-10-01",449.730011,451.079987,440.76001,448.329987,1860700,445.433685
"2021-10-04",448.339996,449.350006,436.170013,440.140015,2264000,437.296631
"2021-10-05",439.579987,449.109985,439.25,446.23999,1808700,443.357208
"2021-10-06",443.929993,449.779999,442.380005,449.339996,1334600,446.437164
"2021-10-07",456.470001,459.589996,452.070007,452.869995,1966200,449.944336
"2021-10-08",455.440002,455.75,450,451.850006,1545800,448.930939
"2021-10-11",450.040009,453.690002,449.540009,449.700012,1011700,446.794861
"2021-10-12",450.149994,452.850006,445.75,446.869995,1380900,443.983124
"2021-10-13",448.540009,450.51001,444.070007,445.299988,1621500,442.423218
"2021-10-14",447.109985,451.700012,446.5,450.660004,1480400,447.748657
"2021-10-15",453.890015,453.940002,449.179993,452.390015,1494800,449.467468
"2021-10-18",449.609985,462.350006,448.5,461.950012,2141300,458.965698
"2021-10-19",463,467.160004,460.309998,467.079987,1365300,464.062561
"2021-10-20",468.519989,472.5,467.839996,469.769989,1352900,466.735168
"2021-10-21",469.769989,477.649994,469.079987,477.230011,1423300,474.146973
"2021-10-22",478.98999,485.029999,478.570007,481.98999,1710300,478.876251
"2021-10-25",481.98999,492.209991,479.5,490.100006,1903400,486.933838
"2021-10-26",482.130005,488.25,481.230011,485.529999,2378600,482.393372
"2021-10-27",483.850006,491.5,483.559998,489.109985,1741800,485.950226
"2021-10-28",486.959991,491.829987,486.480011,490.529999,1362400,488.149506
"2021-10-29",486.779999,494.170013,486.660004,491.540009,2471600,489.154602
"2021-11-01",494.149994,494.890015,487.200012,491.869995,1548700,489.483002
"2021-11-02",494.73999,499.48999,492.720001,496.98999,2012200,494.578156
"2021-11-03",501.339996,502.959991,495.75,502.329987,1856000,499.892242
"2021-11-04",507.01001,520.210022,506.01001,515.619995,2615000,513.117737
"2021-11-05",514.77002,517.900024,508.630005,513.119995,2071700,510.629913
"2021-11-08",513.409973,513.409973,500.200012,503.809998,2834800,501.365082
"2021-11-09",505.119995,509.100006,504.059998,508.709991,1881800,506.241272
"2021-11-10",508.26001,510.359985,503.769989,505.51001,1226600,503.056824
"2021-11-11",506.200012,512.5,504.040009,512.179993,1227300,509.694427
"2021-11-12",514.25,519.659973,513.22998,517.169983,1780200,514.660217
"2021-11-15",518.48999,523.099976,518.01001,519.890015,1392300,517.367065
"2021-11-16",519.840027,528.299988,517.409973,526.719971,1690700,524.163879
"2021-11-17",527.5,530.73999,524.51001,526.289978,1609400,523.735901
"2021-11-18",528.159973,530.799988,522.48999,529.369995,1664200,526.800964
"2021-11-19",534.080017,535.280029,528.01001,533.789978,1909800,531.199585
"2021-11-22",533.320007,545.419983,532.320007,539.650024,2190500,537.031189
"2021-11-23",537.960022,545.820007,533.77002,545.26001,2147000,542.613953
"2021-11-24",545.539978,550.830017,543.320007,549.72998,2316400,547.062195
"2021-11-26",549.549988,554.549988,544.309998,546.130005,1844800,543.479675
"2021-11-29",546.130005,560.780029,542.409973,554.880005,2919100,552.187195
"2021-11-30",551,557.169983,535.890015,539.380005,4244200,536.762451
"2021-12-01",543.099976,548.25,529.400024,529.840027,2877100,527.268799
"2021-12-02",518.51001,530.909973,514.039978,525.51001,3277500,522.959778
"2021-12-03",529.98999,537.5,524.77002,528.929993,2984400,526.363159
"2021-12-06",532.25,536.049988,527.570007,533.200012,2432900,530.612427
"2021-12-07",538.25,543,534.710022,542.02002,2579800,539.389709
"2021-12-08",546.210022,547.789978,525.549988,530.109985,3037500,527.537476
"2021-12-09",528.799988,532.330017,523.799988,524.330017,3200500,521.785461
"2021-12-10",534.710022,561.27002,534.609985,558.820007,6333600,556.108093
"2021-12-13",550.440002,559.75,547.97998,557.219971,3415200,554.515808
"2021-12-14",556.460022,557.169983,537.570007,545.340027,3494400,542.693542
"2021-12-15",546.210022,566.48999,545.530029,565.47998,2937100,562.735779
"2021-12-16",564.789978,566.549988,549.450012,552.630005,2683000,549.94812
"2021-12-17",549.320007,556.469971,540.97998,547.609985,5752000,544.952454
"2021-12-20",542.130005,549.140015,538.030029,548.559998,2033600,545.897949
"2021-12-21",550.5,551.780029,536.080017,545.429993,2472800,542.783081
"2021-12-22",545.380005,550,539.799988,549.669983,1454500,547.002502
"2021-12-23",551.73999,552.609985,547.48999,550.369995,1757800,547.699036
"2021-12-27",551.539978,565.73999,551.440002,563.469971,2262900,560.735535
"2021-12-28",563.429993,566.640015,560.700012,564.640015,1155000,561.899902
"2021-12-29",566.400024,571.48999,563.5,567.77002,1753000,565.014648
"2021-12-30",569.530029,569.880005,562.369995,563.909973,1338700,561.173401
"2021-12-31",563.409973,568.25,559.030029,567.700012,1509200,564.945007
"2022-01-03",565.030029,567.469971,555.51001,566.710022,2714100,563.959839
"2022-01-04",564.22998,568.719971,561.789978,564.22998,2097500,561.491882
"2022-01-05",563.690002,565.049988,549.77002,549.919983,2887500,547.251221
