"","COST.Open","COST.High","COST.Low","COST.Close","COST.Volume","COST.Adjusted"
"2020-07-01",302.5,305.579987,300.75,304.75,1906100,292.101227
"2020-07-02",306,308.920013,304.600006,305.73999,2540500,293.05014
"2020-07-06",307.529999,311.559998,307.23999,311.48999,2332400,298.561462
"2020-07-07",310.019989,318.049988,309.720001,316.230011,3346600,303.104736
"2020-07-08",317.140015,318.049988,314.01001,316.320007,2364500,303.19101
"2020-07-09",320,328.980011,319.679993,325.540009,5313600,312.02832
"2020-07-10",326,327.399994,323.109985,326.230011,2484100,312.689697
"2020-07-13",326.299988,329.109985,321.5,322.920013,2583200,309.51712
"2020-07-14",321.320007,328.660004,320.450012,328,1844800,314.38623
"2020-07-15",328.100006,329.320007,325.619995,326.700012,1770700,313.140198
"2020-07-16",326.619995,327.899994,324.059998,326.269989,1402000,312.727997
"2020-07-17",327.299988,327.799988,324.579987,324.790009,1768100,311.309448
"2020-07-20",324.890015,327.440002,322.660004,326.51001,1863300,312.958069
"2020-07-21",327,331.48999,326.5,327.73999,1874200,314.136993
"2020-07-22",329.649994,329.660004,325.01001,328.299988,1312600,314.673798
"2020-07-23",328.100006,330.380005,325.329987,326.109985,1561700,312.574677
"2020-07-24",326.220001,328.75,324.670013,325.779999,1423400,312.258331
"2020-07-27",325.679993,329,325.179993,327.600006,2083300,314.002838
"2020-07-28",327.970001,330,325.820007,327.570007,1374000,313.97406
"2020-07-29",327.019989,328.040009,325.390015,326.140015,1341300,312.603455
"2020-07-30",322.690002,326.450012,322,324.820007,1390300,312.007904
"2020-07-31",324.820007,326.309998,322.549988,325.529999,2149900,312.68985
"2020-08-03",325.549988,329.890015,324.299988,329.320007,2480200,316.330353
"2020-08-04",329.559998,339.820007,328.920013,339.790009,3933300,326.387421
"2020-08-05",341.859985,342.730011,337.589996,339.970001,2923700,326.560272
"2020-08-06",342.410004,345.119995,341.609985,343.309998,2104300,329.768524
"2020-08-07",343.140015,344.730011,339.630005,340.910004,1759000,327.463226
"2020-08-10",340.709991,341.070007,338.579987,340,1503800,326.589111
"2020-08-11",340.850006,340.850006,331.799988,332.429993,2065600,319.317719
"2020-08-12",333.75,338.899994,333.170013,336.76001,1853900,323.476898
"2020-08-13",336.98999,339.459991,335.130005,335.700012,1536500,322.45871
"2020-08-14",336.529999,338.76001,335.600006,336.279999,1522900,323.015839
"2020-08-17",337.649994,340.369995,337.359985,339.959991,1504700,326.550659
"2020-08-18",341,342.799988,336.809998,340.75,1489400,327.309509
"2020-08-19",341.119995,341.940002,339.950012,340.899994,1730100,327.453613
"2020-08-20",340.140015,341.660004,338.73999,340.869995,1717500,327.424744
"2020-08-21",340.070007,345.839996,339.329987,344.609985,2372600,331.017273
"2020-08-24",345.109985,346.109985,342.109985,344.130005,1461500,330.556244
"2020-08-25",344.140015,344.910004,341.459991,344.709991,1176200,331.113312
"2020-08-26",343.01001,344.829987,341.690002,344.269989,1757000,330.690674
"2020-08-27",345.609985,347.73999,342.549988,346.359985,2220700,332.698273
"2020-08-28",347.470001,349.059998,345.5,348.369995,1487300,334.628998
"2020-08-31",346.850006,348.75,344.290009,347.660004,1586900,333.94696
"2020-09-01",345.709991,351.48999,345.410004,351.380005,1773700,337.520233
"2020-09-02",353.609985,359.920013,351.309998,358.859985,2434900,344.70517
"2020-09-03",363.070007,363.670013,345.519989,348.299988,3630400,334.561707
"2020-09-04",353.980011,353.980011,340.399994,346.570007,2557000,332.899963
"2020-09-08",343.839996,344.920013,338.179993,338.859985,2144300,325.494049
"2020-09-09",340.899994,349.700012,340.390015,346.429993,2100900,332.765472
"2020-09-10",346.269989,348,338.76001,339.529999,1959600,326.137634
"2020-09-11",340.279999,343.26001,336.100006,339.130005,1599600,325.753418
"2020-09-14",340.98999,344.839996,340.470001,342.920013,1522300,329.393951
"2020-09-15",345.019989,347.76001,342.75,343.910004,1362500,330.344849
"2020-09-16",347.269989,348.76001,343.25,343.730011,1656500,330.171967
"2020-09-17",339.579987,342.890015,336.369995,338.880005,2681500,325.513245
"2020-09-18",340.200012,341.220001,331.200012,335.959991,3409300,322.708435
"2020-09-21",333.970001,339.619995,333.709991,339.570007,2427400,326.176086
"2020-09-22",340.700012,344.899994,339.589996,344.450012,2128100,330.863647
