"","AKAM.Open","AKAM.High","AKAM.Low","AKAM.Close","AKAM.Volume","AKAM.Adjusted"
"2020-11-10",98.410004,98.559998,95.040001,96.68,2129400,96.68
"2020-11-11",98.32,99.120003,96.800003,97.199997,1878000,97.199997
"2020-11-12",97.089996,98.989998,96.610001,98.230003,1722300,98.230003
"2020-11-13",98.739998,101.779999,98.730003,101.529999,2117900,101.529999
"2020-11-16",100.279999,102.019997,100.209999,101.68,1003000,101.68
"2020-11-17",102.029999,103.190002,100.790001,102.449997,1470500,102.449997
"2020-11-18",102.830002,102.989998,100.550003,100.589996,1189100,100.589996
"2020-11-19",100.919998,102.050003,99.68,101.5,976800,101.5
"2020-11-20",102,104.160004,102,102.32,1494300,102.32
"2020-11-23",101.879997,103.050003,101.129997,102.809998,940600,102.809998
"2020-11-24",103.370003,103.370003,101.339996,102.519997,1460500,102.519997
"2020-11-25",102.489998,104.139999,102.370003,103.739998,873400,103.739998
"2020-11-27",103.919998,105.309998,103.419998,104.32,725200,104.32
"2020-11-30",104.459999,104.459999,103.059998,103.510002,2355300,103.510002
"2020-12-01",103.169998,104.360001,101.959999,104.209999,1768900,104.209999
"2020-12-02",103.400002,104.449997,102.459999,103.459999,1083900,103.459999
"2020-12-03",103.050003,104.5,102.5,104.089996,727500,104.089996
"2020-12-04",103.330002,105.209999,103.330002,104.190002,1370200,104.190002
"2020-12-07",103.82,104.75,102.510002,102.779999,1114900,102.779999
"2020-12-08",102.830002,104.669998,102.68,104.099998,1077000,104.099998
"2020-12-09",104.019997,105.099998,103.129997,104.43,1509100,104.43
"2020-12-10",103.620003,104.120003,102.559998,103.410004,2501500,103.410004
"2020-12-11",103,104.279999,102.5,103.529999,1110300,103.529999
"2020-12-14",104.43,105.309998,103.220001,103.269997,1414000,103.269997
"2020-12-15",103.389999,104.18,102.769997,103.870003,953100,103.870003
"2020-12-16",104.239998,106.129997,104,104.519997,1392500,104.519997
"2020-12-17",104.980003,106.080002,104.459999,105.610001,1601000,105.610001
"2020-12-18",106.059998,107.349998,105.010002,107.080002,2678100,107.080002
"2020-12-21",107.209999,107.580002,104.580002,105.980003,1288200,105.980003
"2020-12-22",106.769997,106.769997,105.339996,106.639999,1298600,106.639999
"2020-12-23",106.949997,108.209999,106.800003,107.059998,1051300,107.059998
"2020-12-24",108.599998,108.599998,106.43,107.459999,410300,107.459999
"2020-12-28",107.589996,108.220001,106.75,107.279999,2851700,107.279999
"2020-12-29",107.099998,108.940002,106.5,106.709999,744100,106.709999
"2020-12-30",106.709999,106.949997,104.5,104.650002,2098400,104.650002
"2020-12-31",104.809998,105.07,103.940002,104.989998,815200,104.989998
"2021-01-04",105.169998,106.43,103.769997,105.239998,1823300,105.239998
"2021-01-05",104.330002,105.519997,104.260002,105.419998,988300,105.419998
"2021-01-06",104.309998,105.050003,101.5,101.529999,2295700,101.529999
"2021-01-07",102,103.18,101.440002,102.809998,1662700,102.809998
"2021-01-08",103.279999,103.949997,102.099998,103.459999,1974800,103.459999
"2021-01-11",103.25,103.400002,102.059998,102.370003,1276200,102.370003
"2021-01-12",102.379997,103.029999,100.699997,101.68,1797900,101.68
"2021-01-13",102.480003,102.720001,101.449997,101.68,1580000,101.68
"2021-01-14",101.519997,103.160004,101.150002,102.849998,2470900,102.849998
"2021-01-15",103.339996,107.040001,103.220001,106.449997,3108900,106.449997
"2021-01-19",107.379997,110.07,107.290001,110.010002,2320200,110.010002
"2021-01-20",111.959999,111.959999,108.900002,109.360001,1191100,109.360001
"2021-01-21",109.32,111.25,108.169998,109.949997,1569800,109.949997
"2021-01-22",109.900002,110.150002,108.860001,109.059998,1416500,109.059998
"2021-01-25",109.150002,111.760002,109.120003,111.330002,2345400,111.330002
"2021-01-26",112.029999,117.220001,111.5,117,2496700,117
"2021-01-27",117.269997,124.910004,116.050003,120.440002,5221000,120.440002
"2021-01-28",120.75,121.110001,112.309998,112.779999,3648400,112.779999
"2021-01-29",111.629997,116.199997,110.910004,111.029999,2430200,111.029999
"2021-02-01",112.800003,112.809998,109.220001,111.650002,1402600,111.650002
"2021-02-02",112,112.889999,110.779999,112.209999,1714200,112.209999
"2021-02-03",113,113.190002,111.349998,111.599998,1133200,111.599998
"2021-02-04",112.510002,113.059998,111.059998,112.110001,945800,112.110001
"2021-02-05",112.769997,114.879997,111.800003,114.669998,1288500,114.669998
"2021-02-08",115.470001,117.839996,114.830002,117.279999,1443000,117.279999
"2021-02-09",117.550003,118.629997,115.980003,117.970001,2022100,117.970001
"2021-02-10",107.360001,110.169998,103.480003,105.099998,9341100,105.099998
"2021-02-11",105.910004,105.949997,100.459999,101.459999,5569400,101.459999
"2021-02-12",102.389999,102.389999,100.519997,101.589996,2433600,101.589996
"2021-02-16",102.25,102.519997,98.5,98.879997,2894800,98.879997
"2021-02-17",99,102.110001,98.599998,101.949997,2476200,101.949997
"2021-02-18",101.220001,101.550003,99.360001,99.699997,2181900,99.699997
"2021-02-19",100.029999,100.610001,98.720001,98.860001,2398000,98.860001
"2021-02-22",98.779999,99.690002,97.120003,98.059998,2363300,98.059998
"2021-02-23",96.730003,98.260002,95.400002,97.639999,1948700,97.639999
"2021-02-24",97.370003,98.290001,95.059998,97.540001,2463000,97.540001
"2021-02-25",98.459999,99.220001,94.919998,95.489998,2422200,95.489998
"2021-02-26",96,96.57,94.129997,94.5,2696100,94.5
"2021-03-01",96.290001,96.580002,94.5,95.940002,1963100,95.940002
"2021-03-02",98.349998,98.559998,95.839996,95.860001,1669200,95.860001
"2021-03-03",95.230003,95.830002,92.660004,93.410004,1887300,93.410004
