"","WRB.Open","WRB.High","WRB.Low","WRB.Close","WRB.Volume","WRB.Adjusted"
"2021-11-29",54.226665,54.226665,52.946667,52.98,759300,51.659054
"2021-11-30",52.419998,52.713333,50.926666,51.093334,2497350,49.819431
"2021-12-01",51.946667,52.486668,50.439999,50.473331,966450,49.214886
"2021-12-02",50.913334,52.900002,50.633331,52.566666,1221900,51.256027
"2021-12-03",52.566666,52.686668,51.486668,51.813332,879600,50.521473
"2021-12-06",51.933334,53,51.84,52.473331,818850,51.919903
"2021-12-07",52.686668,53.433334,52.68,53.18,948750,52.619118
"2021-12-08",53.099998,53.646667,52.913334,53.266666,595500,52.704868
"2021-12-09",53.473331,53.533333,52.473331,53.186668,943650,52.625717
"2021-12-10",53.646667,54,53.326668,53.959999,684600,53.390892
"2021-12-13",53.886665,54.113335,53.206669,53.746666,754050,53.17981
"2021-12-14",53.893333,54.900002,53.5,54.32,1221000,53.747093
"2021-12-15",54.5,54.693333,53.986668,54.446667,834150,53.872425
"2021-12-16",55.193333,55.426666,54.619999,54.746666,1145850,54.169262
"2021-12-17",54.599998,54.619999,53.560001,53.599998,2111400,53.034687
"2021-12-20",53.060001,53.186668,51.900002,52.5,998400,51.946293
"2021-12-21",53,53.646667,52.586666,53.026669,1114500,52.467403
"2021-12-22",52.82,53.306667,52.733334,53.099998,835800,52.539963
"2021-12-23",53.406666,53.84,53.193333,53.446667,625200,52.882973
"2021-12-27",53.453335,54.333332,53.313332,54.240002,487950,53.667942
"2021-12-28",54.133331,55.033333,54.133331,54.646667,606300,54.070316
"2021-12-29",54.726665,55.32,54.726665,55.013332,591150,54.433117
"2021-12-30",55.206669,55.366669,54.313332,54.353333,568050,53.780079
"2021-12-31",54.346668,55.246666,54.346668,54.926666,886200,54.347363
"2022-01-03",55.133331,55.233334,53.740002,54.173332,679650,53.601974
"2022-01-04",54.626667,55.333332,54.459999,54.98,1028850,54.400135
"2022-01-05",55.366669,55.393333,54.353333,54.366669,847950,53.79327
"2022-01-06",55.5,55.533333,54.893333,55.293331,824550,54.710159
"2022-01-07",55.286667,56.533333,55.286667,56.386665,866250,55.791962
