"","MMM.Open","MMM.High","MMM.Low","MMM.Close","MMM.Volume","MMM.Adjusted"
"2020-08-14",164.610001,166.300003,164.520004,166.100006,1607300,155.087891
"2020-08-17",165.169998,166.369995,163.649994,164.710007,2068100,153.790054
"2020-08-18",164.429993,165.440002,163.759995,164.380005,1519100,153.481934
"2020-08-19",164.940002,165.690002,163.779999,163.970001,2012800,153.099106
"2020-08-20",163.020004,163.660004,162.380005,162.970001,1990300,152.16539
"2020-08-21",160.929993,162.690002,160.740005,161.710007,2005600,152.363266
"2020-08-24",161.550003,163.949997,161.149994,163.529999,2604400,154.078079
"2020-08-25",164.860001,165.25,162.419998,163.100006,1938500,153.672928
"2020-08-26",162.869995,164.770004,161.690002,163.899994,2503400,154.426697
"2020-08-27",164.5,165.360001,163.179993,164.080002,2325900,154.596283
"2020-08-28",164.639999,166.169998,163.919998,165.660004,3046300,156.084961
"2020-08-31",165.160004,165.75,162.089996,163.020004,2881100,153.597549
"2020-09-01",162.169998,165.550003,161.639999,164.800003,2901100,155.274658
"2020-09-02",165.160004,170,165.139999,169.509995,3943700,159.712418
"2020-09-03",170,170.419998,164.990005,166.309998,3481300,156.697372
"2020-09-04",168.179993,169.110001,163.899994,165.770004,3267000,156.188614
"2020-09-08",165.580002,165.630005,161.880005,163.169998,2863900,153.738876
"2020-09-09",164,167.339996,164,165.699997,2721700,156.12265
"2020-09-10",166.240005,166.669998,162.75,163.149994,2054200,153.720032
"2020-09-11",163.440002,166.699997,163.059998,166.169998,1698500,156.565491
"2020-09-14",167.660004,169.429993,166.429993,168.460007,2264200,158.723129
"2020-09-15",169.869995,169.929993,166.169998,166.570007,2056300,156.942383
"2020-09-16",167.869995,171.100006,167.509995,169.509995,2931700,159.712418
"2020-09-17",168,173.199997,167.190002,172.380005,2756100,162.416565
"2020-09-18",172.059998,172.779999,169.470001,169.550003,4084500,159.750137
"2020-09-21",165.979996,166.669998,159.639999,161.360001,3911700,152.033493
"2020-09-22",161.059998,163.669998,160.419998,162.339996,2103800,152.956833
"2020-09-23",162.520004,164.240005,159.119995,159.509995,2248200,150.290421
"2020-09-24",159.399994,161.960007,158.070007,160.419998,1569700,151.147827
"2020-09-25",159.309998,160.979996,158.860001,160.270004,1948900,151.006516
"2020-09-28",162,164.139999,161.330002,161.660004,2098500,152.316147
"2020-09-29",161.669998,161.949997,158.779999,159.809998,2006700,150.573074
"2020-09-30",160.929993,163.100006,158.610001,160.179993,3056900,150.921707
"2020-10-01",160.669998,161.899994,157.720001,158.789993,1989100,149.61203
"2020-10-02",156.470001,161.940002,156.25,160.360001,1768600,151.091309
"2020-10-05",162.25,163.5,161.759995,162.75,1457000,153.34317
"2020-10-06",163.440002,165.699997,161.830002,162.229996,2021900,152.85321
"2020-10-07",165.100006,167.75,164.410004,166.490005,2155400,156.867004
"2020-10-08",167.300003,168.149994,166.130005,167.710007,1902600,158.016464
