"","MTD.Open","MTD.High","MTD.Low","MTD.Close","MTD.Volume","MTD.Adjusted"
"2020-10-05",979.950012,993.059998,979.950012,990.429993,100400,990.429993
"2020-10-06",992.280029,1009.950012,992.280029,993.849976,116800,993.849976
"2020-10-07",977.02002,1013.22998,977.02002,1011.27002,108100,1011.27002
"2020-10-08",1015.450012,1024.920044,1011.859985,1012.080017,92200,1012.080017
"2020-10-09",1021.109985,1029.619995,1015.26001,1025.459961,93000,1025.459961
"2020-10-12",1027.599976,1033.900024,1022.700012,1025.75,80300,1025.75
"2020-10-13",1025,1033.469971,1020.47998,1028.660034,75800,1028.660034
"2020-10-14",1030.01001,1044.829956,1019.909973,1022.390015,94200,1022.390015
"2020-10-15",1012.080017,1024.380005,1012.080017,1018.530029,67200,1018.530029
"2020-10-16",1027.130005,1042.23999,1024.069946,1029.77002,74700,1029.77002
"2020-10-19",1029.300049,1036.180054,1014.22998,1018.700012,63500,1018.700012
"2020-10-20",1023.119995,1049.390015,1023.119995,1030.609985,76300,1030.609985
"2020-10-21",1034.119995,1043.01001,1030.280029,1031.939941,58500,1031.939941
"2020-10-22",1037.670044,1068.439941,1037.670044,1063.22998,115200,1063.22998
"2020-10-23",1067.98999,1078.97998,1050.23999,1053.199951,96700,1053.199951
"2020-10-26",1046.23999,1054.5,1033.680054,1045.290039,68100,1045.290039
"2020-10-27",1050.869995,1064.060059,1045.290039,1052.579956,131100,1052.579956
"2020-10-28",1037.670044,1043.869995,1008.380005,1009.26001,111500,1009.26001
"2020-10-29",1011.01001,1017.119995,999.52002,1003.789978,113600,1003.789978
"2020-10-30",995.859985,1007.159973,985.049988,997.909973,91200,997.909973
"2020-11-02",1018.880005,1048.910034,1017.669983,1043.25,154800,1043.25
"2020-11-03",1055.310059,1080.939941,1055.310059,1065.5,97300,1065.5
"2020-11-04",1082.170044,1098.920044,1075.660034,1080.22998,128800,1080.22998
"2020-11-05",1102.219971,1110.060059,1089.349976,1103.73999,169200,1103.73999
"2020-11-06",1205.75,1228.410034,1156.609985,1181.109985,229800,1181.109985
"2020-11-09",1182.47998,1215.430054,1174.219971,1179.579956,186000,1179.579956
