"","PXD.Open","PXD.High","PXD.Low","PXD.Close","PXD.Volume","PXD.Adjusted"
"2020-07-01",98,99.279999,94.330002,95.5,1696000,86.802986
"2020-07-02",98,98.860001,96.220001,96.800003,1222400,87.984604
"2020-07-06",98.790001,100.389999,97.720001,98.720001,1371300,89.729744
"2020-07-07",97.400002,98.639999,95.910004,96.07,1373300,87.321068
"2020-07-08",96.650002,97.82,95.07,96.589996,1695300,87.793709
"2020-07-09",96.18,97.120003,91.400002,91.480003,1354000,83.149078
"2020-07-10",91.080002,92.720001,90.400002,92.440002,2154500,84.02166
"2020-07-13",93.339996,93.540001,90.199997,91,1545200,82.712799
"2020-07-14",90.269997,95.980003,90.019997,95.660004,1801200,86.948418
"2020-07-15",96.949997,98.209999,95.629997,96.589996,1834500,87.793709
"2020-07-16",96.150002,98.120003,94.769997,96.82,969100,88.002777
"2020-07-17",97.330002,98.589996,96.410004,96.519997,1089000,87.73008
"2020-07-20",96.410004,99.120003,95.449997,96.910004,1439600,88.084587
"2020-07-21",98.709999,103.360001,98.709999,102.720001,2062900,93.365471
"2020-07-22",100.919998,103.019997,99.239998,102.510002,1581400,93.174591
"2020-07-23",101.480003,102.059998,99.830002,100.660004,1198100,91.493073
"2020-07-24",101.110001,102.419998,99.110001,99.68,855900,90.60231
"2020-07-27",99.68,100.019997,97.769997,98.519997,940500,89.547958
"2020-07-28",97.629997,98.68,96.190002,96.550003,846500,87.75737
"2020-07-29",96.790001,98.550003,96.080002,98.540001,1130600,89.566139
"2020-07-30",96.029999,97.07,93.93,95.849998,1052500,87.121109
"2020-07-31",94.839996,97.040001,94.5,96.919998,1223700,88.093666
"2020-08-03",97.900002,99.300003,96.160004,97.839996,1208100,88.929878
"2020-08-04",97.589996,100.379997,97.209999,99.519997,1614300,90.456886
"2020-08-05",101.650002,103.989998,99.599998,102.650002,2167100,93.301842
"2020-08-06",101.889999,103.870003,101.68,102.360001,1322300,93.038254
"2020-08-07",101.25,104.620003,99.309998,104.279999,1554900,94.783409
"2020-08-10",104.93,109.440002,104.540001,108.989998,1907300,99.064468
"2020-08-11",111.010002,111.949997,106.209999,106.559998,1603900,96.855766
"2020-08-12",109.220001,111.480003,107.800003,110.5,1463700,100.436958
"2020-08-13",109.769997,111.709999,109.510002,109.940002,1719000,99.927963
"2020-08-14",108.949997,110.900002,108.610001,110.730003,1032900,100.646011
"2020-08-17",111,111.18,107.480003,108.610001,1272800,98.719078
"2020-08-18",108.260002,109.230003,107.139999,107.699997,1334000,97.891953
"2020-08-19",107.239998,107.900002,104.32,104.769997,1386600,95.228783
"2020-08-20",103.129997,104.669998,102.620003,102.669998,1082500,93.32003
"2020-08-21",102.580002,103.699997,101.980003,102.110001,1360000,92.811028
"2020-08-24",102.839996,105.949997,102.529999,104.75,1492000,95.210609
"2020-08-25",106.25,107.279999,105.089996,106.919998,1164600,97.182991
"2020-08-26",106,106.900002,104.290001,104.410004,1045600,94.901566
"2020-08-27",105.010002,105.839996,104.099998,105.379997,811000,95.783226
"2020-08-28",106,106,103.959999,105.599998,792000,95.9832
"2020-08-31",105.599998,105.809998,103.169998,103.93,1439500,94.465271
"2020-09-01",103.419998,103.870003,102.089996,102.980003,1281000,93.601807
"2020-09-02",102.790001,102.790001,100.599998,100.919998,1299600,91.729385
"2020-09-03",100.309998,101.580002,97.870003,98.379997,1544600,89.4207
"2020-09-04",99.360001,100.650002,97.459999,99.099998,917000,90.075134
"2020-09-08",97.43,97.43,93.449997,94.360001,1664500,85.766792
"2020-09-09",95.730003,97.730003,95.199997,96.599998,1146300,87.802818
"2020-09-10",96.57,96.57,91.059998,91.449997,1630800,83.121811
"2020-09-11",92.230003,92.940002,91.199997,92.07,1810400,83.685349
"2020-09-14",92.540001,94.660004,91.25,93.349998,1655300,84.848778
"2020-09-15",93.870003,95.699997,93.540001,94.629997,1286800,86.012215
"2020-09-16",95.349998,99.32,95.080002,97.550003,2134600,88.666321
"2020-09-17",95.779999,97.809998,94.809998,97.080002,1796200,88.239098
"2020-09-18",96.300003,97.699997,94.830002,95.779999,2393300,87.05748
"2020-09-21",93.25,93.809998,90.449997,91.919998,1804700,83.548996
"2020-09-22",91.919998,93.68,91.279999,92.519997,1578500,84.094368
"2020-09-23",92.25,92.959999,86.82,86.900002,1444700,78.986168
"2020-09-24",86.470001,88.18,85.080002,86.559998,1652900,78.677132
"2020-09-25",85.57,86.5,84.540001,85.900002,1219000,78.07724
"2020-09-28",88.050003,89.199997,86.730003,88.309998,1749000,80.267769
"2020-09-29",87.559998,87.730003,83.900002,86.400002,1402500,79.023872
