"","FRT.Open","FRT.High","FRT.Low","FRT.Close","FRT.Volume","FRT.Adjusted"
"2020-07-01",85.779999,87.610001,85.449997,87.459999,764400,80.594452
"2020-07-02",89.699997,90.089996,84.849998,85.540001,337100,78.82518
"2020-07-06",87.629997,88.029999,85.440002,86.120003,476400,79.359657
"2020-07-07",84.400002,84.629997,82.260002,82.32,339600,75.857941
"2020-07-08",82.400002,82.959999,80.220001,80.260002,659600,73.959663
"2020-07-09",80.300003,80.360001,76.809998,78.870003,702100,72.678764
"2020-07-10",78.620003,80.860001,78.620003,79.949997,473400,73.673988
"2020-07-13",80.730003,81.400002,78.790001,80.18,448200,73.885941
"2020-07-14",80.18,81.029999,77.690002,78,553400,71.877052
"2020-07-15",80.410004,81.110001,79,80.970001,557000,74.613937
"2020-07-16",80.160004,80.43,78.669998,79.480003,519300,73.240883
"2020-07-17",79.68,79.879997,77.860001,78.43,608400,72.273293
"2020-07-20",77.940002,78.459999,75.040001,75.040001,570000,69.149429
"2020-07-21",75,76.18,74.099998,74.43,610800,68.587311
"2020-07-22",74,75.900002,73.339996,75.18,603800,69.278435
"2020-07-23",74.760002,75.730003,73.110001,73.839996,579000,68.043617
"2020-07-24",74.230003,74.43,72.739998,72.989998,677600,67.260345
"2020-07-27",72.550003,74,70.709999,73.629997,1216000,67.850098
"2020-07-28",73.690002,76.830002,73.099998,76.129997,685500,70.153854
"2020-07-29",77.07,77.75,74.629997,77.489998,1034900,71.407082
"2020-07-30",76.199997,77.93,74.400002,77,878900,70.955566
"2020-07-31",76.639999,76.660004,74.43,76.300003,3247700,70.310516
"2020-08-03",75.519997,75.93,73.260002,75.669998,713200,69.729965
"2020-08-04",75.580002,77.43,75.18,76.620003,577900,70.6054
"2020-08-05",76.980003,77.419998,75.18,76.18,458600,70.199936
"2020-08-06",75.080002,77.120003,73.830002,76.419998,997200,70.421089
"2020-08-07",75.660004,78.839996,74.75,78.809998,566400,72.623474
"2020-08-10",79,81.790001,78.800003,80.230003,464300,73.932007
"2020-08-11",81.900002,83.309998,81.269997,82.18,689200,75.728928
"2020-08-12",82.540001,83.620003,81.669998,83.480003,650600,76.926888
"2020-08-13",82.800003,83.470001,82.129997,82.209999,508700,75.756584
"2020-08-14",82,83.449997,81.150002,81.879997,307000,75.452484
"2020-08-17",81.879997,82.790001,81.080002,82.449997,321900,75.977745
"2020-08-18",82.230003,82.230003,79.559998,80.32,404700,74.014938
"2020-08-19",80.480003,80.519997,77.980003,78.139999,538900,72.006065
"2020-08-20",78.139999,80.82,78,80.510002,478200,74.190041
"2020-08-21",80.650002,81.040001,79.099998,80.32,455300,74.014938
"2020-08-24",80.32,81.959999,79.25,81.93,331500,75.498558
"2020-08-25",81.970001,82.559998,80.669998,81.760002,333500,75.341911
"2020-08-26",81.529999,81.610001,79.290001,79.769997,423600,73.50811
"2020-08-27",80.410004,82.199997,80.209999,81.410004,312900,75.019379
"2020-08-28",79.839996,80.559998,79.050003,80.449997,406000,74.134743
"2020-08-31",80.599998,80.970001,78.849998,79.239998,564200,73.019714
"2020-09-01",78.620003,80.400002,77.879997,79.529999,527600,73.286964
"2020-09-02",79.290001,81.440002,78.510002,81.300003,508700,74.918022
"2020-09-03",81.790001,84.110001,81.43,82.349998,599000,75.885574
"2020-09-04",82.370003,83.900002,81.089996,82.059998,702200,75.618355
"2020-09-08",81.419998,82.099998,79.559998,80.269997,728100,73.968857
"2020-09-09",80.980003,81.779999,79.099998,79.389999,678200,73.157951
"2020-09-10",78.959999,79.82,78,78.029999,586000,71.904709
"2020-09-11",78.139999,78.209999,75.919998,77.150002,607600,71.093781
"2020-09-14",78.029999,80.620003,77.739998,80.519997,546200,74.199242
"2020-09-15",80.519997,82.209999,80.360001,81.160004,585900,74.789009
"2020-09-16",81.5,83.959999,80.650002,83.580002,678800,77.019035
"2020-09-17",82.519997,84,81.720001,83.650002,817800,77.083542
"2020-09-18",83.559998,83.730003,81.519997,81.739998,1662600,75.323479
"2020-09-21",79.099998,79.610001,73.050003,73.279999,1211000,68.414772
"2020-09-22",73.699997,76.099998,73.610001,73.82,762200,68.91893
"2020-09-23",73.739998,74.959999,71.349998,71.459999,975700,66.715599
"2020-09-24",71.269997,72.989998,70.690002,72.339996,599500,67.537186
"2020-09-25",72.300003,73.580002,71.589996,73.129997,424000,68.274734
"2020-09-28",74.540001,75.809998,74.129997,74.940002,587600,69.964561
"2020-09-29",74.580002,74.639999,71.75,72.989998,431400,68.144028
"2020-09-30",73.739998,74.550003,72.300003,73.440002,637800,68.564156
"2020-10-01",74.360001,76.099998,73.599998,76.050003,503400,71.000877
"2020-10-02",74.459999,78.910004,74.080002,78.43,576100,73.222855
"2020-10-05",79.099998,79.639999,77.510002,78.550003,368000,73.334892
"2020-10-06",79.260002,80.099998,77.739998,78.400002,365600,73.194855
"2020-10-07",78.629997,79.010002,77.010002,77.650002,343100,72.494644
"2020-10-08",78.230003,79.760002,77.900002,79.720001,297900,74.427216
"2020-10-09",80.300003,80.339996,78.129997,78.379997,412900,73.176178
"2020-10-12",78.949997,79.660004,77.559998,78.82,428700,73.586975
"2020-10-13",78.82,79.019997,76.199997,76.93,529600,71.822449
"2020-10-14",76.849998,77.75,75.519997,75.639999,372500,70.618088
