"","AMT.Open","AMT.High","AMT.Low","AMT.Close","AMT.Volume","AMT.Adjusted"
"2020-07-01",259.320007,266.709991,258.149994,265.390015,1207200,254.665909
"2020-07-02",268.049988,268.630005,262.529999,264.209991,1175700,253.533585
"2020-07-06",268,268.950012,264.570007,265.970001,1504600,255.222458
"2020-07-07",264.019989,269.730011,262.589996,265.970001,1289800,255.222458
"2020-07-08",266.829987,269.369995,261.529999,264.700012,1389000,254.003784
"2020-07-09",262.980011,266.970001,260.410004,265.600006,1143400,254.867401
"2020-07-10",266.5,267.600006,263.100006,264.350006,911400,253.667923
"2020-07-13",262.73999,264.690002,254.509995,255.929993,1791700,245.588135
"2020-07-14",256.230011,259.820007,253.75,258.940002,1877500,248.476532
"2020-07-15",262.309998,262.339996,256.380005,257.269989,1301000,246.874008
"2020-07-16",257.200012,257.75,253.149994,257.480011,1475200,247.075531
"2020-07-17",258.5,261.01001,254.75,259.109985,1291900,248.639633
"2020-07-20",260.179993,262.149994,257.109985,260.529999,1422200,250.002274
"2020-07-21",263,263,257.980011,259.209991,1161900,248.735611
"2020-07-22",258.079987,260.799988,257.019989,259.040009,1355700,248.572479
"2020-07-23",259.140015,260.390015,254,257.899994,1324900,247.478546
"2020-07-24",259.75,260.429993,255.850006,256.329987,1391300,245.972
"2020-07-27",254.570007,260.940002,254.529999,260.309998,1417500,249.791183
"2020-07-28",260.570007,268.700012,260.570007,266.799988,1553800,256.018951
"2020-07-29",268.140015,272.200012,267.970001,271.290009,1452700,260.327515
"2020-07-30",268,268,257.529999,262.48999,1959900,251.883057
"2020-07-31",261.950012,264.470001,257.089996,261.390015,1781200,250.82756
"2020-08-03",259,261.76001,256.119995,256.579987,1504600,246.211899
"2020-08-04",256.279999,262.399994,255.940002,260.170013,1782900,249.656815
"2020-08-05",260.26001,260.369995,254.220001,255.289993,1069200,244.974014
"2020-08-06",254.699997,255.539993,252,255.509995,1127600,245.185135
"2020-08-07",254.440002,258.709991,254.179993,257.609985,1023300,247.200256
"2020-08-10",257.209991,257.709991,251.940002,253.410004,1282400,243.169998
"2020-08-11",253.949997,254.199997,245.199997,246.199997,2111800,236.251343
"2020-08-12",247.009995,252.949997,247,251.300003,1381000,241.145248
"2020-08-13",250.899994,253,250.179993,250.729996,960900,240.598282
"2020-08-14",250.830002,253.240005,248.710007,250.119995,737000,240.012909
"2020-08-17",250.089996,251.949997,249.419998,250.910004,1435000,240.771011
"2020-08-18",252.169998,254.779999,251.339996,252.550003,1896100,242.344757
"2020-08-19",253.229996,253.580002,244.860001,245.229996,1496500,235.320541
"2020-08-20",245,248.960007,243.389999,247.679993,1017400,237.671539
"2020-08-21",249.690002,249.979996,245.440002,249.339996,1139600,239.264435
"2020-08-24",248.25,248.380005,242.179993,245.440002,1201400,235.522049
"2020-08-25",246.300003,247.179993,243.520004,246.410004,1060800,236.452866
"2020-08-26",245.649994,247.100006,243.75,246.970001,1479400,236.990219
"2020-08-27",247.399994,249.100006,246.039993,247.970001,1398200,237.949799
"2020-08-28",248.770004,249.729996,245.410004,249.589996,1062900,239.504349
"2020-08-31",249,250.119995,247.490005,249.149994,1307500,239.082123
"2020-09-01",248.440002,249.75,246.630005,248.029999,1085000,238.00737
"2020-09-02",247.710007,257.290009,247.029999,256.5,2034000,246.135132
"2020-09-03",255.559998,256.76001,249.240005,252.320007,2094600,242.124054
"2020-09-04",251.300003,256.220001,246.830002,249.979996,1885100,239.878601
"2020-09-08",248.720001,249.630005,243.100006,246.809998,1451200,236.836685
"2020-09-09",250.619995,255.289993,249.460007,252.419998,2202100,242.219986
"2020-09-10",251.919998,251.919998,247.539993,248.380005,1256800,238.343262
"2020-09-11",249.779999,252.559998,248.229996,249.789993,1219400,239.696259
"2020-09-14",251.110001,255.690002,250.929993,253.899994,1333900,243.640167
"2020-09-15",255.610001,265.220001,255.570007,263.75,2426700,253.092178
"2020-09-16",265,268.660004,262.799988,263.290009,2326100,252.650757
"2020-09-17",259.619995,260.399994,248.940002,250.729996,2341500,240.598282
"2020-09-18",248.669998,251.259995,243.809998,245.5,3270500,235.57962
"2020-09-21",243.380005,244.419998,238.289993,240.970001,2848900,231.232666
"2020-09-22",241.990005,244.850006,240.199997,241.940002,1702200,232.163498
"2020-09-23",242.229996,242.229996,235.070007,235.710007,2550300,226.185226
"2020-09-24",236.300003,240.130005,235.100006,236.179993,2246600,226.636215
"2020-09-25",235,240.669998,234.970001,239.809998,2861500,231.235687
"2020-09-28",243.070007,244.419998,238.410004,240,2593500,231.4189
"2020-09-29",241.210007,242,239.119995,240.119995,3098400,231.534607
"2020-09-30",241.929993,243.580002,239.690002,241.729996,3345600,233.087036
"2020-10-01",242.190002,245,239.949997,242.149994,2500800,233.49202
"2020-10-02",240.070007,243.910004,238.990005,243.300003,2138100,234.600922
"2020-10-05",243.25,243.639999,237.889999,243.330002,2130300,234.629837
"2020-10-06",243.910004,244.410004,240.160004,241.009995,1913500,232.392792
"2020-10-07",241.190002,243.509995,241.190002,241.770004,2048000,233.125626
"2020-10-08",243.759995,246.539993,242.860001,243.559998,2501100,234.851608
"2020-10-09",244.270004,246.389999,243.149994,244.679993,1538700,235.931549
"2020-10-12",245.25,247.779999,244.330002,246.380005,1430400,237.570801
"2020-10-13",245.149994,246.550003,241.419998,242.410004,1622100,233.742752
"2020-10-14",242.880005,243.279999,238.080002,238.5,2049300,229.972534
"2020-10-15",238.550003,242.149994,237.5,239.600006,1790900,231.033218
"2020-10-16",239.699997,244.080002,239.160004,242.720001,1480000,234.041626
"2020-10-19",243.660004,245.699997,239.160004,239.600006,1323600,231.033218
"2020-10-20",241.679993,245.729996,240.630005,243.800003,1407300,235.083038
"2020-10-21",243.360001,245.960007,241.309998,241.740005,1100500,233.09668
"2020-10-22",241.330002,241.610001,235.139999,235.770004,1836600,227.340149
"2020-10-23",236.639999,239.369995,235.660004,237.720001,1057200,229.220413
"2020-10-26",235.559998,237.889999,233.399994,237.119995,1657600,228.641861
"2020-10-27",238.929993,240.979996,236.029999,236.160004,1433200,227.716187
"2020-10-28",233.820007,237.320007,229.25,230.130005,2449000,221.901794
"2020-10-29",233.470001,236.369995,230.669998,231.649994,1693300,223.367447
"2020-10-30",230,232.5,226.5,229.649994,1621300,221.43895
"2020-11-02",232.580002,233.600006,229.270004,233.490005,1551200,225.141678
"2020-11-03",235.539993,237.229996,233.5,234.229996,1268800,225.855194
"2020-11-04",234.699997,243.240005,234.699997,237.070007,2434000,228.593674
"2020-11-05",240.279999,242.789993,237.820007,239.919998,1877400,231.341766
"2020-11-06",239.910004,243.589996,238.660004,242.149994,1181400,233.49202
"2020-11-09",249.160004,253.080002,236.949997,237.979996,2423600,229.471115
"2020-11-10",238.929993,238.929993,230.220001,232.380005,2717400,224.07135
"2020-11-11",234.820007,241.479996,233.320007,238.449997,1573700,229.924316
"2020-11-12",239.600006,240.300003,236.460007,238.009995,1882600,229.500031
"2020-11-13",239.759995,243.720001,237.690002,243.089996,1476400,234.398422
"2020-11-16",244.759995,245.589996,238.850006,239.089996,1433300,230.541412
"2020-11-17",239,240.869995,238.309998,239.179993,1354200,230.628204
"2020-11-18",238.309998,242.309998,237.210007,237.699997,1617400,229.201141
"2020-11-19",237.089996,238.880005,233.369995,238.429993,1636400,229.905029
"2020-11-20",238.190002,238.429993,232.5,232.660004,1965500,224.341324
"2020-11-23",233.559998,233.610001,228.619995,228.910004,2848400,220.725433
"2020-11-24",231.039993,231.850006,227.389999,228.059998,2635100,219.905807
"2020-11-25",229.289993,233.369995,228.649994,233,2478800,224.669174
"2020-11-27",233.960007,234.089996,230.580002,234.089996,937400,225.7202
"2020-11-30",234,234.139999,228.75,231.199997,3547200,222.933533
"2020-12-01",232,236.389999,231.720001,235.830002,2471000,227.39801
"2020-12-02",234.789993,235.830002,228.589996,228.899994,2755100,220.715744
"2020-12-03",229.520004,230.759995,225.789993,226.220001,3702600,218.131607
"2020-12-04",226.75,228.899994,224.440002,228.669998,3298400,220.493988
"2020-12-07",227.660004,228.789993,223.350006,224.270004,2554500,216.251312
"2020-12-08",223.270004,224.770004,222.179993,223.610001,2607300,215.614914
"2020-12-09",222.720001,223.039993,216.220001,219.440002,3413500,211.593994
"2020-12-10",220.210007,221.929993,218.479996,219.410004,3028100,211.565079
"2020-12-11",218,220.169998,215.410004,219.820007,2893400,211.960434
"2020-12-14",220.970001,222.429993,216.399994,216.720001,2501500,208.971268
"2020-12-15",217.080002,218.360001,215.550003,217.25,2181200,209.482315
"2020-12-16",218.279999,219.800003,215.679993,219.619995,2347600,211.767578
"2020-12-17",221.100006,223.600006,220.130005,222.710007,2484400,214.747086
"2020-12-18",222.179993,223.229996,219.839996,221.520004,4538000,213.59964
"2020-12-21",218.360001,220.5,217.139999,219.779999,1963400,211.921844
"2020-12-22",219.289993,220.850006,218.270004,220.490005,1845600,212.606476
"2020-12-23",221.270004,223.600006,217.380005,217.399994,1553400,209.626953
"2020-12-24",216.440002,219.389999,216.190002,218.649994,705700,212.012253
"2020-12-28",218.869995,221.449997,217.429993,221.070007,1842500,214.35881
"2020-12-29",222.210007,223.419998,220.419998,220.479996,1283000,213.786713
"2020-12-30",220.509995,221.529999,219.350006,220.339996,1361300,213.65094
"2020-12-31",219.759995,224.669998,219.600006,224.460007,1669300,217.645889
"2021-01-04",226.070007,226.210007,219.270004,219.600006,2786400,212.933441
"2021-01-05",220.119995,222.600006,219.089996,220.710007,2481600,214.00975
"2021-01-06",219.5,219.679993,214.559998,214.889999,3230900,208.366409
"2021-01-07",215.270004,219.509995,214.679993,217.5,2933800,210.897171
"2021-01-08",218.240005,223.820007,218.110001,222.199997,2310400,215.454498
"2021-01-11",221.259995,221.970001,214.190002,214.919998,2284700,208.395508
"2021-01-12",214.619995,215.779999,210.660004,214.910004,2468900,208.385803
"2021-01-13",214.289993,217.169998,213.899994,216.460007,2314800,209.888763
"2021-01-14",217,217.240005,214.410004,214.990005,3735000,208.463364
"2021-01-15",214.990005,220.460007,214.220001,219.889999,2404700,213.2146
"2021-01-19",220.860001,221.520004,215.960007,216.880005,2536400,210.296005
"2021-01-20",217.75,223.600006,216.080002,222.779999,2399000,216.016876
"2021-01-21",220.949997,223.160004,218.360001,222.199997,1736700,215.454498
"2021-01-22",222.100006,225,221.860001,223.919998,2113900,217.122269
"2021-01-25",224,228.729996,222.130005,227.509995,2401800,220.603271
"2021-01-26",227.839996,232.990005,224.309998,232.289993,2838700,225.238174
"2021-01-27",234.139999,234.139999,227.619995,229.059998,2763100,222.106232
"2021-01-28",227.710007,232.960007,226.610001,228.309998,2685600,221.378998
"2021-01-29",226.869995,228.779999,225.080002,227.360001,2701200,220.45784
"2021-02-01",229.169998,235.679993,225.949997,235.570007,2172100,228.418625
"2021-02-02",236.080002,237.979996,234.580002,236.149994,2045200,228.981003
"2021-02-03",234.75,235.529999,230.770004,232.309998,2503000,225.257599
"2021-02-04",232.130005,235.240005,231.279999,232.199997,1934100,225.150909
"2021-02-05",232.639999,234.970001,231.630005,232.990005,1609300,225.916946
"2021-02-08",233.020004,233.369995,228.800003,232.789993,1775200,225.723007
"2021-02-09",231.25,234.740005,231.059998,231.660004,1263200,224.627304
"2021-02-10",232.419998,234.169998,230.470001,231.660004,1539000,224.627304
"2021-02-11",230.789993,231.600006,227.089996,227.820007,1412200,220.903915
"2021-02-12",227.820007,228.539993,223.550003,227.190002,1632200,220.292999
"2021-02-16",227.589996,227.589996,223.210007,224.979996,1444400,218.150101
"2021-02-17",223.509995,226.729996,223.050003,226.309998,1234800,219.439713
"2021-02-18",225.570007,228.520004,225.240005,228.259995,1131600,221.330521
"2021-02-19",228.610001,229.820007,226.229996,226.369995,2034300,219.497894
"2021-02-22",226.690002,227.25,222.190002,225.070007,1774400,218.237366
"2021-02-23",226.330002,228.080002,221.649994,223.169998,1731600,216.39505
"2021-02-24",223.169998,226.449997,222.399994,224.779999,1696400,217.956192
"2021-02-25",223.600006,227.889999,221.410004,224.75,2912200,217.927078
"2021-02-26",224.660004,225.460007,216.020004,216.130005,3211200,209.568771
"2021-03-01",218.559998,219.429993,213.520004,213.770004,2733600,207.280411
"2021-03-02",214.529999,214.869995,208.759995,208.809998,2978700,202.470993
"2021-03-03",208.809998,209.029999,202.910004,202.910004,3269600,196.750092
"2021-03-04",203.660004,206.419998,200.509995,201.190002,3212000,195.082321
"2021-03-05",202.830002,204.070007,198.020004,200,3455700,193.928452
"2021-03-08",200.289993,204.720001,197.5,198.660004,3155400,192.629105
"2021-03-09",199.979996,204.660004,199.779999,202.699997,2988300,196.546463
"2021-03-10",202.699997,205.679993,201.350006,204.419998,3080500,198.214264
"2021-03-11",206.410004,215.610001,205.660004,213.899994,3737300,207.406464
"2021-03-12",213.899994,217.5,212.279999,215.199997,2251900,208.666992
"2021-03-15",215.699997,218.789993,214.559998,218.490005,1849100,211.857117
"2021-03-16",219.729996,223.809998,218.5,222.839996,1929700,216.075073
"2021-03-17",221.270004,223.479996,220.470001,223.169998,2265500,216.39505
"2021-03-18",220.800003,223.779999,219.089996,222.509995,2485200,215.755081
"2021-03-19",222.850006,225.050003,221.360001,221.860001,4789700,215.124817
