"","DHI.Open","DHI.High","DHI.Low","DHI.Close","DHI.Volume","DHI.Adjusted"
"2020-07-01",55.560001,55.59,53.5,53.860001,3325000,52.796455
"2020-07-02",55.02,55.25,53.84,54.07,1881900,53.002308
"2020-07-06",55.02,56.130001,54.889999,55.919998,1804300,54.815784
"2020-07-07",55.419998,57.139999,55.419998,56.549999,3889900,55.433338
"2020-07-08",57.18,59.360001,57,58.849998,3887400,57.68792
"2020-07-09",59.25,59.43,57.57,58.040001,4495200,56.893921
"2020-07-10",58.290001,59.150002,57.869999,58.66,2384800,57.501678
"2020-07-13",59.080002,59.669998,56.779999,56.91,3917200,55.786228
"2020-07-14",56.700001,59.27,56.68,59.150002,2571900,57.982002
"2020-07-15",60.790001,61.220001,58.779999,60.049999,3095900,58.864231
"2020-07-16",60,62.639999,59.700001,62.540001,4222900,61.305061
"2020-07-17",63.060001,64.370003,62.740002,63.48,7060600,62.226498
"2020-07-20",63.209999,63.720001,62.220001,63.5,2652600,62.246098
"2020-07-21",62.810001,63.299999,61.669998,62.709999,3105500,61.471699
"2020-07-22",62.529999,65.099998,62.459999,64.800003,3082000,63.520435
"2020-07-23",66.360001,66.660004,62.540001,63.880001,5526100,62.618603
"2020-07-24",63.540001,64.209999,62.259998,63.75,2935400,62.491161
"2020-07-27",64.580002,66.669998,64.25,66.57,3807300,65.255493
"2020-07-28",68.75,70.290001,64.18,64.580002,8176400,63.304779
"2020-07-29",65.230003,67.080002,65.080002,66.599998,3535600,65.284889
"2020-07-30",65.709999,66.550003,65.5,66.050003,3000500,64.745758
"2020-07-31",66.059998,66.279999,64.639999,66.160004,5067000,64.853584
"2020-08-03",66.699997,68.459999,66.540001,68.32,3346700,66.970917
"2020-08-04",68.07,68.589996,66.910004,67.339996,2212900,66.010269
"2020-08-05",67.43,68.199997,67.010002,68.089996,2079700,66.745461
"2020-08-06",67.769997,68.379997,67.480003,67.620003,1778000,66.284752
"2020-08-07",67.459999,68.410004,67.190002,68.379997,2412500,67.029732
"2020-08-10",68.400002,71.830002,68.220001,69.699997,4635000,68.323677
"2020-08-11",70.239998,70.300003,68.43,69.040001,6330000,67.847046
"2020-08-12",69.43,71.279999,68.919998,71.260002,4017300,70.028687
"2020-08-13",70.75,71.959999,69.949997,71.480003,2772300,70.244904
"2020-08-14",71.010002,71.790001,70.260002,71.389999,1884000,70.156448
"2020-08-17",72.120003,74.010002,71.75,73.330002,3521300,72.062927
"2020-08-18",74.040001,74.339996,73.110001,73.540001,3261300,72.269295
"2020-08-19",73.449997,74.309998,72.730003,74.029999,3104000,72.750832
"2020-08-20",73.279999,75.540001,72.839996,74.599998,3556600,73.310989
"2020-08-21",74.050003,76.970001,73.790001,76.970001,5956700,75.640038
"2020-08-24",77.190002,77.449997,75.709999,76.169998,3159200,74.853851
"2020-08-25",76.529999,76.690002,74.529999,75.480003,2350100,74.175781
"2020-08-26",75.82,75.949997,74.059998,74.07,3277400,72.790146
"2020-08-27",75.040001,75.290001,72.440002,72.5,3862600,71.247269
"2020-08-28",73.239998,73.790001,71.489998,71.839996,3594200,70.598679
"2020-08-31",72.099998,72.629997,70.830002,71.370003,4129900,70.136803
"2020-09-01",71.470001,73.379997,70.919998,73.360001,2616600,72.092415
"2020-09-02",74,74.040001,71.830002,72.889999,2450000,71.630531
"2020-09-03",72.620003,72.980003,69.599998,70.559998,4127100,69.34079
"2020-09-04",71.120003,71.720001,67.410004,68.230003,4543600,67.051056
"2020-09-08",66.879997,69.360001,66.510002,68.010002,3736000,66.834854
"2020-09-09",69.010002,70.790001,68.129997,70.07,3427200,68.859261
"2020-09-10",70.050003,71.480003,69.440002,69.730003,3035100,68.525139
"2020-09-11",70.290001,71.709999,69.989998,71.389999,2619000,70.156448
"2020-09-14",72.400002,72.940002,71.519997,72.720001,3633600,71.463478
"2020-09-15",72.629997,73.629997,71.599998,71.769997,2742800,70.529884
"2020-09-16",72.660004,75.32,72.470001,74.370003,4377700,73.084961
"2020-09-17",73.050003,73.830002,72.089996,73.32,2828900,72.053101
"2020-09-18",73.18,74.239998,71.760002,72.690002,3827800,71.433983
"2020-09-21",71.769997,72.370003,69.760002,72.120003,2606100,70.873848
"2020-09-22",72.43,75.879997,71.779999,75.510002,5443500,74.205276
"2020-09-23",75.5,75.529999,70.919998,71.169998,3830300,69.940254
"2020-09-24",70.970001,73.019997,70.269997,72,3338700,70.75592
"2020-09-25",71.510002,72.690002,70.809998,71.830002,3337900,70.588837
"2020-09-28",73,74.68,72,74.489998,3151200,73.202881
"2020-09-29",74.550003,74.800003,73.669998,74.019997,2285500,72.740997
"2020-09-30",74.459999,76.599998,74.110001,75.629997,3856300,74.323189
"2020-10-01",76.709999,77.629997,75.779999,77.540001,3514100,76.200188
"2020-10-02",75.779999,78.370003,75.550003,77.889999,2586500,76.544144
"2020-10-05",78.5,78.779999,74.650002,75.699997,4174500,74.391975
"2020-10-06",75.910004,76.669998,74.650002,75.110001,2440700,73.812172
"2020-10-07",76.120003,76.860001,75.260002,75.760002,2111100,74.450943
"2020-10-08",76.650002,77.919998,76.620003,77.709999,1786100,76.367256
"2020-10-09",78.489998,78.970001,77.529999,78.089996,1954200,76.740677
"2020-10-12",78.610001,78.809998,77.410004,78.349998,1776400,76.996193
"2020-10-13",77.970001,78.610001,76.730003,77.849998,1952300,76.504845
"2020-10-14",78.230003,78.599998,77.330002,78.269997,1695500,76.917572
"2020-10-15",77.029999,78.940002,76.760002,78.82,2165900,77.458076
"2020-10-16",79.5,81.209999,76.959999,77.089996,3597600,75.757957
"2020-10-19",77.519997,78.300003,75.230003,75.790001,1764600,74.480431
"2020-10-20",75.970001,77.389999,75.639999,76.519997,2071000,75.197815
"2020-10-21",76.309998,76.540001,72.82,73.110001,2818700,71.846733
"2020-10-22",73.379997,73.379997,70.279999,70.589996,3949900,69.37027
"2020-10-23",71.190002,73.199997,70.949997,73.059998,2294900,71.797592
"2020-10-26",72.459999,72.75,69.75,70.839996,3282000,69.615959
"2020-10-27",71.099998,71.260002,68.650002,69.099998,2577800,67.906021
"2020-10-28",67.879997,70.25,67.379997,68.879997,2524000,67.689812
"2020-10-29",69.309998,69.550003,67.709999,68.029999,2489400,66.854507
