"","GWW.Open","GWW.High","GWW.Low","GWW.Close","GWW.Volume","GWW.Adjusted"
"2020-09-08",358.380005,358.589996,349.769989,350.160004,378500,341.250244
"2020-09-09",353.25,363.420013,353.25,361.279999,228300,352.087341
"2020-09-10",360.25,360.25,350.459991,351.320007,229700,342.380768
"2020-09-11",352.880005,355.929993,350.959991,355.179993,210800,346.142517
"2020-09-14",358.640015,358.640015,352.649994,354.339996,202000,345.323914
"2020-09-15",356.470001,358.679993,354.649994,354.649994,205500,345.625977
"2020-09-16",361.089996,362.799988,356.089996,356.709991,331000,347.633575
"2020-09-17",353.630005,359.649994,350.079987,355.429993,312900,346.386139
"2020-09-18",354.570007,357.450012,349.779999,351.089996,466000,342.156616
"2020-09-21",346.799988,349.26001,338.029999,341.570007,388400,332.878815
"2020-09-22",341.600006,345.170013,338.799988,343.679993,376100,334.93515
"2020-09-23",343.519989,345.200012,338.130005,339.089996,430300,330.461945
"2020-09-24",340.519989,347.179993,337.25,342.480011,246600,333.765686
"2020-09-25",341.170013,350.190002,339.799988,347.399994,246900,338.560486
"2020-09-28",351.420013,357.029999,351.420013,353.670013,156000,344.67099
"2020-09-29",353.579987,354.459991,349.079987,352.079987,115100,343.121399
"2020-09-30",356.079987,359.769989,353.609985,356.769989,335600,347.692078
"2020-10-01",358.170013,360.160004,352.850006,358.029999,254900,348.919983
"2020-10-02",355.109985,362.019989,353.470001,359.390015,162900,350.245422
"2020-10-05",361.929993,372.679993,361.929993,371.160004,193600,361.715942
"2020-10-06",372.440002,374.179993,367.350006,367.709991,315600,358.353729
"2020-10-07",371.51001,379.299988,370.820007,376.399994,200200,366.822601
"2020-10-08",376.730011,389.170013,376.390015,385.98999,468800,376.168579
"2020-10-09",386.679993,392.350006,383.119995,385.420013,417300,375.613098
"2020-10-12",388.540009,392.529999,385.790009,388.660004,265500,378.77066
"2020-10-13",385.48999,386.329987,380.109985,384.160004,296100,374.385193
"2020-10-14",386.589996,391,383.769989,386.23999,246600,376.412201
"2020-10-15",381.51001,387.440002,381.51001,385.649994,193900,375.837219
"2020-10-16",388.179993,390.380005,382.75,383.540009,432900,373.780945
"2020-10-19",385.320007,387.179993,373.380005,374.73999,312200,365.204865
"2020-10-20",377.959991,381.290009,374.589996,375.839996,248400,366.276794
"2020-10-21",375.579987,379.48999,370.529999,373.440002,442600,363.937897
"2020-10-22",371.359985,375.609985,352.76001,362.019989,597200,352.808472
"2020-10-23",363.170013,367.809998,360,361.029999,346600,351.843719
"2020-10-26",356.920013,361.480011,356.109985,361.279999,415600,352.087341
"2020-10-27",362.299988,364,357.459991,357.640015,289900,348.540009
"2020-10-28",352.579987,358.609985,350.799988,352.549988,528600,343.579437
"2020-10-29",352.01001,354.570007,348.299988,350.109985,306700,341.201508
"2020-10-30",348.869995,351.929993,345,350.019989,382700,341.113831
"2020-11-02",354.23999,363.299988,354.23999,363.230011,283600,353.987732
"2020-11-03",366.730011,374.040009,366.730011,371.220001,230800,361.774384
"2020-11-04",374.959991,379.329987,368.829987,374.709991,375200,365.175537
"2020-11-05",379.890015,383.75,376.899994,378.839996,304700,369.200531
"2020-11-06",378.51001,393.25,377.440002,390.630005,327400,382.234222
"2020-11-09",403.160004,411.869995,388.220001,388.220001,406600,379.876007
"2020-11-10",390.109985,405.75,388.890015,404.480011,420200,395.78656
"2020-11-11",405,407.399994,399.48999,403.390015,286000,394.719971
"2020-11-12",403.399994,403.399994,394.630005,398.170013,198300,389.612183
"2020-11-13",400,409,400,403.309998,214800,394.641693
