"","JKHY.Open","JKHY.High","JKHY.Low","JKHY.Close","JKHY.Volume","JKHY.Adjusted"
"2020-10-20",158.009995,161.25,158.009995,159.25,268700,156.121689
"2020-10-21",159.539993,160.839996,158.949997,158.990005,283400,155.866806
"2020-10-22",159.050003,159.149994,157.080002,157.809998,371000,154.709961
"2020-10-23",157.809998,159,157.089996,158.309998,278900,155.200119
"2020-10-26",156.960007,156.960007,152.470001,154.119995,334100,151.092438
"2020-10-27",154.75,155.699997,151.179993,151.220001,339000,148.249435
"2020-10-28",150.080002,151.279999,148.039993,149.570007,584100,146.631851
"2020-10-29",149.380005,150.979996,148.149994,149.330002,496400,146.39653
"2020-10-30",148.289993,150.259995,146.690002,148.25,453200,145.337769
"2020-11-02",150.619995,152.539993,149.300003,151.770004,500600,148.788635
"2020-11-03",153.279999,157.190002,153.279999,156.149994,410500,153.082581
"2020-11-04",158.130005,163.479996,157.660004,162.419998,674500,159.229401
"2020-11-05",168.119995,168.119995,152.309998,153.660004,1137400,150.641525
"2020-11-06",156.199997,159.630005,154.520004,157.160004,555100,154.072739
"2020-11-09",161.970001,165.929993,158.720001,158.830002,704100,155.709946
"2020-11-10",158.839996,160.729996,157.720001,160.520004,783300,157.366714
"2020-11-11",161.210007,162.800003,159.630005,161.080002,426000,157.915741
"2020-11-12",161.050003,161.990005,158.600006,159.850006,305200,156.7099
"2020-11-13",161.080002,162.490005,158.820007,161.479996,328400,158.307892
"2020-11-16",163.199997,163.75,157.75,159.029999,458600,155.906021
"2020-11-17",159.160004,159.990005,157.460007,158.850006,521400,155.729538
"2020-11-18",159.479996,160.470001,156.949997,158.710007,424600,155.592285
"2020-11-19",158.75,163,155.740005,161.520004,493400,158.347107
"2020-11-20",161.75,162.279999,160.059998,160.169998,402400,157.023605
"2020-11-23",160.100006,161.580002,159.470001,159.990005,327300,156.847153
"2020-11-24",160.550003,161.050003,157.039993,157.130005,732800,154.04335
"2020-11-25",158.279999,159.320007,156.520004,157.869995,572200,154.768784
"2020-11-27",158.619995,158.990005,156.369995,157.800003,270900,154.700165
"2020-11-30",158.360001,162.059998,156.889999,160.860001,1348800,157.700058
"2020-12-01",161.289993,162.880005,160.139999,161.339996,766000,158.594559
"2020-12-02",161.479996,162.839996,159.220001,159.979996,361000,157.257721
"2020-12-03",159.220001,160.139999,156.570007,158.009995,500200,155.321228
"2020-12-04",158.880005,160.429993,157.880005,158.479996,481100,155.783234
"2020-12-07",157.25,159.970001,157.25,158.490005,525400,155.793076
"2020-12-08",158.820007,160.429993,158.199997,160,748700,157.277374
"2020-12-09",159.619995,159.820007,156.929993,157,687000,154.328415
"2020-12-10",157.389999,157.779999,153.710007,153.839996,612300,151.222198
"2020-12-11",153.25,156.089996,152.779999,155.820007,672500,153.168503
"2020-12-14",156.490005,159.050003,156.419998,157.380005,584500,154.701965
"2020-12-15",158.080002,158.910004,155.710007,158.600006,375700,155.901215
"2020-12-16",158.970001,160.639999,158.619995,159.169998,491400,156.461502
"2020-12-17",160.330002,163.059998,158.779999,162.759995,603100,159.990402
"2020-12-18",163.759995,165.339996,160.729996,161.630005,1168800,158.879654
"2020-12-21",159.059998,159.520004,154.539993,158.210007,547700,155.517822
"2020-12-22",157.889999,157.889999,154.240005,154.720001,490600,152.087234
"2020-12-23",156.850006,157.990005,154.979996,155.929993,473800,153.276611
"2020-12-24",155.899994,158.449997,155.649994,157.690002,202800,155.006699
"2020-12-28",158.630005,160.619995,157.850006,159.710007,340500,156.99231
"2020-12-29",160.039993,161.100006,159.059998,159.279999,315200,156.569641
"2020-12-30",158.75,159.679993,158.110001,158.75,305200,156.04866
"2020-12-31",158.929993,162.160004,158.020004,161.990005,428700,159.233521
"2021-01-04",161.729996,163.240005,155.820007,158.660004,747700,155.960175
"2021-01-05",158.660004,159.710007,155.449997,159.110001,427800,156.402512
"2021-01-06",157.410004,162.130005,156.830002,161.490005,594900,158.742035
"2021-01-07",162.809998,165.979996,162.449997,164.940002,567200,162.133331
"2021-01-08",165.5,167.490005,164.660004,166.949997,483900,164.1091
"2021-01-11",167.990005,169.229996,164.479996,164.979996,582500,162.172623
"2021-01-12",164.289993,164.289993,160.009995,160.389999,607900,157.660736
"2021-01-13",160.800003,161.479996,157.679993,157.889999,400600,155.203293
"2021-01-14",158.360001,159.559998,153.710007,153.960007,442900,151.340164
"2021-01-15",153.919998,155.809998,152.880005,154.550003,415300,151.92012
"2021-01-19",156.119995,156.410004,154.449997,155.809998,455800,153.158661
"2021-01-20",156.309998,158.360001,154.710007,154.759995,518100,152.126541
"2021-01-21",155.449997,156.970001,153,153.100006,518100,150.494781
"2021-01-22",153.470001,153.699997,150.729996,151.5,933900,148.922012
"2021-01-25",152.600006,153.070007,148.729996,152.5,713500,149.905014
"2021-01-26",152.210007,155.759995,151.820007,154.869995,430400,152.234665
"2021-01-27",154.429993,157.289993,148.839996,149.649994,535700,147.1035
"2021-01-28",150.820007,152.619995,148.820007,148.820007,483800,146.287628
"2021-01-29",148.190002,148.690002,144,144.789993,541400,142.326187
"2021-02-01",147.419998,149.339996,146.809998,148.479996,433900,145.953384
"2021-02-02",148.729996,152.610001,148.029999,151.279999,485000,148.70575
"2021-02-03",151.910004,152.100006,149.169998,149.440002,374300,146.897064
"2021-02-04",150.960007,153.479996,149.880005,153.389999,493200,150.779846
"2021-02-05",153.630005,154.550003,152.070007,152.910004,556100,150.308014
"2021-02-08",153.490005,158.779999,153.009995,158.210007,1147600,155.517822
"2021-02-09",148.899994,150.729996,141.649994,149.509995,2052500,146.965881
"2021-02-10",149.470001,152.860001,148.110001,148.770004,1091500,146.23848
"2021-02-11",150.059998,153.009995,147.789993,148.639999,882000,146.110703
"2021-02-12",150.350006,150.419998,145.020004,145.639999,663900,143.161697
"2021-02-16",146.389999,147.949997,143.610001,146.240005,1158000,143.751526
"2021-02-17",145.160004,149.740005,145.160004,148.880005,694100,146.346603
"2021-02-18",147.279999,152.729996,147.279999,152.710007,720100,150.111435
"2021-02-19",152.809998,153.779999,150.270004,150.889999,1057100,148.322388
"2021-02-22",149.869995,153.729996,149.330002,152.860001,727000,150.258865
"2021-02-23",152.559998,153.779999,149.110001,149.309998,881800,146.769272
"2021-02-24",149.320007,152.820007,147.169998,151.639999,1036300,149.059631
"2021-02-25",151.050003,153.850006,150.449997,151.320007,677400,148.745071
"2021-02-26",151.380005,152.919998,147.949997,148.440002,1113200,145.914093
"2021-03-01",148.929993,152.559998,148.929993,152.110001,508200,149.521622
"2021-03-02",152.899994,154.320007,150.339996,151.669998,595200,149.089142
"2021-03-03",151.289993,154.270004,149.949997,152.289993,605100,149.698563
"2021-03-04",152.110001,152.199997,146.229996,147.300003,1030700,144.793488
