"","NXPI.Open","NXPI.High","NXPI.Low","NXPI.Close","NXPI.Volume","NXPI.Adjusted"
"2020-08-27",128.139999,128.350006,125.440002,126.050003,1376400,122.798775
"2020-08-28",125.93,127.449997,125.260002,127.230003,1736600,123.948341
"2020-08-31",126.959999,127.709999,124.849998,125.760002,2257300,122.516251
"2020-09-01",126,129.020004,125.949997,128.199997,2090500,124.893311
"2020-09-02",129.679993,132.949997,128.699997,132.100006,1541400,128.692719
"2020-09-03",130.990005,130.990005,125.050003,126.099998,2010100,122.847466
"2020-09-04",126.370003,127.080002,122.32,126.330002,1607600,123.071541
"2020-09-08",121.019997,122.650002,119.209999,119.720001,2541600,116.632042
"2020-09-09",122.169998,125.629997,121.400002,124.239998,2269000,121.035446
"2020-09-10",125.199997,127.769997,122.550003,123.099998,1487800,119.924866
"2020-09-11",124.470001,126.650002,123.160004,124.75,1397200,121.532303
"2020-09-14",126.169998,127.620003,124.480003,125.699997,1538600,122.827011
"2020-09-15",127.389999,128.800003,126.82,127.410004,1601100,124.497948
"2020-09-16",129,131.309998,128.360001,128.589996,2053200,125.650978
"2020-09-17",123.620003,128.139999,122.860001,127.760002,2066300,124.839935
"2020-09-18",128.679993,128.990005,123.389999,126.089996,4200600,123.208099
"2020-09-21",122.949997,123.510002,119.279999,121.349998,2024500,118.576447
"2020-09-22",122.790001,123.480003,120.690002,122.629997,1606800,119.827187
"2020-09-23",123.169998,124,119.43,119.940002,1595700,117.198669
"2020-09-24",118.639999,121.220001,118.150002,119.160004,1810500,116.436493
"2020-09-25",118.559998,120.169998,117.25,119.830002,2039600,117.091187
"2020-09-28",122.459999,124.169998,121.910004,124,2143400,121.165871
"2020-09-29",126.099998,126.139999,123.160004,123.290001,1626400,120.472099
"2020-09-30",123.870003,126.769997,123.220001,124.809998,2005200,121.957352
"2020-10-01",129.630005,132.179993,128,130.990005,3429300,127.996124
"2020-10-02",127.169998,130.479996,126.639999,127.389999,2130600,124.478401
"2020-10-05",129.479996,132.070007,129,132,2269200,128.983017
"2020-10-06",131.699997,135.009995,130.389999,130.899994,2187500,127.908188
"2020-10-07",133.330002,134.910004,133.009995,133.600006,1838900,130.546463
"2020-10-08",135.070007,135.919998,134.130005,134.830002,2208200,131.748367
"2020-10-09",142.479996,145.149994,138.800003,141.529999,5037400,138.295227
"2020-10-12",143,143.25,140.410004,142.080002,2861300,138.832642
"2020-10-13",141,141.990005,136.580002,136.839996,2605400,133.712387
"2020-10-14",136.800003,138.100006,135.839996,137.110001,2317200,133.976227
"2020-10-15",134.589996,137.589996,133.690002,136.869995,1555900,133.741714
"2020-10-16",139.330002,139.669998,136.960007,137.229996,1300600,134.093475
"2020-10-19",137.630005,138.850006,135.529999,136.330002,1606800,133.21405
"2020-10-20",137.669998,137.800003,134.889999,135.210007,1353900,132.119675
"2020-10-21",137.929993,138.119995,135.270004,135.860001,1681900,132.754807
"2020-10-22",136.059998,136.429993,133.320007,134.889999,1512800,131.806961
"2020-10-23",135.509995,137.75,134.360001,137.179993,1439700,134.044617
"2020-10-26",135.190002,136.100006,132.710007,134.889999,2856100,131.806961
"2020-10-27",136.380005,136.570007,131.649994,133.229996,2530500,130.184921
"2020-10-28",130.070007,130.910004,126.800003,129.770004,3015700,126.804001
"2020-10-29",128.789993,137.509995,128.789993,136.169998,2721700,133.057709
"2020-10-30",133.520004,135.789993,132.979996,135.119995,2286300,132.031708
"2020-11-02",137.089996,138.339996,136.009995,137.309998,1903100,134.171677
"2020-11-03",137.649994,141.490005,137,138.880005,1747400,135.705795
"2020-11-04",141.050003,141.490005,136.699997,139.380005,2354400,136.194366
"2020-11-05",142,145.240005,141.080002,144.380005,2242200,141.080078
"2020-11-06",144.279999,147.470001,143.619995,146.720001,2748200,143.366577
"2020-11-09",149.740005,152.479996,144.550003,144.860001,3523700,141.549118
"2020-11-10",142.779999,144.490005,139.940002,140.240005,2172300,137.034714
"2020-11-11",143.309998,145.940002,142.699997,145.070007,1659800,141.754303
"2020-11-12",146,146.589996,143.630005,144.300003,1431800,141.001907
"2020-11-13",146.009995,147.580002,145.660004,146.490005,1085000,143.141846
"2020-11-16",149.389999,151.220001,148.300003,149.990005,1888300,146.561859
"2020-11-17",150.75,151.550003,147.919998,149.389999,1798100,145.975555
"2020-11-18",149.490005,150.610001,147.820007,148.149994,1218400,144.763885
"2020-11-19",148,151.830002,147.070007,151.350006,1765400,147.890762
"2020-11-20",151.929993,153.029999,150.550003,150.570007,1533200,147.128616
"2020-11-23",152.520004,156.350006,151.279999,155.910004,2137000,152.346542
"2020-11-24",158.369995,158.619995,154.740005,158.470001,2314000,154.848038
"2020-11-25",159,159.279999,156.660004,157.669998,1700300,154.06633
"2020-11-27",158.449997,161.839996,158.169998,158.940002,1038600,155.307312
"2020-11-30",159,160.919998,156.850006,158.419998,2268000,154.799179
"2020-12-01",160.399994,161.770004,158.649994,159.080002,1932900,155.444107
"2020-12-02",159.089996,160.830002,157.470001,160.539993,1145000,156.870728
