"","GNRC.Open","GNRC.High","GNRC.Low","GNRC.Close","GNRC.Volume","GNRC.Adjusted"
"2020-08-26",188,192.279999,187.199997,190.820007,783600,190.820007
"2020-08-27",190.470001,191.289993,184.470001,186.649994,810000,186.649994
"2020-08-28",188.960007,192.380005,187.289993,189.020004,556400,189.020004
"2020-08-31",190.25,191.419998,188.529999,189.979996,630200,189.979996
"2020-09-01",189.710007,194.350006,188.179993,193.25,507000,193.25
"2020-09-02",193.300003,194,187.910004,191.479996,674300,191.479996
"2020-09-03",189,189.360001,175.820007,178.070007,1005300,178.070007
"2020-09-04",178.779999,179.830002,169.339996,178.509995,985600,178.509995
"2020-09-08",176.399994,181.389999,173.440002,174.800003,752300,174.800003
"2020-09-09",178.070007,185.289993,178.039993,183.949997,587800,183.949997
"2020-09-10",184.449997,185.5,179.460007,180.029999,446400,180.029999
"2020-09-11",182.699997,184.410004,176.279999,178.410004,507700,178.410004
"2020-09-14",181.820007,184.229996,181.160004,184.100006,449900,184.100006
"2020-09-15",187.289993,187.699997,184.75,187.110001,393500,187.110001
"2020-09-16",187.169998,188.789993,185.550003,186.520004,518300,186.520004
"2020-09-17",183.130005,186.429993,181.470001,184.089996,641300,184.089996
"2020-09-18",185.559998,186.610001,181.119995,182.679993,987300,182.679993
"2020-09-21",180,182.369995,177.559998,181.229996,559900,181.229996
"2020-09-22",182.550003,183.419998,179.509995,182.899994,526800,182.899994
"2020-09-23",182.229996,185,175.649994,175.759995,611400,175.759995
"2020-09-24",175.529999,181.449997,173.800003,178.070007,601400,178.070007
"2020-09-25",178.070007,182.029999,178.070007,180.660004,607700,180.660004
"2020-09-28",186.880005,191.429993,186.110001,190.179993,760900,190.179993
"2020-09-29",190.979996,192.279999,187.729996,188.139999,613700,188.139999
"2020-09-30",187.759995,194.169998,187.759995,193.639999,892500,193.639999
"2020-10-01",195.5,196.949997,191.740005,196.160004,715100,196.160004
"2020-10-02",191.270004,198.770004,190.100006,197.75,608200,197.75
"2020-10-05",199.25,208.259995,198.529999,207.860001,805000,207.860001
"2020-10-06",211.050003,213.229996,204.889999,207.369995,1168500,207.369995
"2020-10-07",212.550003,213.910004,205.160004,207.039993,729500,207.039993
"2020-10-08",209.990005,210.580002,203.619995,204.5,743500,204.5
"2020-10-09",205.160004,208.740005,205.160004,205.529999,695100,205.529999
"2020-10-12",206.649994,207.75,200.380005,203.990005,621700,203.990005
"2020-10-13",203.429993,205.119995,199.270004,201.539993,673600,201.539993
"2020-10-14",202.960007,205.539993,201.289993,203,387500,203
"2020-10-15",200.669998,210.990005,198.850006,209.789993,640100,209.789993
"2020-10-16",212.710007,213.990005,207.740005,208.210007,456200,208.210007
"2020-10-19",208.119995,210.75,206.929993,210.130005,748200,210.130005
"2020-10-20",210.589996,215.570007,209.979996,211.869995,726200,211.869995
"2020-10-21",212.850006,215.979996,205.179993,205.350006,790600,205.350006
"2020-10-22",205.660004,210.009995,203.399994,209.339996,708000,209.339996
"2020-10-23",210.070007,212.740005,206.949997,212.039993,591500,212.039993
"2020-10-26",209.199997,211.720001,206.039993,210.399994,477600,210.399994
"2020-10-27",211.880005,213.830002,206.610001,207.710007,731800,207.710007
"2020-10-28",205.869995,218.630005,202.020004,217.110001,1432700,217.110001
"2020-10-29",218.899994,220.880005,211.429993,216.570007,950600,216.570007
"2020-10-30",213.990005,217.610001,204.240005,210.149994,813800,210.149994
"2020-11-02",212.369995,215.089996,208.580002,212.570007,680700,212.570007
"2020-11-03",215.990005,222.199997,213.949997,221.539993,639200,221.539993
"2020-11-04",219.339996,224.949997,213.009995,223.5,717800,223.5
"2020-11-05",228.229996,233.440002,226.860001,230.729996,602800,230.729996
"2020-11-06",232.619995,234.550003,231.029999,233.039993,422200,233.039993
"2020-11-09",233.039993,233.779999,216.160004,220.539993,1113200,220.539993
"2020-11-10",221.020004,223,212.300003,217.949997,1027700,217.949997
"2020-11-11",220.740005,226.600006,219.119995,225.289993,616600,225.289993
"2020-11-12",224.300003,226.100006,218,219.779999,529900,219.779999
"2020-11-13",220.580002,222.210007,215.330002,215.970001,633000,215.970001
"2020-11-16",216.5,216.550003,211.419998,213.190002,740700,213.190002
"2020-11-17",211.880005,216.910004,208.929993,210.089996,648900,210.089996
"2020-11-18",211.630005,213.789993,209.630005,211.940002,722100,211.940002
"2020-11-19",213.279999,218.979996,211.899994,216.75,657300,216.75
"2020-11-20",217.369995,225.199997,216.399994,222.970001,802300,222.970001
"2020-11-23",224.669998,227.029999,216,219.630005,912100,219.630005
"2020-11-24",219.630005,219.979996,211.529999,213.839996,1188700,213.839996
"2020-11-25",213.839996,220.940002,213.699997,216.509995,900600,216.509995
"2020-11-27",219.720001,225.339996,218.509995,221.399994,637500,221.399994
"2020-11-30",221.399994,221.5,210.470001,215.600006,4147000,215.600006
"2020-12-01",216.139999,217.270004,211.199997,213.020004,669100,213.020004
"2020-12-02",212.050003,212.490005,208.160004,210.740005,637800,210.740005
"2020-12-03",209.679993,212.710007,207.009995,207.580002,707100,207.580002
"2020-12-04",208,210.880005,204.5,205.259995,819900,205.259995
"2020-12-07",205,209.190002,202.559998,208.910004,718500,208.910004
"2020-12-08",210.419998,217.369995,207.309998,216.869995,1205400,216.869995
"2020-12-09",218.009995,218.880005,207.820007,209.429993,927000,209.429993
"2020-12-10",207.5,213.949997,207.070007,211.270004,824200,211.270004
"2020-12-11",211.559998,219.990005,211.460007,217.279999,728500,217.279999
"2020-12-14",217.690002,220.820007,213.5,218.059998,731300,218.059998
"2020-12-15",220.009995,224.850006,219.679993,224.399994,790500,224.399994
"2020-12-16",226,226.639999,218.110001,220.440002,647900,220.440002
"2020-12-17",221.929993,224.190002,217.350006,218.600006,650100,218.600006
"2020-12-18",220.259995,220.720001,215.050003,216.789993,1355500,216.789993
"2020-12-21",214.630005,230.470001,214.410004,230.289993,1284800,230.289993
"2020-12-22",230.649994,231.880005,223.639999,227.309998,855200,227.309998
"2020-12-23",229.25,230.5,223,227.009995,464600,227.009995
"2020-12-24",227.259995,237.990005,227,233.199997,816100,233.199997
"2020-12-28",238.490005,239.619995,232.25,233.039993,732800,233.039993
"2020-12-29",232.589996,233.990005,219.470001,221.369995,845100,221.369995
"2020-12-30",222.600006,229.860001,222.600006,229.190002,588300,229.190002
"2020-12-31",229.190002,229.600006,225.520004,227.410004,474300,227.410004
"2021-01-04",229.160004,230.949997,222.509995,224.559998,686500,224.559998
"2021-01-05",223.169998,228.529999,223,227.979996,485300,227.979996
"2021-01-06",230.770004,249,228.619995,246.289993,1185600,246.289993
"2021-01-07",250.190002,256.299988,247.889999,254.5,893700,254.5
"2021-01-08",257.5,260,249.679993,252.5,726000,252.5
"2021-01-11",248.770004,262.48999,245.240005,260.799988,750600,260.799988
"2021-01-12",261.160004,263.640015,256.25,259.049988,1070200,259.049988
"2021-01-13",257.040009,259.459991,252.460007,252.630005,666600,252.630005
"2021-01-14",253.149994,255,250.229996,253.059998,366200,253.059998
"2021-01-15",252.649994,255.300003,247.589996,252.809998,582900,252.809998
"2021-01-19",257,269.589996,255.940002,267.459991,756800,267.459991
"2021-01-20",269.579987,269.980011,261.040009,268.790009,686000,268.790009
"2021-01-21",270.26001,273.820007,265.450012,272.329987,665800,272.329987
"2021-01-22",270.470001,278.640015,269.549988,277.609985,500500,277.609985
"2021-01-25",279.089996,287.549988,265.709991,269.019989,829800,269.019989
"2021-01-26",269.040009,269.540009,264.25,264.809998,486100,264.809998
"2021-01-27",257.859985,258.130005,243.210007,248.809998,938800,248.809998
"2021-01-28",254.990005,256.600006,248.059998,252.929993,574700,252.929993
"2021-01-29",251.5,254.309998,244.639999,246.419998,424200,246.419998
"2021-02-01",250.210007,259.859985,248.070007,258.730011,624400,258.730011
"2021-02-02",263.019989,268.130005,261.75,266.98999,513500,266.98999
"2021-02-03",268.089996,269,261.5,264.299988,293200,264.299988
"2021-02-04",266.679993,269.579987,261.609985,262.23999,563500,262.23999
"2021-02-05",263.959991,272.040009,263.5,270.579987,396400,270.579987
"2021-02-08",273.109985,280.609985,273.109985,279,457700,279
"2021-02-09",279.940002,281.269989,274.950012,275.559998,381000,275.559998
"2021-02-10",276.549988,283.109985,274.559998,277.540009,904600,277.540009
"2021-02-11",293.5,318.75,293,316.109985,1619800,316.109985
"2021-02-12",320.579987,330.309998,317.01001,326.839996,930200,326.839996
"2021-02-16",347.73999,360.179993,341.48999,350.529999,1986700,350.529999
"2021-02-17",350,361,341.670013,355.320007,1332700,355.320007
"2021-02-18",355.559998,363.720001,343.540009,351.459991,1221000,351.459991
"2021-02-19",356.320007,363.570007,354,363.470001,899200,363.470001
"2021-02-22",360.970001,364,335.299988,336.700012,1026000,336.700012
"2021-02-23",328.170013,334.070007,308.040009,333.040009,1176600,333.040009
"2021-02-24",338.299988,340.980011,321.309998,322.679993,932900,322.679993
"2021-02-25",323.26001,325.850006,309.100006,315.660004,906000,315.660004
"2021-02-26",319.440002,334.190002,315.660004,329.559998,1010100,329.559998
"2021-03-01",335,349.329987,322.48999,346.25,809800,346.25
"2021-03-02",345.899994,354.649994,334.350006,338.700012,622600,338.700012
"2021-03-03",337.730011,341.01001,315.049988,318.26001,829200,318.26001
"2021-03-04",315.649994,322.089996,296.700012,305.720001,895400,305.720001
"2021-03-05",310.029999,311.380005,286.5,307.029999,896400,307.029999
"2021-03-08",308,314.690002,293.76001,294.809998,737000,294.809998
"2021-03-09",305.890015,314.609985,302.089996,309.140015,649400,309.140015
"2021-03-10",312.279999,322.929993,311.380005,314.5,519600,314.5
"2021-03-11",325,332.600006,321.51001,331.76001,519400,331.76001
"2021-03-12",324.519989,330.929993,320.049988,329.299988,386700,329.299988
"2021-03-15",335.5,338.269989,323.640015,338.109985,1101800,338.109985
"2021-03-16",335.920013,337.579987,319.48999,325.890015,772500,325.890015
