"","SRE.Open","SRE.High","SRE.Low","SRE.Close","SRE.Volume","SRE.Adjusted"
"2020-07-01",119.330002,121.660004,117.959999,121.349998,1968000,113.589722
"2020-07-02",122.269997,123.699997,120.739998,120.940002,1525100,113.20594
"2020-07-06",121.970001,122.370003,119.629997,120.449997,1833200,112.747292
"2020-07-07",119.080002,119.220001,117.589996,117.760002,2115200,110.229324
"2020-07-08",117.220001,118.379997,116.639999,117.25,1715200,109.751915
"2020-07-09",116.669998,117,114.150002,116.290001,2243000,108.853325
"2020-07-10",116.120003,119.510002,116.120003,119.169998,1321300,111.549141
"2020-07-13",119.599998,121.300003,118.919998,120.169998,1432900,112.485191
"2020-07-14",120.360001,122.510002,120.349998,121.839996,2113600,114.048386
"2020-07-15",123.25,125.120003,122.449997,123.150002,2277000,115.274612
"2020-07-16",122.800003,123.529999,121.57,122.629997,1372100,114.787865
"2020-07-17",122.959999,124.980003,122.940002,124.82,1936100,116.837814
"2020-07-20",124.010002,124.720001,122.190002,122.620003,1228600,114.778511
"2020-07-21",123.309998,125.970001,123.309998,125.279999,1758900,117.26841
"2020-07-22",125.459999,128.190002,124.699997,127.879997,2663900,119.702126
"2020-07-23",127.470001,129.179993,126.93,127.339996,1460100,119.196671
"2020-07-24",127.809998,128.860001,125.150002,125.620003,1431200,117.58667
"2020-07-27",125.290001,125.419998,122.790001,122.980003,1328900,115.115494
"2020-07-28",122.190002,125.940002,122.160004,124.650002,1322200,116.678696
"2020-07-29",124.339996,125.370003,124.230003,125.010002,1081200,117.015671
"2020-07-30",123.510002,123.959999,122.699997,123.75,1433800,115.836243
"2020-07-31",123.419998,124.769997,122.470001,124.459999,1246300,116.500839
"2020-08-03",124.099998,124.800003,122.970001,124.040001,1217500,116.107704
"2020-08-04",123.440002,125.510002,123.440002,125.019997,1504100,117.025024
"2020-08-05",125.480003,129.770004,125.199997,127.029999,2104400,118.906494
"2020-08-06",127.790001,129.419998,127.400002,128.199997,1498400,120.001678
"2020-08-07",128.279999,130.539993,128.039993,129.899994,1223500,121.592957
"2020-08-10",130.369995,133.889999,129.630005,133.570007,1784400,125.028267
"2020-08-11",135,135,130.619995,131.110001,1443900,122.725571
"2020-08-12",132.240005,134.669998,131.550003,134.190002,1496100,125.608604
"2020-08-13",133.429993,135.119995,133.020004,134.660004,1073800,126.048553
"2020-08-14",133.669998,134.039993,131.190002,131.889999,1299200,123.455711
"2020-08-17",130.580002,131.289993,128.880005,129.679993,1697500,121.387016
"2020-08-18",129.520004,130.5,128.809998,129.360001,888100,121.087494
"2020-08-19",130.169998,130.309998,127.75,128.220001,1494800,120.020393
"2020-08-20",127.300003,128.070007,125.959999,126.220001,1160000,118.148293
"2020-08-21",126.529999,126.550003,124.849998,125.480003,1128800,117.455627
"2020-08-24",125.720001,127.419998,124.879997,127.370003,819700,119.224754
"2020-08-25",128.089996,128.100006,125.099998,125.510002,1008300,117.483704
"2020-08-26",124.800003,125.099998,122.230003,122.339996,1277900,114.516418
"2020-08-27",123.120003,125.099998,123.050003,123.589996,1077600,115.686478
"2020-08-28",123.139999,123.879997,121.980003,122.32,1065000,114.497696
"2020-08-31",122.519997,123.910004,122.220001,123.650002,1094600,115.742653
"2020-09-01",123.040001,123.489998,121.519997,122.25,1049000,114.432175
"2020-09-02",122.25,125.190002,121.709999,124.550003,1225800,116.585098
"2020-09-03",125,125.900002,121.550003,122.720001,1110000,114.872124
"2020-09-04",123.239998,123.68,118.800003,120.889999,1171100,113.159149
"2020-09-08",120.620003,121,117.269997,119.089996,1464800,111.474251
"2020-09-09",120.410004,122.269997,119.580002,120.949997,1370800,113.215309
"2020-09-10",120.690002,120.690002,117.959999,118.120003,1058000,110.566292
"2020-09-11",117.760002,118.160004,116.639999,117.800003,1328100,110.266754
"2020-09-14",118.510002,119.540001,117.580002,119.150002,1699100,111.530418
"2020-09-15",119.82,121.18,117.050003,117.629997,1065700,110.10762
"2020-09-16",117.940002,121.419998,117.209999,120.839996,1520300,113.112343
"2020-09-17",119.599998,121.120003,118.68,121.029999,1801000,113.290199
"2020-09-18",120.660004,121.339996,118.730003,119.980003,3948100,112.307358
"2020-09-21",118.25,118.989998,116.5,116.660004,1730400,109.199661
"2020-09-22",117.150002,119.760002,116.870003,119.050003,1575100,111.436813
"2020-09-23",119.080002,119.25,114.410004,114.5,1732700,107.177788
"2020-09-24",113.300003,116.900002,112.330002,115.739998,1439700,109.336357
"2020-09-25",114.910004,117.800003,114.790001,117.610001,1102200,111.102898
"2020-09-28",117.900002,118.720001,116.580002,116.709999,1298900,110.252693
"2020-09-29",116.980003,117.989998,115.650002,116.18,951300,109.752022
"2020-09-30",116.959999,118.849998,116.669998,118.360001,1627900,111.811401
"2020-10-01",119.379997,120.25,118.279999,119.129997,1335100,112.538803
"2020-10-02",118.059998,121.339996,117.699997,120.5,1248200,113.833008
"2020-10-05",121.419998,121.860001,119.690002,121.769997,949700,115.03273
"2020-10-06",122.099998,124.860001,121.25,122.230003,1124600,115.467285
"2020-10-07",122.389999,123.5,121.040001,122.720001,1074800,115.930176
"2020-10-08",123.489998,127.209999,123.18,126.709999,1026100,119.699425
"2020-10-09",127.510002,127.510002,124.690002,126.010002,897000,119.038155
"2020-10-12",125.669998,127.57,124.980003,126.779999,807400,119.765541
"2020-10-13",125.879997,127.269997,125.709999,126.550003,1211100,119.548271
"2020-10-14",127.190002,128.029999,126.07,127.089996,975200,120.058388
"2020-10-15",125.739998,129.389999,125.559998,128.539993,1446700,121.428162
"2020-10-16",128.660004,129.880005,127.540001,128.110001,1344000,121.02195
"2020-10-19",128.679993,129.850006,126.82,127.970001,1523700,120.889709
"2020-10-20",129.009995,130.399994,128.289993,129.679993,988900,122.505081
"2020-10-21",129.779999,130.509995,128.800003,129.300003,1199800,122.146126
"2020-10-22",129.630005,132.490005,128.270004,132.279999,1134100,124.961243
"2020-10-23",133.110001,134.009995,131.669998,133.860001,1166200,126.453812
"2020-10-26",132.850006,132.850006,130.279999,131.320007,1206600,124.054359
"2020-10-27",131.100006,132.460007,130.25,130.270004,1353100,123.062454
"2020-10-28",128.300003,130.149994,125.720001,126.099998,1676100,119.123161
"2020-10-29",125.550003,129.220001,124.68,127.220001,1248600,120.181206
"2020-10-30",126.370003,127.57,123.980003,125.360001,1534800,118.42411
"2020-11-02",127,128.039993,125.830002,127.620003,1347000,120.559067
"2020-11-03",129.240005,130.410004,128.589996,129.100006,935400,121.957191
"2020-11-04",128.800003,131.899994,128.059998,128.429993,929800,121.324242
"2020-11-05",126.769997,130.929993,126.769997,127.010002,1572700,119.982826
"2020-11-06",127.370003,128.289993,124.639999,124.830002,1648400,117.923431
"2020-11-09",131.240005,133.580002,129.979996,130.389999,2148000,123.175797
"2020-11-10",130.509995,136.809998,130.429993,135.960007,2771500,128.437622
"2020-11-11",136.350006,136.619995,132.809998,133.639999,1998700,126.245987
"2020-11-12",132.830002,133.360001,130.320007,132.300003,1660100,124.980125
"2020-11-13",133.350006,135.270004,132.139999,134.550003,1535200,127.105629
"2020-11-16",136.940002,137.470001,134.339996,135.440002,1399200,127.946396
"2020-11-17",134.770004,135.449997,133.729996,134.059998,1635800,126.642769
"2020-11-18",135.210007,136.360001,133.020004,133.039993,1691700,125.679176
"2020-11-19",132.289993,133.029999,129.460007,130.25,1711500,123.043556
"2020-11-20",130.350006,131.910004,130.100006,130.419998,1353100,123.204155
"2020-11-23",130.850006,131.949997,129.789993,131.039993,1366200,123.789841
"2020-11-24",132.320007,133.220001,131.669998,132.309998,1180200,124.989586
"2020-11-25",132.309998,132.360001,130.559998,131.960007,1281700,124.658951
"2020-11-27",131.779999,131.979996,130.029999,130.460007,482000,123.241951
"2020-11-30",129.800003,130.449997,127.260002,127.480003,2438400,120.426811
"2020-12-01",128.559998,129.949997,127.639999,127.760002,1369700,120.69133
"2020-12-02",128.630005,131.589996,127.660004,131.429993,2449300,124.158249
"2020-12-03",130.850006,132.770004,130.070007,132.009995,1772100,124.706177
"2020-12-04",131.509995,132.419998,127.379997,128.169998,2494000,121.078644
"2020-12-07",127.650002,129,127.199997,128.229996,1576700,121.135315
"2020-12-08",127.57,130.050003,127.57,129.300003,1569200,122.146126
"2020-12-09",129.479996,129.610001,128.350006,128.960007,1359800,121.824928
"2020-12-10",129.179993,129.5,128.100006,128.729996,1312200,121.607651
"2020-12-11",127.610001,128.960007,127.230003,128,1680600,120.918037
"2020-12-14",129.009995,130.020004,128,128.039993,1398800,120.955826
"2020-12-15",128.949997,131.5,128.100006,130.949997,1665800,123.704819
"2020-12-16",131.589996,131.979996,129.100006,129.119995,1719300,121.976074
"2020-12-17",128.949997,132.699997,128.619995,131.740005,2982900,125.466545
"2020-12-18",132.330002,132.779999,129.990005,130.699997,3734200,124.476059
"2020-12-21",128.889999,129.320007,126.5,126.709999,2324600,120.676079
"2020-12-22",126.559998,127.400002,125.650002,126.269997,963300,120.257027
"2020-12-23",127.150002,127.879997,125.889999,125.949997,743100,119.952263
"2020-12-24",125.970001,126.18,124.720001,125.900002,369800,119.904655
"2020-12-28",126.339996,127.889999,126.120003,126.489998,799200,120.466545
"2020-12-29",127.110001,127.410004,126.110001,126.389999,806900,120.371315
"2020-12-30",126.18,127.089996,125.260002,125.82,1312900,119.828461
"2020-12-31",125.910004,127.57,125.010002,127.410004,948100,121.342743
"2021-01-04",127.239998,127.470001,123.260002,123.800003,2022000,117.904648
"2021-01-05",124,124.330002,121.769997,123.410004,2390100,117.533218
"2021-01-06",123.720001,124.93,122.5,123.809998,1902900,117.914169
"2021-01-07",124.019997,124.639999,119.459999,119.900002,2617200,114.190369
"2021-01-08",120.389999,120.529999,119.389999,119.779999,2843600,114.07608
"2021-01-11",119.709999,120.220001,117.260002,118.410004,2830200,112.771332
"2021-01-12",117.970001,118.199997,114.839996,118,2567900,112.380844
"2021-01-13",118.099998,121.629997,117.669998,121.150002,2207300,115.380836
"2021-01-14",122,124.830002,121.660004,122.529999,2867700,116.695129
"2021-01-15",122.339996,124.349998,121.550003,122.160004,1600100,116.342743
"2021-01-19",122.400002,122.75,121.050003,121.480003,1587500,115.695129
"2021-01-20",121.089996,123.129997,120.57,122.870003,1680300,117.018944
"2021-01-21",122.080002,123.379997,122.010002,122.370003,1456000,116.542747
"2021-01-22",122.099998,122.709999,120.589996,121.449997,1275300,115.66655
"2021-01-25",121,126.169998,120.5,125.970001,2531100,119.971321
"2021-01-26",126.32,126.870003,124.580002,124.589996,1412400,118.657028
"2021-01-27",123.879997,124.220001,118.910004,119.949997,2055600,114.237991
"2021-01-28",120.940002,125.269997,120.260002,124.690002,2335700,118.752266
"2021-01-29",124,126.559998,123.080002,123.760002,2785200,117.866554
"2021-02-01",123.800003,125.5,122.360001,124.940002,1549400,118.990364
"2021-02-02",125.82,127.43,124.199997,124.580002,1572000,118.647507
"2021-02-03",124.160004,125.110001,122.879997,123.330002,1194100,117.457031
"2021-02-04",123.010002,126.260002,122.690002,126.07,1124700,120.066551
"2021-02-05",126.769997,127.080002,125.480003,126.239998,917100,120.228455
"2021-02-08",126.099998,126.639999,124.580002,124.849998,1078700,118.90464
"2021-02-09",125.169998,125.879997,123.900002,125.339996,722100,119.371307
"2021-02-10",126.18,127.610001,125.639999,126.849998,1119200,120.809395
"2021-02-11",126.010002,126.68,125.440002,125.800003,1163300,119.809402
"2021-02-12",125.389999,125.959999,123.339996,124.5,1125700,118.571312
"2021-02-16",124.5,125.5,123.599998,124.68,1017800,118.742752
"2021-02-17",125,125.150002,123.260002,124.610001,770500,118.676079
"2021-02-18",124.260002,124.900002,123.540001,124.269997,1242400,118.352264
"2021-02-19",124.809998,125.610001,124,124.57,1202300,118.637985
"2021-02-22",125,125,120.669998,122.660004,1339600,116.818939
"2021-02-23",123.82,124.480003,122.510002,123.559998,1512900,117.676079
"2021-02-24",122.82,123.949997,121.699997,122.57,1751900,116.733231
"2021-02-25",122.559998,123.739998,118.599998,119.080002,1749800,113.409416
"2021-02-26",119.510002,119.510002,115.970001,115.980003,2138100,110.457039
"2021-03-01",116.650002,119.849998,116.650002,117.900002,1087000,112.285614
"2021-03-02",117.93,118.199997,116.779999,117.129997,2145500,111.552269
"2021-03-03",116.379997,117.459999,114.660004,116.970001,1394800,111.399902
"2021-03-04",117.730003,120,116.57,116.989998,1497200,111.418938
"2021-03-05",118.110001,119.900002,116.730003,119.169998,1338900,113.495132
"2021-03-08",119.489998,123.790001,119.260002,122.910004,1692200,117.057037
"2021-03-09",122.949997,124.739998,122.57,123.43,1281900,117.552277
"2021-03-10",123.709999,126.970001,123.5,126.489998,2414900,120.466545
"2021-03-11",125.220001,128.639999,125.220001,126.910004,1934300,120.866547
"2021-03-12",127.589996,128.979996,126.639999,128.75,1487000,122.618935
"2021-03-15",129.100006,132.5,128.850006,132,2245000,125.714157
"2021-03-16",131.039993,132.229996,130.179993,131.229996,1635400,124.980835
"2021-03-17",131.320007,131.490005,128.539993,129.490005,1676600,123.323692
"2021-03-18",129,130.139999,128.539993,129.610001,1694900,123.437981
"2021-03-19",130.020004,130.570007,128.110001,128.619995,6081300,122.495125
"2021-03-22",128,128.669998,126.919998,128.100006,1353200,121.999886
"2021-03-23",128,130.050003,127.660004,129.520004,1444600,123.352272
"2021-03-24",127.470001,129.929993,127.470001,128.970001,1172400,123.880562
"2021-03-25",129.759995,131.429993,128.460007,130.979996,1372500,125.811234
"2021-03-26",131.419998,132.399994,130.25,132.139999,1321500,126.925468
"2021-03-29",132.089996,133.300003,131.369995,132.190002,1437900,126.97348
"2021-03-30",131.070007,132.039993,130.520004,131.570007,829200,126.377968
"2021-03-31",131.529999,132.919998,130.970001,132.580002,1380100,127.348099
"2021-04-01",132.410004,132.990005,130.809998,131.800003,933500,126.598877
"2021-04-05",132.509995,135.25,132.509995,133.839996,1294000,128.55835
"2021-04-06",133.110001,134.729996,132.779999,134.240005,1119900,128.942612
"2021-04-07",134.179993,134.660004,132.610001,133.520004,1302400,128.251007
"2021-04-08",133.880005,135.199997,133.089996,133.149994,1353400,127.895584
"2021-04-09",133.279999,134.649994,133.279999,134.279999,1007100,128.981018
"2021-04-12",134.740005,135.800003,132.699997,133.289993,1442600,128.030075
"2021-04-13",132.699997,135.309998,131.610001,135.039993,1427900,129.711014
"2021-04-14",134.800003,135.75,134.440002,135.440002,1054700,130.09523
"2021-04-15",135.449997,137.789993,135.440002,137.630005,1377800,132.198807
"2021-04-16",137.880005,138.820007,137.580002,138.139999,1378100,132.68869
"2021-04-19",139.179993,139.570007,137.589996,138.240005,1388000,132.78476
"2021-04-20",138.149994,140.110001,137.899994,139.860001,1207300,134.340805
"2021-04-21",139.839996,140.300003,137.880005,138.600006,1290100,133.130569
"2021-04-22",138.600006,138.899994,137.240005,137.449997,927500,132.025909
"2021-04-23",137.509995,137.550003,136.229996,137.070007,802100,131.660934
"2021-04-26",137.089996,137.089996,135.449997,136.490005,1090800,131.103806
"2021-04-27",136.649994,136.649994,134.470001,134.929993,1206700,129.605362
"2021-04-28",135.350006,135.570007,133.929993,134.919998,1039600,129.595749
"2021-04-29",135.229996,136.220001,134.919998,136.119995,2014400,130.748383
"2021-04-30",136.429993,137.619995,135.419998,137.570007,1207900,132.141174
"2021-05-03",137.809998,139.360001,136.970001,138.059998,938200,132.611847
"2021-05-04",138.190002,138.580002,137.300003,137.979996,1239100,132.534988
"2021-05-05",138.630005,138.740005,134.199997,135.479996,1262700,130.133667
"2021-05-06",135.809998,136.759995,134.860001,136.610001,1112200,131.219055
"2021-05-07",136,138.830002,135.690002,137.820007,904500,132.381317
"2021-05-10",138.460007,140.460007,138.110001,139.020004,815500,133.533966
"2021-05-11",139.029999,139.179993,137.070007,138.539993,1308900,133.072906
"2021-05-12",138.419998,138.580002,134.919998,135.210007,1466100,129.874313
"2021-05-13",135.080002,138.490005,134.490005,137.729996,898100,132.294876
"2021-05-14",138.289993,139.479996,137.5,138.110001,946100,132.659866
"2021-05-17",138.169998,138.589996,136.720001,137.539993,1386300,132.112366
"2021-05-18",137.440002,137.800003,136.809998,137.350006,1816500,131.929871
"2021-05-19",136.979996,137.190002,134.539993,135.949997,1752300,130.585098
"2021-05-20",136.149994,136.690002,135.25,135.740005,3750600,130.383392
"2021-05-21",135.990005,137.350006,135.990005,136.970001,1676000,131.56485
"2021-05-24",137.669998,138.789993,137.649994,137.759995,960500,132.323685
"2021-05-25",137.720001,137.970001,135.119995,135.449997,1206900,130.104843
"2021-05-26",135.820007,137.839996,135.220001,137.029999,2107400,131.622498
"2021-05-27",137.339996,137.539993,134.919998,135.300003,5666400,129.96077
"2021-05-28",135.949997,136.880005,134.720001,135.490005,2057600,130.143265
"2021-06-01",136.100006,136.460007,135.289993,135.929993,2406400,130.565887
"2021-06-02",136.080002,136.449997,134.919998,135.839996,2746500,130.479446
"2021-06-03",134.850006,137.399994,134.850006,137.009995,1686900,131.603302
"2021-06-04",137.360001,137.770004,135.889999,136.419998,1786100,131.036575
"2021-06-07",136.759995,137.039993,135.970001,136.100006,1483100,130.729187
"2021-06-08",136.610001,136.610001,134.490005,135.440002,1874900,130.09523
