"","ANSS.Open","ANSS.High","ANSS.Low","ANSS.Close","ANSS.Volume","ANSS.Adjusted"
"2020-09-09",314.779999,322.309998,310.410004,320.049988,506300,320.049988
"2020-09-10",323.679993,327.980011,315.350006,317.420013,442800,317.420013
"2020-09-11",318.480011,320.75,309.73999,314.079987,341400,314.079987
"2020-09-14",318.690002,323.579987,317.619995,321.600006,266900,321.600006
"2020-09-15",323.779999,330.029999,321.769989,328.209991,251600,328.209991
"2020-09-16",331.440002,331.440002,317.429993,317.890015,499400,317.890015
"2020-09-17",308.829987,313.299988,305.01001,308.880005,518400,308.880005
"2020-09-18",309.23999,312,299.890015,305.079987,800900,305.079987
"2020-09-21",300.910004,309.470001,298.350006,309.190002,700400,309.190002
"2020-09-22",310.859985,316.040009,307.790009,315.440002,292800,315.440002
"2020-09-23",313.829987,313.829987,301,302.549988,310300,302.549988
"2020-09-24",300.279999,307.880005,298.76001,304.410004,275100,304.410004
"2020-09-25",303.709991,312.890015,301.380005,312.160004,361300,312.160004
"2020-09-28",318.359985,320.23999,315.540009,318.799988,326400,318.799988
"2020-09-29",318.220001,321.869995,317.359985,319.51001,472600,319.51001
"2020-09-30",318.51001,328.790009,317.350006,327.230011,682200,327.230011
"2020-10-01",332.070007,336.350006,329.290009,334.799988,494000,334.799988
"2020-10-02",330.190002,331.459991,318.940002,321.579987,399900,321.579987
"2020-10-05",322.459991,326.200012,321.579987,323.869995,388300,323.869995
"2020-10-06",322.700012,324.859985,314.899994,316.470001,700400,316.470001
"2020-10-07",319.519989,330.959991,319.519989,330.399994,394600,330.399994
"2020-10-08",331.970001,334.380005,328.820007,333.540009,328400,333.540009
"2020-10-09",336,339.170013,334.089996,336.820007,333400,336.820007
"2020-10-12",340.559998,351.48999,340.25,347.859985,425200,347.859985
"2020-10-13",345.160004,355.190002,345.160004,351.309998,384400,351.309998
"2020-10-14",354.130005,355.350006,346.690002,351.399994,341800,351.399994
"2020-10-15",348.309998,352.700012,344.940002,351.700012,295500,351.700012
"2020-10-16",353.549988,357.929993,348.720001,349.720001,521700,349.720001
"2020-10-19",348.700012,353.040009,334.790009,336.25,565400,336.25
"2020-10-20",337.910004,337.910004,331.709991,331.959991,697600,331.959991
"2020-10-21",332.01001,336.429993,326.899994,327.859985,390700,327.859985
"2020-10-22",327.380005,329.209991,323.179993,326.779999,370300,326.779999
"2020-10-23",329.230011,331.850006,324.380005,330.220001,349900,330.220001
"2020-10-26",323.670013,328.359985,315.779999,321,330600,321
"2020-10-27",324.670013,327.73999,321.559998,322.170013,368900,322.170013
"2020-10-28",319.709991,322.170013,307.209991,308.029999,396600,308.029999
"2020-10-29",308.359985,313.959991,306.609985,310.850006,442800,310.850006
"2020-10-30",306.350006,309.279999,301.26001,304.369995,422600,304.369995
"2020-11-02",304.450012,314.600006,304.450012,311.230011,457500,311.230011
"2020-11-03",313.660004,320.73999,312.049988,315.910004,358400,315.910004
"2020-11-04",330.220001,335.369995,323.320007,329.25,678200,329.25
"2020-11-05",330.149994,339.899994,324.600006,328.350006,539300,328.350006
"2020-11-06",330.140015,337.670013,323.450012,336.799988,269600,336.799988
"2020-11-09",346.130005,348.980011,328.130005,328.470001,500700,328.470001
"2020-11-10",321.98999,329.230011,318.130005,319.429993,632600,319.429993
"2020-11-11",325.23999,334.049988,325.23999,328.959991,300700,328.959991
"2020-11-12",328.519989,332.579987,322.869995,323.640015,255000,323.640015
"2020-11-13",326.359985,329.230011,324.549988,328.209991,418900,328.209991
"2020-11-16",328.170013,328.790009,320.959991,322.670013,334800,322.670013
"2020-11-17",321.880005,324.190002,318.480011,319.790009,380200,319.790009
"2020-11-18",318.519989,319.769989,315.339996,317.98999,319600,317.98999
"2020-11-19",316.25,325.529999,313.640015,324.119995,338500,324.119995
"2020-11-20",323.730011,325.950012,317.809998,318.26001,297000,318.26001
"2020-11-23",318.950012,319.429993,310.940002,313.420013,357100,313.420013
"2020-11-24",316.410004,321.329987,313.850006,320.119995,428700,320.119995
"2020-11-25",323.700012,328.130005,320.200012,322.869995,324700,322.869995
"2020-11-27",326.23999,331.98999,324.230011,330.410004,209300,330.410004
"2020-11-30",330.170013,338.839996,328.75,338.059998,598700,338.059998
"2020-12-01",339.089996,343.700012,335.200012,340.850006,397500,340.850006
"2020-12-02",338.869995,339.850006,334.230011,334.929993,284800,334.929993
"2020-12-03",332.649994,340.5,332.649994,337.540009,269100,337.540009
"2020-12-04",339.149994,345.540009,339,343.470001,294300,343.470001
"2020-12-07",343.920013,346.679993,340.480011,341.890015,350100,341.890015
"2020-12-08",344.48999,344.48999,338.269989,341.279999,402700,341.279999
"2020-12-09",342.700012,343.480011,333.269989,334.549988,329600,334.549988
"2020-12-10",332.190002,337.209991,330.26001,334.040009,323300,334.040009
"2020-12-11",331.570007,335.730011,328.600006,335.190002,329800,335.190002
"2020-12-14",336.75,346.309998,335.26001,343.390015,426100,343.390015
"2020-12-15",344.309998,349.369995,342.190002,343.029999,408100,343.029999
"2020-12-16",344.630005,346,341.299988,343.619995,315100,343.619995
"2020-12-17",345.73999,346.730011,342.26001,346.630005,360700,346.630005
"2020-12-18",347.670013,358.01001,347.01001,357.809998,932500,357.809998
"2020-12-21",351.730011,357.890015,344.269989,355.950012,635600,355.950012
"2020-12-22",355,362.579987,355,362.309998,372300,362.309998
"2020-12-23",364.720001,369.820007,362.190002,362.220001,398800,362.220001
"2020-12-24",362.76001,366.329987,361.130005,364.170013,209300,364.170013
"2020-12-28",367.079987,368,361.940002,363.720001,208700,363.720001
"2020-12-29",365,366.690002,358.720001,360.850006,195800,360.850006
"2020-12-30",362.959991,364.859985,360.869995,362.320007,224700,362.320007
"2020-12-31",363.809998,366.470001,362.420013,363.799988,396500,363.799988
"2021-01-04",362.350006,373.790009,353.75,357.670013,521700,357.670013
"2021-01-05",356.779999,360.5,353.730011,359.829987,400300,359.829987
"2021-01-06",351.850006,355.350006,348.529999,349.899994,767200,349.899994
"2021-01-07",352.609985,366.170013,352.609985,365.019989,410000,365.019989
"2021-01-08",366.559998,375.779999,365,374.660004,497700,374.660004
"2021-01-11",371.649994,375,369.019989,373.329987,291100,373.329987
"2021-01-12",371.380005,375.850006,370.570007,373.269989,760800,373.269989
"2021-01-13",370.940002,378.850006,366.48999,375.579987,464700,375.579987
"2021-01-14",376,378.359985,367.609985,369.049988,457700,369.049988
"2021-01-15",368.850006,370.570007,362.220001,364.279999,498100,364.279999
"2021-01-19",367.269989,370.76001,365.269989,369.51001,375500,369.51001
"2021-01-20",371.890015,380.76001,371.470001,378.649994,334900,378.649994
"2021-01-21",379.570007,380.209991,371.73999,371.859985,364900,371.859985
"2021-01-22",371.230011,375.829987,370.790009,374.570007,661400,374.570007
"2021-01-25",376.589996,377.649994,364.51001,367.869995,525400,367.869995
"2021-01-26",368.119995,369.869995,362.970001,366.640015,661600,366.640015
"2021-01-27",362.209991,364.980011,345.450012,348.850006,480100,348.850006
"2021-01-28",353.359985,369.540009,352.929993,362.869995,420300,362.869995
"2021-01-29",357.160004,360.850006,351.869995,354.369995,464700,354.369995
"2021-02-01",358.100006,370.429993,356.269989,367.940002,436700,367.940002
"2021-02-02",369.970001,377.98999,369.970001,375.119995,300400,375.119995
"2021-02-03",376.670013,376.98999,369.820007,370.070007,254700,370.070007
"2021-02-04",372.589996,377.630005,370.75,377.410004,265100,377.410004
"2021-02-05",379.720001,384.660004,377.429993,379.480011,347500,379.480011
"2021-02-08",381.109985,383.76001,379.480011,381.970001,428900,381.970001
"2021-02-09",382,387.920013,381.519989,386.390015,238800,386.390015
"2021-02-10",388.970001,390.309998,383.350006,386.589996,364300,386.589996
"2021-02-11",390.390015,396.619995,390.390015,396.130005,319500,396.130005
"2021-02-12",397.640015,404.160004,395.130005,403.600006,340600,403.600006
"2021-02-16",404.890015,413.190002,400.809998,401.859985,386600,401.859985
"2021-02-17",397.649994,397.649994,388.390015,393.899994,290900,393.899994
"2021-02-18",390.459991,391.549988,383.399994,389.809998,358100,389.809998
"2021-02-19",391.200012,400.600006,390.089996,395.369995,443500,395.369995
"2021-02-22",393.609985,393.609985,382.029999,383.200012,396400,383.200012
"2021-02-23",378,378.470001,364.850006,375.559998,427100,375.559998
"2021-02-24",371.670013,386.679993,365.049988,385.369995,417700,385.369995
"2021-02-25",354.399994,369.700012,336.829987,338.459991,1245400,338.459991
"2021-02-26",340.959991,349.019989,337.980011,340.98999,871800,340.98999
"2021-03-01",347.390015,352.48999,345.049988,346.109985,723900,346.109985
"2021-03-02",350.059998,350.779999,334.910004,336.329987,566300,336.329987
"2021-03-03",333.790009,333.790009,317.549988,319.859985,790900,319.859985
"2021-03-04",318.98999,321.769989,301.690002,306.160004,841300,306.160004
"2021-03-05",311.929993,312.570007,292.790009,308.029999,940300,308.029999
"2021-03-08",307.470001,311.940002,292.829987,293.549988,726600,293.549988
"2021-03-09",300.01001,312.880005,297.76001,308,759500,308
"2021-03-10",310.630005,316.899994,308.200012,310.089996,737100,310.089996
"2021-03-11",317.730011,325.440002,317.730011,322.640015,730900,322.640015
"2021-03-12",316.559998,319.279999,314.109985,316.880005,547600,316.880005
"2021-03-15",314.769989,325.890015,314.769989,325.709991,496700,325.709991
"2021-03-16",329.959991,333.23999,327.98999,330.779999,575100,330.779999
"2021-03-17",326.369995,330.920013,321.359985,328.369995,477900,328.369995
"2021-03-18",321.359985,327.440002,318.100006,321.48999,530000,321.48999
"2021-03-19",322.429993,328.420013,320.690002,324.25,842100,324.25
"2021-03-22",326.26001,337.23999,326.26001,334.859985,591300,334.859985
"2021-03-23",338.48999,340.980011,331.899994,333.529999,512300,333.529999
"2021-03-24",331.929993,335.070007,328.089996,330.369995,434000,330.369995
"2021-03-25",328.730011,331.899994,323.459991,327.880005,515100,327.880005
"2021-03-26",328.160004,343.709991,324.100006,342.959991,763300,342.959991
"2021-03-29",342.040009,345.700012,336.410004,342.230011,593600,342.230011
"2021-03-30",338.720001,338.809998,330.470001,331.890015,600900,331.890015
"2021-03-31",335.380005,342.25,333.48999,339.559998,590600,339.559998
"2021-04-01",344.880005,356.98999,343.519989,351.850006,649800,351.850006
"2021-04-05",353.98999,363.790009,353.809998,362.76001,530000,362.76001
"2021-04-06",360,362.299988,354.299988,358.420013,358200,358.420013
"2021-04-07",359.859985,359.859985,353.329987,355.339996,245300,355.339996
"2021-04-08",359.600006,364.209991,359.079987,362.23999,295900,362.23999
"2021-04-09",361.950012,367.329987,359.649994,366.700012,296400,366.700012
"2021-04-12",367.089996,370.700012,366.329987,366.940002,354100,366.940002
"2021-04-13",370.309998,374.410004,368.850006,371.019989,470300,371.019989
"2021-04-14",370.179993,373.369995,365.450012,366.619995,299800,366.619995
"2021-04-15",369.109985,375.440002,368,374.619995,342000,374.619995
"2021-04-16",375.329987,375.329987,368.440002,373.929993,435900,373.929993
"2021-04-19",371.73999,372.869995,361.859985,364.470001,295300,364.470001
"2021-04-20",363.540009,367.140015,361.140015,364.940002,271500,364.940002
"2021-04-21",365.570007,367.549988,362.980011,365.880005,415500,365.880005
"2021-04-22",367.179993,371.709991,362.809998,364.809998,381900,364.809998
"2021-04-23",366.459991,374.140015,366.459991,371.730011,260500,371.730011
"2021-04-26",370.440002,376.910004,367.339996,376.880005,446000,376.880005
"2021-04-27",377.700012,378.75,370.230011,373.51001,268100,373.51001
"2021-04-28",371.640015,376.829987,370.269989,375.399994,209300,375.399994
"2021-04-29",377.209991,378,367.399994,371.799988,281100,371.799988
"2021-04-30",368.25,369.799988,364.73999,365.660004,337100,365.660004
"2021-05-03",369.029999,369.540009,360.5,361.549988,369200,361.549988
"2021-05-04",357.619995,357.619995,347.059998,350.600006,530500,350.600006
"2021-05-05",356.25,358.829987,351.970001,355.48999,465300,355.48999
"2021-05-06",335.519989,343.079987,328.23999,332.660004,818700,332.660004
"2021-05-07",338.950012,342.589996,331.790009,332.380005,605900,332.380005
"2021-05-10",329.880005,332.26001,322.970001,323.170013,574200,323.170013
"2021-05-11",318.399994,326.140015,314.679993,320.869995,669600,320.869995
"2021-05-12",314.700012,323.140015,313.75,320.559998,629400,320.559998
"2021-05-13",324.540009,326.279999,317.109985,317.670013,422200,317.670013
"2021-05-14",321.630005,328.420013,320.369995,326.470001,462900,326.470001
"2021-05-17",324.200012,325.5,318.609985,321.230011,294800,321.230011
"2021-05-18",324.029999,328.769989,320.829987,321.179993,447000,321.179993
"2021-05-19",316.23999,327.320007,316.220001,326.48999,326400,326.48999
"2021-05-20",329.119995,335.890015,328.5,333.720001,335000,333.720001
"2021-05-21",336.299988,336.98999,328.470001,330.26001,270900,330.26001
"2021-05-24",334.679993,340.220001,334.410004,338.769989,269600,338.769989
"2021-05-25",338.980011,341.049988,337.859985,339.190002,267600,339.190002
"2021-05-26",339.579987,341.570007,336.630005,338.029999,274600,338.029999
"2021-05-27",335.73999,338.98999,332.519989,336.790009,920900,336.790009
"2021-05-28",339.829987,343.790009,337.640015,337.940002,303500,337.940002
"2021-06-01",340.920013,340.920013,332.429993,335.98999,298300,335.98999
"2021-06-02",335.350006,339.51001,335.339996,336.410004,348900,336.410004
"2021-06-03",332,334.459991,327.730011,329.299988,309700,329.299988
"2021-06-04",332.700012,339.450012,332.700012,338.779999,377800,338.779999
"2021-06-07",335.329987,338.839996,326,328.570007,636700,328.570007
"2021-06-08",330.709991,332.589996,327.73999,329.390015,322000,329.390015
"2021-06-09",331.609985,332.26001,326.049988,326.850006,424000,326.850006
"2021-06-10",326,336,325.51001,335.730011,554700,335.730011
"2021-06-11",337.160004,339.640015,334.369995,336.420013,441600,336.420013
"2021-06-14",336.839996,339.809998,335.959991,338.5,446200,338.5
"2021-06-15",339.269989,339.269989,334.049988,335.51001,383500,335.51001
"2021-06-16",335.76001,338.329987,327.850006,332.160004,328000,332.160004
"2021-06-17",330.790009,338.850006,330.350006,336.570007,334300,336.570007
"2021-06-18",336.459991,339.040009,329.73999,331.429993,826600,331.429993
"2021-06-21",331.929993,337.940002,329.399994,336.829987,407200,336.829987
"2021-06-22",337.140015,341.160004,336.279999,340.619995,317300,340.619995
"2021-06-23",340.779999,341.940002,338.519989,339,293200,339
"2021-06-24",342.399994,344.910004,339.559998,341.549988,310900,341.549988
"2021-06-25",343.049988,344.589996,339.600006,343.480011,1404600,343.480011
"2021-06-28",346.600006,351.690002,346.01001,349.130005,442200,349.130005
"2021-06-29",348.700012,353.269989,348.670013,352.529999,252500,352.529999
"2021-06-30",352.01001,352.029999,346.359985,347.059998,275100,347.059998
"2021-07-01",346.350006,350.910004,346.019989,349.23999,331000,349.23999
"2021-07-02",352.429993,354.98999,351.5,353.410004,224100,353.410004
"2021-07-06",354.679993,356.149994,351.350006,355.640015,426500,355.640015
"2021-07-07",358.399994,358.399994,351.440002,353.279999,283500,353.279999
"2021-07-08",349,354.100006,344.329987,352.23999,266100,352.23999
"2021-07-09",351.839996,355.149994,346.76001,353.76001,288800,353.76001
"2021-07-12",355.230011,356.910004,349.029999,350.940002,235200,350.940002
"2021-07-13",350.380005,354.859985,347.820007,351.519989,223300,351.519989
"2021-07-14",353.970001,356.959991,351.720001,352.369995,242700,352.369995
"2021-07-15",351.829987,354.839996,349.25,352.209991,218500,352.209991
"2021-07-16",353.670013,356.670013,349.589996,349.790009,376800,349.790009
"2021-07-19",346.100006,349.920013,340.790009,343.470001,378000,343.470001
"2021-07-20",345,352.579987,342.170013,350.869995,359000,350.869995
"2021-07-21",350.529999,354.859985,347.450012,354.380005,253700,354.380005
"2021-07-22",355.579987,358.390015,355.209991,358.230011,187800,358.230011
"2021-07-23",360,367.149994,358.709991,365.399994,313700,365.399994
"2021-07-26",364.440002,364.970001,360.320007,363.25,201100,363.25
"2021-07-27",364.470001,364.470001,353.519989,359.850006,225900,359.850006
"2021-07-28",361.829987,364.410004,360.820007,362.630005,221300,362.630005
"2021-07-29",363.450012,366.559998,363,365.369995,197800,365.369995
"2021-07-30",363.119995,368.880005,363.119995,368.459991,314200,368.459991
"2021-08-02",370,373.609985,366.140015,369.630005,414700,369.630005
"2021-08-03",370.140015,373.589996,365.459991,370.820007,280100,370.820007
"2021-08-04",372.109985,375.25,370.209991,372.570007,344300,372.570007
"2021-08-05",344.100006,376.48999,342.420013,373.470001,646100,373.470001
"2021-08-06",371.980011,376.209991,364.23999,374.73999,297700,374.73999
"2021-08-09",374.209991,374.209991,370.559998,371.630005,318400,371.630005
"2021-08-10",373.079987,373.160004,359.730011,361.679993,324800,361.679993
"2021-08-11",363.450012,365.140015,360.690002,363.079987,260500,363.079987
"2021-08-12",362.529999,367.109985,360.450012,363.450012,182700,363.450012
"2021-08-13",363.299988,364.929993,361.029999,362.589996,231100,362.589996
"2021-08-16",362.529999,364.089996,359.670013,363.200012,279100,363.200012
"2021-08-17",360.98999,360.98999,354.23999,357.269989,279500,357.269989
"2021-08-18",356.850006,357.369995,353.130005,353.609985,209300,353.609985
"2021-08-19",353.190002,360.899994,352.839996,357.720001,312000,357.720001
"2021-08-20",358.190002,363.410004,355.410004,362.220001,252700,362.220001
"2021-08-23",363.399994,367.790009,362.070007,367.019989,173100,367.019989
"2021-08-24",368.519989,370.190002,367.690002,368.730011,181100,368.730011
"2021-08-25",367.920013,368.959991,365.269989,365.829987,331000,365.829987
"2021-08-26",364.220001,364.950012,361.230011,361.309998,192600,361.309998
"2021-08-27",363.579987,369,362.119995,365.019989,375200,365.019989
"2021-08-30",366.609985,369,362.869995,365.799988,345500,365.799988
"2021-08-31",366.549988,368.109985,362.76001,365.359985,439200,365.359985
"2021-09-01",367.459991,371.890015,365.779999,370.059998,376600,370.059998
"2021-09-02",371.399994,372.950012,366.200012,368.399994,214600,368.399994
"2021-09-03",366.079987,371.570007,366.079987,368.380005,293000,368.380005
"2021-09-07",369.609985,372.410004,364.950012,372.070007,249500,372.070007
"2021-09-08",371.079987,375.820007,369.880005,372.529999,325800,372.529999
"2021-09-09",372.519989,375.799988,371.320007,371.970001,194900,371.970001
"2021-09-10",374.540009,377.26001,372.470001,373.609985,278800,373.609985
"2021-09-13",375.730011,376.290009,365.480011,366.380005,276100,366.380005
"2021-09-14",368.929993,372.410004,366.5,369.070007,313600,369.070007
"2021-09-15",369.070007,373.269989,366.98999,372.75,287000,372.75
"2021-09-16",371.970001,375,367.320007,374.5,311900,374.5
"2021-09-17",373.209991,374.880005,362.540009,364.630005,522000,364.630005
"2021-09-20",360.25,363.48999,352.359985,356.399994,404800,356.399994
"2021-09-21",359.079987,359.660004,353.269989,353.420013,203300,353.420013
"2021-09-22",354.149994,360.540009,352.589996,357.839996,209800,357.839996
"2021-09-23",358.350006,362,357.070007,361.040009,214500,361.040009
"2021-09-24",358.640015,361.690002,355.920013,361.549988,180200,361.549988
"2021-09-27",357.779999,358,351.730011,355.859985,300400,355.859985
"2021-09-28",350.880005,352.519989,342.799988,343.609985,448000,343.609985
"2021-09-29",344.480011,347.200012,340.450012,340.959991,223600,340.959991
"2021-09-30",341.670013,344.940002,340.170013,340.450012,291600,340.450012
"2021-10-01",342.799988,346.470001,338.5,344.73999,281300,344.73999
"2021-10-04",341.609985,342.220001,331.369995,334.98999,335900,334.98999
"2021-10-05",335.649994,343.720001,335.089996,341.359985,275400,341.359985
"2021-10-06",337.440002,344.799988,335.190002,344.609985,245700,344.609985
"2021-10-07",347.839996,352.079987,346.459991,348.709991,241600,348.709991
"2021-10-08",350.170013,350.829987,344.619995,345.670013,176800,345.670013
"2021-10-11",345.339996,349.140015,342.769989,344.109985,168100,344.109985
"2021-10-12",345.359985,348.109985,343.040009,343.720001,182400,343.720001
"2021-10-13",346.98999,350.059998,345.769989,347.809998,304800,347.809998
"2021-10-14",353.179993,359.570007,352.049988,359.399994,218100,359.399994
"2021-10-15",359.679993,361.179993,356.459991,358.850006,250000,358.850006
"2021-10-18",357.149994,362,355.98999,360.959991,267000,360.959991
"2021-10-19",362.269989,366.630005,359.890015,366.029999,276500,366.029999
"2021-10-20",366.549988,367.940002,363.549988,365.649994,311300,365.649994
"2021-10-21",365.369995,370.850006,361.149994,370.649994,278400,370.649994
"2021-10-22",371.809998,375,368.929993,370.040009,217200,370.040009
"2021-10-25",370,377.190002,368.290009,374.209991,318900,374.209991
"2021-10-26",377.160004,381.220001,375.920013,376.470001,225100,376.470001
"2021-10-27",375.309998,377.029999,369.959991,370.140015,286800,370.140015
"2021-10-28",371.890015,375.559998,370.170013,374.98999,227100,374.98999
"2021-10-29",377.01001,382.089996,372.98999,379.579987,321500,379.579987
"2021-11-01",380.709991,382.980011,375.369995,376.440002,303500,376.440002
"2021-11-02",375.920013,384.380005,374.170013,384.170013,412000,384.170013
"2021-11-03",382.799988,385.190002,377.75,384.859985,471300,384.859985
"2021-11-04",385,411.779999,378.5,409.970001,658800,409.970001
"2021-11-05",410.619995,413.890015,405.25,406.690002,543800,406.690002
"2021-11-08",407.309998,408.149994,401.98999,406.25,339600,406.25
"2021-11-09",406.910004,407.880005,402.040009,405.970001,331800,405.970001
"2021-11-10",404.190002,405.959991,388.390015,392.660004,360600,392.660004
"2021-11-11",395.200012,397.190002,383.950012,385.410004,333700,385.410004
"2021-11-12",390.019989,394.890015,388.01001,391.820007,249400,391.820007
"2021-11-15",393.410004,396.290009,389.350006,394.429993,353600,394.429993
"2021-11-16",395,401.079987,393.619995,400.399994,304200,400.399994
"2021-11-17",400.399994,403.200012,397.570007,399.359985,249700,399.359985
"2021-11-18",400.339996,400.339996,394.320007,398.619995,264300,398.619995
"2021-11-19",400.380005,403.630005,400.380005,402.519989,374300,402.519989
"2021-11-22",402.420013,408.079987,394.109985,396.980011,604100,396.980011
"2021-11-23",393.470001,397.160004,386.149994,392.209991,422100,392.209991
