"","SBNY.Open","SBNY.High","SBNY.Low","SBNY.Close","SBNY.Volume","SBNY.Adjusted"
"2021-05-18",247.949997,251.229996,245.660004,246.850006,373100,244.021027
"2021-05-19",242.479996,242.990005,229.619995,235.220001,984600,232.524323
"2021-05-20",235.619995,239.210007,231.660004,237.350006,520200,234.629898
"2021-05-21",239.619995,243.529999,237.369995,240.210007,470500,237.457138
"2021-05-24",241,243.380005,237.830002,239.529999,482300,236.784897
"2021-05-25",241.789993,245.649994,237.580002,237.940002,492600,235.213135
"2021-05-26",238.220001,244.789993,238.220001,243.809998,314100,241.015869
"2021-05-27",248.440002,250.5,245.729996,250.160004,367400,247.293076
"2021-05-28",250.279999,251.5,245.360001,249.75,336100,246.887787
"2021-06-01",251.759995,254.550003,247.570007,250.320007,436900,247.451248
"2021-06-02",252.460007,252.460007,246.979996,248.410004,219900,245.563126
"2021-06-03",247.820007,252.039993,246.479996,247.729996,279700,244.890915
"2021-06-04",248.229996,250.809998,243.470001,250.380005,355000,247.510574
"2021-06-07",250.940002,253.179993,248.190002,249.419998,311500,246.561554
"2021-06-08",247.399994,249.5,243.910004,246.039993,607400,243.220306
"2021-06-09",244.050003,250.309998,242.110001,248.309998,463100,245.464279
"2021-06-10",251.240005,253.320007,243.25,243.330002,462000,240.541367
"2021-06-11",244.619995,248.979996,242.940002,248.330002,653300,245.484055
"2021-06-14",247.490005,250.869995,239.389999,241.600006,488300,238.831192
"2021-06-15",239.970001,242.729996,235.220001,242.080002,393800,239.305679
"2021-06-16",243.600006,262.48999,240.820007,258.350006,926100,255.389221
"2021-06-17",262.079987,264,243.610001,244.259995,899300,241.460693
"2021-06-18",242.130005,245.699997,232.720001,234.5,1091300,231.812561
"2021-06-21",236.899994,248.110001,236.899994,247.139999,423800,244.307709
"2021-06-22",246.639999,247.520004,242.009995,244.270004,506800,241.470596
"2021-06-23",247.149994,249.240005,242.130005,247.050003,340700,244.218719
"2021-06-24",246.729996,252.460007,245,251.350006,409000,248.469452
"2021-06-25",254.770004,257.329987,252.350006,256.440002,505300,253.501099
"2021-06-28",254.149994,254.860001,245.850006,247.100006,350700,244.268158
"2021-06-29",249.710007,251.770004,243.350006,244,292100,241.20369
"2021-06-30",242.839996,246.990005,242.009995,245.649994,306000,242.834763
"2021-07-01",247.910004,252.350006,246.690002,249.919998,256400,247.055832
"2021-07-02",248.970001,249.660004,246.529999,248.059998,164300,245.217163
"2021-07-06",248.100006,248.369995,239,241.169998,261100,238.406113
"2021-07-07",240.259995,244.899994,237.289993,241.089996,269100,238.327026
"2021-07-08",235.789993,244.929993,234.029999,240.25,416600,237.496658
"2021-07-09",244.880005,256.420013,244.490005,255.710007,402700,252.779495
"2021-07-12",252.020004,261.920013,250.380005,257.660004,367600,254.707153
"2021-07-13",256.350006,258.940002,251.039993,253.350006,271200,250.446533
"2021-07-14",255.119995,258.899994,247.789993,249.570007,252100,246.709839
"2021-07-15",247.179993,252.970001,246.100006,248.940002,496800,246.087082
"2021-07-16",249.529999,249.970001,234.679993,235.889999,708500,233.186615
"2021-07-19",227.029999,232.699997,225.240005,227.75,692600,225.139908
"2021-07-20",229,247.210007,227.929993,235.5,1248000,232.801086
"2021-07-21",232.860001,242.630005,231.509995,240.770004,2005600,238.010696
"2021-07-22",240.520004,240.520004,234.860001,237.029999,638300,234.313568
"2021-07-23",240.850006,241.229996,235.669998,239.229996,391600,236.488342
"2021-07-26",239.570007,242.690002,233.889999,235.399994,421300,232.70224
"2021-07-27",231.869995,234.830002,226.75,230.039993,716100,227.403687
"2021-07-28",231.149994,234.639999,226.5,231.389999,396400,228.73819
"2021-07-29",232.960007,235.130005,228.220001,230.270004,600800,228.183273
"2021-07-30",228.839996,233.330002,225.580002,226.970001,467700,224.913177
"2021-08-02",228.660004,233.529999,224.800003,226.830002,397700,224.774429
"2021-08-03",228.910004,232.639999,223.960007,231.639999,407400,229.540863
"2021-08-04",229.509995,234.059998,228.009995,230.009995,302800,227.925613
"2021-08-05",230.619995,239.600006,230.009995,239.5,390500,237.32962
"2021-08-06",243.949997,251.929993,241.25,247.270004,560300,245.029221
"2021-08-09",245.380005,254.779999,243.770004,252.210007,677600,249.924469
"2021-08-10",250.759995,255.509995,247.059998,254.490005,769000,252.183777
"2021-08-11",255.649994,262.690002,252.339996,262.440002,676200,260.061737
"2021-08-12",263.25,268.459991,257.359985,258,527200,255.661957
"2021-08-13",259.059998,259.450012,256.25,257.459991,329000,255.126846
"2021-08-16",256.619995,257.51001,253.669998,256.589996,286300,254.264725
