"","CE.Open","CE.High","CE.Low","CE.Close","CE.Volume","CE.Adjusted"
"2021-09-02",157.369995,159.199997,156.270004,156.399994,538000,153.396484
"2021-09-03",156.089996,156.320007,153.990005,155.139999,559200,152.160706
"2021-09-07",153.660004,154.160004,151.690002,152.479996,669200,149.551758
"2021-09-08",152.5,152.669998,150.679993,151.100006,559600,148.198288
"2021-09-09",150.789993,154.470001,150.630005,152.860001,451400,149.924484
"2021-09-10",154.119995,154.710007,152.729996,153.210007,359100,150.267761
"2021-09-13",154.759995,155.070007,153.139999,153.880005,468200,150.924896
"2021-09-14",154.570007,154.960007,149.509995,149.710007,713500,146.834976
"2021-09-15",150.309998,151.880005,149.809998,151.259995,1099200,148.355209
"2021-09-16",151.029999,154.309998,150.5,152.360001,816700,149.434067
"2021-09-17",151.690002,152.5,147.869995,148.910004,1377400,146.050354
"2021-09-20",144.860001,145.639999,142.179993,145.190002,1047000,142.401779
"2021-09-21",146.25,146.75,143.729996,146,789200,143.196213
"2021-09-22",147.720001,149.5,145.460007,145.669998,1188900,142.872543
"2021-09-23",147.029999,151.869995,146.330002,149.449997,1219100,146.579971
"2021-09-24",149.199997,153.990005,148.979996,152.850006,995900,149.914688
"2021-09-27",154.860001,156.800003,154.470001,155.259995,862200,152.278381
"2021-09-28",155.770004,156.490005,152.979996,153.350006,633700,150.405075
"2021-09-29",153.410004,154.490005,152.059998,153.850006,436200,150.895477
"2021-09-30",154.759995,155.130005,150.509995,150.639999,495600,147.747101
"2021-10-01",151.520004,154.270004,150.809998,153.320007,483600,150.375641
"2021-10-04",154.169998,155.740005,152.020004,153.279999,513800,150.336411
"2021-10-05",154.410004,160.380005,153.949997,159.789993,919400,156.72139
"2021-10-06",157.410004,159.130005,154.820007,158.839996,755900,155.789627
"2021-10-07",160.740005,161.600006,159.169998,160.070007,519500,156.996033
"2021-10-08",160.630005,160.949997,158.770004,159.070007,458900,156.015228
"2021-10-11",160.470001,161.800003,159.710007,159.820007,507500,156.750809
"2021-10-12",159.490005,160.100006,158.699997,159.240005,552500,156.181961
"2021-10-13",159.779999,160.169998,156.860001,158.669998,520800,155.62291
"2021-10-14",160.190002,163.089996,160,162.740005,601200,159.614761
"2021-10-15",164.440002,166.529999,163.710007,164.75,692200,161.586136
"2021-10-18",164,164.600006,163.020004,163.979996,557000,160.830917
"2021-10-19",165.100006,165.539993,163.699997,164.610001,584700,161.448837
"2021-10-20",165.509995,168.839996,165.009995,166.559998,611100,163.361389
"2021-10-21",166.330002,166.610001,163.929993,165.770004,540300,162.586548
"2021-10-22",170.009995,172.509995,167.449997,168.479996,906300,165.244507
"2021-10-25",169.940002,171.979996,167.75,171.410004,631400,168.11824
"2021-10-26",172.100006,173.929993,171.320007,171.509995,645700,168.216324
"2021-10-27",170.410004,170.520004,163.460007,163.580002,691000,160.438614
"2021-10-28",164.070007,166.589996,164.070007,165.470001,542600,162.292313
"2021-10-29",164.570007,165.330002,160.550003,161.509995,843500,159.062027
"2021-11-01",161.809998,163.570007,161.119995,161.509995,846200,159.062027
"2021-11-02",162.509995,166.669998,161.789993,166.130005,804300,163.612015
"2021-11-03",165.339996,167.960007,165.339996,166.600006,627800,164.07489
"2021-11-04",166.880005,167.759995,165.619995,166.820007,695400,164.291565
"2021-11-05",167.949997,170.919998,166.979996,169.399994,680400,166.832443
"2021-11-08",170.690002,172.440002,169.779999,169.990005,677500,167.413513
"2021-11-09",169.660004,173.899994,169.639999,172.910004,810400,170.28923
"2021-11-10",172.910004,174.050003,168.419998,168.960007,739500,166.399109
"2021-11-11",169.449997,171.559998,168.610001,170.550003,844900,167.965012
"2021-11-12",172.039993,172.179993,170.059998,170.130005,895500,167.551376
"2021-11-15",170.369995,171.25,166.050003,167.419998,1053200,164.882462
"2021-11-16",167.320007,169.25,166.869995,168.630005,612800,166.074112
"2021-11-17",168.160004,168.690002,166.589996,166.899994,457400,164.370316
"2021-11-18",167.710007,168.690002,166.429993,167.460007,453700,164.921844
"2021-11-19",166.880005,167.169998,164.080002,165.740005,428400,163.227921
"2021-11-22",163.160004,168.389999,162.979996,166,697300,163.483978
"2021-11-23",166.75,169.119995,165.320007,167.490005,579600,164.951385
"2021-11-24",165.889999,167.970001,165.190002,165.960007,546600,163.44458
"2021-11-26",161,162.639999,159.050003,160.889999,390800,158.451416
"2021-11-29",161.979996,162.320007,159.429993,159.789993,1011800,157.368088
"2021-11-30",157.979996,158.919998,150.660004,151.360001,1334200,149.065872
"2021-12-01",154.669998,156.009995,148.839996,148.940002,870500,146.682556
"2021-12-02",149.740005,154.910004,148.529999,153.839996,830100,151.508286
"2021-12-03",154.279999,157.350006,152.179993,153.419998,681400,151.09465
"2021-12-06",156.020004,159.880005,155.070007,158.160004,714700,155.762802
"2021-12-07",159.789993,161.660004,159.419998,159.850006,1185400,157.4272
"2021-12-08",160.800003,161.179993,158.300003,159.820007,681000,157.397644
"2021-12-09",158.580002,159.860001,157.679993,158.619995,451700,156.21582
"2021-12-10",160.550003,161.350006,158.979996,160.919998,604500,158.480972
"2021-12-13",160.449997,160.949997,158.029999,158.070007,621700,155.674164
"2021-12-14",157.539993,161.619995,156.789993,159.589996,793700,157.171127
"2021-12-15",159.070007,160.309998,156.529999,160.029999,739500,157.604446
"2021-12-16",162.289993,164.320007,161.429993,163.080002,656300,160.608231
"2021-12-17",162.179993,162.419998,158.949997,159.229996,1510100,156.816574
"2021-12-20",157.309998,157.339996,152.419998,155.899994,695900,153.537048
"2021-12-21",157.470001,160.25,157.470001,158.539993,921500,156.137024
"2021-12-22",158.800003,159.919998,157.529999,159.470001,504600,157.052948
"2021-12-23",160.100006,162.440002,160.009995,161.320007,307700,158.874908
"2021-12-27",162.240005,163.910004,161.360001,163.830002,255800,161.346878
"2021-12-28",163.570007,165.970001,163.570007,165.479996,284800,162.971848
"2021-12-29",165.5,167.740005,165.5,167.080002,306700,164.547607
"2021-12-30",167.210007,168.339996,166.070007,166.130005,388800,163.612015
"2021-12-31",165.410004,169.020004,165.240005,168.059998,460600,165.512741
"2022-01-03",168.899994,169.630005,166.619995,167.490005,693900,164.951385
"2022-01-04",169.149994,172.710007,168.729996,172.179993,568100,169.570297
"2022-01-05",173.539993,176.5,171.919998,173.820007,885900,171.185455
"2022-01-06",175.429993,175.729996,171.539993,171.710007,565600,169.107437
"2022-01-07",172.979996,173.149994,171.029999,172.070007,713500,169.461975
"2022-01-10",171.759995,173.270004,168.179993,170.289993,585200,167.708939
"2022-01-11",171.259995,171.5,168.380005,171.160004,393500,168.565765
"2022-01-12",172.5,173.899994,171.360001,172.740005,380700,170.121826
"2022-01-13",172.75,175.300003,172.729996,173.360001,715100,170.732422
