"","ETR.Open","ETR.High","ETR.Low","ETR.Close","ETR.Volume","ETR.Adjusted"
"2020-09-28",97.599998,98.019997,96.540001,96.68,940000,90.705772
"2020-09-29",96.949997,97.279999,95.150002,95.779999,825600,89.861374
"2020-09-30",96.599998,98.949997,96.510002,98.529999,1651400,92.441452
"2020-10-01",98.82,101.349998,98.669998,101.279999,1634900,95.021523
"2020-10-02",100.5,104.220001,100.169998,103.650002,2321000,97.245056
"2020-10-05",103.419998,105.059998,102.339996,104.809998,1145200,98.333374
"2020-10-06",105.25,107.860001,104.650002,106.050003,1541100,99.496758
"2020-10-07",106.900002,107,104.25,104.699997,1572600,98.230171
"2020-10-08",105.110001,107.379997,104.93,107.209999,885900,100.585083
"2020-10-09",107.300003,107.360001,105.139999,105.849998,948000,99.309113
"2020-10-12",105.970001,106.730003,105.410004,106.199997,1186100,99.637489
"2020-10-13",105.449997,106.849998,105.089996,106.480003,1312500,99.900192
"2020-10-14",106.540001,107.370003,104.830002,105.760002,1103800,99.224678
"2020-10-15",104.75,106.269997,104.269997,105.32,844900,98.811867
"2020-10-16",105.43,107.059998,104.800003,106.669998,1107000,100.078445
