"","XOM.Open","XOM.High","XOM.Low","XOM.Close","XOM.Volume","XOM.Adjusted"
"2020-07-01",44.490002,45.380001,43.669998,43.709999,17290100,38.602242
"2020-07-02",44.619999,45.189999,43.93,44.080002,18216600,38.929008
"2020-07-06",44.669998,45.080002,43.84,44.389999,22692000,39.202782
"2020-07-07",43.900002,44,43.110001,43.240002,17407600,38.187164
"2020-07-08",43.150002,43.93,42.84,43.139999,18291400,38.098846
"2020-07-09",42.900002,43.099998,41.290001,41.360001,25882000,36.526852
"2020-07-10",41.119999,42.709999,41.099998,42.650002,18951000,37.666107
"2020-07-13",42.98,43.290001,42.23,42.66,20028300,37.674942
"2020-07-14",42.529999,44.189999,42.259998,44.07,21444100,38.920177
"2020-07-15",45.029999,45.09,44.209999,44.630001,17332400,39.414734
"2020-07-16",44.310001,44.810001,43.790001,44.279999,14673700,39.105633
"2020-07-17",44.330002,44.689999,43.389999,43.52,17958900,38.434448
"2020-07-20",43.209999,43.509998,42.48,42.5,18553900,37.533638
"2020-07-21",43.150002,45.189999,43.110001,44.650002,28821800,39.4324
"2020-07-22",44.150002,44.150002,43.369999,43.610001,21345400,38.513927
"2020-07-23",43.400002,43.82,43.02,43.700001,17934400,38.59341
"2020-07-24",43.880001,44.419998,43.189999,43.43,16415300,38.354961
"2020-07-27",43.23,44.09,42.970001,44.07,18547900,38.920177
"2020-07-28",43.91,44.25,43.459999,43.549999,19190500,38.460941
"2020-07-29",43.709999,44.09,43.34,44.029999,14143200,38.88485
"2020-07-30",43.130001,43.18,41.830002,41.869999,29901100,36.977249
"2020-07-31",41.16,42.169998,40.91,42.080002,32116200,37.162716
"2020-08-03",42.049999,42.5,41.470001,42.25,23033600,37.312847
"2020-08-04",42.34,43.599998,42.240002,43.470001,17724000,38.390285
"2020-08-05",44.150002,44.310001,43.529999,43.849998,17175100,38.725876
"2020-08-06",43.400002,43.900002,43.25,43.639999,14434900,38.540421
"2020-08-07",43.23,43.52,42.810001,43.439999,18757900,38.363796
"2020-08-10",43.990002,44.599998,43.599998,44.509998,24367800,39.308754
"2020-08-11",45.5,46.419998,44.73,44.970001,28987500,39.715008
"2020-08-12",44.459999,44.939999,43.630001,44.09,22503200,39.705994
"2020-08-13",43.5,43.869999,42.919998,43.009998,17338700,38.733387
"2020-08-14",42.599998,43.279999,42.41,43.200001,13595700,38.904491
"2020-08-17",43.169998,43.169998,42.470001,42.639999,15554600,38.400181
"2020-08-18",42.59,43.189999,42.290001,42.43,13014000,38.21106
"2020-08-19",42.349998,42.66,41.869999,41.959999,14473100,37.787785
"2020-08-20",41.689999,41.889999,41.299999,41.32,15678500,37.21143
"2020-08-21",41.299999,41.34,40.709999,41.009998,25517700,36.932247
"2020-08-24",41.279999,42.509998,41.09,42.220001,18208900,38.021938
"2020-08-25",41.66,42.07,40.700001,40.880001,31285600,36.815186
"2020-08-26",40.639999,40.84,40,40.009998,26795000,36.031685
"2020-08-27",40,40.299999,39.310001,39.740002,32034300,35.788532
"2020-08-28",39.84,40.919998,39.759998,40.689999,33477100,36.644073
"2020-08-31",40.639999,40.720001,39.900002,39.939999,25259600,35.968643
"2020-09-01",39.75,39.75,39.049999,39.43,22464100,35.509354
"2020-09-02",39.23,39.720001,38.950001,39.189999,26413400,35.293221
"2020-09-03",39.200001,40.029999,38.880001,39.110001,28817200,35.221172
