"","NTAP.Open","NTAP.High","NTAP.Low","NTAP.Close","NTAP.Volume","NTAP.Adjusted"
"2020-07-01",44.360001,44.66,43.389999,43.509998,1685600,40.688862
"2020-07-02",44.099998,44.459999,43.470001,43.549999,1646800,40.726269
"2020-07-06",44.439999,45.139999,43.939999,45.049999,2980600,42.129021
"2020-07-07",44.5,44.75,42.700001,42.860001,2875000,40.081017
"2020-07-08",43.130001,43.790001,42.759998,43.759998,2013000,40.922657
"2020-07-09",43.07,43.639999,42.23,42.279999,2509600,39.977127
"2020-07-10",42.349998,43.139999,41.959999,42.939999,1832200,40.601177
"2020-07-13",43.619999,44.369999,43.279999,43.400002,2705400,41.036121
"2020-07-14",42.830002,43.75,42.470001,43.709999,1903000,41.329235
"2020-07-15",44.330002,45.060001,43.689999,44.380001,2338200,41.962742
"2020-07-16",44.16,44.52,43.880001,44.34,1893600,41.924919
"2020-07-17",44.490002,45.110001,44.139999,44.810001,2469700,42.369328
"2020-07-20",44.639999,45.330002,43.84,45.150002,1992900,42.690804
"2020-07-21",45.029999,46.419998,45.029999,45.560001,2358300,43.078476
"2020-07-22",45.68,45.68,44.970001,44.990002,1217000,42.53952
"2020-07-23",44.939999,45.720001,44.459999,44.689999,1568700,42.255859
"2020-07-24",44.650002,44.669998,43.060001,43.200001,1989800,40.847019
"2020-07-27",43.220001,44.34,42.73,44.09,1762200,41.688538
"2020-07-28",44.040001,44.119999,42.82,42.950001,1393600,40.61063
"2020-07-29",42.700001,42.889999,41.389999,42.43,2993200,40.118961
"2020-07-30",41.82,43.290001,41.459999,42.849998,2526300,40.516079
"2020-07-31",42.91,44.41,42.049999,44.299999,6109000,41.887096
"2020-08-03",44.169998,44.290001,42.490002,42.77,3832600,40.440441
"2020-08-04",42.619999,44.119999,42.610001,43.23,2810700,40.875381
"2020-08-05",43.509998,43.68,42.810001,43.099998,2354400,40.752464
"2020-08-06",42.380001,42.869999,41.880001,42.209999,3683400,39.910934
"2020-08-07",42.290001,42.849998,41.509998,42.799999,2426400,40.468803
"2020-08-10",42.790001,44.32,42.740002,44.27,2351700,41.85873
"2020-08-11",44.360001,45.360001,43.360001,43.57,1654300,41.196861
"2020-08-12",44,44.009998,42.93,43.279999,2921700,40.922657
"2020-08-13",42.720001,42.98,41.439999,41.740002,3674400,39.466541
"2020-08-14",41.82,42.040001,41.34,41.560001,2375200,39.296349
"2020-08-17",41.330002,41.860001,40.939999,41.310001,3236300,39.059959
"2020-08-18",41.369999,41.369999,40.080002,41,3545400,38.766838
"2020-08-19",41.200001,42.25,40.91,41.490002,2231400,39.23016
"2020-08-20",41.490002,41.5,40.810001,41.419998,2017900,39.163971
"2020-08-21",41.360001,41.75,40.84,41.25,11406800,39.003227
"2020-08-24",41.93,42.66,41.290001,42.299999,3406700,39.996033
"2020-08-25",42.330002,42.939999,41.27,41.77,2475600,39.494907
"2020-08-26",41.950001,42.52,41.23,42.209999,6808400,39.910934
"2020-08-27",46.32,46.619999,43.599998,43.91,10789000,41.518349
"2020-08-28",43.91,45.869999,43.360001,45.740002,4883000,43.248676
"2020-08-31",46.189999,47.5,45.549999,47.389999,5290900,44.8088
"2020-09-01",47.259998,47.389999,46.16,46.68,3165300,44.13747
