"","IQV.Open","IQV.High","IQV.Low","IQV.Close","IQV.Volume","IQV.Adjusted"
"2021-02-16",192.660004,193.160004,189.669998,190.5,1060900,190.5
"2021-02-17",188.509995,191.669998,188.220001,188.929993,586700,188.929993
"2021-02-18",188,189.029999,185.380005,187.710007,713200,187.710007
"2021-02-19",188.399994,189.449997,185.970001,188.699997,788600,188.699997
"2021-02-22",187.449997,190.789993,186.389999,190.139999,788100,190.139999
"2021-02-23",190.669998,192.809998,189.889999,191.050003,1262200,191.050003
"2021-02-24",191.179993,197.350006,191.179993,194.589996,1350300,194.589996
"2021-02-25",194.050003,195,190.679993,192.550003,1118900,192.550003
"2021-02-26",193.820007,195.270004,189.389999,192.789993,1383200,192.789993
"2021-03-01",194.979996,196.720001,192.550003,194.389999,823900,194.389999
"2021-03-02",194.330002,194.789993,190.119995,192.740005,609600,192.740005
"2021-03-03",191.169998,192.440002,188.610001,190.589996,638300,190.589996
"2021-03-04",189.710007,191.259995,183.910004,186.580002,857500,186.580002
"2021-03-05",187.869995,189.919998,181.130005,188.779999,1216600,188.779999
"2021-03-08",191.470001,194.949997,187.619995,187.800003,917500,187.800003
"2021-03-09",190.059998,192.800003,188.809998,189.389999,862700,189.389999
"2021-03-10",190.240005,191.789993,189.539993,189.740005,677000,189.740005
"2021-03-11",191.360001,191.830002,189.080002,189.369995,677500,189.369995
"2021-03-12",188.139999,189.220001,185.25,186.809998,886700,186.809998
"2021-03-15",186.029999,190.720001,185.839996,190.649994,808700,190.649994
"2021-03-16",191.770004,192.789993,187.339996,189.389999,846500,189.389999
"2021-03-17",188.690002,191.100006,187.610001,189.710007,726800,189.710007
"2021-03-18",188.529999,190.050003,185.729996,186.5,771800,186.5
"2021-03-19",187.089996,189.619995,185.779999,188.330002,1090600,188.330002
"2021-03-22",188.300003,191.059998,187.139999,189.729996,878100,189.729996
"2021-03-23",189.529999,189.770004,186.369995,186.990005,800300,186.990005
"2021-03-24",187.259995,189.229996,185.550003,186.110001,585000,186.110001
"2021-03-25",186.289993,187.039993,184.309998,186.550003,900900,186.550003
"2021-03-26",187.850006,193.160004,186.649994,192.860001,605000,192.860001
"2021-03-29",191.039993,192.229996,189.699997,191,595200,191
"2021-03-30",189.699997,191.740005,189.149994,190.789993,758800,190.789993
"2021-03-31",192.139999,195.059998,190.850006,193.139999,862500,193.139999
"2021-04-01",195.029999,199.309998,191.839996,198.059998,1003000,198.059998
"2021-04-05",199,201.309998,199,200.369995,604800,200.369995
"2021-04-06",200.300003,203.789993,200.199997,203.570007,850400,203.570007
"2021-04-07",203.429993,203.440002,200.070007,201.600006,639700,201.600006
"2021-04-08",202.460007,204.910004,202.460007,204.339996,641900,204.339996
"2021-04-09",205.679993,207.789993,204.660004,207.660004,567100,207.660004
"2021-04-12",207.899994,208.479996,205.779999,208.210007,929400,208.210007
"2021-04-13",208.089996,208.839996,206.690002,207.490005,505900,207.490005
"2021-04-14",208.619995,211.110001,207.860001,208.899994,814500,208.899994
"2021-04-15",210.75,217.630005,210.75,214.130005,1129700,214.130005
"2021-04-16",216,216.910004,214.809998,215.559998,1414000,215.559998
"2021-04-19",215.710007,218.330002,214.960007,216.220001,1205800,216.220001
"2021-04-20",215.869995,219.600006,215.869995,217.119995,1854700,217.119995
"2021-04-21",216.5,220.550003,215.220001,219,986300,219
"2021-04-22",225.949997,235.509995,223.600006,225.940002,1829500,225.940002
"2021-04-23",226.399994,232.910004,226.399994,232.300003,1594700,232.300003
"2021-04-26",233.089996,235.190002,232.179993,233.419998,1291800,233.419998
"2021-04-27",233.320007,234.660004,231.690002,234.410004,1339900,234.410004
"2021-04-28",233.770004,237.289993,232.75,236.020004,1165500,236.020004
"2021-04-29",237,237.470001,232.119995,235.449997,1045300,235.449997
"2021-04-30",235.110001,236.919998,232.589996,234.690002,774100,234.690002
"2021-05-03",236,236.619995,231.729996,233.960007,793200,233.960007
"2021-05-04",232,233.669998,229.470001,232.690002,1069200,232.690002
"2021-05-05",233.550003,234.75,230.059998,231.940002,1250700,231.940002
"2021-05-06",231.330002,231.740005,229.350006,231.220001,1250400,231.220001
"2021-05-07",232,236.210007,231.860001,234.389999,953200,234.389999
"2021-05-10",234.960007,235.860001,231.279999,231.490005,1024100,231.490005
"2021-05-11",229.309998,233.300003,227.399994,232.070007,1131900,232.070007
"2021-05-12",229.860001,231.759995,227.589996,228,775200,228
"2021-05-13",229.070007,230.970001,228.190002,229.660004,968700,229.660004
"2021-05-14",231.080002,234.809998,229.360001,234.039993,785400,234.039993
"2021-05-17",234.649994,235.539993,231.220001,231.479996,565900,231.479996
"2021-05-18",232.149994,232.289993,229.529999,230.580002,1046100,230.580002
"2021-05-19",228.119995,232.720001,226.949997,232.699997,941200,232.699997
"2021-05-20",232.389999,237.839996,232.029999,236.740005,656800,236.740005
"2021-05-21",237.350006,240.820007,237.350006,238.960007,1002500,238.960007
"2021-05-24",241.130005,243.940002,239.910004,242.580002,738000,242.580002
"2021-05-25",243.440002,244.949997,241.229996,242.130005,827500,242.130005
"2021-05-26",243.190002,243.690002,237.630005,239.600006,664700,239.600006
"2021-05-27",239.949997,240.899994,237.279999,237.460007,2468100,237.460007
"2021-05-28",239.550003,240.580002,238.020004,240.160004,1282800,240.160004
"2021-06-01",241.399994,242.009995,234.759995,237.25,847800,237.25
"2021-06-02",238.380005,239.5,234.910004,235,945000,235
"2021-06-03",233.380005,234.839996,230.960007,233.339996,1490100,233.339996
"2021-06-04",235.589996,236.429993,233.449997,233.839996,919500,233.839996
"2021-06-07",233.570007,235.220001,232.580002,233.199997,1608600,233.199997
"2021-06-08",234.050003,235.720001,231.070007,234.820007,777100,234.820007
"2021-06-09",235.199997,239.850006,234.649994,239.380005,1049900,239.380005
"2021-06-10",239.949997,244.380005,239.919998,242.800003,799800,242.800003
"2021-06-11",243,243.539993,240.479996,243.440002,1090300,243.440002
"2021-06-14",243.410004,245.509995,242.300003,244.470001,726700,244.470001
"2021-06-15",245.210007,247.479996,244.179993,246.770004,950100,246.770004
"2021-06-16",248.740005,248.740005,243.770004,244.229996,998100,244.229996
"2021-06-17",243.860001,247.059998,243.119995,246.300003,1136100,246.300003
"2021-06-18",244.649994,247.059998,238.990005,239.660004,4072000,239.660004
"2021-06-21",241.110001,244.279999,239.100006,243.449997,1065500,243.449997
"2021-06-22",243.419998,244.949997,241.910004,243.979996,1050000,243.979996
"2021-06-23",243.089996,244.639999,241.580002,242.309998,984800,242.309998
"2021-06-24",243.580002,244.820007,240.809998,240.889999,925100,240.889999
"2021-06-25",241.929993,245.770004,240.889999,245.339996,1840500,245.339996
"2021-06-28",245.929993,246.740005,242.160004,243.389999,631200,243.389999
"2021-06-29",243.139999,245.619995,242.580002,244.089996,547400,244.089996
"2021-06-30",243.339996,243.990005,240.330002,242.320007,1051500,242.320007
"2021-07-01",242.729996,247.350006,242.460007,247.139999,910400,247.139999
"2021-07-02",247.410004,249.449997,246.149994,249.149994,538700,249.149994
"2021-07-06",249.639999,251.570007,247.839996,250.949997,1113800,250.949997
"2021-07-07",251.669998,254.050003,248.979996,253.940002,830500,253.940002
"2021-07-08",250,250.610001,247.910004,248.809998,750100,248.809998
"2021-07-09",249.699997,251.309998,248.570007,251.160004,470600,251.160004
"2021-07-12",251.630005,252.410004,248.110001,248.619995,765700,248.619995
"2021-07-13",248.990005,250.050003,246.5,249.630005,734800,249.630005
"2021-07-14",249.639999,250.460007,245.309998,246,681500,246
"2021-07-15",245.630005,247.220001,243.910004,246.5,717800,246.5
"2021-07-16",247.300003,249.779999,245.660004,247.699997,501300,247.699997
"2021-07-19",244.229996,245.149994,239.830002,241.690002,906400,241.690002
"2021-07-20",242.919998,247.690002,241.479996,247.070007,1123800,247.070007
"2021-07-21",247.880005,247.880005,241.320007,243.029999,1139800,243.029999
"2021-07-22",244.160004,246.889999,243.429993,244.910004,714300,244.910004
"2021-07-23",246.009995,249.910004,245.279999,249.080002,839100,249.080002
"2021-07-26",248.050003,249.850006,243.929993,247.289993,1293900,247.289993
"2021-07-27",243.630005,247.199997,238.169998,243.179993,1556800,243.179993
"2021-07-28",244.160004,246.279999,242.020004,245.369995,1168900,245.369995
"2021-07-29",246.820007,250.199997,246.520004,248.710007,585800,248.710007
"2021-07-30",248.919998,249.910004,247.130005,247.699997,967000,247.699997
"2021-08-02",248.429993,249.429993,246.300003,247.300003,807000,247.300003
"2021-08-03",248.190002,250.740005,247.779999,249.979996,1049900,249.979996
"2021-08-04",249.990005,252.130005,246.800003,249.860001,727700,249.860001
"2021-08-05",250.899994,251.850006,247.270004,248.410004,508800,248.410004
"2021-08-06",247.820007,249.809998,244.809998,248.960007,670900,248.960007
"2021-08-09",249.089996,249.830002,245.380005,247.660004,541900,247.660004
"2021-08-10",247.460007,249.910004,245.720001,247.389999,543700,247.389999
"2021-08-11",247.630005,248.440002,244.210007,244.550003,530700,244.550003
"2021-08-12",244.970001,247.149994,243.690002,246.25,553700,246.25
"2021-08-13",246.600006,248.259995,245.990005,248.139999,265600,248.139999
"2021-08-16",248.399994,255.449997,248.229996,255.289993,677600,255.289993
"2021-08-17",254.619995,257.299988,253.070007,257.040009,860000,257.040009
"2021-08-18",256.920013,259.079987,254.880005,255,801900,255
"2021-08-19",253.210007,257.269989,252.830002,256.660004,865700,256.660004
"2021-08-20",256.470001,257.970001,253.309998,254.699997,555600,254.699997
"2021-08-23",256.880005,257.730011,253.809998,254.380005,707200,254.380005
"2021-08-24",255.259995,257.26001,253.570007,256.859985,675300,256.859985
"2021-08-25",257.970001,259.299988,255.639999,258.709991,383400,258.709991
"2021-08-26",258.640015,259.779999,256.399994,258.48999,442600,258.48999
"2021-08-27",259.420013,263.609985,259.019989,259.549988,459100,259.549988
"2021-08-30",259.079987,261.75,259.079987,261.600006,509000,261.600006
"2021-08-31",261.600006,262.25,258.25,259.730011,638800,259.730011
"2021-09-01",260.01001,263.049988,258.480011,262.230011,514500,262.230011
"2021-09-02",263.660004,265.339996,262.76001,265.230011,476800,265.230011
"2021-09-03",264.720001,264.809998,262.559998,263.220001,509700,263.220001
"2021-09-07",261.929993,265.100006,259.440002,264.450012,474500,264.450012
"2021-09-08",264.299988,265.299988,261.630005,261.910004,611800,261.910004
"2021-09-09",262,263.850006,260.869995,261.279999,480800,261.279999
"2021-09-10",262.390015,263.940002,259.290009,260.5,455600,260.5
"2021-09-13",262.140015,262.540009,253.169998,255.570007,672500,255.570007
"2021-09-14",257.459991,259.649994,256,257.549988,711200,257.549988
"2021-09-15",257.070007,259.100006,255.889999,258.549988,531400,258.549988
"2021-09-16",258.600006,259.279999,256.690002,257.850006,508500,257.850006
"2021-09-17",257.630005,259.029999,254.820007,256.329987,929100,256.329987
