"","NCLH.Open","NCLH.High","NCLH.Low","NCLH.Close","NCLH.Volume","NCLH.Adjusted"
"2020-07-01",16.93,18.18,16.299999,16.42,56033300,16.42
"2020-07-02",17.07,17.360001,15.86,15.97,42555200,15.97
"2020-07-06",16.059999,16.49,15.41,16.129999,36917000,16.129999
"2020-07-07",15.88,16.02,15.22,15.27,24714500,15.27
"2020-07-08",15.15,16.16,14.91,15.99,32430000,15.99
"2020-07-09",16.190001,16.459999,15.03,15.2,29313400,15.2
"2020-07-10",15.07,16.450001,14.87,16.4,43942500,16.4
"2020-07-13",16.389999,16.629999,15.5,15.6,34578500,15.6
"2020-07-14",15.22,15.54,14.85,15.33,29311400,15.33
"2020-07-15",16.33,18.68,16.24,18.5,86360500,18.5
"2020-07-16",16.58,17.1,15.6,15.61,76351200,15.61
"2020-07-17",15.34,15.68,15.01,15.27,74412700,15.27
"2020-07-20",15.51,15.95,14.82,14.89,50349000,14.89
"2020-07-21",15.11,15.31,14.68,14.98,50576500,14.98
"2020-07-22",14.85,15.11,14.58,14.66,28875400,14.66
"2020-07-23",14.57,14.86,13.96,14.41,43441500,14.41
"2020-07-24",14.22,14.68,14.07,14.38,25494200,14.38
"2020-07-27",14.28,14.3,13.26,13.38,33689900,13.38
"2020-07-28",13.34,14.52,13.32,14.22,43793700,14.22
"2020-07-29",14.22,14.49,13.81,14.34,27760900,14.34
"2020-07-30",13.97,14.32,13.78,14.17,24503400,14.17
"2020-07-31",13.99,14.1,13.46,13.64,28346300,13.64
"2020-08-03",13.31,13.38,12.56,13.06,40525300,13.06
"2020-08-04",13.04,13.91,13.01,13.56,28813100,13.56
"2020-08-05",13.97,14.2,13.43,13.72,33478900,13.72
"2020-08-06",13.34,14.42,13.27,14.24,39913200,14.24
"2020-08-07",14.09,14.18,13.47,13.99,31073500,13.99
"2020-08-10",13.99,15.38,13.98,15.13,44266500,15.13
"2020-08-11",16.469999,16.58,15.55,15.64,54538400,15.64
"2020-08-12",16.110001,16.190001,14.72,15.23,36454400,15.23
"2020-08-13",14.95,15.91,14.93,15.34,24496700,15.34
"2020-08-14",15.1,15.89,14.91,15.75,24861700,15.75
"2020-08-17",15.85,15.86,15.04,15.39,20503000,15.39
"2020-08-18",15.39,15.54,15.05,15.2,14170900,15.2
"2020-08-19",15.21,16.370001,15.06,15.68,30456700,15.68
"2020-08-20",15.41,15.7,15.09,15.58,17282200,15.58
"2020-08-21",15.5,15.87,15.45,15.56,15940000,15.56
"2020-08-24",15.94,17.209999,15.41,16.74,48402000,16.74
"2020-08-25",16.84,17.1,16.190001,16.75,26657600,16.75
"2020-08-26",16.57,16.639999,15.45,15.72,35788000,15.72
"2020-08-27",16.219999,17.299999,16.139999,16.65,45413800,16.65
"2020-08-28",17.16,17.780001,16.860001,17.690001,43052900,17.690001
"2020-08-31",17.67,17.84,17.07,17.110001,28361300,17.110001
"2020-09-01",16.75,17.27,16.440001,16.940001,20325500,16.940001
"2020-09-02",16.93,17.09,16.379999,16.99,19333600,16.99
"2020-09-03",17.66,19.200001,17.299999,17.629999,57080500,17.629999
"2020-09-04",18.27,18.610001,17.49,18.42,45101900,18.42
"2020-09-08",18.02,18.85,17.99,18.530001,30798300,18.530001
"2020-09-09",18.299999,18.48,17.48,17.93,23650100,17.93
"2020-09-10",18.049999,19.16,17.92,17.93,32735800,17.93
"2020-09-11",18.120001,18.120001,17.18,17.51,21562200,17.51
"2020-09-14",17.82,17.969999,17.42,17.790001,18679800,17.790001
"2020-09-15",17.77,17.84,16.780001,16.969999,30618100,16.969999
"2020-09-16",17.110001,17.860001,16.719999,17.5,26509600,17.5
"2020-09-17",16.98,17.559999,16.709999,17.26,21691000,17.26
"2020-09-18",17.01,17.299999,15.95,16.25,34292600,16.25
"2020-09-21",15.46,15.72,14.73,14.99,32507000,14.99
"2020-09-22",15.05,15.59,14.92,15.33,21506800,15.33
"2020-09-23",15.5,16.17,15.13,15.17,21249100,15.17
"2020-09-24",14.95,15,14.15,14.63,23348900,14.63
"2020-09-25",15.82,16.639999,15.57,16.629999,48616000,16.629999
"2020-09-28",16.92,16.950001,16.01,16.68,28960900,16.68
"2020-09-29",16.6,16.85,16.280001,16.559999,14090800,16.559999
"2020-09-30",17.09,18.23,16.940001,17.110001,38387400,17.110001
"2020-10-01",17.4,17.41,16.74,17.34,22208800,17.34
"2020-10-02",16.280001,17.43,16.15,17.27,22461000,17.27
"2020-10-05",17.059999,17.360001,16.690001,16.99,15330900,16.99
"2020-10-06",17.219999,18.24,17.09,17.23,31714300,17.23
"2020-10-07",17.75,18.16,17.459999,18.01,16898500,18.01
"2020-10-08",18.32,18.440001,17.700001,18.200001,17459900,18.200001
"2020-10-09",18.299999,18.91,17.98,18.73,24449200,18.73
"2020-10-12",18.52,18.620001,18.07,18.08,15878600,18.08
"2020-10-13",17.299999,17.370001,16.42,16.59,28061700,16.59
"2020-10-14",16.68,17.16,16.360001,16.48,19207800,16.48
"2020-10-15",16.18,16.24,15.65,16.1,19229800,16.1
"2020-10-16",16.280001,16.440001,15.9,16.200001,13688700,16.200001
"2020-10-19",16.32,16.76,16.18,16.450001,12919300,16.450001
"2020-10-20",16.66,17.16,16.469999,17.08,15685600,17.08
"2020-10-21",17,17.139999,16.73,16.99,11362300,16.99
"2020-10-22",17.1,17.75,17.02,17.709999,16692200,17.709999
"2020-10-23",17.719999,18.41,17.450001,18.35,21988100,18.35
