"","CRM.Open","CRM.High","CRM.Low","CRM.Close","CRM.Volume","CRM.Adjusted"
"2020-07-01",188.100006,192.820007,187.460007,191.889999,4754600,191.889999
"2020-07-02",193.160004,195.389999,192.289993,192.529999,4200300,192.529999
"2020-07-06",194.440002,199.449997,193.839996,197.720001,5794200,197.720001
"2020-07-07",197.660004,200.220001,196.210007,196.380005,5431500,196.380005
"2020-07-08",198,201.199997,197.350006,200.279999,4233700,200.279999
"2020-07-09",202.020004,202.820007,195.639999,200.740005,6062800,200.740005
"2020-07-10",200.059998,200.729996,197.080002,198.880005,3783200,198.880005
"2020-07-13",200,200.259995,188.029999,188.339996,5555400,188.339996
"2020-07-14",185.990005,189.960007,183.300003,189.559998,5854700,189.559998
"2020-07-15",191.029999,192.100006,186.75,188.089996,7681800,188.089996
"2020-07-16",186.419998,186.860001,181.929993,185.509995,7350000,185.509995
"2020-07-17",187.139999,188.399994,183.360001,187.779999,4324300,187.779999
"2020-07-20",187.899994,195.309998,187.270004,195.089996,5729000,195.089996
"2020-07-21",196,196.5,189.479996,190.800003,5376800,190.800003
"2020-07-22",190.779999,191.869995,188.869995,191.309998,2833000,191.309998
"2020-07-23",191.479996,194.570007,187.509995,188.539993,3639500,188.539993
"2020-07-24",186.059998,188.940002,184.380005,188.490005,3908400,188.490005
"2020-07-27",189.899994,191.559998,188.649994,190.960007,3015700,190.960007
"2020-07-28",191,192.970001,189.050003,189.5,3114200,189.5
"2020-07-29",190.149994,194.559998,189.75,193.610001,3747800,193.610001
"2020-07-30",190.089996,191.919998,187.369995,191.699997,3587400,191.699997
"2020-07-31",193,194.990005,190.669998,194.850006,3734000,194.850006
"2020-08-03",197.800003,204.789993,196.570007,203.190002,6557500,203.190002
"2020-08-04",203,203.389999,198.899994,201.410004,4480300,201.410004
"2020-08-05",202.800003,203.899994,201.580002,202.639999,3559100,202.639999
"2020-08-06",202.970001,209.949997,202.399994,207.789993,5113300,207.789993
"2020-08-07",206.619995,206.940002,198.580002,201.050003,5423400,201.050003
"2020-08-10",200.399994,201.479996,195.720001,197.160004,5528200,197.160004
"2020-08-11",193.619995,195.839996,191.720001,191.990005,5015400,191.990005
"2020-08-12",193,195.419998,192.119995,192.619995,3980300,192.619995
"2020-08-13",193.320007,198.070007,193.229996,195.139999,4711600,195.139999
"2020-08-14",195.220001,195.479996,192.520004,193.460007,2833000,193.460007
"2020-08-17",195.339996,197.070007,194.419998,196.740005,3574500,196.740005
"2020-08-18",199.330002,204.800003,199,204.009995,7284800,204.009995
"2020-08-19",204,207.100006,200.029999,205.110001,7080700,205.110001
"2020-08-20",203.850006,210.110001,203.509995,209.509995,5175100,209.509995
"2020-08-21",209.940002,210,206.25,207.529999,5727800,207.529999
"2020-08-24",208.880005,209.289993,205.149994,208.460007,5699000,208.460007
"2020-08-25",213.220001,218.350006,210.800003,216.050003,27096500,216.050003
"2020-08-26",251.960007,277.970001,249.470001,272.320007,63253400,272.320007
"2020-08-27",267,278.279999,260.839996,276.320007,22817100,276.320007
"2020-08-28",271.279999,275.75,267.399994,271.100006,28068000,271.100006
"2020-08-31",270,274.709991,265.910004,272.649994,16010100,272.649994
"2020-09-01",271,281.929993,270.579987,281.25,13293600,281.25
"2020-09-02",283.470001,284.5,268.570007,276.690002,12963800,276.690002
"2020-09-03",270.579987,271.75,257.410004,265.01001,14000600,265.01001
"2020-09-04",262.980011,265.670013,243.199997,254.699997,14374300,254.699997
"2020-09-08",240.570007,253.679993,240.139999,241.270004,15229600,241.270004
"2020-09-09",246.399994,253.449997,242.960007,250.429993,9988600,250.429993
"2020-09-10",254.809998,256.51001,246.970001,247.800003,5945000,247.800003
"2020-09-11",250.720001,251.300003,239.449997,243.100006,5455200,243.100006
"2020-09-14",246.309998,248.869995,244.039993,246.639999,4255200,246.639999
"2020-09-15",251.369995,251.940002,248.509995,251.679993,4133600,251.679993
"2020-09-16",254.669998,255.429993,250.229996,250.600006,5441200,250.600006
"2020-09-17",246.119995,248.820007,241.309998,244.529999,5279500,244.529999
"2020-09-18",245.130005,248.110001,238.710007,242.779999,6595600,242.779999
"2020-09-21",238.970001,245.130005,236.800003,245.050003,5561600,245.050003
"2020-09-22",246.740005,248.570007,241.259995,247.779999,3600800,247.779999
"2020-09-23",248.490005,248.770004,235.350006,235.990005,7507900,235.990005
"2020-09-24",235.839996,239.960007,233.630005,237.550003,4166800,237.550003
"2020-09-25",237.389999,243.949997,235.050003,242.740005,5117800,242.740005
"2020-09-28",247.559998,248.580002,242.210007,246.669998,4088300,246.669998
"2020-09-29",245.259995,247.899994,244.5,247.449997,3983700,247.449997
"2020-09-30",246.649994,255.410004,246.220001,251.320007,8188500,251.320007
"2020-10-01",253.179993,254.669998,250.809998,253.449997,4318000,253.449997
"2020-10-02",249.75,254.949997,247.210007,247.850006,4494500,247.850006
"2020-10-05",250,253.279999,249,251.529999,3403500,251.529999
"2020-10-06",252.729996,257.290009,249,250.139999,4448100,250.139999
"2020-10-07",252.199997,260.73999,252.199997,259.980011,4963200,259.980011
"2020-10-08",264.200012,264.619995,257.079987,260.220001,4150400,260.220001
"2020-10-09",262.899994,266.049988,261.5,265.980011,4225000,265.980011
"2020-10-12",270,270,265.290009,267.070007,4317000,267.070007
"2020-10-13",266.420013,268.790009,264.230011,266.829987,3713200,266.829987
"2020-10-14",270,270.160004,258.75,261.829987,5129500,261.829987
"2020-10-15",258.109985,260.519989,254.020004,257.720001,5256800,257.720001
"2020-10-16",259.23999,262.519989,258.48999,258.549988,3092300,258.549988
"2020-10-19",259.76001,261.480011,254.5,255.009995,3242300,255.009995
"2020-10-20",256.119995,259.179993,254.050003,255.970001,2989300,255.970001
"2020-10-21",256.450012,258.309998,251.850006,254.229996,2794000,254.229996
"2020-10-22",253.889999,255.220001,246.130005,249.669998,3685700,249.669998
"2020-10-23",250.100006,250.570007,246.809998,250.520004,3159600,250.520004
"2020-10-26",245.300003,248.110001,237.380005,241.979996,5864100,241.979996
"2020-10-27",248,251.75,245.770004,250.300003,4285600,250.300003
"2020-10-28",244.600006,245.449997,238.009995,238.429993,4425400,238.429993
"2020-10-29",242.520004,242.520004,237.130005,237.139999,4589000,237.139999
"2020-10-30",235.820007,237.75,228.660004,232.270004,5741200,232.270004
"2020-11-02",235.119995,238.5,228.990005,232.449997,3953400,232.449997
"2020-11-03",235.100006,240.940002,233.279999,237.130005,4151400,237.130005
"2020-11-04",246.020004,252.880005,243.240005,250.740005,6505400,250.740005
"2020-11-05",258.109985,260.920013,255.440002,260.220001,8961700,260.220001
"2020-11-06",260,261.75,254.490005,260.149994,3798600,260.149994
"2020-11-09",260.950012,270.920013,257.25,259.279999,8777500,259.279999
"2020-11-10",258.059998,259,242.899994,247.660004,6863200,247.660004
"2020-11-11",253.509995,256.73999,251.210007,254.179993,4163400,254.179993
"2020-11-12",247.399994,254.970001,246.360001,249.419998,5607000,249.419998
"2020-11-13",252.839996,253.789993,247.559998,249.509995,5160000,249.509995
"2020-11-16",249.520004,253.490005,248.179993,249.889999,5712600,249.889999
"2020-11-17",253.740005,258.269989,250.460007,256.170013,5090700,256.170013
"2020-11-18",256.399994,262.660004,255.850006,257.160004,5880500,257.160004
"2020-11-19",256.839996,267.089996,255.660004,264.649994,8084600,264.649994
"2020-11-20",263.589996,265.019989,257.820007,258.040009,7286100,258.040009
"2020-11-23",261.230011,261.73999,254.610001,257.640015,5383600,257.640015
"2020-11-24",260,262.309998,257.820007,260.839996,5797300,260.839996
"2020-11-25",263.730011,266.100006,245.050003,246.820007,26394900,246.820007
"2020-11-27",251,251.839996,247.029999,247.630005,7395000,247.630005
"2020-11-30",245.479996,247.630005,236.070007,245.800003,18966400,245.800003
"2020-12-01",245,246.699997,238.699997,241.350006,18872000,241.350006
"2020-12-02",225.479996,226,215.630005,220.779999,52225500,220.779999
"2020-12-03",226.110001,226.110001,220.130005,220.970001,21395300,220.970001
"2020-12-04",223.820007,228.600006,221.820007,225.860001,20504800,225.860001
"2020-12-07",228.110001,229.869995,226.25,227.699997,12864100,227.699997
"2020-12-08",228.649994,229.5,225.660004,227.860001,12116800,227.860001
"2020-12-09",228.050003,228.839996,220.070007,220.570007,15651800,220.570007
"2020-12-10",220.570007,224.309998,220.160004,222.919998,9258600,222.919998
"2020-12-11",221.919998,222.740005,219.979996,222.419998,8214400,222.419998
"2020-12-14",223.089996,223.470001,220.449997,221.270004,8508500,221.270004
"2020-12-15",222.070007,222.139999,218.199997,220.149994,10766800,220.149994
"2020-12-16",221.479996,224,220.25,223.619995,8821400,223.619995
"2020-12-17",224.899994,226.729996,224.5,225.919998,9946900,225.919998
"2020-12-18",227.020004,227.820007,224.399994,227.429993,11845400,227.429993
"2020-12-21",224.899994,227.440002,224.710007,226.470001,9219000,226.470001
"2020-12-22",227,231.869995,226.600006,231.169998,10339600,231.169998
"2020-12-23",232.5,233.179993,227.110001,227.429993,7090500,227.429993
"2020-12-24",228.300003,229.190002,224.830002,225.779999,6146300,225.779999
"2020-12-28",227.220001,227.839996,222.050003,224.639999,6422500,224.639999
"2020-12-29",224.970001,225.300003,220.860001,222.460007,6122400,222.460007
"2020-12-30",223.130005,223.639999,221.580002,222.399994,4724000,222.399994
"2020-12-31",222.270004,222.789993,220.169998,222.529999,6011100,222.529999
"2021-01-04",222.639999,223.75,215.720001,220.309998,10319900,220.309998
"2021-01-05",219.490005,223,217.990005,221.520004,8657200,221.520004
"2021-01-06",218,220.460007,215.779999,216.149994,9789800,216.149994
"2021-01-07",217.029999,220.660004,216.5,217.979996,8443100,217.979996
"2021-01-08",220,222.320007,219.220001,222.039993,7301700,222.039993
"2021-01-11",219.630005,220.580002,216.229996,218.25,7199000,218.25
"2021-01-12",218,218.300003,214.089996,215.520004,10736000,215.520004
"2021-01-13",217,218.899994,215.529999,218.179993,6839200,218.179993
"2021-01-14",218.229996,219.5,215.550003,215.600006,6548000,215.600006
"2021-01-15",216.169998,217.869995,212.990005,213.139999,8525600,213.139999
"2021-01-19",215.350006,217.279999,213.699997,216.759995,7753800,216.759995
"2021-01-20",221.990005,224.639999,219.970001,223.440002,9857700,223.440002
"2021-01-21",223.690002,224.740005,220.820007,222.169998,6785900,222.169998
"2021-01-22",224.899994,227.789993,223.75,225.770004,10186100,225.770004
"2021-01-25",229.690002,230.300003,221.320007,225.919998,8213500,225.919998
"2021-01-26",227.800003,227.910004,224.539993,226.259995,5021000,226.259995
"2021-01-27",223.699997,227.809998,221.580002,224.779999,7641100,224.779999
"2021-01-28",225,229.600006,225,226.5,7246000,226.5
"2021-01-29",224.660004,228.789993,223.020004,225.559998,6473000,225.559998
"2021-02-01",227.210007,229.899994,224.75,228.460007,5696700,228.460007
"2021-02-02",231.470001,235.949997,231.380005,234.199997,7134900,234.199997
"2021-02-03",235,236,232.259995,234.820007,5357600,234.820007
"2021-02-04",235.520004,238.229996,235.470001,237.979996,4770700,237.979996
"2021-02-05",239.149994,239.360001,236.410004,238.889999,5020000,238.889999
"2021-02-08",239.509995,241.110001,237.130005,238.929993,4336400,238.929993
"2021-02-09",239.559998,240.080002,236.240005,236.699997,5157200,236.699997
"2021-02-10",237.449997,238.220001,233.960007,236.720001,5535600,236.720001
"2021-02-11",238.929993,242.889999,238.580002,241.240005,6091600,241.240005
"2021-02-12",240.949997,241.559998,238.910004,240.369995,4314400,240.369995
"2021-02-16",245,251.229996,243.800003,248.589996,10837600,248.589996
"2021-02-17",248.589996,249.5,245.5,247.660004,5879200,247.660004
"2021-02-18",245.970001,248.009995,242.570007,247.009995,4152800,247.009995
"2021-02-19",248,249.389999,245.979996,246.559998,4647700,246.559998
"2021-02-22",244.259995,244.520004,240.380005,240.949997,5055000,240.949997
"2021-02-23",235.259995,238.960007,229.009995,235.639999,8641600,235.639999
"2021-02-24",235.529999,241.5,231.509995,240.470001,6128300,240.470001
