"","RSG.Open","RSG.High","RSG.Low","RSG.Close","RSG.Volume","RSG.Adjusted"
"2021-09-20",122.449997,124.07,121.860001,123.550003,1807600,121.826569
"2021-09-21",124.25,125.139999,123.519997,123.519997,915400,121.796982
"2021-09-22",124.389999,125.019997,123.709999,124.489998,717000,122.753456
"2021-09-23",125.019997,125.739998,124.349998,124.580002,847000,122.842209
"2021-09-24",124.510002,125.400002,124.309998,124.809998,869800,123.068985
"2021-09-27",124.730003,124.730003,122.339996,122.809998,1328300,121.096886
"2021-09-28",122.07,122.480003,120.349998,120.870003,1013600,119.18396
"2021-09-29",121.110001,122.800003,121.040001,122.489998,1116000,120.781349
"2021-09-30",122.440002,122.709999,120.059998,120.059998,1682000,118.831512
"2021-10-01",120.699997,121.379997,118.360001,120.730003,947900,119.494652
"2021-10-04",120.360001,121.5,119.019997,120.010002,868200,118.782021
"2021-10-05",120.279999,121.830002,119.400002,121.389999,741400,120.147903
"2021-10-06",120.650002,123.690002,120.519997,123.510002,1310200,122.246208
"2021-10-07",124.209999,125.940002,123.970001,125.050003,944100,123.770454
"2021-10-08",124.879997,126.040001,124.209999,125.639999,656900,124.354416
"2021-10-11",125.519997,127.139999,125.019997,126.139999,1041800,124.849297
"2021-10-12",126.870003,127.599998,125.980003,126.220001,955300,124.928474
"2021-10-13",126.580002,127.010002,124.839996,126.550003,855600,125.255104
"2021-10-14",127.489998,128.720001,127.019997,128.649994,1000500,127.333611
"2021-10-15",129.5,129.619995,127.669998,127.730003,1003900,126.423035
"2021-10-18",127.709999,128.009995,126.910004,127.379997,735500,126.076607
"2021-10-19",127.690002,128.440002,127.019997,128.399994,678400,127.086166
"2021-10-20",128.380005,129.809998,128.179993,129.5,581900,128.174927
"2021-10-21",130.710007,131.419998,129.149994,131.289993,1108600,129.946579
"2021-10-22",131.470001,133.380005,131.240005,133.270004,682900,131.906357
"2021-10-25",133.270004,133.270004,130.929993,131.259995,676500,129.916901
"2021-10-26",130.449997,130.970001,128.630005,130.419998,1840800,129.085495
"2021-10-27",130.460007,130.669998,129.089996,129.130005,933600,127.808701
"2021-10-28",129.679993,130.360001,128.740005,129.929993,1577000,128.60051
"2021-10-29",140.339996,145.979996,132.149994,134.600006,2668700,133.222733
"2021-11-01",135.179993,135.660004,132.419998,132.649994,1730500,131.292679
"2021-11-02",133,135.419998,132.630005,134.199997,1279700,132.826828
"2021-11-03",133.949997,135.080002,132.039993,132.410004,1102300,131.055145
"2021-11-04",132.270004,133.699997,132.020004,133.539993,667000,132.173569
"2021-11-05",134,134.139999,132.649994,132.759995,1023700,131.401566
"2021-11-08",133.240005,133.839996,132.050003,133.080002,765300,131.718292
"2021-11-09",133.080002,133.410004,132.570007,133.139999,543900,131.777679
"2021-11-10",132.889999,134.539993,132.75,134.440002,628100,133.064377
"2021-11-11",134.350006,134.649994,133.429993,133.610001,545900,132.242859
"2021-11-12",134.119995,135.899994,133.550003,135.279999,948000,133.895782
"2021-11-15",134.940002,135.429993,134.820007,135.259995,507200,133.875977
"2021-11-16",135.529999,136.660004,135.199997,136.419998,845200,135.024109
"2021-11-17",136.570007,137.699997,136.320007,137.449997,631700,136.043579
"2021-11-18",137.399994,137.789993,136.580002,137.440002,668300,136.033676
"2021-11-19",137.899994,138.089996,135.610001,136.449997,1075100,135.053818
"2021-11-22",136.949997,137.600006,136.059998,136.970001,911600,135.568481
"2021-11-23",136.660004,138,136.419998,137.880005,724000,136.469193
"2021-11-24",137.330002,138.550003,137.020004,138.389999,689000,136.973953
"2021-11-26",136.889999,137.910004,134.699997,135.020004,675700,133.638458
"2021-11-29",136.029999,139,135.839996,138.229996,879200,136.815598
"2021-11-30",137.009995,137.710007,131.350006,132.259995,2365700,130.906677
"2021-12-01",133.5,135.899994,131.880005,131.929993,1477300,130.580048
"2021-12-02",132.5,136.910004,132.399994,136.020004,1270400,134.62822
"2021-12-03",136.929993,137.050003,134.149994,135.399994,592300,134.014557
"2021-12-06",136.600006,137.220001,134.669998,135.270004,859600,133.885895
"2021-12-07",136.199997,137.669998,134.940002,135.600006,1021500,134.212494
"2021-12-08",135.539993,136.059998,134.029999,135.270004,803600,133.885895
"2021-12-09",135.160004,135.770004,133.929993,134.5,825400,133.123764
"2021-12-10",135.160004,136.389999,134.570007,135.490005,904900,134.103638
"2021-12-13",135.919998,136.940002,135.149994,136.160004,832400,134.766769
"2021-12-14",135.699997,136.399994,134.550003,135.470001,1061200,134.083832
"2021-12-15",135.949997,137.360001,135.410004,137.149994,1126300,135.746628
"2021-12-16",137.479996,139.820007,137.119995,139.089996,1098000,137.666779
"2021-12-17",138.889999,138.949997,134.899994,134.979996,1950900,133.598831
"2021-12-20",134.100006,134.399994,131.869995,133.720001,1393400,132.35173
"2021-12-21",134.5,134.949997,132.559998,133.380005,886900,132.015213
"2021-12-22",133.570007,134.399994,132.910004,134.070007,478000,132.698166
"2021-12-23",134.600006,136.089996,134.240005,135.419998,544500,134.034332
"2021-12-27",136.020004,137.419998,135.869995,137.279999,449100,135.87529
"2021-12-28",137.179993,138.520004,137.179993,138.419998,298400,137.003647
"2021-12-29",138.309998,139.570007,138,139.410004,386500,137.983505
"2021-12-30",140,140.009995,138.449997,138.580002,313600,137.162018
"2021-12-31",137.970001,140.089996,137.520004,139.449997,447900,138.482788
