"","DPZ.Open","DPZ.High","DPZ.Low","DPZ.Close","DPZ.Volume","DPZ.Adjusted"
"2020-07-01",371.420013,377.019989,369.600006,375.709991,436200,368.987213
"2020-07-02",377.540009,379.98999,372.119995,374.089996,415200,367.396179
"2020-07-06",378,387.01001,376.209991,385,669100,378.110962
"2020-07-07",384.73999,388.730011,380.880005,381.140015,717300,374.320068
"2020-07-08",381.720001,385.429993,381.459991,384.140015,494600,377.266327
"2020-07-09",386.070007,387.339996,378.380005,385.5,546300,378.602051
"2020-07-10",387,398.910004,383.709991,398.309998,861600,391.182831
"2020-07-13",402,417.149994,401.23999,401.380005,1170000,394.197876
"2020-07-14",400.429993,405.429993,390.579987,402.299988,886600,395.101379
"2020-07-15",401,417.339996,399.429993,413.679993,1158900,406.277771
"2020-07-16",404,422.149994,403.690002,407.519989,1322100,400.227966
"2020-07-17",410,410,388,390.220001,1182700,383.237488
"2020-07-20",391.100006,394.679993,385.130005,391.429993,660900,384.425903
"2020-07-21",395,395.640015,386.559998,387.809998,553700,380.870728
"2020-07-22",388.470001,395.220001,387.410004,389.119995,568000,382.157257
"2020-07-23",389.98999,390.600006,377.899994,381.320007,618000,374.496857
"2020-07-24",379.480011,387.230011,376.579987,386.910004,549100,379.986816
"2020-07-27",390.619995,394.890015,387.109985,389.609985,549600,382.638458
"2020-07-28",389.540009,390.829987,384.769989,385.420013,476800,378.523438
"2020-07-29",387.190002,389.299988,384.299988,385.149994,435900,378.258301
"2020-07-30",383,386.040009,379.679993,384.529999,678800,377.649384
"2020-07-31",384.920013,387.119995,377.959991,386.609985,640200,379.692139
"2020-08-03",387.450012,393.959991,382,387.029999,558500,380.104645
"2020-08-04",385,392.029999,383.540009,391.859985,441100,384.848206
"2020-08-05",389.970001,394.5,388.600006,393.440002,535700,386.399933
"2020-08-06",392.190002,395.23999,390.920013,392.549988,312500,385.525848
"2020-08-07",392.579987,393.850006,385,389.119995,472400,382.157257
"2020-08-10",389.559998,391.920013,384.399994,385.929993,410300,379.024323
"2020-08-11",384,391.179993,381.869995,388.649994,453700,381.695648
"2020-08-12",390.359985,395.950012,388.019989,392.670013,413900,385.643677
"2020-08-13",394.380005,399.480011,392.26001,399.040009,580800,391.89975
"2020-08-14",399.980011,400.899994,393.670013,398.98999,341600,391.850616
"2020-08-17",401,409.799988,401,409.390015,840600,402.064575
