"","ACN.Open","ACN.High","ACN.Low","ACN.Close","ACN.Volume","ACN.Adjusted"
"2020-08-31",243.300003,243.539993,239.100006,239.929993,2001100,233.934494
"2020-09-01",238.490005,240.020004,237.199997,240.020004,1914500,234.022263
"2020-09-02",241.899994,247.820007,240.839996,247.179993,1702800,241.003326
"2020-09-03",245.100006,246.139999,237.130005,238.979996,2350500,233.008224
"2020-09-04",240.169998,240.869995,231.910004,236.070007,1946400,230.17099
"2020-09-08",231.050003,236,230.619995,232.649994,2361200,226.836411
"2020-09-09",236.800003,241.360001,234.809998,238.910004,1670200,232.939987
"2020-09-10",241,243.990005,232.110001,233.649994,2024100,227.811432
"2020-09-11",236.429993,237.759995,233.25,234.770004,1301000,228.903473
"2020-09-14",237.600006,240.990005,236.809998,238.830002,1576400,232.862
"2020-09-15",240.369995,242.800003,239,240.199997,1297500,234.197784
"2020-09-16",241.460007,244.899994,239.169998,239.419998,1800400,233.437256
"2020-09-17",237.399994,239.089996,233.880005,236.820007,2002500,230.902222
"2020-09-18",234.619995,238.399994,233.429993,236.179993,3676400,230.278229
"2020-09-21",232.839996,233.979996,230.029999,233.910004,2305900,228.064941
"2020-09-22",234.139999,237.070007,231.789993,236.919998,1786200,230.999725
"2020-09-23",238.529999,239.350006,230.369995,230.649994,2688100,224.886398
"2020-09-24",218.869995,220.449997,213.149994,214.419998,4828600,209.061951
"2020-09-25",213.029999,215.070007,210.419998,214.630005,3691100,209.266739
"2020-09-28",219.089996,223.889999,218.300003,222.779999,2587600,217.213058
"2020-09-29",223.369995,225.169998,222.309998,224.080002,2572000,218.480576
"2020-09-30",225.270004,228.300003,224.619995,225.990005,2250100,220.342865
"2020-10-01",227.360001,229.240005,224.029999,225.179993,1928800,219.55307
"2020-10-02",222.050003,224.919998,221.350006,222.399994,1936100,216.842529
"2020-10-05",224.369995,224.940002,222.039993,223.490005,1446000,217.905304
"2020-10-06",223.589996,225.270004,220.089996,220.350006,2286300,214.843781
"2020-10-07",221.899994,224.630005,220.050003,223.449997,2005800,217.866318
"2020-10-08",226.039993,226.789993,223.970001,225.610001,1394200,219.972351
"2020-10-09",225.860001,229.089996,225.800003,228.690002,1312500,223.848511
"2020-10-12",229.690002,231.770004,227.580002,230.589996,1524300,225.708298
"2020-10-13",230.720001,231.899994,228.809998,229.380005,1634000,224.523895
"2020-10-14",228.880005,231.899994,228.320007,229.429993,1443800,224.572845
"2020-10-15",225.589996,230.679993,225.259995,228.770004,1273300,223.926804
"2020-10-16",229.029999,231.940002,228.679993,230.050003,1796400,225.179718
"2020-10-19",230.229996,233.25,225.720001,226.240005,1904500,221.450363
"2020-10-20",226.699997,232.289993,226.449997,230.389999,1783800,225.512512
"2020-10-21",229.899994,234.380005,229.059998,233.100006,1701800,228.165131
"2020-10-22",233.100006,234.710007,227.850006,228.139999,1661300,223.31015
"2020-10-23",227.699997,229.800003,226.929993,229.699997,1187600,224.837128
"2020-10-26",225.360001,227.990005,218.350006,219.229996,2162100,214.588776
"2020-10-27",220.630005,223,220.210007,220.660004,1567800,215.98851
"2020-10-28",216.809998,217.929993,212.919998,213.940002,2412300,209.410767
"2020-10-29",215.509995,218.529999,212.449997,216.440002,1499000,211.857864
"2020-10-30",215.279999,217.809998,213.639999,216.910004,1972700,212.317886
"2020-11-02",219.169998,223.160004,218.320007,220.190002,2087200,215.528473
"2020-11-03",222,227.770004,221.429993,225.710007,1544000,220.931564
"2020-11-04",225,230.899994,224.399994,227.919998,1725000,223.094803
"2020-11-05",233.369995,236.119995,232.419998,233.990005,1954800,229.036316
"2020-11-06",235.009995,237,231.070007,236.289993,1417600,231.287582
"2020-11-09",239.889999,248,239.669998,240.220001,3052100,235.134399
"2020-11-10",238.610001,239.610001,235.580002,238.710007,2818000,233.656372
"2020-11-11",240.960007,244.080002,240.130005,242.75,1757200,237.610855
"2020-11-12",242,243.089996,236.889999,238.149994,1672200,233.108231
"2020-11-13",239.990005,242.419998,238.089996,241.779999,1456200,236.661392
"2020-11-16",243.880005,246.690002,242.639999,244.949997,1631400,239.764282
