"","LNT.Open","LNT.High","LNT.Low","LNT.Close","LNT.Volume","LNT.Adjusted"
"2020-07-01",47.77,48.959999,47.68,48.759998,959700,45.686764
"2020-07-02",49.32,49.639999,49.09,49.419998,1148100,46.305164
"2020-07-06",49.75,50.189999,48.759998,49,1532100,45.911633
"2020-07-07",48.580002,48.73,48.110001,48.470001,1706100,45.415043
"2020-07-08",48.419998,48.73,48.049999,48.509998,1344000,45.452522
"2020-07-09",48.369999,48.48,47.52,48.25,1346600,45.208904
"2020-07-10",48.299999,49.299999,48.299999,49.040001,895100,45.94912
"2020-07-13",48.93,49.34,48.66,48.950001,2216300,45.864788
"2020-07-14",49.290001,49.66,48.889999,49.490002,1860800,46.370758
"2020-07-15",50.040001,50.540001,49.34,49.369999,1283800,46.258316
"2020-07-16",49.310001,49.939999,49.25,49.73,870600,46.595631
"2020-07-17",50,50.830002,49.869999,50.77,1328200,47.57008
"2020-07-20",50.549999,50.900002,50.25,50.450001,801600,47.270245
"2020-07-21",50.389999,51.43,50.259998,50.73,1159100,47.5326
"2020-07-22",50.349998,52.610001,50.27,52.549999,1449400,49.237885
"2020-07-23",52.700001,53.439999,52.669998,53.25,1600200,49.893768
"2020-07-24",53.450001,54,52.810001,53.119999,1418400,49.771957
"2020-07-27",53.009998,53.130001,52.360001,52.869999,1234600,49.537716
"2020-07-28",52.790001,53.939999,52.580002,53.619999,1108600,50.240448
"2020-07-29",53.790001,54.110001,53.5,54.009998,640600,50.605862
"2020-07-30",53.220001,53.950001,52.630001,53.77,1030900,50.737976
"2020-07-31",53.630001,53.900002,53.009998,53.849998,1198200,50.813461
"2020-08-03",53.73,53.84,52.830002,53.509998,785900,50.492634
"2020-08-04",53.540001,54.130001,53.41,53.799999,1176000,50.766285
"2020-08-05",54.119999,54.169998,52.75,52.869999,1709900,49.888721
"2020-08-06",52.759998,53.450001,52.349998,53.34,1278300,50.332218
"2020-08-07",52.57,55.119999,52.220001,54.720001,1476000,51.634407
"2020-08-10",55.029999,55.59,54.639999,55.349998,1130500,52.228878
"2020-08-11",55.599998,55.599998,53.490002,53.66,911400,50.634178
"2020-08-12",53.950001,54.439999,53.549999,53.93,884500,50.888947
"2020-08-13",54.099998,54.130001,53.400002,53.98,1181700,50.936131
"2020-08-14",54.080002,54.41,53.650002,53.77,688300,50.737976
"2020-08-17",54.040001,54.470001,53.689999,53.900002,1131200,50.860641
"2020-08-18",53.790001,54.009998,53.310001,53.650002,799300,50.624741
"2020-08-19",53.810001,54.060001,53.470001,53.82,975900,50.785152
"2020-08-20",53.5,54.130001,53.150002,53.619999,882900,50.596432
"2020-08-21",53.810001,54.200001,53.16,54.080002,943800,51.030495
"2020-08-24",54.27,54.689999,53.599998,54.650002,838900,51.568352
"2020-08-25",55.060001,55.07,54.139999,54.25,875700,51.19091
"2020-08-26",54.32,54.34,53.32,54.040001,1402800,50.992752
"2020-08-27",54.470001,54.869999,53.799999,54,907700,50.955002
"2020-08-28",54.049999,54.349998,53.560001,54.32,836200,51.256962
"2020-08-31",54.09,54.599998,54.02,54.150002,1349300,51.09655
"2020-09-01",54.009998,54.07,53.25,53.48,996000,50.464325
"2020-09-02",53.470001,54.849998,53.209999,54.66,2170100,51.577785
"2020-09-03",54.849998,55.150002,53.57,53.970001,1611600,50.926697
"2020-09-04",54.200001,54.389999,52.66,53.290001,1763400,50.285038
"2020-09-08",53.279999,53.400002,52.310001,52.650002,1839000,49.681126
"2020-09-09",52.959999,54.459999,52.959999,53.779999,2710300,50.747414
"2020-09-10",53.509998,53.889999,52.029999,52.080002,1977900,49.143272
"2020-09-11",52.110001,52.259998,51.52,51.860001,2009700,48.935673
"2020-09-14",52.119999,52.57,51.84,52.330002,2246000,49.379177
"2020-09-15",52.790001,53.560001,52.599998,52.759998,1518000,49.784927
"2020-09-16",52.75,53.669998,52.450001,53.060001,1480900,50.068016
"2020-09-17",52.77,52.77,51.790001,52.18,1167300,49.237633
"2020-09-18",52.02,52.110001,50.880001,50.98,2342500,48.105301
"2020-09-21",50.34,50.77,48.889999,49.830002,1805000,47.020149
"2020-09-22",49.669998,50.470001,49.639999,50.009998,1322600,47.189991
"2020-09-23",50.220001,50.43,49.790001,49.830002,1196600,47.020149
"2020-09-24",49.799999,50.310001,49.419998,49.93,1253400,47.114506
"2020-09-25",49.52,51.52,49.310001,51.349998,2044100,48.454433
"2020-09-28",51.66,51.970001,51.240002,51.490002,1493000,48.58654
"2020-09-29",51.66,51.77,50.990002,51.080002,968400,48.199661
"2020-09-30",51.560001,51.869999,51.240002,51.650002,1583600,48.737518
"2020-10-01",51.57,52.529999,51.57,52.330002,1596600,49.379177
"2020-10-02",52.060001,53.470001,52.02,53.09,1491700,50.096321
"2020-10-05",53.150002,53.52,52.529999,53.310001,1463100,50.303909
"2020-10-06",53.529999,54.869999,53.150002,54.389999,1334900,51.323013
"2020-10-07",54.73,54.84,53.740002,54.080002,1063000,51.030495
"2020-10-08",54.220001,55.200001,54.080002,55.18,1405500,52.068462
"2020-10-09",55.220001,55.52,54.48,54.740002,881300,51.653275
"2020-10-12",54.630001,55.200001,54.59,54.720001,1271800,51.634407
