"","BLK.Open","BLK.High","BLK.Low","BLK.Close","BLK.Volume","BLK.Adjusted"
"2020-07-01",544.289978,546.47998,537.460022,544.320007,548600,520.706726
"2020-07-02",555.47998,560.559998,548.619995,551.77002,742000,527.833557
"2020-07-06",560,564.400024,557.090027,557.549988,703100,533.362793
"2020-07-07",553.369995,560.469971,549.159973,549.22998,557300,525.403625
"2020-07-08",551.01001,559.940002,549.48999,557.609985,435700,533.420044
"2020-07-09",554.460022,557.469971,544.26001,549.440002,462700,525.604614
"2020-07-10",550.530029,555.919983,546.780029,554.080017,489500,530.043396
"2020-07-13",558.200012,565.22998,552,552.559998,786400,528.589294
"2020-07-14",552.76001,562.51001,551.460022,561.330017,567300,536.978821
"2020-07-15",572.280029,573,560.23999,568.590027,767600,543.923889
"2020-07-16",565.299988,569.76001,563.119995,566.960022,729900,542.364563
"2020-07-17",578.349976,592.47998,572.650024,587.719971,1150200,562.223938
"2020-07-20",580.219971,585,577.130005,579.599976,706700,554.456177
"2020-07-21",584.75,584.75,578.289978,580,523000,554.838928
"2020-07-22",580.330017,586.619995,577.97998,582.539978,460500,557.268616
"2020-07-23",580.309998,585.049988,575.219971,578.150024,453600,553.069153
"2020-07-24",578,578,567.659973,570.619995,421600,545.865784
"2020-07-27",568.72998,578.280029,565.349976,575.330017,618500,550.371521
"2020-07-28",572.900024,574.190002,569,570.700012,488900,545.942322
"2020-07-29",569.75,580.210022,569.75,577.599976,724800,552.542908
"2020-07-30",569.309998,573.090027,564,573.090027,341200,548.228577
"2020-07-31",572.330017,575.320007,566.679993,575.01001,375900,550.065247
"2020-08-03",579.349976,583.549988,577.309998,579.950012,496400,554.791138
"2020-08-04",573.650024,575.690002,567.929993,571.039978,513100,546.267517
"2020-08-05",576.710022,584.919983,573.22998,582.150024,465800,556.895569
"2020-08-06",579.960022,583.349976,575.070007,582.22998,455000,556.972168
"2020-08-07",582.669983,588.340027,579.419983,588.190002,469900,562.673523
"2020-08-10",586.210022,587.159973,579.669983,580.200012,465800,555.030151
"2020-08-11",585.299988,596.51001,583.330017,586.640015,576800,561.190857
"2020-08-12",592.140015,605.719971,584.400024,590.23999,612200,564.634644
"2020-08-13",586.719971,595.299988,586.719971,589.559998,359700,563.984131
"2020-08-14",588.609985,592.460022,584.059998,588.460022,316700,562.931885
"2020-08-17",590.929993,595.539978,587.890015,592.030029,411100,566.347107
"2020-08-18",591.090027,594.76001,588.799988,589.210022,456200,563.649292
"2020-08-19",592.330017,595.549988,588.799988,589.75,418700,564.165894
"2020-08-20",584.880005,588.26001,581.039978,583.359985,552400,558.053101
"2020-08-21",585.409973,588,581.929993,584.039978,418400,558.703552
"2020-08-24",587.380005,591.690002,584.289978,591.450012,381600,565.792175
"2020-08-25",594.450012,594.599976,590.119995,591.150024,373300,565.505127
"2020-08-26",591.460022,595.700012,587.900024,592.099976,540200,566.413879
"2020-08-27",592.940002,598.900024,591.98999,594.97998,428900,569.168945
"2020-08-28",595.609985,601.309998,592.090027,601.059998,436000,574.985229
"2020-08-31",602.52002,604.080017,593.669983,594.190002,581700,568.413269
"2020-09-01",594.73999,601.02002,593.150024,596.23999,402800,570.374268
"2020-09-02",597.73999,609.690002,594.190002,608,684200,581.624268
"2020-09-03",604.130005,605.450012,573.700012,579.119995,739200,557.324402
"2020-09-04",581.809998,584.090027,557.859985,564.630005,822100,543.379822
"2020-09-08",559.98999,560.77002,548,552.539978,837100,531.744873
"2020-09-09",561.619995,564.099976,555.330017,560.179993,830500,539.097229
"2020-09-10",561.640015,561.960022,541.210022,543.309998,891000,522.862183
"2020-09-11",544.47998,547.450012,537.859985,541.200012,660900,520.831665
"2020-09-14",545.039978,553.210022,543.27002,547.380005,631400,526.779053
"2020-09-15",553.109985,553.429993,547.280029,548.159973,626400,527.529602
"2020-09-16",551.820007,566.880005,548.799988,561.72998,1003900,540.588989
"2020-09-17",554.950012,555.799988,544.51001,548.409973,1033500,527.770264
"2020-09-18",548.469971,559.159973,548.469971,556.919983,2989100,535.959961
"2020-09-21",548.630005,556.76001,542.52002,552.590027,659600,531.792969
"2020-09-22",551.150024,556.549988,544.530029,550.799988,565600,530.070374
"2020-09-23",550.309998,552.869995,538.049988,538.539978,511400,518.271729
"2020-09-24",537.280029,542.109985,531.809998,535.049988,552800,514.913086
"2020-09-25",532.950012,548.900024,531.390015,547.809998,486400,527.192871
"2020-09-28",554.440002,563.940002,554,558.650024,567000,537.624939
"2020-09-29",560.159973,562.200012,552.369995,554.799988,409700,533.919739
"2020-09-30",557.200012,570.890015,555.109985,563.549988,741100,542.340515
"2020-10-01",576.840027,578.23999,566.169983,567.909973,551300,546.536377
"2020-10-02",560.539978,574.669983,559.179993,570.119995,523400,548.663147
"2020-10-05",574.700012,581.52002,573,580.97998,435300,559.114502
"2020-10-06",580.97998,590.599976,578.130005,580.22998,704300,558.3927
"2020-10-07",584.320007,592.789978,584.320007,592.049988,573500,569.767822
"2020-10-08",595.359985,606.210022,594.340027,604.440002,538100,581.691528
"2020-10-09",610.599976,614.299988,606.580017,611.570007,525100,588.553162
"2020-10-12",615.369995,620.659973,613.659973,614.890015,644700,591.748291
"2020-10-13",634.169983,646.289978,626.159973,638.960022,1154900,614.912354
"2020-10-14",641.830017,643.460022,634.049988,639.849976,694200,615.76886
"2020-10-15",634.090027,648.900024,632.640015,646.23999,792700,621.918396
"2020-10-16",652.039978,659.570007,648,657.380005,765500,632.639099
"2020-10-19",658.25,666.640015,633.030029,634.890015,775700,610.995605
"2020-10-20",636.619995,650.97998,636.619995,645.070007,473500,620.792419
"2020-10-21",646.580017,653.719971,634.820007,634.98999,452600,611.091797
"2020-10-22",635,637.830017,629.820007,635.179993,483300,611.274536
"2020-10-23",637.869995,639.159973,633.51001,637.309998,494200,613.324524
"2020-10-26",630,631.590027,615.830017,622.190002,686100,598.773499
"2020-10-27",620.320007,624.580017,613.469971,614.530029,349800,591.401855
"2020-10-28",602.690002,606.450012,596.26001,600.710022,645600,578.102051
"2020-10-29",600.210022,606.590027,590.26001,602.330017,447400,579.660889
"2020-10-30",597.580017,600.869995,587.900024,599.210022,530400,576.658386
"2020-11-02",608.960022,618.349976,606.450012,614.869995,462400,591.729004
"2020-11-03",620.900024,633.340027,619,629.26001,560400,605.577393
"2020-11-04",628.289978,657.97998,627.809998,651.599976,811700,627.07666
"2020-11-05",661.02002,672,659.780029,668.190002,714400,643.042175
"2020-11-06",666.059998,668,654.190002,654.900024,493900,630.252502
"2020-11-09",685.119995,692.72998,663.179993,666.02002,870000,640.953979
"2020-11-10",661.070007,666.539978,645.119995,660.599976,758000,635.737854
"2020-11-11",670.789978,675.75,667.030029,670.619995,455800,645.380737
"2020-11-12",665.76001,668.669983,654.869995,659.789978,501700,634.958374
