"","GL.Open","GL.High","GL.Low","GL.Close","GL.Volume","GL.Adjusted"
"2021-09-17",91.370003,92.349998,89.330002,89.669998,1514200,88.914009
"2021-09-20",87.669998,88.330002,86.209999,87.839996,490100,87.099442
"2021-09-21",88.370003,88.43,86.239998,86.57,336200,85.840149
"2021-09-22",87.449997,88.470001,86.919998,87.910004,412400,87.168854
"2021-09-23",88.949997,90.209999,88.769997,89,314500,88.249664
"2021-09-24",89.019997,90.309998,88.699997,88.760002,281600,88.011681
"2021-09-27",89.540001,91.660004,89,90.980003,308000,90.212967
"2021-09-28",91.309998,92.120003,89.690002,89.730003,359700,88.973518
"2021-09-29",89.790001,90.620003,89.269997,90.099998,216500,89.340393
"2021-09-30",90.610001,90.790001,89.019997,89.029999,523700,88.279404
"2021-10-01",89.400002,90.870003,88.699997,90.269997,372000,89.708466
"2021-10-04",89.839996,91.610001,89.440002,89.860001,400200,89.30101
"2021-10-05",90.68,91.809998,89.669998,91.599998,458600,91.03019
"2021-10-06",90.650002,92.650002,90.150002,92.5,491200,91.924583
"2021-10-07",93.559998,95.120003,92.889999,93.919998,400400,93.335754
"2021-10-08",93.639999,94.949997,93.599998,94.419998,311300,93.832649
"2021-10-11",94.949997,95.519997,93.540001,93.550003,221700,92.968063
"2021-10-12",93.209999,94.300003,93.209999,94.050003,401600,93.464951
"2021-10-13",94,94.279999,92.510002,94,308800,93.415268
"2021-10-14",95.190002,96.220001,94.389999,96.190002,228700,95.591637
"2021-10-15",96.980003,98.150002,96.730003,97.459999,388200,96.853737
"2021-10-18",97.029999,97.709999,96.529999,97.029999,435000,96.426414
"2021-10-19",97.669998,98.410004,97.199997,97.480003,387700,96.873619
"2021-10-20",97.120003,98.540001,97.089996,98.480003,277800,97.867393
"2021-10-21",91.849998,94.459999,91.839996,93.370003,790200,92.789177
"2021-10-22",93.300003,94.220001,92.720001,93.199997,418700,92.620232
"2021-10-25",93.169998,93.709999,92.019997,92.75,605900,92.173042
"2021-10-26",92.980003,93.389999,91.690002,91.699997,484200,91.129562
"2021-10-27",91.339996,92.529999,90.839996,90.910004,435300,90.344482
"2021-10-28",91.260002,91.82,90.790001,91.050003,398800,90.483612
"2021-10-29",91.120003,91.339996,88.800003,89.019997,673700,88.46624
"2021-11-01",89.370003,91.650002,89.370003,91.510002,638500,90.94075
"2021-11-02",91.5,92.220001,90.900002,91.980003,398500,91.407829
"2021-11-03",92,93.220001,91.730003,92.489998,594300,91.91465
"2021-11-04",92.290001,92.639999,91.599998,92.559998,479100,91.984215
"2021-11-05",93.599998,95.510002,93.410004,94.849998,729300,94.259972
"2021-11-08",95.339996,96.089996,93.629997,93.870003,468600,93.286072
"2021-11-09",93.059998,93.540001,92.269997,92.339996,499700,91.765587
"2021-11-10",92.760002,93.610001,92.370003,92.769997,384100,92.192902
"2021-11-11",92.510002,93.419998,92.449997,93.349998,382700,92.76931
"2021-11-12",93.199997,94.559998,92.43,94.419998,356800,93.832649
"2021-11-15",95.010002,95.029999,93.720001,94.580002,341800,93.991653
"2021-11-16",94.980003,95.510002,94.349998,94.660004,614200,94.071159
"2021-11-17",94.290001,94.800003,93.419998,94.199997,405200,93.614014
"2021-11-18",93.900002,94.330002,92.849998,93.150002,452200,92.570549
"2021-11-19",92.339996,93.339996,91.970001,92.449997,709100,91.874901
"2021-11-22",93.300003,93.93,92.150002,92.809998,542200,92.232666
"2021-11-23",93.32,94.769997,92.82,94.629997,463000,94.041336
"2021-11-24",94.419998,94.610001,93.440002,93.559998,388800,92.977997
"2021-11-26",89.769997,90.32,87.970001,89.080002,434400,88.525864
"2021-11-29",90.129997,90.260002,88.139999,88.470001,565200,87.919662
"2021-11-30",87.160004,88.279999,86.279999,86.540001,1802300,86.001671
"2021-12-01",88.629997,89,85.25,85.260002,839800,84.72963
"2021-12-02",86.07,89.660004,85.639999,88.919998,625300,88.366867
"2021-12-03",88.959999,89.699997,88.440002,88.910004,499900,88.356918
"2021-12-06",90.650002,92.610001,89.860001,91.440002,652500,90.871193
"2021-12-07",91.839996,92.57,91.629997,91.839996,590600,91.268692
"2021-12-08",91.93,92.790001,91.879997,92.110001,251100,91.537018
"2021-12-09",91.120003,92.43,91.040001,91.669998,356700,91.099754
"2021-12-10",92.32,92.489998,91.010002,91.919998,291100,91.348198
"2021-12-13",91.639999,91.82,90.860001,91.290001,318900,90.722115
"2021-12-14",91.419998,93.129997,90.970001,91.800003,382900,91.228951
"2021-12-15",92.110001,92.660004,91.040001,92.239998,931800,91.666206
"2021-12-16",93.080002,93.480003,91.540001,91.830002,922300,91.258766
"2021-12-17",91.699997,91.699997,89.620003,89.68,1409900,89.122131
"2021-12-20",88.480003,88.489998,85.440002,86.860001,897100,86.319672
"2021-12-21",87.980003,91.150002,87.43,90.730003,857500,90.165604
"2021-12-22",90.489998,91.839996,90.209999,91.760002,443900,91.189201
"2021-12-23",92.550003,93.25,91.75,92.699997,286100,92.123344
"2021-12-27",92.529999,93.370003,92.25,93.300003,220200,92.71962
"2021-12-28",93.230003,94.760002,93.230003,94.160004,219400,93.574265
"2021-12-29",94.489998,94.860001,94.239998,94.68,258600,94.091034
"2021-12-30",94.730003,95.75,94.129997,94.139999,268600,93.55439
"2021-12-31",93.989998,94.660004,93.709999,93.720001,244700,93.137001
"2022-01-03",94.559998,95.940002,94.559998,94.940002,381900,94.349419
"2022-01-04",95.870003,97.870003,95.75,97.389999,437000,96.784172
"2022-01-05",98.120003,99.089996,97.230003,97.440002,689700,96.833855
"2022-01-06",98.959999,99.230003,97.589996,98.989998,420700,98.574524
"2022-01-07",99.199997,100.959999,98.989998,100.720001,592400,100.297272
"2022-01-10",101.529999,101.800003,99.870003,101.010002,641100,100.586052
"2022-01-11",101.300003,102.260002,100.120003,102.099998,447500,101.671471
"2022-01-12",104.040001,105.949997,102.739998,104.25,738800,103.812447
"2022-01-13",104.709999,105.800003,103.809998,104.160004,639100,103.722832
