"","HCA.Open","HCA.High","HCA.Low","HCA.Close","HCA.Volume","HCA.Adjusted"
"2020-09-22",125.459999,125.830002,119.57,120.650002,2639200,118.724319
"2020-09-23",121.790001,122.089996,116.07,116.330002,2260100,114.473259
"2020-09-24",116.040001,119.150002,114.379997,116.949997,1290400,115.083359
"2020-09-25",116.089996,121.43,115.739998,120.550003,1439500,118.625916
"2020-09-28",122.480003,123.860001,120.82,121.360001,1119300,119.422989
"2020-09-29",122,122.150002,117.779999,120.18,1132100,118.261818
"2020-09-30",121.099998,126.349998,120.550003,124.68,1899200,122.689987
"2020-10-01",124.739998,125.699997,121.480003,124.559998,1847900,122.571899
"2020-10-02",121.5,128.179993,121.459999,127.050003,1489900,125.022171
"2020-10-05",128.179993,130.779999,126.889999,130.169998,1481700,128.092361
"2020-10-06",130.789993,132.399994,128.210007,128.369995,1257600,126.321083
"2020-10-07",130,132.339996,128.559998,129.070007,1001500,127.009918
"2020-10-08",129.889999,132.479996,128.949997,131.830002,1135500,129.725861
"2020-10-09",139.5,140,133.199997,133.960007,2754300,131.821884
"2020-10-12",135,135.289993,129.889999,130.229996,1332500,128.151382
"2020-10-13",130.279999,133.690002,128.320007,132.940002,1435700,130.818146
"2020-10-14",132.619995,136.759995,132.25,134.660004,1197100,132.510712
"2020-10-15",132.5,138.509995,132.039993,137.789993,1327800,135.590759
"2020-10-16",137.789993,139.479996,134.720001,135.119995,1197600,132.963364
"2020-10-19",134.559998,136.789993,133.399994,134.330002,894500,132.185974
"2020-10-20",134.330002,137.979996,133.710007,136.419998,980900,134.242599
"2020-10-21",135.589996,138.889999,135.589996,135.979996,1257300,133.809631
"2020-10-22",135.779999,138.110001,134.429993,135.210007,1485200,133.051895
"2020-10-23",136.809998,137.839996,134.800003,136.589996,897200,134.409882
"2020-10-26",134.5,137.449997,130.490005,135.429993,1966800,133.268402
"2020-10-27",134.710007,135.399994,130.399994,130.559998,1451000,128.476151
"2020-10-28",128.039993,130.080002,125.550003,126.550003,1342600,124.530144
"2020-10-29",126.169998,127.269997,123.82,125.400002,1343900,123.468742
"2020-10-30",125,126.68,121.910004,123.940002,1718800,122.031235
"2020-11-02",126.110001,130.740005,125.18,130.600006,2013000,128.588684
"2020-11-03",132.789993,137.220001,132.350006,136.089996,1656100,133.99411
"2020-11-04",135.990005,138.630005,131.559998,131.800003,2301300,129.770172
"2020-11-05",133.929993,140.490005,133.520004,137.559998,1681800,135.441452
"2020-11-06",137.330002,139.559998,136.350006,138.5,1004200,136.366989
"2020-11-09",147.690002,152.669998,145.990005,147.320007,3778600,145.051163
"2020-11-10",146.380005,154.940002,146.380005,152.110001,2497400,149.76738
"2020-11-11",151.630005,152,144.779999,145.470001,1456300,143.22966
"2020-11-12",144.610001,147.830002,142.470001,144.589996,2101800,142.36319
"2020-11-13",145.009995,149.970001,144.929993,149.75,1373800,147.443741
"2020-11-16",151.75,153.919998,150.229996,151.820007,1803800,149.481857
"2020-11-17",150.320007,155.839996,149.139999,153.029999,1587600,150.673187
"2020-11-18",152.110001,154.479996,150.100006,151.240005,1219400,148.910782
"2020-11-19",150.199997,151.240005,147.669998,150.850006,2141800,148.526794
"2020-11-20",150.919998,151.389999,147.009995,147.339996,1337300,145.070831
"2020-11-23",148.889999,151.309998,148.240005,149.399994,1243100,147.099121
"2020-11-24",150.990005,155.639999,149.550003,155.059998,2489500,152.671936
"2020-11-25",153.940002,155.460007,152.520004,153.619995,1077100,151.25412
"2020-11-27",153.5,155,152.309998,153.050003,753500,150.692917
"2020-11-30",152.460007,152.460007,148.919998,150.110001,1846300,147.798187
"2020-12-01",152.639999,153.699997,151.119995,151.910004,880500,149.570496
"2020-12-02",150.460007,153.369995,149.75,152.600006,839200,150.249832
"2020-12-03",153.25,154.070007,151.929993,152.75,906400,150.397522
"2020-12-04",153.649994,158.210007,152.580002,157.679993,1447000,155.251587
"2020-12-07",157.149994,157.679993,153.75,155.369995,1043500,152.977158
"2020-12-08",155.130005,159.649994,155,159.190002,1367500,156.738342
