"","CNC.Open","CNC.High","CNC.Low","CNC.Close","CNC.Volume","CNC.Adjusted"
"2021-07-08",73.620003,73.769997,72.019997,72.660004,2735700,72.660004
"2021-07-09",73.580002,73.839996,73.239998,73.510002,1830600,73.510002
"2021-07-12",73.239998,74.93,73,74.699997,3286500,74.699997
"2021-07-13",74.519997,75.589996,74.32,74.57,2408900,74.57
"2021-07-14",74.699997,74.769997,73.519997,73.769997,2466600,73.769997
"2021-07-15",73.25,74.029999,72.620003,73.300003,4074600,73.300003
"2021-07-16",73.419998,73.480003,72.540001,72.660004,1794100,72.660004
"2021-07-19",72.169998,72.690002,70.760002,71.370003,3272200,71.370003
"2021-07-20",71.760002,72.970001,71.389999,71.669998,2873000,71.669998
"2021-07-21",72.279999,72.919998,71.379997,72.910004,3807400,72.910004
"2021-07-22",73.050003,73.5,72.599998,73.150002,3175300,73.150002
"2021-07-23",73.5,73.870003,73.07,73.459999,3048800,73.459999
"2021-07-26",73.169998,73.440002,72.010002,72.669998,3515800,72.669998
"2021-07-27",69.309998,71.099998,68.25,70.470001,6686900,70.470001
"2021-07-28",70.529999,70.529999,69.459999,69.730003,3879400,69.730003
"2021-07-29",70,70.029999,68.809998,69.080002,2682000,69.080002
"2021-07-30",68.889999,69.330002,68.5,68.610001,3820600,68.610001
"2021-08-02",68.620003,70.459999,68.57,70.309998,4271700,70.309998
"2021-08-03",70.339996,70.339996,69.010002,69.330002,2756200,69.330002
"2021-08-04",68.900002,69.410004,68.75,69.089996,2625300,69.089996
"2021-08-05",69.07,69.089996,65.449997,67.230003,7259000,67.230003
"2021-08-06",67.419998,68.160004,66.089996,66.800003,5405100,66.800003
"2021-08-09",66.75,67.050003,66.160004,66.190002,3786900,66.190002
"2021-08-10",66.199997,66.360001,64.879997,64.989998,4071600,64.989998
"2021-08-11",65.160004,65.220001,64.339996,64.449997,3158800,64.449997
"2021-08-12",64.260002,64.709999,63.07,63.110001,3655200,63.110001
"2021-08-13",63.470001,63.470001,62.380001,63.07,4626300,63.07
"2021-08-16",62.84,64.129997,62.41,64.059998,2835200,64.059998
"2021-08-17",63.639999,65.489998,63.639999,65.410004,3103600,65.410004
"2021-08-18",65.25,65.769997,63.779999,63.82,3162500,63.82
"2021-08-19",63.57,64.669998,63.110001,63.91,1972800,63.91
"2021-08-20",63.950001,64.519997,63.720001,64.309998,2397600,64.309998
"2021-08-23",64.769997,65.089996,64.519997,64.529999,2035900,64.529999
"2021-08-24",64.809998,64.980003,64.040001,64.580002,2181800,64.580002
"2021-08-25",64.43,64.449997,63.34,63.560001,2822300,63.560001
"2021-08-26",63.630001,63.93,63.330002,63.580002,2378000,63.580002
"2021-08-27",63.810001,64.470001,63.450001,63.98,1735300,63.98
"2021-08-30",63.889999,63.950001,63.16,63.23,2715800,63.23
"2021-08-31",62.959999,64,62.650002,62.98,3822500,62.98
"2021-09-01",63.389999,63.459999,62.150002,62.709999,2211700,62.709999
"2021-09-02",62.700001,64.860001,62.700001,64.610001,2206200,64.610001
"2021-09-03",64.599998,64.660004,64.169998,64.370003,1905700,64.370003
"2021-09-07",64.110001,64.360001,63.209999,63.790001,2638500,63.790001
"2021-09-08",63.669998,63.950001,62.610001,62.849998,1924400,62.849998
"2021-09-09",62.630001,63.119999,61.84,61.959999,2084300,61.959999
"2021-09-10",62.189999,62.27,59.669998,59.73,3995500,59.73
"2021-09-13",59.98,64.220001,59.84,62.900002,5974300,62.900002
"2021-09-14",62.759998,62.82,60.580002,60.799999,3219300,60.799999
"2021-09-15",60.369999,62.200001,60.169998,61.630001,3926200,61.630001
"2021-09-16",61.93,62.549999,61.110001,61.59,2069200,61.59
"2021-09-17",61.57,65.050003,61.5,64.639999,12211300,64.639999
"2021-09-20",64.040001,64.910004,63.470001,64.349998,4395400,64.349998
"2021-09-21",64.529999,64.900002,63,63.09,4807800,63.09
"2021-09-22",63.25,64.129997,62.82,62.939999,2239400,62.939999
"2021-09-23",62.73,63.540001,62.450001,62.599998,2448200,62.599998
"2021-09-24",62.43,63.029999,61.98,62.82,1623400,62.82
"2021-09-27",63.16,64.910004,63,63.830002,3801200,63.830002
"2021-09-28",63.5,64.059998,62.93,63.5,2842400,63.5
"2021-09-29",63.369999,63.73,63.009998,63.259998,1577200,63.259998
"2021-09-30",63.91,64.339996,62.07,62.310001,4128700,62.310001
"2021-10-01",62.669998,63.34,61.240002,63.049999,2485300,63.049999
"2021-10-04",63.25,64.010002,62.25,62.529999,2430400,62.529999
"2021-10-05",62.68,63.07,61.939999,62.709999,4022900,62.709999
"2021-10-06",62.07,63.119999,60.810001,63.040001,3333800,63.040001
"2021-10-07",63.400002,64.620003,63.259998,63.970001,2372400,63.970001
"2021-10-08",64.169998,64.580002,63.639999,64.330002,2678500,64.330002
"2021-10-11",64.139999,64.489998,63.009998,63.099998,2248200,63.099998
"2021-10-12",63.16,63.849998,62.970001,63.040001,2790200,63.040001
"2021-10-13",62.740002,62.740002,61.209999,61.939999,3160700,61.939999
"2021-10-14",63.509998,64.669998,62.959999,63.23,3873300,63.23
"2021-10-15",63.369999,65.550003,63.279999,65.32,4394100,65.32
"2021-10-18",65.110001,65.419998,63.990002,64.010002,2603500,64.010002
"2021-10-19",64.480003,64.889999,64.019997,64.709999,2470400,64.709999
"2021-10-20",65.160004,68.349998,64.839996,68.089996,5834100,68.089996
"2021-10-21",67.919998,69.290001,67.68,68.989998,4906800,68.989998
"2021-10-22",68.769997,69.610001,68.370003,69.239998,3001500,69.239998
"2021-10-25",69.029999,69.150002,67.790001,67.970001,5060800,67.970001
"2021-10-26",68.459999,71.57,68.110001,70.970001,10237000,70.970001
"2021-10-27",70.989998,72.82,70.470001,70.550003,7717400,70.550003
"2021-10-28",69.860001,71.709999,69.230003,71.610001,3604800,71.610001
"2021-10-29",71.379997,71.889999,70.949997,71.239998,3045700,71.239998
