"","CNC.Open","CNC.High","CNC.Low","CNC.Close","CNC.Volume","CNC.Adjusted"
"2020-07-01",63.970001,65.889999,63.959999,65.410004,4312900,65.410004
"2020-07-02",65.889999,67.629997,65.82,66.519997,3399800,66.519997
"2020-07-06",67.529999,67.550003,66.129997,66.629997,2886800,66.629997
"2020-07-07",66.010002,67.18,64.940002,65.830002,2431700,65.830002
"2020-07-08",65.870003,66.5,64.550003,65.589996,2490600,65.589996
"2020-07-09",65.18,65.269997,62.580002,63.310001,3700500,63.310001
"2020-07-10",63.509998,63.52,62.18,62.84,2562700,62.84
"2020-07-13",63,64.769997,62.93,63.529999,3017300,63.529999
"2020-07-14",63.150002,65.32,63.110001,65.279999,2597600,65.279999
"2020-07-15",65.769997,66.370003,64.519997,65.599998,3163600,65.599998
"2020-07-16",65.550003,66.93,65.470001,66.029999,2624500,66.029999
"2020-07-17",66.540001,66.910004,66.18,66.269997,2138400,66.269997
"2020-07-20",66.43,66.440002,64.389999,64.860001,2343400,64.860001
"2020-07-21",65.190002,66.160004,64.800003,65.870003,2697600,65.870003
"2020-07-22",65.949997,67.089996,65.459999,66.82,2446600,66.82
"2020-07-23",66.690002,68.449997,66.690002,67.739998,3335300,67.739998
"2020-07-24",67.879997,68.040001,66.830002,67.510002,2645300,67.510002
"2020-07-27",66.809998,67.360001,65.82,67.269997,3505200,67.269997
"2020-07-28",65.769997,66.709999,63.830002,64.230003,7188700,64.230003
"2020-07-29",64.57,66.760002,64.519997,66.339996,2946400,66.339996
"2020-07-30",65.129997,66.860001,64.279999,66.809998,2547200,66.809998
"2020-07-31",66.580002,66.639999,64.449997,65.25,2527700,65.25
"2020-08-03",65.650002,65.919998,62.759998,63.099998,4564200,63.099998
"2020-08-04",63.02,63.740002,62.310001,62.639999,3607900,62.639999
"2020-08-05",63.169998,64.099998,62.700001,63.98,2592600,63.98
"2020-08-06",63.580002,64.279999,62.93,63.720001,1775900,63.720001
"2020-08-07",63.720001,64.860001,63.439999,64.279999,1732400,64.279999
"2020-08-10",64.379997,64.449997,62.779999,63,3253800,63
"2020-08-11",64.050003,64.440002,62.720001,62.880001,2762500,62.880001
"2020-08-12",63.52,65.339996,63.52,65.050003,2723500,65.050003
"2020-08-13",64.669998,64.910004,63.77,64.68,1539300,64.68
"2020-08-14",64.190002,64.940002,63.75,64.639999,2059500,64.639999
"2020-08-17",64.540001,64.989998,63.98,64.120003,1497100,64.120003
"2020-08-18",64.330002,64.400002,62.919998,63.139999,1847000,63.139999
"2020-08-19",63.41,64.150002,63.02,63.470001,2831900,63.470001
"2020-08-20",63.41,63.41,62.040001,62.400002,2346200,62.400002
"2020-08-21",62.529999,62.93,61.91,62.470001,2548600,62.470001
"2020-08-24",62.799999,62.799999,60.099998,60.279999,3230100,60.279999
"2020-08-25",60.689999,60.810001,59.75,60.790001,3245600,60.790001
"2020-08-26",60.650002,60.650002,58.369999,59.380001,4459900,59.380001
"2020-08-27",59.84,61.150002,58.970001,60.490002,3745100,60.490002
"2020-08-28",60.619999,61.700001,60.130001,60.48,2147700,60.48
"2020-08-31",60.380001,62.029999,60.130001,61.32,3651700,61.32
"2020-09-01",61.119999,61.790001,60.720001,61.369999,3073800,61.369999
"2020-09-02",61.459999,62.139999,60.669998,61.98,2542700,61.98
"2020-09-03",62.049999,62.779999,59.73,60.23,2720900,60.23
"2020-09-04",60.5,60.650002,58.560001,59.669998,2495200,59.669998
"2020-09-08",59.34,59.470001,56.970001,57.16,2935300,57.16
"2020-09-09",57.700001,57.91,56.599998,57.349998,2718100,57.349998
"2020-09-10",57.43,57.84,56.720001,57.099998,3521900,57.099998
"2020-09-11",57.310001,57.400002,55.669998,56.439999,2431100,56.439999
"2020-09-14",56.700001,58.77,56.700001,58.220001,3238200,58.220001
"2020-09-15",58.59,58.959999,57.75,58.18,2670100,58.18
"2020-09-16",58.560001,60.169998,58.419998,59.900002,4450800,59.900002
"2020-09-17",59.41,60.529999,59.099998,60.419998,3599100,60.419998
"2020-09-18",60.529999,61.34,60.110001,61.130001,4873000,61.130001
"2020-09-21",58,58.029999,55.119999,55.990002,7660200,55.990002
"2020-09-22",56.009998,56.400002,53.939999,54.34,6983500,54.34
"2020-09-23",54.220001,55.369999,53.599998,54.939999,5687100,54.939999
"2020-09-24",54.810001,55.470001,53.84,54.299999,3980600,54.299999
"2020-09-25",54.299999,55.560001,54,55.41,3883200,55.41
"2020-09-28",56.209999,56.84,55.25,55.52,4530000,55.52
"2020-09-29",55.740002,56.18,55.240002,55.860001,2522600,55.860001
"2020-09-30",56.259998,58.889999,56.209999,58.330002,3669200,58.330002
"2020-10-01",58.360001,58.939999,57.689999,58.82,3852200,58.82
"2020-10-02",58.080002,60.91,57.599998,59.98,3965700,59.98
"2020-10-05",60.490002,62.700001,60.279999,62.259998,3565800,62.259998
"2020-10-06",62.330002,63.669998,61.740002,62.25,4179300,62.25
"2020-10-07",62.759998,65.139999,62.580002,64.620003,3105200,64.620003
"2020-10-08",65,65.260002,63.84,64.68,2137800,64.68
"2020-10-09",64.989998,65.230003,63.560001,64.199997,2341300,64.199997
"2020-10-12",64.690002,65.830002,64.470001,65.300003,2216300,65.300003
"2020-10-13",64.699997,66.389999,64.510002,65.370003,3024000,65.370003
"2020-10-14",65.239998,65.699997,63.889999,65.190002,2480600,65.190002
"2020-10-15",64.120003,66.120003,64.010002,65.860001,2465000,65.860001
"2020-10-16",66,66.849998,65.199997,66.209999,2569500,66.209999
"2020-10-19",66.300003,66.75,65.440002,65.730003,1510400,65.730003
"2020-10-20",65.919998,66.510002,65.25,65.559998,1749100,65.559998
"2020-10-21",65.370003,66.550003,65.209999,65.980003,2135200,65.980003
"2020-10-22",66.019997,67.309998,66.019997,66.940002,1703300,66.940002
"2020-10-23",67.309998,68.639999,67.059998,67.419998,2387500,67.419998
"2020-10-26",66.669998,67.010002,65.629997,66.389999,2783100,66.389999
"2020-10-27",62.689999,64.959999,61.02,64.139999,4042100,64.139999
"2020-10-28",62.759998,63.310001,61.029999,61.16,3348500,61.16
"2020-10-29",60.959999,61.150002,58.330002,58.330002,5175000,58.330002
"2020-10-30",58.209999,59.580002,58.189999,59.099998,4364700,59.099998
"2020-11-02",60.02,62.540001,59.84,62.380001,6584300,62.380001
"2020-11-03",63.349998,65.449997,62.889999,64.639999,4660400,64.639999
"2020-11-04",64,65.839996,63.41,63.990002,9042200,63.990002
"2020-11-05",64.809998,68.18,64.309998,67.879997,6192800,67.879997
"2020-11-06",68,68.300003,66.5,67.93,3666000,67.93
"2020-11-09",69.849998,71.089996,68.68,68.82,4208400,68.82
"2020-11-10",69.760002,72.309998,67.849998,71.120003,6561800,71.120003
"2020-11-11",72,72.239998,69.389999,69.400002,4132300,69.400002
"2020-11-12",69.040001,70.07,68.260002,68.830002,2581000,68.830002
"2020-11-13",69.129997,69.669998,68.650002,69.050003,2901400,69.050003
"2020-11-16",69.849998,69.849998,67.449997,67.669998,3261100,67.669998
"2020-11-17",67.199997,67.75,66.269997,67.279999,3037800,67.279999
"2020-11-18",68.190002,68.190002,65.93,65.959999,1929400,65.959999
"2020-11-19",65.529999,65.580002,63.330002,63.610001,3374000,63.610001
"2020-11-20",63.380001,63.669998,62.23,62.959999,2921800,62.959999
"2020-11-23",63.25,64.220001,63.130001,63.919998,3205900,63.919998
"2020-11-24",64.32,65.139999,63.25,63.389999,3020100,63.389999
"2020-11-25",63.66,63.880001,61.900002,62.189999,3698600,62.189999
"2020-11-27",62.110001,63.349998,62.110001,63.169998,2310300,63.169998
"2020-11-30",63.279999,63.279999,61.419998,61.650002,4790200,61.650002
"2020-12-01",62.52,64.309998,62.48,62.869999,4467200,62.869999
"2020-12-02",62.830002,64.459999,62.790001,63.84,1652800,63.84
"2020-12-03",63.299999,64.300003,62.93,63.68,2825200,63.68
"2020-12-04",63.77,64.610001,63.52,64.599998,2499700,64.599998
"2020-12-07",64.269997,64.940002,63.799999,64.57,4076100,64.57
"2020-12-08",64.059998,65.550003,63.869999,65.010002,3119300,65.010002
"2020-12-09",65.169998,65.349998,62.950001,63.450001,3636000,63.450001
"2020-12-10",63.209999,63.23,61.27,61.310001,3510400,61.310001
"2020-12-11",61.16,61.509998,59.970001,60.709999,4250100,60.709999
"2020-12-14",61.400002,61.41,59.549999,59.73,3585300,59.73
"2020-12-15",60.169998,60.380001,59.529999,60.380001,4677500,60.380001
"2020-12-16",60.700001,61.75,60,61.029999,3824500,61.029999
"2020-12-17",61.279999,62.400002,61.200001,62.09,6472300,62.09
"2020-12-18",61.73,61.889999,60.139999,61.150002,7819000,61.150002
"2020-12-21",59.75,60.060001,58.41,58.689999,7948800,58.689999
"2020-12-22",58.779999,58.880001,57.560001,58.07,4705600,58.07
"2020-12-23",58.700001,59.209999,58.419998,58.68,2861200,58.68
"2020-12-24",58.669998,58.91,57.860001,58.02,1509700,58.02
"2020-12-28",58.32,59.060001,57.91,58.830002,3476200,58.830002
"2020-12-29",59.32,60.450001,58.990002,59.029999,2023100,59.029999
"2020-12-30",58.970001,59.360001,58.759998,58.919998,1743400,58.919998
"2020-12-31",59.009998,60.080002,58.830002,60.029999,1861900,60.029999
"2021-01-04",60.610001,62.130001,59.91,62.09,6310800,62.09
"2021-01-05",62,62.790001,60.98,61.07,3602700,61.07
"2021-01-06",62.610001,67.849998,62.27,67.660004,11283800,67.660004
"2021-01-07",67.739998,69.959999,67.739998,69.75,4312400,69.75
"2021-01-08",69.870003,70.260002,67.559998,68.209999,3676000,68.209999
"2021-01-11",66.849998,68.940002,66.849998,68.68,2522000,68.68
"2021-01-12",68.68,69.82,68.120003,68.139999,1859500,68.139999
"2021-01-13",67.379997,67.669998,66.230003,66.510002,2745500,66.510002
"2021-01-14",66.639999,67.209999,64.900002,65.029999,3039200,65.029999
"2021-01-15",64.120003,64.830002,63.509998,63.990002,4129700,63.990002
"2021-01-19",64.599998,64.839996,62.650002,62.790001,2649500,62.790001
"2021-01-20",62.810001,63.080002,61.540001,62.419998,3410900,62.419998
"2021-01-21",61.779999,63.669998,61.529999,62.75,5082800,62.75
"2021-01-22",62.52,62.68,61.48,61.509998,3896800,61.509998
"2021-01-25",61.369999,62.16,60.700001,60.93,3543500,60.93
"2021-01-26",61.400002,61.669998,59.830002,60.099998,2989800,60.099998
"2021-01-27",59.290001,59.5,57.799999,58.419998,5622800,58.419998
"2021-01-28",59.099998,61.389999,58.790001,60.77,4474900,60.77
"2021-01-29",60.490002,61.119999,59.240002,60.299999,3446500,60.299999
"2021-02-01",60.25,60.709999,59.470001,59.599998,3044400,59.599998
"2021-02-02",60.360001,61.150002,59.59,59.639999,2687600,59.639999
"2021-02-03",59.790001,60.990002,59.580002,60.48,2527500,60.48
"2021-02-04",60.790001,60.970001,59.919998,60.400002,3089400,60.400002
"2021-02-05",60.830002,61.200001,58.57,58.880001,4287700,58.880001
"2021-02-08",59.169998,59.43,57.77,58.240002,4197600,58.240002
"2021-02-09",59.75,60.630001,58.75,60.27,5691000,60.27
"2021-02-10",60.900002,62.330002,60.75,61.060001,5294500,61.060001
"2021-02-11",60.970001,61.470001,59.77,59.970001,3911700,59.970001
"2021-02-12",59.860001,60,59.02,59.200001,3119200,59.200001
"2021-02-16",59.400002,59.470001,57.869999,58.189999,3837200,58.189999
"2021-02-17",58.049999,59.110001,57.990002,58.610001,2870000,58.610001
"2021-02-18",58.419998,59.509998,58.419998,58.73,3843200,58.73
"2021-02-19",58.900002,59.09,57.709999,57.970001,3094400,57.970001
"2021-02-22",57.5,58.700001,57.16,58.279999,3582500,58.279999
"2021-02-23",58.869999,59.869999,58.110001,59.299999,4449300,59.299999
"2021-02-24",59.049999,59.790001,58.740002,59.349998,2602800,59.349998
"2021-02-25",59.470001,60.27,58.450001,58.759998,3445800,58.759998
"2021-02-26",58.950001,59.619999,58.080002,58.540001,3886300,58.540001
"2021-03-01",59.009998,59.93,58.950001,59.389999,2183300,59.389999
"2021-03-02",59.889999,60.25,59.049999,59.139999,3184000,59.139999
"2021-03-03",58.639999,59.209999,58.369999,58.799999,2902700,58.799999
"2021-03-04",58.889999,60.290001,58.619999,59.290001,4501000,59.290001
"2021-03-05",59.580002,60.68,58.849998,60.52,5345200,60.52
"2021-03-08",60.959999,61.959999,60.220001,61.720001,3824000,61.720001
"2021-03-09",61.700001,62.950001,61.330002,61.490002,3573600,61.490002
"2021-03-10",61.619999,62.450001,61.080002,61.59,2628600,61.59
"2021-03-11",61.759998,62.950001,61.59,61.889999,2979600,61.889999
"2021-03-12",62.34,62.990002,61.740002,62.900002,2787300,62.900002
"2021-03-15",63,63.540001,61.900002,62.799999,2588000,62.799999
"2021-03-16",62.59,63.23,62.060001,62.970001,2343100,62.970001
"2021-03-17",63.139999,63.66,61.790001,61.889999,2675700,61.889999
"2021-03-18",61.689999,64.160004,61.259998,63.57,3528600,63.57
"2021-03-19",63.400002,65.18,63.220001,64.239998,5419400,64.239998
"2021-03-22",63.59,64.629997,63.009998,64.459999,2198400,64.459999
"2021-03-23",64.809998,64.870003,63.75,64.059998,2213900,64.059998
"2021-03-24",63.98,65.190002,63.869999,64.940002,2504800,64.940002
"2021-03-25",65.239998,65.279999,63.32,64.940002,2445500,64.940002
"2021-03-26",64.800003,65.239998,64.360001,64.860001,3380600,64.860001
"2021-03-29",64.790001,66.32,64.739998,65.639999,2523000,65.639999
"2021-03-30",65.559998,66.139999,65.050003,65.379997,2851100,65.379997
"2021-03-31",64.809998,65.300003,63.790001,63.91,3005300,63.91
"2021-04-01",63.84,64.029999,62.380001,63.25,3794200,63.25
"2021-04-05",63.84,64.610001,63.669998,63.959999,2341800,63.959999
"2021-04-06",63.950001,63.950001,62.400002,62.639999,3201500,62.639999
"2021-04-07",62.810001,62.950001,62.25,62.619999,2723500,62.619999
"2021-04-08",62,62.400002,61.299999,61.540001,4613900,61.540001
"2021-04-09",61.950001,62.66,61.5,62.610001,3661700,62.610001
"2021-04-12",62.75,63.57,62.27,62.43,2986900,62.43
"2021-04-13",61.709999,62.93,61.709999,62.23,3400000,62.23
"2021-04-14",62.400002,62.889999,62.07,62.580002,2696000,62.580002
"2021-04-15",62.639999,64.470001,62.490002,64.239998,3813600,64.239998
"2021-04-16",64.470001,65.150002,64.07,64.959999,3398500,64.959999
"2021-04-19",64.989998,65.75,64.620003,65.379997,3379300,65.379997
"2021-04-20",65.349998,66.120003,65.239998,65.43,2025400,65.43
"2021-04-21",65.699997,66.099998,65.019997,65.489998,1793800,65.489998
"2021-04-22",65.239998,65.309998,63.869999,64.639999,1897300,64.639999
"2021-04-23",64.529999,65.559998,64.279999,65.370003,3269000,65.370003
"2021-04-26",65.5,66.68,65.370003,66,4711100,66
"2021-04-27",63.93,64.489998,61,61.310001,10697100,61.310001
"2021-04-28",61.459999,61.459999,59.330002,59.490002,8433000,59.490002
"2021-04-29",59.900002,60.919998,59.57,60.59,5730000,60.59
"2021-04-30",60.419998,61.869999,60.130001,61.740002,5171500,61.740002
"2021-05-03",61.450001,63.23,61.450001,62.419998,4060300,62.419998
"2021-05-04",62.130001,64.580002,62.099998,64.559998,4493100,64.559998
"2021-05-05",64.169998,65.620003,63.639999,65.290001,6551000,65.290001
"2021-05-06",65.650002,65.870003,64.129997,65.190002,4023800,65.190002
"2021-05-07",65.279999,70.510002,65.040001,70.449997,11819100,70.449997
"2021-05-10",70.110001,71.040001,69.419998,69.559998,5817300,69.559998
"2021-05-11",70.010002,70.400002,67.739998,68.059998,3881400,68.059998
"2021-05-12",67.849998,70.139999,67.660004,69.639999,5407400,69.639999
"2021-05-13",69.279999,69.989998,68.300003,68.389999,5493800,68.389999
"2021-05-14",68.889999,69.349998,68.419998,69.199997,2980600,69.199997
"2021-05-17",69.309998,70.980003,69.199997,70.559998,4611500,70.559998
"2021-05-18",70.779999,71.370003,69.919998,70.730003,4807400,70.730003
"2021-05-19",70.75,71.059998,70.269997,70.879997,4162400,70.879997
"2021-05-20",70.68,72.449997,70.290001,71.800003,8318400,71.800003
"2021-05-21",72.120003,73.959999,72.040001,73.730003,7245700,73.730003
"2021-05-24",73.959999,74.389999,73.620003,73.919998,5348300,73.919998
"2021-05-25",73.910004,74.519997,73.440002,73.959999,5254900,73.959999
"2021-05-26",73.889999,74.25,73.18,73.489998,3341800,73.489998
"2021-05-27",73.669998,73.900002,73.300003,73.720001,4156500,73.720001
"2021-05-28",73.730003,74.230003,73.239998,73.599998,3240700,73.599998
"2021-06-01",73.870003,74.099998,72.779999,73.279999,4308300,73.279999
"2021-06-02",73.410004,73.5,72.300003,72.610001,2900900,72.610001
"2021-06-03",72.389999,72.919998,71.900002,72.410004,3320800,72.410004
"2021-06-04",72.790001,72.970001,71.129997,71.440002,3204400,71.440002
"2021-06-07",71.769997,72.099998,71.220001,71.279999,3618500,71.279999
"2021-06-08",71.349998,72.07,71.169998,71.550003,4758700,71.550003
"2021-06-09",71.779999,72.290001,71.459999,71.660004,2598500,71.660004
"2021-06-10",71.559998,71.739998,70.370003,71.019997,2782300,71.019997
"2021-06-11",71.169998,71.379997,70.519997,70.809998,1915200,70.809998
"2021-06-14",70.580002,70.639999,68.690002,68.779999,3506900,68.779999
"2021-06-15",69.010002,70.379997,68.459999,70,3341100,70
"2021-06-16",70.5,75.25,70.480003,72.620003,10811900,72.620003
"2021-06-17",72.43,74.589996,72.120003,74.309998,9047000,74.309998
"2021-06-18",72.57,73.599998,71.370003,71.690002,6498400,71.690002
"2021-06-21",71.860001,72.68,71.290001,72.169998,3310900,72.169998
"2021-06-22",72.440002,72.639999,71.57,72.199997,2234800,72.199997
"2021-06-23",72.440002,73.330002,72,73.089996,3066800,73.089996
"2021-06-24",73.550003,74.059998,72.779999,72.800003,2359200,72.800003
"2021-06-25",72.779999,74.32,72.470001,73.900002,5303900,73.900002
"2021-06-28",73.639999,74.5,73.209999,74.300003,2775600,74.300003
"2021-06-29",74.599998,74.809998,73.459999,73.75,2128200,73.75
"2021-06-30",73.68,73.779999,72.449997,72.93,2960300,72.93
"2021-07-01",73.139999,73.830002,73,73.660004,3189900,73.660004
"2021-07-02",73.639999,73.93,72.910004,73.879997,3144300,73.879997
"2021-07-06",73.639999,73.739998,72.190002,73.610001,2727200,73.610001
"2021-07-07",73.650002,74.209999,73.07,74.139999,1922800,74.139999
