"","WYNN.Open","WYNN.High","WYNN.Low","WYNN.Close","WYNN.Volume","WYNN.Adjusted"
"2020-09-10",84.129997,86.410004,83.120003,83.330002,3201800,83.330002
"2020-09-11",84.620003,84.900002,80.879997,82.110001,2198400,82.110001
"2020-09-14",83.029999,83.839996,81.860001,83.800003,2261900,83.800003
"2020-09-15",83.910004,83.959999,80.769997,82.279999,3525600,82.279999
"2020-09-16",81.190002,81.290001,77.32,79.660004,6588400,79.660004
"2020-09-17",78.029999,80.57,77.989998,79.300003,2792100,79.300003
"2020-09-18",78.910004,79.669998,76.269997,77.699997,3709900,77.699997
"2020-09-21",73.739998,74.610001,70.839996,72.300003,7009900,72.300003
"2020-09-22",72.690002,75.169998,72.010002,73.419998,3310300,73.419998
"2020-09-23",73.940002,75.730003,70.510002,70.690002,4401700,70.690002
"2020-09-24",70.5,72.349998,68.790001,71.07,3915400,71.07
"2020-09-25",71.160004,72.559998,70.629997,72.360001,2684500,72.360001
"2020-09-28",73.110001,74.57,72.43,73.620003,3203500,73.620003
"2020-09-29",72.980003,73.089996,70.550003,70.980003,4250900,70.980003
"2020-09-30",71.940002,73.940002,71.18,71.809998,4450800,71.809998
"2020-10-01",72.139999,72.720001,71.110001,72.07,4258900,72.07
"2020-10-02",70,73.440002,69.599998,73.199997,3115800,73.199997
"2020-10-05",73.059998,74.07,72.029999,73.849998,3414400,73.849998
"2020-10-06",74.57,77.739998,74.019997,74.32,5082600,74.32
