"","VFC.Open","VFC.High","VFC.Low","VFC.Close","VFC.Volume","VFC.Adjusted"
"2020-07-01",61.209999,62.330002,60.43,60.599998,2279800,57.190304
"2020-07-02",62.060001,63.209999,61.419998,61.580002,1833200,58.115166
"2020-07-06",62.759998,63.41,61.700001,62.990002,1805400,59.445831
"2020-07-07",62,62.110001,59.669998,59.830002,1979300,56.463631
"2020-07-08",59.84,60.689999,59.049999,60.68,2173400,57.265804
"2020-07-09",60.43,60.48,58.18,58.27,2774600,54.991402
"2020-07-10",58.560001,60.759998,58.349998,60.740002,1776700,57.322426
"2020-07-13",61.330002,61.419998,59.32,60.049999,1965800,56.671249
"2020-07-14",59.810001,61.16,59.529999,60.240002,1507100,56.850559
"2020-07-15",61.619999,62.740002,61.41,62.66,1978600,59.134396
"2020-07-16",62.049999,63.599998,61.849998,62.32,1897800,58.813522
"2020-07-17",62.459999,62.459999,59.700001,59.720001,1920000,56.359818
"2020-07-20",59.16,59.98,57.91,57.93,2361600,54.670532
"2020-07-21",58.52,60.32,58.02,59.669998,2407400,56.312634
"2020-07-22",59.450001,60.209999,59.060001,59.689999,1571500,56.331509
"2020-07-23",59.470001,61.080002,59.470001,60.139999,1607800,56.756187
"2020-07-24",60.810001,61.139999,59.700001,59.900002,1605000,56.529694
"2020-07-27",59.599998,60.889999,59.34,60.82,1471000,57.397923
"2020-07-28",60.369999,61.490002,60.369999,60.810001,1263900,57.388489
"2020-07-29",60.849998,62.220001,60.669998,61.91,1124600,58.426594
"2020-07-30",60.950001,61.110001,60,60.5,1908500,57.095924
"2020-07-31",59.099998,62.029999,58.080002,60.360001,4156800,56.963806
"2020-08-03",60.330002,60.330002,57.59,59.810001,2450800,56.444752
"2020-08-04",59.360001,60,58.950001,59.48,2119500,56.133324
"2020-08-05",59.810001,62.169998,59.779999,61.939999,1849300,58.45491
"2020-08-06",60.990002,61.5,59.900002,59.98,2456900,56.60519
"2020-08-07",59.849998,61.299999,58.919998,61.279999,1674400,57.832039
"2020-08-10",61.299999,64.529999,61.299999,64.010002,2048200,60.40844
"2020-08-11",65.389999,66.580002,64.239998,64.459999,2263100,60.833118
"2020-08-12",65.309998,65.330002,62.830002,63.720001,1233200,60.134758
"2020-08-13",63.25,64.25,62.939999,63.830002,1031000,60.238564
"2020-08-14",63.389999,64.760002,62.880001,64.239998,1533900,60.625496
"2020-08-17",64.050003,64.150002,62.59,63.119999,1216200,59.568508
"2020-08-18",62.849998,62.970001,61.279999,62.040001,2311800,58.549286
