"","MSCI.Open","MSCI.High","MSCI.Low","MSCI.Close","MSCI.Volume","MSCI.Adjusted"
"2021-07-21",564.049988,570.179993,562.400024,564.859985,207100,560.435791
"2021-07-22",566.960022,573.869995,565.710022,572.150024,173900,567.668762
"2021-07-23",573.429993,580.090027,572.169983,578.950012,165100,574.415405
"2021-07-26",574.210022,580.72998,566.27002,575.900024,323200,571.389404
"2021-07-27",587,596.469971,576.280029,584.210022,327100,579.634338
"2021-07-28",588.909973,593.859985,586.27002,591.840027,261000,587.204529
"2021-07-29",592,597.530029,589.26001,594.76001,260700,590.101685
"2021-07-30",592.369995,601.690002,591.840027,595.960022,279100,591.292236
"2021-08-02",600.119995,614.679993,600.119995,610.919983,313000,606.135071
"2021-08-03",610.599976,621.320007,601.429993,619.070007,321500,614.221252
"2021-08-04",620.77002,627.570007,620.77002,624.219971,300900,619.330811
"2021-08-05",627.330017,635.580017,617.5,627.380005,271200,622.466187
"2021-08-06",629.059998,633.429993,615.950012,628.900024,248900,623.974304
"2021-08-09",629.190002,633.340027,622.409973,627.679993,325300,622.763855
"2021-08-10",628,635.109985,624.320007,625.080017,329800,620.184204
"2021-08-11",628.200012,631.859985,621.619995,624.940002,260500,620.045288
"2021-08-12",621.299988,626.409973,618.25,625.159973,243700,621.297485
"2021-08-13",625.169983,630.97998,619.809998,630.02002,257800,626.127502
"2021-08-16",628.289978,631.960022,620.26001,630.210022,386700,626.316345
"2021-08-17",626.98999,629.809998,620.450012,629.47998,225800,625.59082
"2021-08-18",629.5,630.380005,609.390015,610.210022,313500,606.43988
"2021-08-19",602.650024,613.909973,594.289978,610,474500,606.231201
"2021-08-20",612.289978,619.070007,608,618.859985,243400,615.036377
"2021-08-23",618.909973,627.380005,618.909973,621.190002,165500,617.35199
"2021-08-24",623.109985,625.48999,618.179993,618.369995,242900,614.549438
"2021-08-25",620.119995,630.159973,619.650024,627.909973,251800,624.030518
"2021-08-26",630.049988,630.049988,622.27002,623.909973,153400,620.055176
"2021-08-27",625.950012,632.539978,624.780029,629.590027,163500,625.700134
"2021-08-30",631,643.52002,631,638.429993,285400,634.485474
"2021-08-31",638.52002,641.210022,633.280029,634.580017,275000,630.659302
"2021-09-01",637.210022,651.340027,633.460022,649.210022,237200,645.198914
"2021-09-02",651.200012,659.090027,645.690002,649.419983,304400,645.407593
"2021-09-03",646.390015,654.22998,646.390015,650.75,238600,646.72937
"2021-09-07",650.539978,659.059998,642.039978,655.820007,296300,651.768066
"2021-09-08",655,667.070007,651.070007,659.179993,237600,655.1073
