"","ODFL.Open","ODFL.High","ODFL.Low","ODFL.Close","ODFL.Volume","ODFL.Adjusted"
"2021-04-29",258.709991,260.100006,256.119995,259.309998,333000,258.252441
"2021-04-30",258.700012,261.170013,256.75,257.809998,468300,256.758514
"2021-05-03",258.809998,262.910004,258.220001,261.670013,519800,260.602814
"2021-05-04",260.320007,265.609985,260.049988,264.75,580400,263.670197
"2021-05-05",266.359985,266.359985,262.559998,264.130005,372800,263.052734
"2021-05-06",264.290009,265.130005,261.359985,264.959991,416500,263.879333
"2021-05-07",266.100006,269.910004,263.790009,269.570007,361000,268.470551
"2021-05-10",270.390015,276.089996,269.73999,270.130005,569100,269.02829
"2021-05-11",267.350006,268,261.480011,264.140015,795500,263.062714
"2021-05-12",262.899994,263.369995,256.26001,256.380005,872500,255.334351
"2021-05-13",256.480011,264.519989,256.480011,263.970001,611100,262.893402
"2021-05-14",265.420013,270.660004,264.420013,269.570007,381800,268.470551
"2021-05-17",268.299988,271.549988,268.299988,270.230011,505200,269.127869
"2021-05-18",270.709991,271.450012,264.850006,265.019989,679300,263.939087
"2021-05-19",260.980011,264.839996,258.519989,264.149994,781300,263.072662
"2021-05-20",265.869995,267.309998,264.420013,264.600006,449200,263.520844
"2021-05-21",264.959991,267.470001,262.579987,262.940002,742200,261.867615
"2021-05-24",264.26001,265.25,262.179993,264.690002,790900,263.610474
"2021-05-25",265.700012,268.5,260.910004,261.329987,707700,260.26416
"2021-05-26",261.690002,263.420013,258.600006,262.670013,558900,261.598724
"2021-05-27",261.859985,268.420013,261.690002,264.320007,2825500,263.241974
"2021-05-28",264.700012,265.850006,261.820007,265.450012,616600,264.367371
"2021-06-01",268.619995,269.25,266.929993,267.850006,635500,266.95871
"2021-06-02",268.890015,269.079987,261.859985,263.420013,698300,262.543488
"2021-06-03",262.399994,266.190002,259.48999,264.179993,865600,263.300934
"2021-06-04",265.339996,265.910004,256.040009,260.269989,721600,259.403931
"2021-06-07",261.540009,261.950012,252.350006,254.289993,852100,253.443832
"2021-06-08",255.240005,256.399994,252.259995,255.399994,696900,254.550156
"2021-06-09",255.559998,256.160004,249.210007,249.770004,1041400,248.938889
