"","LMT.Open","LMT.High","LMT.Low","LMT.Close","LMT.Volume","LMT.Adjusted"
"2020-07-01",366.339996,368.290009,360.309998,360.420013,1430100,340.801575
"2020-07-02",363.529999,366.070007,360.690002,362,1396000,342.295563
"2020-07-06",366.480011,367.119995,360.839996,362.589996,1202300,342.853455
"2020-07-07",362.589996,362.920013,352.779999,353.269989,1395900,334.040771
"2020-07-08",353.5,357.299988,348.630005,350.230011,1965100,331.16629
"2020-07-09",348,349.48999,339.179993,339.959991,1823800,321.455261
"2020-07-10",342.329987,349.329987,341.660004,349.25,1514200,330.239594
"2020-07-13",353.600006,357.019989,348.600006,353.059998,2031300,333.842194
"2020-07-14",349.130005,355.920013,349,355.660004,1651900,336.30069
"2020-07-15",361.640015,365.579987,360.559998,364.559998,1617300,344.716217
"2020-07-16",362.299988,365.940002,359.019989,365.880005,955400,345.964386
"2020-07-17",366.299988,369,362.850006,368.5,1135500,348.441803
"2020-07-20",369,369,362.429993,365.529999,1444500,345.633423
"2020-07-21",377.980011,378.899994,370.579987,375.119995,1997300,354.701447
"2020-07-22",376.709991,394.670013,375.619995,394.079987,2280700,372.629395
"2020-07-23",393.769989,394.149994,385.709991,387.619995,1442800,366.520996
"2020-07-24",388,393.48999,383.609985,386.209991,1305700,365.187836
"2020-07-27",384.730011,385.98999,380.109985,382.089996,1047000,361.292053
"2020-07-28",382,390.209991,382,386.660004,1132100,365.613281
"2020-07-29",389.559998,390.470001,384.630005,387.299988,1209600,366.218475
"2020-07-30",382.709991,385.839996,380.859985,381.720001,983300,360.94223
"2020-07-31",380.549988,381.369995,373.679993,378.970001,1101800,358.341888
"2020-08-03",376.839996,378.410004,371.440002,377.100006,923100,356.5737
"2020-08-04",379.079987,380.839996,376.290009,377.98999,900600,357.415192
"2020-08-05",380,384.869995,378.269989,383.5,1018500,362.625244
"2020-08-06",381.779999,383.190002,378.089996,379.73999,698500,359.069916
"2020-08-07",380.01001,386.660004,378.76001,385.619995,924900,364.629913
"2020-08-10",386.019989,391.109985,385.959991,389.26001,856000,368.071777
"2020-08-11",391.51001,399.48999,391.329987,391.959991,1312800,370.624817
"2020-08-12",394.019989,396.519989,391.290009,392.440002,878500,371.078705
"2020-08-13",390.350006,394.049988,387,389.23999,1053600,368.052826
"2020-08-14",388.640015,394.200012,388.019989,391.420013,648600,370.114258
"2020-08-17",393.980011,395.190002,387.730011,388.959991,864100,367.788086
"2020-08-18",389.170013,391.910004,388.339996,390.26001,806100,369.017365
"2020-08-19",390.079987,391.970001,388.839996,390.049988,717400,368.818726
"2020-08-20",388.279999,389.200012,383.579987,387.880005,1203700,366.766876
"2020-08-21",387.709991,390.790009,386.859985,389.570007,996000,368.364868
"2020-08-24",390.829987,395.570007,389.899994,395.040009,1006400,373.537109
"2020-08-25",395.720001,402.380005,392.399994,394.839996,987400,373.348022
"2020-08-26",393,397.660004,390.559998,395.440002,908600,373.915405
"2020-08-27",396.839996,400.089996,394.880005,395.019989,700300,373.518219
"2020-08-28",395.51001,396,391.730011,395.589996,728300,374.057159
"2020-08-31",392.170013,395,388.470001,390.26001,1030400,371.269836
"2020-09-01",387.820007,389.190002,385,386.809998,908400,367.98761
"2020-09-02",385.149994,398.899994,384.109985,398.070007,1214500,378.699768
