"","ES.Open","ES.High","ES.Low","ES.Close","ES.Volume","ES.Adjusted"
"2020-07-01",83.220001,85.470001,83.160004,85.110001,1528000,80.403831
"2020-07-02",85.610001,85.93,84.419998,84.669998,1192400,79.988167
"2020-07-06",85.709999,86.269997,83.269997,83.860001,1534700,79.222961
"2020-07-07",83.169998,84.629997,82.419998,84.330002,1351300,79.666969
"2020-07-08",84.089996,85.449997,83.599998,85.139999,1270900,80.432175
"2020-07-09",84.410004,84.949997,83.050003,84.57,1174300,79.8937
"2020-07-10",84.57,85.709999,84.059998,85.440002,724700,80.715591
"2020-07-13",85.089996,87.080002,85.089996,85.940002,1721100,81.187943
"2020-07-14",86.029999,86.889999,85.410004,86.419998,1566600,81.641396
"2020-07-15",87.089996,87.410004,84.889999,85,1696000,80.299919
"2020-07-16",85.209999,86.080002,84.860001,85.809998,1391200,81.065132
"2020-07-17",86.470001,88.139999,86.220001,87.839996,1617200,82.982872
"2020-07-20",87.400002,87.730003,86.199997,86.610001,1471500,81.820892
"2020-07-21",85.75,88.580002,85.25,87.169998,1673700,82.34993
"2020-07-22",86.82,89.989998,86.309998,89.629997,1343600,84.673904
"2020-07-23",89.349998,90.699997,89.279999,90.029999,1045800,85.051788
"2020-07-24",90.010002,91.089996,88.769997,89.480003,910300,84.532204
"2020-07-27",89.480003,89.650002,87.800003,88.699997,1014500,83.795334
"2020-07-28",88.559998,91.129997,88.559998,90.139999,1297400,85.155701
"2020-07-29",90.559998,91.379997,89.989998,90.489998,1028100,85.486343
"2020-07-30",89.68,90.779999,89.349998,90.580002,1114600,85.571381
"2020-07-31",90.379997,91.959999,88.410004,90.07,2588700,85.089569
"2020-08-03",89.690002,90.07,88.599998,89.489998,1019000,84.541649
"2020-08-04",89.519997,90.910004,89.470001,90.269997,1120800,85.278511
"2020-08-05",90.360001,90.650002,87.889999,88.18,953900,83.304092
"2020-08-06",87.949997,88.510002,87.080002,88.099998,1320800,83.2285
"2020-08-07",87.949997,89.800003,87.800003,89.019997,1524500,84.097626
"2020-08-10",89.32,89.470001,88.150002,88.550003,1275300,83.653633
"2020-08-11",88.480003,88.690002,85.900002,86.089996,1323900,81.329636
"2020-08-12",86.580002,88.349998,86.400002,87.910004,1255500,83.049004
"2020-08-13",87.470001,88.309998,87.150002,87.919998,777900,83.058472
"2020-08-14",87.660004,88.07,86.769997,87.150002,617200,82.331039
"2020-08-17",86.940002,88.5,86.650002,87.459999,992600,82.623901
"2020-08-18",87.459999,87.900002,86.339996,86.940002,936800,82.132652
"2020-08-19",87.239998,87.239998,85.739998,86.209999,1060400,81.443024
"2020-08-20",85.910004,86.610001,85.370003,85.669998,772300,80.932869
"2020-08-21",85.989998,86.699997,84.879997,86.540001,963800,81.754768
"2020-08-24",85.790001,86.449997,84.400002,85.879997,1503400,81.131256
"2020-08-25",86.269997,86.309998,84.739998,84.93,1067500,80.233795
"2020-08-26",84.540001,84.639999,83.040001,84.010002,1185200,79.364662
"2020-08-27",84.410004,84.82,83.190002,84.279999,1202600,79.61972
"2020-08-28",84.370003,85.019997,83.239998,84.769997,1136500,80.082642
"2020-08-31",84.589996,85.860001,84.529999,85.709999,2385200,80.970665
"2020-09-01",85.099998,85.360001,83.43,83.660004,1429800,79.034012
"2020-09-02",83.760002,86.760002,83.18,86.470001,1155600,81.688644
"2020-09-03",86.629997,87.660004,85.239998,86.080002,1197300,81.320198
"2020-09-04",85.940002,86.510002,84.540001,86.080002,1097000,81.320198
"2020-09-08",86.169998,86.370003,84.870003,85.260002,1256800,80.545547
"2020-09-09",85.849998,87.959999,85.599998,85.790001,1144400,81.046249
"2020-09-10",85.540001,85.610001,83.290001,83.339996,1343700,78.731705
"2020-09-11",83.629997,83.650002,81.519997,82.160004,2086300,77.616966
"2020-09-14",82.550003,83.489998,81.68,82.910004,2033900,78.325493
"2020-09-15",83.230003,85.160004,83.230003,83.970001,1433500,79.326866
"2020-09-16",83.599998,84.459999,83.309998,83.360001,1252000,79.286934
"2020-09-17",82.709999,82.779999,81.400002,81.93,1351700,77.926788
"2020-09-18",81.629997,81.830002,78.660004,78.860001,3739000,75.006798
"2020-09-21",78.110001,78.779999,77,78.019997,1403700,74.20784
