"","DD.Open","DD.High","DD.Low","DD.Close","DD.Volume","DD.Adjusted"
"2020-07-01",53.119999,53.830002,52.07,52.32,4538000,50.22987
"2020-07-02",53.009998,54.220001,52.91,53.720001,5073300,51.57394
"2020-07-06",54.73,54.939999,53.639999,54.610001,4077200,52.428387
"2020-07-07",53.889999,54.380001,53.119999,53.610001,3926100,51.468342
"2020-07-08",53.52,53.77,51.639999,52.25,4927800,50.162666
"2020-07-09",52.389999,52.459999,50.75,50.91,5594300,48.876202
"2020-07-10",51,52.389999,50.810001,52.240002,3777800,50.153065
"2020-07-13",52.73,53.52,52.310001,52.52,5037000,50.421879
"2020-07-14",52.41,53.810001,51.98,53.650002,2989700,51.506741
"2020-07-15",54.73,55.200001,53.82,54.860001,3390100,52.668392
"2020-07-16",54.5,55.369999,54.189999,54.779999,2227100,52.591591
"2020-07-17",54.990002,55.48,54.5,54.52,2659400,52.341976
"2020-07-20",54.07,54.41,53.119999,53.150002,2858100,51.026718
"2020-07-21",53.439999,54.380001,53.189999,53.93,4549200,51.775558
"2020-07-22",53.540001,54.490002,53.380001,54.43,1781200,52.255581
"2020-07-23",54.299999,55.470001,54.040001,55.349998,4279100,53.138821
"2020-07-24",55.150002,55.41,54.169998,54.549999,4979400,52.370781
"2020-07-27",54.610001,55.759998,54.029999,55.349998,2696300,53.138821
"2020-07-28",54.630001,55.240002,53.970001,54.02,4178000,51.861954
"2020-07-29",53.639999,55.639999,53.639999,55.52,4231600,53.302036
"2020-07-30",53.549999,54.43,52.16,53.759998,6584500,51.892738
"2020-07-31",53.77,54.959999,52.91,53.48,4830800,51.622463
"2020-08-03",53.029999,53.330002,52.380001,52.459999,4768500,50.637894
"2020-08-04",52.369999,53.52,52.119999,53.16,4692800,51.313583
"2020-08-05",53.82,55.369999,53.77,54.73,4917100,52.829052
"2020-08-06",55.16,55.23,54.380001,54.709999,5691200,52.809742
"2020-08-07",54.459999,55.880001,53.810001,55.869999,3194500,53.929455
"2020-08-10",56.009998,57.799999,55.950001,57.669998,4120700,55.666935
"2020-08-11",58.98,59.830002,57.18,57.299999,9855500,55.30978
"2020-08-12",59,59.5,58.32,58.349998,5353700,56.323311
"2020-08-13",57.75,58.470001,57.48,58.02,4071700,56.004784
"2020-08-14",57.48,58.580002,57.209999,58.16,2664300,56.139915
"2020-08-17",58.110001,58.459999,57.419998,57.459999,2419500,55.464226
"2020-08-18",57.639999,57.919998,56.939999,57,2986500,55.020206
"2020-08-19",56.869999,57.209999,56.139999,56.27,3864100,54.315563
"2020-08-20",55.619999,56.34,55.25,56.110001,2383600,54.161125
"2020-08-21",56,56.189999,55.029999,55.139999,3058800,53.224808
"2020-08-24",55.740002,56.990002,55.060001,56.889999,5856000,54.914028
"2020-08-25",57.23,57.669998,56.040001,56.200001,2958600,54.24799
"2020-08-26",56.040001,57.18,55.720001,56.91,2525600,54.933331
"2020-08-27",56.939999,57.470001,56.139999,56.580002,2507200,54.614799
"2020-08-28",56.82,57.259998,56.299999,57.18,2076200,55.193958
"2020-08-31",56.830002,56.900002,55.740002,55.759998,3019500,53.823277
"2020-09-01",55.41,57.27,54.919998,57.259998,4524000,55.271172
"2020-09-02",57.43,60.349998,57.279999,60.16,6824300,58.07045
"2020-09-03",60,60.459999,57.419998,58.110001,6023400,56.091652
"2020-09-04",58.889999,59.119999,57.98,58.799999,4802800,56.757683
"2020-09-08",57.970001,58,56.580002,56.82,5007200,54.846455
"2020-09-09",57.540001,58.470001,57.330002,57.93,2913700,55.9179
"2020-09-10",58.110001,58.580002,57.59,57.73,4153000,55.724857
"2020-09-11",58.16,59.080002,57.630001,58.57,2989300,56.535675
"2020-09-14",59.189999,60.09,58.860001,59.43,2997500,57.36581
"2020-09-15",59.43,59.959999,59.220001,59.549999,2308400,57.481636
"2020-09-16",59.75,60.98,59.150002,60.169998,3529300,58.080105
"2020-09-17",59.330002,60.919998,59.029999,60.77,4321500,58.65926
"2020-09-18",60.130001,60.48,58.669998,59.290001,5603900,57.230667
"2020-09-21",57.360001,57.68,55.880001,56.18,5953900,54.228687
"2020-09-22",56.220001,56.290001,55.380001,55.759998,3102500,53.823277
"2020-09-23",55.59,56.18,54.310001,54.369999,5227300,52.481548
"2020-09-24",54.25,55.029999,53.59,54.299999,3728100,52.41399
"2020-09-25",53.810001,55.27,53.490002,55.040001,2942200,53.128288
"2020-09-28",55.970001,57.290001,55.869999,56.549999,3544800,54.585838
"2020-09-29",56.630001,56.689999,55.02,55.189999,4098400,53.273075
"2020-09-30",55.540001,56.330002,55.02,55.48,4128500,53.553005
"2020-10-01",55.959999,56.310001,54.43,54.529999,4579500,52.636002
"2020-10-02",53.73,55.57,53.52,54.77,4846900,52.867661
"2020-10-05",55.619999,56.5,55.400002,56.080002,5455300,54.13216
"2020-10-06",56.68,57.59,56.040001,56.139999,7715900,54.190071
"2020-10-07",56.529999,58.169998,56.48,57.66,6312800,55.657288
"2020-10-08",58.330002,59.290001,58.139999,59.27,4741600,57.211365
"2020-10-09",59.639999,60.200001,59.189999,59.310001,3091900,57.249973
"2020-10-12",59.419998,59.549999,58.299999,58.43,3193000,56.400539
"2020-10-13",57.900002,58.75,57.52,58.32,3694900,56.294357
"2020-10-14",58.27,59.349998,57.619999,58.77,3736800,56.728733
"2020-10-15",57.990002,59.450001,57.669998,59.279999,2952600,57.221016
"2020-10-16",59.450001,59.939999,58.93,59.169998,2805300,57.114838
"2020-10-19",59.349998,60.209999,58.209999,58.439999,3827900,56.410191
"2020-10-20",58.68,60.099998,58.549999,59.48,3722700,57.414074
"2020-10-21",59.16,60.07,58.57,58.66,4201800,56.622551
"2020-10-22",58.91,59.619999,58.25,59.48,2977100,57.414074
"2020-10-23",59.939999,60.139999,59.25,59.82,2377000,57.74226
"2020-10-26",59.119999,59.119999,57.84,58.5,3543700,56.468105
"2020-10-27",58.23,58.400002,57.139999,57.349998,6740400,55.358047
"2020-10-28",56,56.869999,55.630001,55.91,5259300,53.968067
"2020-10-29",55.259998,58.700001,55.23,57.959999,6488900,55.946861
"2020-10-30",57.580002,58.110001,56.18,56.880001,5363100,54.904377
"2020-11-02",57.900002,59.060001,57.150002,58.799999,4526800,56.757683
"2020-11-03",59.59,60.150002,59.040001,59.610001,3122000,57.539551
"2020-11-04",59.189999,59.75,58.049999,58.16,3622600,56.139915
"2020-11-05",59.02,61,58.830002,60.189999,4926100,58.099411
"2020-11-06",60.200001,60.700001,59.419998,59.619999,3817300,57.549206
"2020-11-09",62.060001,64.650002,61.5,61.66,7970300,59.518349
"2020-11-10",61.919998,62.830002,61.34,61.759998,6267500,59.614872
"2020-11-11",61.869999,62.040001,59.830002,60.310001,4033900,58.215244
"2020-11-12",59.98,61.139999,59.419998,59.98,2880700,57.896698
"2020-11-13",60.389999,61.900002,60.389999,61.630001,2211600,59.489395
"2020-11-16",63,63.43,62.099998,63.419998,3881900,61.21722
"2020-11-17",62.720001,63.549999,61.810001,63.16,3101400,60.966251
"2020-11-18",63.5,64.300003,62.139999,62.150002,3602700,59.991333
"2020-11-19",61.900002,62.48,61.25,62.049999,2265600,59.894798
"2020-11-20",61.900002,62.75,61.73,62.549999,2721700,60.377438
"2020-11-23",63.02,64,62.98,63.59,3807400,61.381317
"2020-11-24",64.599998,66.330002,64.290001,65.839996,5753800,63.553165
"2020-11-25",65.519997,65.519997,64.360001,64.889999,3323600,62.636162
"2020-11-27",64.790001,65.389999,64.220001,64.540001,1544100,62.587677
"2020-11-30",64.139999,64.370003,63.02,63.439999,5259400,61.520954
"2020-12-01",64.839996,65.230003,63.330002,63.529999,4505200,61.608227
"2020-12-02",63.48,64.290001,63.25,63.959999,5959500,62.025219
"2020-12-03",63.950001,64.93,63.799999,64.190002,4191000,62.248264
"2020-12-04",64.650002,66.169998,64.540001,66.019997,6714900,64.022903
"2020-12-07",65.589996,66.239998,65.07,65.43,4037200,63.450745
"2020-12-08",65.32,67.169998,65.209999,66.809998,4906400,64.788994
"2020-12-09",67.150002,67.75,66.559998,67.57,3697500,65.526009
