"","NFLX.Open","NFLX.High","NFLX.Low","NFLX.Close","NFLX.Volume","NFLX.Adjusted"
"2020-07-01",454,488.230011,454,485.640015,9705900,485.640015
"2020-07-02",485.640015,492.279999,475.529999,476.890015,6351500,476.890015
"2020-07-06",480.769989,499.5,479.799988,493.809998,7839000,493.809998
"2020-07-07",497.309998,504.820007,490.829987,493.160004,5669900,493.160004
"2020-07-08",498.579987,505.100006,493.809998,502.779999,5691700,502.779999
"2020-07-09",508.399994,510,495.779999,507.76001,5840500,507.76001
"2020-07-10",519.72998,555.880005,511.279999,548.72998,21605600,548.72998
"2020-07-13",567.97998,575.369995,520.960022,525.5,18399000,525.5
"2020-07-14",517.080017,525.5,490.48999,524.880005,15083300,524.880005
"2020-07-15",516.299988,529,510.179993,523.26001,10066700,523.26001
"2020-07-16",526.47998,535.539978,504.359985,527.390015,24499000,527.390015
"2020-07-17",494.869995,503.589996,484.140015,492.98999,24991400,492.98999
"2020-07-20",489.140015,504.5,484.200012,502.410004,11940300,502.410004
"2020-07-21",506,506.220001,488.609985,490.100006,9113700,490.100006
"2020-07-22",492.190002,497.200012,487.200012,489.820007,6954100,489.820007
"2020-07-23",491.130005,491.899994,472.019989,477.579987,7722000,477.579987
"2020-07-24",468.769989,487.170013,467.540009,480.450012,7746200,480.450012
"2020-07-27",484.51001,496.920013,482.309998,495.649994,7863100,495.649994
"2020-07-28",496.019989,497.790009,487.76001,488.51001,5986700,488.51001
"2020-07-29",492.25,494.920013,484.130005,484.480011,6611800,484.480011
"2020-07-30",480.709991,488.350006,477.51001,485.799988,6608600,485.799988
"2020-07-31",488.290009,494.799988,484.5,488.880005,5916300,488.880005
"2020-08-03",490.859985,503.089996,490.230011,498.619995,5873100,498.619995
"2020-08-04",498.649994,510.440002,498.649994,509.640015,5608000,509.640015
"2020-08-05",508.679993,510.100006,501.200012,502.109985,4308200,502.109985
"2020-08-06",504.109985,510.820007,498.700012,509.079987,3725900,509.079987
"2020-08-07",505.450012,508.290009,486.679993,494.730011,5910300,494.730011
"2020-08-10",493.350006,497.459991,478.630005,483.380005,4691200,483.380005
"2020-08-11",479.75,480.920013,466.549988,466.929993,7329200,466.929993
"2020-08-12",471.339996,482.48999,470.179993,475.470001,5439200,475.470001
"2020-08-13",478.399994,484.450012,476.450012,481.329987,3008900,481.329987
"2020-08-14",482.820007,488.329987,480.209991,482.679993,2943500,482.679993
"2020-08-17",484.190002,486.23999,479.100006,482.350006,2423500,482.350006
"2020-08-18",484.350006,495.299988,482.799988,491.869995,3505500,491.869995
"2020-08-19",493.929993,494.5,483.5,484.529999,3156200,484.529999
"2020-08-20",484.690002,498.940002,483.890015,497.899994,5132500,497.899994
"2020-08-21",496.459991,498.130005,490,492.309998,3921300,492.309998
"2020-08-24",495.440002,501,483.160004,488.809998,4762200,488.809998
"2020-08-25",488.190002,492.470001,485.089996,490.579987,5727700,490.579987
"2020-08-26",492.5,549.039978,492.079987,547.530029,20373700,547.530029
"2020-08-27",537.780029,541,521.25,526.27002,9062900,526.27002
"2020-08-28",532,539,522,523.890015,4417500,523.890015
"2020-08-31",521.159973,531.98999,517.580017,529.559998,4941400,529.559998
"2020-09-01",532.599976,557.390015,532.450012,556.549988,9572700,556.549988
"2020-09-02",553.780029,556.5,537.369995,552.840027,5886900,552.840027
"2020-09-03",545,554,521.320007,525.75,9071100,525.75
"2020-09-04",520.179993,527.359985,485.980011,516.049988,8270100,516.049988
"2020-09-08",498.399994,522,495,507.019989,5572700,507.019989
"2020-09-09",519.210022,520,492.570007,500.190002,6848100,500.190002
"2020-09-10",503.350006,506.290009,478.839996,480.670013,6240200,480.670013
"2020-09-11",486.48999,493.730011,476.809998,482.029999,5035200,482.029999
"2020-09-14",480.619995,488.98999,471.299988,476.26001,7359100,476.26001
"2020-09-15",484,497.470001,481.630005,495.98999,5337000,495.98999
"2020-09-16",499.98999,504.660004,483.309998,483.859985,4394900,483.859985
"2020-09-17",475.160004,478.399994,463.269989,470.200012,5379300,470.200012
"2020-09-18",472.51001,479.399994,458.600006,469.959991,6717700,469.959991
"2020-09-21",467.690002,487.779999,466.320007,487.350006,5457500,487.350006
"2020-09-22",489.01001,491.820007,479.26001,491.170013,3482300,491.170013
"2020-09-23",491.040009,491.040009,469,470.609985,3726400,470.609985
"2020-09-24",470.529999,477,467.820007,473.079987,3727200,473.079987
"2020-09-25",474.390015,484.869995,468.029999,482.880005,3769400,482.880005
"2020-09-28",489.109985,492,477.880005,490.649994,4773500,490.649994
"2020-09-29",489.5,496.290009,486.529999,493.480011,3541500,493.480011
"2020-09-30",492.570007,504.630005,489.269989,500.029999,4634100,500.029999
"2020-10-01",506.029999,529.549988,503.600006,527.51001,8153700,527.51001
"2020-10-02",516.429993,526.369995,502.700012,503.059998,6071200,503.059998
"2020-10-05",506.799988,520.98999,501.700012,520.650024,4088100,520.650024
"2020-10-06",518.719971,521.820007,504.160004,505.869995,4199000,505.869995
"2020-10-07",518,536.48999,515.820007,534.659973,7988700,534.659973
"2020-10-08",533.47998,535,524.150024,531.789978,5386500,531.789978
"2020-10-09",537.830017,544.280029,535,539.440002,4781300,539.440002
"2020-10-12",548.809998,551.809998,538.23999,539.809998,5391100,539.809998
"2020-10-13",540.559998,557.650024,537.200012,554.090027,5602500,554.090027
"2020-10-14",562.609985,572.48999,541,541.450012,9499000,541.450012
"2020-10-15",545.52002,551.219971,535.099976,541.940002,5113100,541.940002
