"","PSA.Open","PSA.High","PSA.Low","PSA.Close","PSA.Volume","PSA.Adjusted"
"2020-08-28",211.970001,213.649994,209.029999,213.440002,589900,193.653824
"2020-08-31",212.899994,214.649994,211.520004,212.399994,869900,192.710236
"2020-09-01",211.669998,213.610001,208.190002,213.399994,478800,193.617493
"2020-09-02",212.270004,214.289993,210.300003,214.160004,1053800,194.307083
"2020-09-03",214.919998,218.699997,211.759995,212.929993,997200,193.191086
"2020-09-04",213.470001,215.880005,209.470001,212.139999,557600,192.474335
"2020-09-08",212.270004,215.199997,209.529999,213.949997,849100,194.116531
"2020-09-09",215.830002,222.050003,215.539993,216.720001,1033000,196.629761
"2020-09-10",216.460007,219.509995,213.770004,218.139999,830600,197.918121
"2020-09-11",218.820007,222.369995,217.860001,220.589996,666500,200.141006
"2020-09-14",219.919998,225.449997,218.820007,224.740005,703000,205.771942
"2020-09-15",224.960007,226.600006,220.759995,221.009995,663700,202.356735
"2020-09-16",222.679993,226.309998,221.550003,224.509995,717300,205.561356
"2020-09-17",223.059998,226.110001,220.100006,222.210007,749600,203.455475
"2020-09-18",220.449997,222.210007,219.039993,221.009995,1218700,202.356735
"2020-09-21",220.149994,223.970001,214.479996,216.289993,970200,198.035126
"2020-09-22",216.179993,220.25,216.179993,219.369995,771600,200.855164
"2020-09-23",218.570007,218.740005,212.570007,212.910004,830100,194.940399
"2020-09-24",213.770004,217.690002,213.520004,214.639999,595200,196.524399
"2020-09-25",212.910004,218.589996,212.479996,218.470001,602100,200.031113
"2020-09-28",220.830002,223.100006,219.789993,221.130005,582800,202.466629
"2020-09-29",221.149994,222.899994,218.470001,220.910004,557300,202.265182
"2020-09-30",222.160004,223.479996,219.210007,222.720001,863500,203.922424
"2020-10-01",222.710007,226.320007,222.009995,226.259995,854000,207.163666
"2020-10-02",224.570007,231.960007,222.770004,230.589996,826500,211.12822
"2020-10-05",231.800003,232.639999,226.600006,232.160004,585600,212.565704
"2020-10-06",229.259995,230.649994,225.679993,228.289993,1007700,209.022324
"2020-10-07",229.089996,231.529999,228.070007,230.039993,585500,210.624619
"2020-10-08",230.839996,233.100006,230.309998,232.020004,596800,212.4375
"2020-10-09",232.449997,234.25,230.660004,234.009995,426600,214.259552
"2020-10-12",234.369995,236.339996,232.770004,235.080002,636600,215.239243
"2020-10-13",235.240005,236.169998,232.119995,235.389999,606600,215.523071
"2020-10-14",235.270004,236.520004,232.479996,233.5,664900,213.792603
"2020-10-15",233.369995,237.5,232,234.339996,827600,214.561707
"2020-10-16",233.690002,235.389999,232.169998,233,1677000,213.334793
"2020-10-19",233.490005,234.149994,230.910004,231.190002,817600,211.677567
"2020-10-20",232.169998,235.449997,230.279999,233.119995,501000,213.444656
"2020-10-21",233.050003,235.149994,232.190002,233.009995,670900,213.343964
"2020-10-22",232.789993,235.789993,231.789993,235.110001,439000,215.266724
"2020-10-23",236.110001,236.809998,233.910004,235.720001,473100,215.825241
"2020-10-26",234.380005,237.020004,233.389999,236.229996,980800,216.292206
"2020-10-27",237.240005,239.399994,234.580002,234.610001,785500,214.808945
"2020-10-28",231.970001,234.789993,229.100006,231.119995,1037900,211.613464
"2020-10-29",232.130005,234.110001,230.639999,230.860001,908100,211.375427
"2020-10-30",229.839996,232.240005,227.210007,229.070007,1009300,209.736511
"2020-11-02",231.330002,234.639999,230.199997,232.809998,804600,213.160843
"2020-11-03",234.089996,236.300003,232.179993,235.479996,719400,215.605499
"2020-11-04",235.330002,240.75,234.779999,235.259995,892200,215.404053
"2020-11-05",234.490005,236.289993,228.839996,230.660004,945200,211.192291
"2020-11-06",231.339996,237.669998,229.800003,231.330002,668000,211.80574
"2020-11-09",240.740005,240.740005,220.919998,222.080002,1464900,203.336441
"2020-11-10",222.229996,234.179993,221.020004,234.039993,1035700,214.287018
"2020-11-11",235.350006,237,232.320007,235.820007,776700,215.916809
"2020-11-12",236.649994,236.649994,228.789993,231.809998,580100,212.245224
"2020-11-13",232.699997,235.389999,231.440002,234.050003,561900,214.296173
"2020-11-16",236.820007,236.820007,228.75,233.690002,581600,213.966568
"2020-11-17",232.729996,236.669998,230.839996,234.539993,616500,214.744812
"2020-11-18",234.020004,236.660004,229.789993,229.960007,920600,210.551376
"2020-11-19",229.75,230.630005,227.190002,228.789993,931700,209.480118
"2020-11-20",229.009995,229.179993,223.070007,223.639999,1252800,204.764801
"2020-11-23",224.380005,226.699997,218.309998,219.130005,1560700,200.635437
"2020-11-24",219.710007,222.720001,217.229996,222.070007,1323700,203.327286
"2020-11-25",222.860001,224.559998,221.820007,223.300003,596800,204.453491
"2020-11-27",223.369995,223.369995,219.25,220.029999,377400,201.459473
"2020-11-30",220.070007,225.600006,219.809998,224.460007,1465900,205.515594
"2020-12-01",224.880005,225.940002,222.210007,225.350006,614000,206.330475
"2020-12-02",224.360001,228.570007,223.330002,224.520004,551300,205.570511
"2020-12-03",224.440002,226.619995,223.699997,226.039993,652500,206.962219
"2020-12-04",225.889999,227.309998,223.080002,224.5,752700,205.552216
"2020-12-07",224,226.529999,223.970001,224.679993,641300,205.71701
"2020-12-08",224.779999,224.990005,221.770004,221.880005,559300,203.153351
"2020-12-09",222.039993,223.539993,217.539993,219.639999,714600,201.102386
"2020-12-10",219.089996,221,216.199997,216.580002,929800,198.300644
"2020-12-11",216.550003,220.929993,216.550003,220.059998,1537900,201.486938
"2020-12-14",226,229.740005,222.460007,223.740005,2271500,206.73526
"2020-12-15",224.259995,225.179993,219.550003,225.160004,1347800,208.047333
"2020-12-16",225.160004,228,224.350006,225.960007,699300,208.786545
"2020-12-17",227.800003,233.259995,227.080002,232.559998,932900,214.884888
