"","ADSK.Open","ADSK.High","ADSK.Low","ADSK.Close","ADSK.Volume","ADSK.Adjusted"
"2020-08-14",237.919998,239.630005,233.460007,234.350006,786200,234.350006
"2020-08-17",236.300003,239.350006,235.649994,239,919800,239
"2020-08-18",241.940002,246.330002,240.259995,242.690002,1482500,242.690002
"2020-08-19",244.399994,244.979996,239.169998,241.419998,1250700,241.419998
"2020-08-20",240.440002,250.619995,239.449997,249.149994,1080500,249.149994
"2020-08-21",249.330002,249.929993,245.270004,248.270004,1088300,248.270004
"2020-08-24",250.100006,253.470001,249.660004,251.800003,1227100,251.800003
"2020-08-25",249.020004,254.350006,246.399994,252.240005,1555100,252.240005
"2020-08-26",246.660004,253.259995,237.190002,248.210007,3075800,248.210007
"2020-08-27",250.190002,250.190002,241.740005,243.110001,1137800,243.110001
"2020-08-28",244.850006,250.5,244.850006,247.389999,999000,247.389999
"2020-08-31",246.330002,247.979996,242.550003,245.699997,1210700,245.699997
"2020-09-01",247.990005,253.699997,244.669998,253.509995,1413400,253.509995
"2020-09-02",255.479996,261.940002,254.149994,261.350006,2373900,261.350006
"2020-09-03",256.809998,256.809998,239.229996,242.089996,2497700,242.089996
"2020-09-04",240.529999,244.440002,228.179993,233.880005,2704600,233.880005
"2020-09-08",224.160004,230.190002,223.919998,224.360001,1845600,224.360001
"2020-09-09",227.610001,234.979996,225.589996,232.779999,2018100,232.779999
"2020-09-10",234,239.009995,226.949997,228.199997,2128600,228.199997
"2020-09-11",228.179993,231.339996,223.270004,227.479996,992200,227.479996
"2020-09-14",231.029999,232.899994,228.229996,229.830002,1276800,229.830002
"2020-09-15",231.479996,240.050003,231.089996,235.869995,1969700,235.869995
"2020-09-16",236.410004,237.589996,230.330002,230.759995,1092500,230.759995
"2020-09-17",225.5,227.509995,220.429993,226.970001,1884400,226.970001
"2020-09-18",228.320007,229.339996,219.889999,225.130005,2034100,225.130005
"2020-09-21",220.800003,227.759995,218.509995,227.639999,1205500,227.639999
"2020-09-22",229.410004,230.080002,225.720001,229.559998,841100,229.559998
"2020-09-23",228.600006,230.330002,221.050003,221.869995,901900,221.869995
"2020-09-24",219.490005,223.899994,215.830002,220.960007,1147900,220.960007
"2020-09-25",221.179993,228.970001,219.919998,227.800003,1054700,227.800003
"2020-09-28",232.5,234.339996,229.100006,232.149994,995900,232.149994
"2020-09-29",232.509995,234.380005,230.570007,232.919998,951100,232.919998
"2020-09-30",232.289993,236.710007,228.949997,231.009995,1466000,231.009995
"2020-10-01",232.759995,238.610001,232.75,233.960007,1438800,233.960007
"2020-10-02",228.770004,231.139999,223.509995,225.559998,1253300,225.559998
"2020-10-05",226.860001,230.130005,225.039993,228.929993,915700,228.929993
"2020-10-06",228.320007,231.570007,226.5,228.009995,979900,228.009995
"2020-10-07",229.309998,234.210007,229.309998,233.009995,1039100,233.009995
"2020-10-08",237.229996,238,232.259995,234.309998,1382100,234.309998
"2020-10-09",234.380005,238.139999,233.320007,237.5,1794400,237.5
"2020-10-12",243.460007,246.119995,239.919998,242.119995,1988000,242.119995
"2020-10-13",242.75,247.869995,242.389999,244.089996,1374500,244.089996
"2020-10-14",246.880005,250.740005,244.529999,246.699997,1414700,246.699997
"2020-10-15",244,253.960007,242.119995,252.029999,2635800,252.029999
"2020-10-16",253.210007,261.450012,253.169998,259.970001,2288700,259.970001
"2020-10-19",262.670013,268.440002,258.589996,259.940002,2330500,259.940002
"2020-10-20",261.410004,262.579987,257.170013,257.339996,1715500,257.339996
"2020-10-21",257.390015,259.690002,253.100006,254.009995,872700,254.009995
"2020-10-22",254.520004,255.639999,247.020004,252.759995,1033300,252.759995
"2020-10-23",253.270004,254.649994,249.899994,254.419998,640600,254.419998
"2020-10-26",251.589996,254.649994,246.399994,249.130005,1256900,249.130005
"2020-10-27",251.009995,253.869995,250.270004,250.600006,1008800,250.600006
"2020-10-28",246.210007,246.380005,236.699997,237.619995,1357100,237.619995
"2020-10-29",238.330002,245.720001,238.110001,242.839996,1043000,242.839996
"2020-10-30",240.130005,241.5,233.320007,235.539993,1514600,235.539993
"2020-11-02",237.199997,242.570007,236.210007,240.740005,1728400,240.740005
"2020-11-03",244.380005,250.460007,241.839996,248.309998,1045600,248.309998
"2020-11-04",257.410004,257.829987,241.460007,245.889999,2779300,245.889999
"2020-11-05",254.259995,260.5,252.350006,255.919998,1467400,255.919998
"2020-11-06",255.380005,261.600006,253.25,259.410004,819100,259.410004
"2020-11-09",274.23999,276.679993,262.26001,262.609985,2361800,262.609985
"2020-11-10",259.380005,259.980011,245.880005,247.220001,1615300,247.220001
"2020-11-11",252.839996,257.410004,244.300003,246.789993,2067600,246.789993
"2020-11-12",247.979996,253.029999,244.690002,245.710007,1004500,245.710007
"2020-11-13",254.399994,256.910004,248.630005,251,1518600,251
"2020-11-16",249.369995,251.559998,246.860001,248.789993,1087500,248.789993
"2020-11-17",249.240005,253.669998,247.619995,252.710007,1015400,252.710007
"2020-11-18",252.389999,255.130005,250.529999,252.220001,908600,252.220001
"2020-11-19",250.240005,259.660004,250.240005,256.880005,1077600,256.880005
"2020-11-20",256.730011,260.600006,254.089996,254.889999,1458500,254.889999
"2020-11-23",255.570007,257.950012,251.600006,257.25,1337400,257.25
"2020-11-24",257.720001,260.890015,256.600006,258.970001,1587500,258.970001
"2020-11-25",260.98999,282.48999,260.01001,271.23999,3128300,271.23999
"2020-11-27",272.190002,276.480011,270.51001,272.809998,886900,272.809998
"2020-11-30",275,281.350006,272.209991,280.230011,2612000,280.230011
"2020-12-01",281.869995,282,275.160004,279.109985,1753700,279.109985
"2020-12-02",277.98999,279.149994,273.76001,277.059998,1426300,277.059998
"2020-12-03",276,279.790009,275.709991,277.290009,1841700,277.290009
"2020-12-04",277.290009,281.779999,276.980011,278,1688200,278
"2020-12-07",278.179993,282.269989,278,280.799988,1422300,280.799988
