"","ICE.Open","ICE.High","ICE.Low","ICE.Close","ICE.Volume","ICE.Adjusted"
"2020-07-01",91.68,93.900002,91.57,93.300003,2304000,91.122963
"2020-07-02",94.550003,94.599998,92.190002,92.260002,2084900,90.107231
"2020-07-06",93.5,93.540001,92.150002,92.529999,1921600,90.370918
"2020-07-07",92,93.110001,91.989998,92.57,2085700,90.409981
"2020-07-08",92.68,93.870003,92.550003,93.839996,2530000,91.650345
"2020-07-09",94.129997,94.129997,91.5,92.139999,1888600,89.990021
"2020-07-10",92.239998,92.699997,91.550003,92.550003,1784100,90.39045
"2020-07-13",92.730003,94.32,91.720001,91.830002,2435800,89.687256
"2020-07-14",91.839996,92.339996,90.839996,91.720001,2387100,89.579826
"2020-07-15",92.760002,93.82,91.510002,93.239998,3542200,91.064339
"2020-07-16",92.889999,93.610001,92.059998,92.370003,2401400,90.214645
"2020-07-17",92.830002,94.040001,92.550003,93.830002,2094900,91.640594
"2020-07-20",93.389999,94.629997,93.220001,94.25,1900400,92.050781
"2020-07-21",94.290001,95.459999,94.260002,95.110001,2420300,92.890717
"2020-07-22",94.660004,96.209999,94.389999,96.059998,2908100,93.818558
"2020-07-23",96.290001,97.040001,95.519997,95.849998,3245200,93.613449
"2020-07-24",95.849998,96.540001,95.5,96.32,3222000,94.072479
"2020-07-27",95.919998,96.529999,94.540001,94.540001,3023700,92.334007
"2020-07-28",94.580002,94.68,92.82,92.919998,3218700,90.751823
"2020-07-29",92.849998,94.769997,92.809998,94.300003,2489500,92.099617
"2020-07-30",93.629997,95.379997,93.349998,94.370003,3402900,92.167992
"2020-07-31",94.720001,96.830002,93.910004,96.779999,3423700,94.521751
"2020-08-03",97.120003,97.900002,95.940002,96.279999,2873300,94.033409
"2020-08-04",95.709999,96.019997,95.040001,95.779999,1834600,93.545082
"2020-08-05",96.150002,96.57,95.68,96.160004,2217900,93.916222
"2020-08-06",95.900002,97.739998,95.779999,97.459999,3174300,95.18589
"2020-08-07",96.919998,101.110001,95.279999,100.959999,5646100,98.60421
"2020-08-10",100.959999,101.110001,98.5,99.160004,3587500,96.846222
"2020-08-11",99.870003,99.870003,98.370003,98.610001,3825200,96.309052
"2020-08-12",99.330002,100.099998,99.099998,99.43,2859800,97.109917
"2020-08-13",99.18,100.739998,98.879997,100.199997,5028700,97.861961
"2020-08-14",100.110001,102.959999,100.089996,102.489998,4239600,100.098495
