"","IRM.Open","IRM.High","IRM.Low","IRM.Close","IRM.Volume","IRM.Adjusted"
"2021-01-25",30.15,35.549999,30.15,32.110001,13928800,29.602545
"2021-01-26",32.150002,33.73,31.91,33.400002,6947900,30.791809
"2021-01-27",33.740002,41.32,33.529999,37.009998,22525900,34.1199
"2021-01-28",35.849998,37.619999,33.380001,33.41,11526100,30.801027
"2021-01-29",33.529999,35.169998,33.330002,33.669998,8143900,31.04072
"2021-02-01",33.849998,33.959999,33.009998,33.380001,3927600,30.773373
"2021-02-02",33.189999,33.240002,31.209999,32.16,4076000,29.648638
"2021-02-03",32,32.66,31.559999,32.41,2471700,29.879116
"2021-02-04",32.5,32.580002,31.459999,31.940001,4373200,29.445818
"2021-02-05",32,32.709999,31.83,32.400002,3183800,29.869898
"2021-02-08",32.470001,33.200001,32.299999,33.09,2189100,30.506016
"2021-02-09",33.189999,33.75,33.130001,33.380001,2135800,30.773373
"2021-02-10",33.779999,34.41,33.68,34.389999,2528300,31.704502
"2021-02-11",34.380001,34.380001,32.790001,33.240002,3685800,30.644304
"2021-02-12",33.240002,33.41,32.950001,33.169998,1622300,30.579762
"2021-02-16",33.34,33.380001,32.619999,32.970001,1738500,30.395384
"2021-02-17",32.91,32.919998,32.560001,32.740002,1978800,30.183348
"2021-02-18",32.630001,33,32.419998,32.450001,1965100,29.915995
"2021-02-19",32.529999,32.799999,32.130001,32.169998,2561500,29.657856
"2021-02-22",32.130001,32.150002,31.709999,31.809999,3001500,29.325968
"2021-02-23",32.080002,32.279999,31.58,32.099998,2547700,29.593323
"2021-02-24",32.599998,34.93,32.41,34.650002,6178400,31.944193
"2021-02-25",34.5,36.09,34.09,34.599998,5279600,31.898098
"2021-02-26",34.419998,35.099998,34,34.790001,3232500,32.073265
"2021-03-01",35.200001,35.849998,34.700001,34.73,2660300,32.017944
"2021-03-02",34.799999,35.549999,34.599998,35.16,2747200,32.414375
"2021-03-03",35.34,35.639999,34.279999,34.279999,3701000,31.603086
"2021-03-04",34.549999,35.299999,34.189999,34.919998,3903200,32.193108
"2021-03-05",34.98,35.98,34.84,35.790001,2784600,32.995174
"2021-03-08",36,37.169998,35.900002,36.57,3234500,33.714264
"2021-03-09",36.549999,37.330002,36.529999,36.68,3170900,33.815674
"2021-03-10",36.77,37.290001,36.59,36.900002,2140000,34.018494
"2021-03-11",36.799999,37.419998,36.73,37.009998,2346700,34.1199
"2021-03-12",36.41,36.900002,36.130001,36.869999,2179400,34.569008
"2021-03-15",36.849998,37.009998,36.310001,36.810001,2108100,34.512753
"2021-03-16",36.759998,36.759998,35.619999,35.779999,2594100,33.547039
"2021-03-17",35.77,36.5,35.720001,36.189999,2637800,33.931446
"2021-03-18",36.139999,36.27,35.599998,35.810001,1541300,33.575161
"2021-03-19",35.82,36.169998,35.68,35.799999,2694300,33.565784
"2021-03-22",35.799999,36.599998,35.529999,36.580002,1564800,34.297108
"2021-03-23",36.509998,36.639999,36.029999,36.259998,1961400,33.997074
"2021-03-24",36.25,36.939999,36.110001,36.459999,3101000,34.184593
"2021-03-25",36.139999,36.950001,35.700001,36.860001,2130500,34.559635
"2021-03-26",37.099998,37.299999,36.75,37.279999,1893300,34.953419
"2021-03-29",37.290001,37.48,36.68,36.689999,1484500,34.400238
"2021-03-30",36.740002,37.389999,36.470001,37.16,1869800,34.840912
"2021-03-31",37.16,37.450001,36.91,37.009998,1559400,34.700272
"2021-04-01",37.220001,37.360001,36.580002,37.299999,2659400,34.972172
"2021-04-05",37.529999,37.900002,36.93,37.560001,1869300,35.21595
"2021-04-06",37.57,37.610001,37.040001,37.490002,2241500,35.150322
"2021-04-07",37.5,37.759998,37.23,37.689999,1471500,35.33783
"2021-04-08",37.560001,37.869999,37.209999,37.380001,1499100,35.04718
"2021-04-09",37.349998,37.68,37.060001,37.66,961700,35.309708
"2021-04-12",37.700001,37.950001,37.529999,37.91,2038300,35.544106
"2021-04-13",37.939999,38.130001,37.650002,38.029999,1196800,35.656612
"2021-04-14",37.759998,38.209999,37.75,37.990002,1305100,35.619114
"2021-04-15",38.099998,38.16,37.73,38.150002,1660500,35.769131
"2021-04-16",38.23,38.400002,37.880001,38.040001,1222400,35.665989
"2021-04-19",38.18,38.59,37.93,38.48,1489500,36.078529
"2021-04-20",38.48,39.939999,38.48,39.490002,5086500,37.025505
"2021-04-21",39.490002,40.400002,39.110001,40.240002,2849800,37.728695
"2021-04-22",40.169998,40.740002,39.799999,40.369999,2640100,37.850582
"2021-04-23",40.5,40.919998,40.25,40.32,1797000,37.803699
"2021-04-26",40.5,40.630001,40.009998,40.080002,1247800,37.578678
"2021-04-27",40.169998,40.32,39.919998,40.040001,1515700,37.541176
"2021-04-28",39.990002,40.099998,39.389999,39.529999,1429700,37.063007
"2021-04-29",39.849998,40.369999,39.639999,40.290001,2764700,37.775574
"2021-04-30",40.290001,40.389999,39.669998,40.119999,1952400,37.616184
"2021-05-03",40.16,40.369999,39.779999,40.099998,2009700,37.597431
"2021-05-04",40.240002,40.490002,39.720001,39.869999,1590400,37.381786
"2021-05-05",39.369999,39.450001,38.57,38.73,2835300,36.312931
"2021-05-06",39.509998,41.75,39.200001,41.650002,4548000,39.050701
"2021-05-07",41,41.830002,40.669998,41.299999,3148100,38.722538
"2021-05-10",41.490002,42.169998,41.080002,41.810001,3313500,39.200718
"2021-05-11",41.459999,42.07,41.150002,41.93,2017700,39.313225
"2021-05-12",41.950001,42.119999,40.529999,40.68,2644700,38.141235
"2021-05-13",40.740002,42.330002,40.599998,41.880001,3117400,39.266342
"2021-05-14",41.900002,42.869999,41.68,42.5,2736100,39.847649
"2021-05-17",42.709999,43.759998,42.689999,43.549999,3327600,40.832123
"2021-05-18",43.220001,43.459999,42.32,42.57,2492500,39.91328
"2021-05-19",42.43,42.52,41.91,42.119999,1878700,39.491367
"2021-05-20",42,43.200001,41.919998,43,2456700,40.316444
"2021-05-21",42.900002,43.23,42.700001,42.990002,1341400,40.307072
"2021-05-24",43.130001,43.869999,42.970001,43.689999,2949000,40.963387
"2021-05-25",43.68,43.73,43.209999,43.220001,1736500,40.52272
"2021-05-26",43.330002,43.669998,43.16,43.330002,2052200,40.625854
"2021-05-27",43.450001,43.5,43,43.009998,5111000,40.325821
"2021-05-28",43.259998,43.630001,43.060001,43.540001,1890600,40.82275
"2021-06-01",43.740002,44.23,43.349998,44.18,2169900,41.422806
"2021-06-02",44.400002,45.950001,44.139999,45.279999,4080600,42.454155
"2021-06-03",45.029999,45.630001,44.630001,45.540001,2003700,42.697929
"2021-06-04",45.75,45.810001,45.259998,45.669998,1689200,42.819813
"2021-06-07",45.709999,46.240002,45.650002,45.720001,2025100,42.866699
"2021-06-08",45.740002,46.93,45.73,46.66,1836300,43.748035
"2021-06-09",46.860001,47.34,46.59,47.02,1597900,44.085564
"2021-06-10",47.02,47.23,46.02,46.400002,3221200,43.504261
"2021-06-11",46.389999,46.459999,45.77,46.279999,3046100,43.391747
"2021-06-14",45.759998,46.169998,45.529999,45.939999,1640400,43.656879
"2021-06-15",45.880001,46.060001,45.639999,45.959999,1462500,43.675888
"2021-06-16",45.950001,45.959999,45.169998,45.360001,1899100,43.105705
"2021-06-17",45.25,45.720001,45.07,45.57,1729200,43.305267
"2021-06-18",45.580002,45.580002,44.209999,44.25,3134700,42.050873
"2021-06-21",44.310001,45.450001,44.310001,45.360001,1301700,43.105705
"2021-06-22",45.349998,45.349998,43.66,43.759998,2796900,41.58522
"2021-06-23",43.75,43.75,43.209999,43.5,2676100,41.338142
"2021-06-24",43.720001,43.810001,43.240002,43.349998,3030100,41.195599
"2021-06-25",43.25,43.439999,43.099998,43.16,2394200,41.015038
"2021-06-28",43.16,43.310001,42.830002,42.950001,1772200,40.815479
"2021-06-29",42.900002,42.970001,42.200001,42.32,3477000,40.216789
"2021-06-30",42.299999,42.880001,42.209999,42.32,2634000,40.216789
"2021-07-01",42.5,42.93,42.220001,42.619999,2020500,40.501873
"2021-07-02",42.73,42.869999,42.240002,42.77,1524300,40.644424
"2021-07-06",42.639999,42.700001,42.09,42.419998,2162500,40.311813
"2021-07-07",42.279999,42.970001,41.98,42.759998,2207300,40.634918
"2021-07-08",42.490002,42.900002,42.25,42.619999,1103600,40.501873
"2021-07-09",43.009998,44.150002,42.950001,43.740002,2331500,41.566216
"2021-07-12",43.599998,44.619999,43.349998,44.5,2512400,42.288448
"2021-07-13",44.509998,45.049999,43.970001,44.200001,3089200,42.003361
"2021-07-14",44,44.580002,43.98,44.220001,1876900,42.022366
"2021-07-15",44.150002,44.68,43.810001,44.049999,1160200,41.860809
"2021-07-16",44.099998,44.200001,43.25,43.32,1000500,41.167091
"2021-07-19",42.849998,43.07,42.200001,42.740002,2096600,40.615917
"2021-07-20",43,44.040001,42.970001,43.790001,1442100,41.613735
"2021-07-21",43.900002,44.380001,43.66,43.889999,1259400,41.708763
"2021-07-22",43.919998,44.279999,43.43,43.580002,1180900,41.414169
"2021-07-23",43.639999,43.68,43.189999,43.419998,1281400,41.262119
"2021-07-26",43.310001,43.610001,43.119999,43.610001,1346400,41.44268
"2021-07-27",43.52,44,43.130001,43.93,1514000,41.746777
"2021-07-28",43.939999,44.099998,43.130001,43.43,1201300,41.271622
"2021-07-29",43.540001,44.119999,43.389999,43.439999,1302800,41.281128
"2021-07-30",43.540001,44.060001,43.439999,43.759998,2611700,41.58522
"2021-08-02",44.09,44.400002,43.669998,43.759998,1024600,41.58522
"2021-08-03",43.950001,44.130001,43.450001,43.91,815700,41.727768
"2021-08-04",44.02,44.02,43.150002,43.330002,1283700,41.176594
"2021-08-05",43.43,44.25,42.400002,44.209999,1621900,42.012859
"2021-08-06",44.450001,45.490002,44.389999,44.970001,1375700,42.735088
"2021-08-09",44.880001,45.5,44.669998,45.310001,2254600,43.058193
"2021-08-10",45.5,46.759998,45.43,45.970001,1852400,43.68539
"2021-08-11",46.130001,46.860001,46.049999,46.720001,1068600,44.398117
"2021-08-12",46.799999,46.799999,46.27,46.549999,609800,44.236565
"2021-08-13",46.560001,46.68,46,46.099998,946100,43.808926
"2021-08-16",46.110001,46.169998,45.43,45.849998,1031700,43.571354
"2021-08-17",45.599998,45.73,45.029999,45.610001,944700,43.343285
"2021-08-18",45.470001,45.470001,44.950001,45.259998,1427100,43.010677
"2021-08-19",45.139999,46.02,45.119999,45.790001,1109900,43.514339
"2021-08-20",45.700001,45.959999,45.43,45.669998,982600,43.400299
"2021-08-23",45.900002,45.959999,45.619999,45.869999,1178900,43.590359
"2021-08-24",46,46.32,45.709999,45.77,1101000,43.495331
"2021-08-25",45.75,46.139999,45.459999,45.880001,1010700,43.599865
"2021-08-26",45.869999,46.119999,45.669998,45.82,1038900,43.542847
"2021-08-27",46,46.709999,45.799999,46.369999,1097800,44.06551
"2021-08-30",46.400002,46.720001,46.029999,46.689999,998200,44.36961
"2021-08-31",46.619999,47.82,46.57,47.75,3103100,45.376934
"2021-09-01",47.759998,48.400002,47.5,48.360001,1748400,45.956619
"2021-09-02",48.580002,49.450001,48.110001,49.450001,1954700,46.992443
"2021-09-03",49.580002,49.580002,48.709999,49.380001,1488800,46.925922
"2021-09-07",49.080002,49.130001,48.049999,48.389999,2021000,45.985126
"2021-09-08",48.220001,48.599998,47.709999,48.470001,1304300,46.061146
"2021-09-09",48.200001,48.209999,47.75,47.82,1183200,45.443451
"2021-09-10",47.82,47.82,47.009998,47.02,1265100,44.683208
"2021-09-13",47.07,47.790001,46.75,47.200001,1818800,44.854267
"2021-09-14",46.810001,46.939999,45.360001,45.439999,1734300,43.755554
"2021-09-15",45.59,45.639999,45.02,45.07,2048100,43.399277
"2021-09-16",45.029999,45.110001,44.459999,44.91,1675100,43.245209
"2021-09-17",44.759998,45.240002,44.709999,44.900002,2192600,43.235577
"2021-09-20",44.349998,44.599998,43.919998,44.380001,1812700,42.734856
"2021-09-21",44.439999,44.799999,44.169998,44.48,1556900,42.83115
"2021-09-22",44.790001,45.049999,44.700001,44.779999,1780600,43.120022
"2021-09-23",44.900002,45.34,44.610001,44.790001,1639800,43.129654
"2021-09-24",44.709999,44.900002,44.220001,44.27,1043600,42.628933
"2021-09-27",44.299999,44.790001,44.029999,44.040001,1157400,42.407455
"2021-09-28",43.98,44.02,43.470001,43.82,1242700,42.19561
"2021-09-29",44.09,44.720001,44.040001,44.310001,1354900,42.66745
"2021-09-30",44.400002,44.509998,43.419998,43.450001,1573000,41.839329
"2021-10-01",43.650002,44.139999,43.189999,43.970001,1401900,42.34005
"2021-10-04",43.939999,44.450001,43.799999,44.18,1136300,42.542267
"2021-10-05",44.200001,44.700001,43.950001,44.25,1509600,42.609673
"2021-10-06",44.18,44.459999,43.169998,44.110001,1752100,42.474861
"2021-10-07",44.299999,44.5,43.91,43.959999,1579900,42.330421
"2021-10-08",43.900002,43.93,42.59,42.630001,1171000,41.049725
"2021-10-11",42.599998,42.869999,42.200001,42.709999,1147500,41.126759
"2021-10-12",42.82,43.380001,42.700001,43.279999,1310500,41.675629
"2021-10-13",43.299999,43.299999,42.619999,43.259998,1097100,41.656368
"2021-10-14",43.450001,44.849998,43.32,44.779999,1920700,43.120022
"2021-10-15",44.990002,45.32,44.720001,44.880001,1557900,43.21632
"2021-10-18",44.779999,45.299999,44.599998,45,1194200,43.331871
"2021-10-19",45.27,45.689999,44.91,44.950001,1165800,43.283726
"2021-10-20",45.049999,45.779999,45.049999,45.540001,1175400,43.851852
"2021-10-21",45.48,45.779999,45.049999,45.75,976400,44.054066
"2021-10-22",45.990002,46.349998,45.43,46,907200,44.2948
"2021-10-25",46,46.32,45.73,45.990002,1132000,44.285175
"2021-10-26",46.02,46.43,45.669998,46.240002,1379000,44.525906
"2021-10-27",46.419998,46.66,45.580002,45.66,1049300,43.967403
"2021-10-28",45.73,46.740002,45.650002,46.419998,1121500,44.69923
"2021-10-29",46.380001,46.57,45.34,45.639999,1943700,43.948147
"2021-11-01",45.68,46.09,44.740002,45.93,1291000,44.227394
"2021-11-02",46,47.080002,45.43,46.68,2045300,44.949593
"2021-11-03",46.810001,48.43,46.709999,48.23,2568000,46.442135
"2021-11-04",48.5,49.400002,45.639999,46.220001,4166000,44.506645
"2021-11-05",46.580002,47.889999,46.560001,47.650002,1819400,45.883636
"2021-11-08",48,48.049999,46.790001,47.099998,2292800,45.354019
"2021-11-09",46.950001,47.669998,46.389999,47.580002,1294800,45.816235
"2021-11-10",47.5,48.060001,47.380001,47.41,1187500,45.652531
"2021-11-11",47.369999,48.099998,47.259998,47.869999,726300,46.095478
"2021-11-12",47.939999,47.98,47.349998,47.549999,694300,45.787342
"2021-11-15",47.82,49,47.689999,48.959999,1750300,47.145073
"2021-11-16",48.799999,48.830002,47.619999,47.68,1464400,45.912525
"2021-11-17",47.529999,47.77,46.41,47.16,1716200,45.4118
"2021-11-18",47.34,47.700001,46.93,47.41,1433100,45.652531
"2021-11-19",47.419998,47.779999,46.450001,46.610001,1430600,44.882191
"2021-11-22",46.610001,47.279999,46.41,46.75,1774100,45.016998
"2021-11-23",46.869999,47,46.209999,46.849998,1241200,45.113289
"2021-11-24",46.84,47.549999,46.73,47.470001,798200,45.710312
"2021-11-26",46.849998,47.360001,46.459999,46.689999,726600,44.959221
"2021-11-29",46.98,47.389999,46.639999,46.860001,1387000,45.122921
"2021-11-30",46.619999,47.130001,45.32,45.439999,4054900,43.755554
"2021-12-01",45.959999,47.349998,45.099998,45.130001,2409300,43.45705
"2021-12-02",45.279999,47.470001,45.279999,47.029999,2229800,45.286613
"2021-12-03",47.18,47.349998,46.310001,47.09,1462400,45.344395
"2021-12-06",47.709999,47.77,46.98,47.130001,1441500,45.382912
"2021-12-07",47.439999,48.130001,46.849998,48.060001,1472000,46.278439
"2021-12-08",48.110001,48.34,47.799999,47.91,1103500,46.133995
"2021-12-09",47.900002,48.060001,47.060001,47.279999,1274100,45.527348
"2021-12-10",48,48.529999,47.48,48.419998,1501200,46.625088
"2021-12-13",48.5,49.75,48.389999,49.560001,2308100,47.722836
"2021-12-14",49.009998,49.400002,47.43,48.299999,2576900,47.097786
"2021-12-15",48.41,49.689999,48.049999,49.529999,2466800,48.297169
"2021-12-16",49.700001,50.810001,49.52,50.700001,2917900,49.438049
"2021-12-17",50.639999,51.779999,50.23,51.25,4001700,49.974361
"2021-12-20",50.459999,51.060001,49.619999,50.950001,2002000,49.681828
"2021-12-21",51.049999,51.73,50.939999,51.509998,3188800,50.227886
"2021-12-22",51.580002,51.880001,51.040001,51.630001,2041600,50.344902
"2021-12-23",51.950001,52.040001,50.919998,51.299999,1200500,50.023113
"2021-12-27",51.25,52.5,51.16,52.490002,2029700,51.183498
"2021-12-28",52.290001,52.849998,51.950001,52.77,830400,51.456528
"2021-12-29",53,53,52.400002,52.759998,931300,51.446774
"2021-12-30",52.860001,52.98,52.209999,52.540001,1366900,51.23225
"2021-12-31",52.580002,53.139999,52.310001,52.330002,1216000,51.027481
"2022-01-03",52.470001,52.5,50.41,51.32,2274700,50.042618
"2022-01-04",51.459999,51.959999,50.700001,50.75,2050500,49.486805
"2022-01-05",50.5,50.639999,48.349998,48.5,3041900,47.292809
"2022-01-06",48.599998,48.599998,46.57,46.77,4013100,45.605873
"2022-01-07",46.700001,47.099998,46.509998,46.790001,3016600,45.62537
"2022-01-10",46.709999,46.93,45.630001,46.68,4167800,45.518112
"2022-01-11",46.740002,46.860001,45.75,46.380001,2899600,45.225578
"2022-01-12",46.380001,47.169998,46.290001,46.759998,2084500,45.596119
"2022-01-13",46.830002,47.349998,45.540001,45.700001,2587300,44.562504
"2022-01-14",45.34,45.41,44.119999,44.77,2834600,43.655651
"2022-01-18",44.389999,44.52,43.720001,44.09,2629200,42.992577
"2022-01-19",44.330002,44.689999,43.209999,43.240002,2362600,42.163738
"2022-01-20",43.16,43.669998,42.549999,42.59,2076700,41.529911
"2022-01-21",42.709999,43.990002,42.540001,43.349998,3470600,42.270992
