"","JBHT.Open","JBHT.High","JBHT.Low","JBHT.Close","JBHT.Volume","JBHT.Adjusted"
"2020-09-15",132.179993,133.770004,131.270004,132.979996,786300,131.180405
"2020-09-16",133.779999,134.199997,131.369995,131.529999,976100,129.750031
"2020-09-17",130.160004,134.490005,128.139999,134.440002,842500,132.620682
"2020-09-18",133.300003,134.270004,129.509995,131.619995,1511600,129.838821
"2020-09-21",130.259995,131.619995,128.25,131.220001,996100,129.444244
"2020-09-22",130.75,132.089996,128.259995,128.970001,1289500,127.224686
"2020-09-23",129.300003,131.089996,128.460007,129.630005,766800,127.875755
"2020-09-24",130.440002,132.179993,128.630005,130.860001,484900,129.089111
"2020-09-25",129.940002,131.050003,129.130005,129.330002,794900,127.579811
"2020-09-28",130.259995,131.539993,129.949997,130.550003,588900,128.78331
"2020-09-29",130.520004,131.210007,128.570007,128.630005,443500,126.88929
"2020-09-30",129.119995,129.470001,125.309998,126.379997,831000,124.669739
"2020-10-01",126.669998,127.349998,124.470001,125.209999,675100,123.515579
"2020-10-02",124.82,128.350006,124.300003,127.489998,1084600,125.764725
"2020-10-05",127.989998,131.350006,127.669998,130.550003,1470500,128.78331
"2020-10-06",131.050003,132.820007,129.479996,130.550003,767500,128.78331
"2020-10-07",130.990005,134.270004,130.990005,132.570007,704300,130.77597
"2020-10-08",133.660004,135.529999,133.5,135.300003,519600,133.469055
"2020-10-09",135.710007,136.080002,134.059998,135.220001,384900,133.390106
"2020-10-12",136.029999,138.270004,136.029999,137.770004,798700,135.905609
"2020-10-13",137,139.610001,137,138.490005,876100,136.61586
"2020-10-14",139.179993,141.410004,138.720001,140.009995,671900,138.115295
"2020-10-15",137.770004,142.600006,137.770004,141.839996,960400,139.920532
"2020-10-16",135.960007,137.740005,127.629997,128.039993,3406600,126.307274
"2020-10-19",125.110001,127.540001,123.300003,123.940002,1665800,122.262756
"2020-10-20",124.629997,126.389999,122.82,123.059998,1047100,121.394669
"2020-10-21",122.870003,125.949997,121.739998,125.160004,1183000,123.466263
"2020-10-22",125.080002,128.259995,123.449997,127.470001,1150000,125.744987
"2020-10-23",127.889999,129.869995,127.25,128.970001,803600,127.224686
"2020-10-26",128.330002,128.630005,125.739998,127.269997,948100,125.547684
"2020-10-27",127.330002,129.179993,125.919998,126.330002,877800,124.620407
"2020-10-28",124.010002,125.940002,122.980003,123.580002,883600,121.907631
"2020-10-29",123.839996,124.129997,122.25,122.339996,944900,120.684418
"2020-10-30",121.5,123.75,119.220001,121.739998,1316700,120.092522
"2020-11-02",123.029999,123.93,120.230003,122.43,934600,120.773193
