"","PARA.Open","PARA.High","PARA.Low","PARA.Close","PARA.Volume","PARA.Adjusted"
"2020-07-01",23.33,24.120001,23.09,23.6,8771700,22.357216
"2020-07-02",24,24.18,23.110001,23.25,9947300,22.025644
"2020-07-06",23.790001,23.940001,23.280001,23.690001,9234300,22.442474
"2020-07-07",23.5,23.51,22.68,22.950001,8823200,21.741446
"2020-07-08",22.790001,22.99,22.209999,22.92,9759000,21.713024
"2020-07-09",22.9,22.91,21.67,22.1,13176200,20.936207
"2020-07-10",22.02,22.950001,21.83,22.93,6351900,21.722498
"2020-07-13",23.32,24.09,22.540001,23.709999,14111300,22.461418
"2020-07-14",23.51,24.33,23.16,24.25,8983700,22.972984
"2020-07-15",24.719999,25.34,24.33,24.950001,11980100,23.636124
"2020-07-16",24.58,25.6,24.389999,25.5,8514300,24.157158
"2020-07-17",25.459999,25.6,24.73,25.190001,16381900,23.863483
"2020-07-20",25.280001,25.290001,24.24,24.469999,8481800,23.181398
"2020-07-21",24.49,25.08,24.41,24.52,7930000,23.228767
"2020-07-22",24.33,24.959999,24.120001,24.860001,6607900,23.550863
"2020-07-23",24.82,25.27,24.639999,25.129999,8436100,23.806641
"2020-07-24",24.98,25.48,24.440001,24.75,8646500,23.446657
"2020-07-27",24.67,24.879999,24.110001,24.83,6861000,23.522444
"2020-07-28",24.469999,24.959999,24.34,24.52,4636000,23.228767
"2020-07-29",24.65,25.459999,24.27,25.290001,6711300,23.95822
"2020-07-30",24.639999,26.049999,24.440001,25.809999,7469000,24.450834
"2020-07-31",25.68,26.18,25.34,26.07,8446700,24.697142
"2020-08-03",26.07,26.129999,25.34,25.709999,7970200,24.356102
"2020-08-04",25.84,26.690001,25.610001,26.549999,8889400,25.151865
"2020-08-05",26.75,26.77,25.959999,26,9744800,24.630829
"2020-08-06",26.6,27.57,25.91,26.889999,17381600,25.473961
"2020-08-07",26.6,26.879999,25.66,26.209999,11786400,24.829769
"2020-08-10",26.15,26.780001,25.870001,26.309999,12312700,24.924503
"2020-08-11",26.77,27.799999,26.16,26.51,12788300,25.113974
"2020-08-12",27.209999,27.309999,25.9,26.24,11405800,24.858191
"2020-08-13",25.92,26.969999,25.610001,26.690001,8121500,25.284492
"2020-08-14",26.67,28.24,26.549999,27.459999,16534200,26.013945
"2020-08-17",27.5,27.629999,26.629999,27.23,10933900,25.796055
"2020-08-18",27.209999,28.1,26.5,26.969999,6345000,25.549749
"2020-08-19",27.129999,27.41,26.709999,27.32,7598900,25.881321
"2020-08-20",27,27,26.34,26.690001,10627200,25.284492
"2020-08-21",26.700001,26.889999,26.290001,26.51,4982200,25.113974
"2020-08-24",26.549999,27.67,26.450001,27.639999,6777600,26.184464
"2020-08-25",27.780001,28,27.18,27.57,5039500,26.118151
"2020-08-26",27.49,27.99,27.17,27.889999,7095000,26.421301
"2020-08-27",28.24,28.809999,27.76,28.27,10530100,26.781292
"2020-08-28",28.49,28.49,27.92,27.99,6122600,26.516037
"2020-08-31",27.82,28.25,27.68,27.85,6894500,26.383408
"2020-09-01",27.639999,27.9,27.190001,27.700001,5177400,26.241304
"2020-09-02",27.629999,28.42,27.4,28.309999,6820100,26.819181
"2020-09-03",28.389999,29.02,27.879999,28.25,8722900,26.762342
"2020-09-04",28.450001,28.860001,27.98,28.75,9383200,27.236012
"2020-09-08",28.469999,29.1,28.23,28.709999,14509200,27.198118
"2020-09-09",28.809999,29.040001,28.190001,28.709999,7759900,27.198118
"2020-09-10",28.82,29.6,28.74,29.299999,9877300,27.75705
"2020-09-11",29.360001,29.809999,29.040001,29.280001,12297200,27.738106
"2020-09-14",29.370001,30.040001,29.200001,29.73,10250000,28.397167
"2020-09-15",30.08,30.84,29.870001,30.129999,11208100,28.779236
"2020-09-16",30.379999,31.4,29.93,30.68,9539800,29.304581
"2020-09-17",30.26,30.809999,29.9,30.26,11887700,28.903408
"2020-09-18",30.110001,30.48,29.9,30.16,13423200,28.807892
"2020-09-21",29.51,29.719999,28.77,28.99,13916800,27.690344
"2020-09-22",29.23,29.83,28.969999,29.41,8809900,28.091515
"2020-09-23",29.719999,30.01,28.639999,28.82,9744900,27.527966
"2020-09-24",28.57,29.5,28.110001,29.15,13542900,27.843172
"2020-09-25",28.860001,29.59,28.84,29.530001,9418000,28.206137
"2020-09-28",29.99,30.190001,29.57,29.84,9323400,28.502237
"2020-09-29",29.65,29.91,28.9,28.959999,11466500,27.661686
"2020-09-30",29.15,29.51,27.879999,28.01,9358800,26.75428
"2020-10-01",28.16,28.16,27.030001,27.68,13944100,26.439072
"2020-10-02",27.15,28.370001,26.99,27.969999,9109000,26.716072
"2020-10-05",28.1,28.629999,28.059999,28.389999,5874900,27.117245
"2020-10-06",28.75,29.49,28.43,28.450001,8724400,27.174555
"2020-10-07",28.950001,29.110001,28.639999,28.85,4870500,27.556622
"2020-10-08",29.049999,29.68,28.74,29.610001,9561800,28.282551
"2020-10-09",29.889999,30.08,28.9,28.92,5729600,27.623482
"2020-10-12",28.83,28.969999,28.27,28.33,6608200,27.059933
"2020-10-13",27.73,28.18,27.09,27.450001,13413100,26.219383
"2020-10-14",27.5,27.790001,27.200001,27.34,7125100,26.114315
"2020-10-15",27.469999,27.870001,27.219999,27.83,6884900,26.58235
"2020-10-16",27.969999,28.02,27.43,27.940001,7503700,26.68742
"2020-10-19",28.15,28.17,27.01,27.129999,15514800,25.913729
"2020-10-20",27.42,27.77,27.110001,27.459999,9204100,26.228935
"2020-10-21",27.459999,28.57,27.1,28.469999,9283100,27.193657
"2020-10-22",28.700001,29.5,28.6,29.1,9179000,27.795412
"2020-10-23",29.299999,29.5,28.700001,29.280001,5877800,27.967344
"2020-10-26",28.639999,28.940001,28.290001,28.75,7403400,27.461102
"2020-10-27",28.559999,28.639999,28.059999,28.209999,8316700,26.945314
"2020-10-28",27.5,28.17,27.4,27.799999,12407000,26.553692
"2020-10-29",27.66,28.299999,27.52,28.129999,7449700,26.868898
