"","PARA.Open","PARA.High","PARA.Low","PARA.Close","PARA.Volume","PARA.Adjusted"
"2020-10-30",27.799999,28.59,27.66,28.57,12162900,27.289173
"2020-11-02",28.799999,29.66,28.360001,29.6,11088900,28.272999
"2020-11-03",30,30.48,29.690001,30.129999,12412800,28.779236
"2020-11-04",29.959999,30.280001,29.309999,29.77,8869700,28.435377
"2020-11-05",30.01,31.35,30.01,31.290001,11691700,29.887234
"2020-11-06",30.75,30.98,28.85,29.299999,26843600,27.986448
"2020-11-09",30.85,31.15,28.780001,29.049999,17020200,27.747654
"2020-11-10",29.16,30.08,28.860001,30.07,8927500,28.721926
"2020-11-11",29.76,30.35,29.59,30.200001,9281700,28.846102
"2020-11-12",30,30,29.120001,29.25,8077300,27.93869
"2020-11-13",29.4,30.48,29.379999,30.200001,7894200,28.846102
"2020-11-16",30.77,32.529999,30.620001,31.9,21017100,30.469885
"2020-11-17",31.6,32.889999,30.99,32.290001,9860900,30.842403
"2020-11-18",32.5,33.240002,32.09,32.700001,8265200,31.234018
"2020-11-19",32.400002,33.580002,32.240002,33.43,9218600,31.931293
"2020-11-20",33.41,34.099998,33.130001,33.990002,16974700,32.46619
"2020-11-23",34.25,35.48,34.200001,34.619999,14833400,33.067944
"2020-11-24",34.549999,34.919998,34.139999,34.509998,12525600,32.962875
"2020-11-25",34.48,34.889999,33.5,34.82,12095000,33.25898
"2020-11-27",34.790001,35.279999,34.700001,35.07,3903900,33.497772
"2020-11-30",34.84,35.41,34.82,35.279999,18543000,33.698357
"2020-12-01",35.5,37.240002,35.369999,36.360001,18436500,34.729939
"2020-12-02",36.189999,36.560001,35.59,36.369999,9386500,34.739491
"2020-12-03",36.59,37.02,36.25,36.59,10173300,34.949631
"2020-12-04",36.66,37,36.240002,36.950001,8736500,35.293491
"2020-12-07",36.639999,36.869999,36.080002,36.82,7706900,35.169312
"2020-12-08",36.799999,37.32,36.459999,36.650002,10698000,35.006939
"2020-12-09",36.48,36.669998,36.060001,36.439999,11809600,34.806355
"2020-12-10",35.93,36.599998,35.57,35.869999,12962500,34.261902
"2020-12-11",35.459999,35.82,34.91,35.599998,9883600,34.004009
"2020-12-14",35.849998,35.91,34.369999,34.669998,20752300,33.340466
"2020-12-15",34.93,35.419998,34.450001,35.139999,8888500,33.792446
"2020-12-16",35.169998,36.419998,34.91,35.889999,20991800,34.513683
"2020-12-17",36.029999,36.279999,35.389999,36.200001,10649700,34.811798
"2020-12-18",35.48,35.799999,34.869999,35.259998,12922200,33.907845
"2020-12-21",34.580002,34.889999,34.130001,34.849998,14495800,33.513565
"2020-12-22",34.880001,35.049999,34.119999,34.889999,8805700,33.552029
"2020-12-23",34.919998,36.439999,34.91,35.950001,12458700,34.571384
"2020-12-24",35.740002,36.029999,35.450001,35.990002,4720500,34.609856
"2020-12-28",36.09,37.029999,36.029999,36.73,6108200,35.321476
"2020-12-29",36.810001,36.990002,36.400002,36.720001,8183000,35.311859
"2020-12-30",36.889999,37.450001,36.66,36.900002,5264900,35.484959
"2020-12-31",36.75,37.459999,36.549999,37.259998,7669800,35.831146
"2021-01-04",37.299999,37.759998,36.310001,36.599998,12491900,35.196461
"2021-01-05",36.639999,37.040001,36.209999,36.990002,13060300,35.571503
"2021-01-06",37.849998,40.740002,37.560001,40.200001,20360700,38.658405
"2021-01-07",39.990002,40.380001,39.349998,40.119999,13123600,38.58147
"2021-01-08",40.009998,40.209999,39.529999,40.060001,11159500,38.523773
"2021-01-11",39.599998,41.169998,39.439999,41.060001,7253200,39.485432
"2021-01-12",41.360001,42.59,41.209999,41.779999,12478200,40.177818
"2021-01-13",41.580002,43.43,41.41,43.119999,14475000,41.466423
"2021-01-14",43.119999,46.860001,42.91,46,29667700,44.235985
"2021-01-15",45.59,46.32,44.849998,45.299999,11513500,43.562832
"2021-01-19",44.119999,44.5,43.34,43.75,21067200,42.072269
"2021-01-20",43.73,44.240002,42.889999,43.360001,13048800,41.697227
"2021-01-21",44,45.740002,43.619999,45.110001,24194100,43.380116
"2021-01-22",44.52,45.82,43.630001,45.580002,14450400,43.832096
"2021-01-25",45.419998,51.290001,45.330002,47.709999,24130800,45.880409
"2021-01-26",48.240002,52.299999,48.09,51.919998,18865900,49.928967
"2021-01-27",52.27,60.73,52.099998,56,45158900,53.852509
"2021-01-28",55.07,56.169998,48.220001,50.610001,29765700,48.669205
"2021-01-29",50.990002,53.279999,48.389999,48.5,23340800,46.640114
"2021-02-01",48.540001,52.540001,48.459999,52.330002,18855000,50.323246
"2021-02-02",51.099998,52.07,49.77,50.259998,17683400,48.332623
"2021-02-03",50.099998,52.369999,49.009998,52.060001,13200000,50.063599
"2021-02-04",50.34,52.119999,49.5,52.060001,18711000,50.063599
"2021-02-05",51.849998,54.880001,50.93,54.040001,15575300,51.967667
"2021-02-08",53.16,55.34,52.580002,54.5,16656200,52.410027
"2021-02-09",54.150002,55.419998,52.540001,55.029999,7948500,52.919704
"2021-02-10",54.889999,57.200001,54.490002,56.57,13028200,54.400646
"2021-02-11",56.740002,57.759998,56.349998,57.200001,8545700,55.006489
"2021-02-12",57.48,58.950001,56.779999,58.310001,11056500,56.073925
"2021-02-16",58.220001,59.66,57.360001,59.139999,14584500,56.872089
"2021-02-17",58.98,61.41,58.459999,61,10102800,58.660767
"2021-02-18",62,63.060001,61.43,62.150002,14245100,59.766663
"2021-02-19",62.18,63.73,62.18,62.689999,14426600,60.285954
"2021-02-22",63.709999,67.199997,63.400002,66.139999,21760600,63.603657
"2021-02-23",66.540001,67.120003,63.34,64.370003,18354800,61.901531
"2021-02-24",63.68,66.190002,63.57,65.599998,17322500,63.084373
"2021-02-25",66.400002,67.849998,61.799999,62.5,25151200,60.103249
"2021-02-26",62,64.879997,61,64.489998,16360300,62.016926
"2021-03-01",64.800003,67.980003,64.599998,67.129997,13425700,64.555695
"2021-03-02",67.309998,69.370003,66.790001,68.720001,14417500,66.084717
"2021-03-03",69.129997,72.449997,69.010002,70.910004,17460100,68.190742
"2021-03-04",70.540001,72.589996,70.010002,71.879997,21489300,69.123535
"2021-03-05",71.099998,74.760002,69.769997,74.239998,14159000,71.393044
"2021-03-08",74.879997,84.940002,74.110001,83.660004,21341100,80.451805
"2021-03-09",84.400002,84.599998,77.099998,79.660004,23611600,76.605186
"2021-03-10",79.970001,83.470001,78.809998,82.889999,22506900,79.711311
"2021-03-11",82.910004,87.379997,82.769997,86.279999,22371000,82.971329
"2021-03-12",86.07,95.269997,85.879997,94.940002,38020400,91.553909
"2021-03-15",94.709999,101.970001,93.769997,96.330002,32035400,92.894325
"2021-03-16",97.260002,99.160004,94.209999,96.239998,29110100,92.807526
"2021-03-17",94.459999,95.279999,86.169998,92.339996,34687600,89.046638
"2021-03-18",90.879997,98.129997,90.150002,96.760002,31797800,93.30899
"2021-03-19",95.75,98.599998,95.410004,97.349998,33518700,93.877945
"2021-03-22",99.150002,100.419998,96.209999,100.339996,20400200,96.761307
"2021-03-23",92.599998,96.339996,90.300003,91.25,37782300,87.995499
"2021-03-24",84.400002,85,70,70.099998,89815300,67.599831
"2021-03-25",66.699997,70.190002,64.519997,66.349998,44269500,63.983574
"2021-03-26",65.75,66.269997,39.810001,48.23,216631000,46.509842
"2021-03-29",46.990002,48,43,45.009998,213578900,43.404686
"2021-03-30",46.720001,48.389999,45.16,46.610001,150842500,44.94762
"2021-03-31",46.93,46.98,43.77,45.099998,92028600,43.491474
"2021-04-01",45.59,46.240002,43.93,44.639999,59501200,43.047886
"2021-04-05",44.549999,44.75,42.299999,42.900002,68076000,41.369942
"2021-04-06",42,45.360001,41.950001,44.349998,125164900,42.768227
"2021-04-07",45.93,46.200001,43.689999,43.889999,84665200,42.324631
"2021-04-08",43.860001,44.360001,42.119999,42.290001,58371800,40.781704
"2021-04-09",42.34,43.099998,41.16,41.880001,49660000,40.386318
"2021-04-12",42.119999,42.68,39.66,39.77,59418100,38.351578
"2021-04-13",40.34,41.459999,39.799999,40.490002,33145100,39.045902
"2021-04-14",40.91,41.98,40.18,40.220001,35659100,38.785526
"2021-04-15",40.619999,40.669998,38.959999,39.25,34635500,37.850124
"2021-04-16",39.299999,39.950001,38.799999,39.349998,40042700,37.946552
"2021-04-19",39.5,39.939999,37.91,38.400002,44779700,37.030441
"2021-04-20",38.639999,39.240002,37.330002,37.919998,41652900,36.567554
"2021-04-21",37.650002,40.91,37.540001,40.849998,52142800,39.393055
"2021-04-22",42.25,42.57,40.43,40.73,60658800,39.277332
"2021-04-23",40.869999,41.990002,40.68,41.709999,40878500,40.222382
"2021-04-26",42.439999,42.52,41.009998,41.82,30501300,40.328461
"2021-04-27",41.990002,43.34,41.82,42.810001,33759800,41.28315
"2021-04-28",42.860001,42.959999,41.380001,41.43,27913200,39.95237
"2021-04-29",41.720001,42.389999,40.68,41.5,22505200,40.019878
"2021-04-30",41.349998,41.790001,40.709999,41.02,20587400,39.556995
"2021-05-03",40.959999,41.09,39.389999,39.66,34064100,38.245502
"2021-05-04",39.360001,39.98,38.580002,39.970001,20480800,38.544441
"2021-05-05",40.009998,40.369999,39,39.099998,24750100,37.705467
"2021-05-06",40.23,40.48,37.57,38.150002,44431900,36.789356
"2021-05-07",38.5,39.740002,38.049999,39.389999,25483700,37.985126
"2021-05-10",39.490002,40.09,38.860001,39.27,18927400,37.869404
"2021-05-11",38.200001,39.52,37.950001,39.48,19701400,38.071918
"2021-05-12",39.57,40.669998,39,39.060001,21179800,37.666897
"2021-05-13",39.310001,40.27,38.099998,38.509998,20742900,37.136509
"2021-05-14",38.939999,39.34,38.200001,38.91,17029200,37.522251
"2021-05-17",40.279999,40.720001,38.220001,38.41,33202600,37.040085
"2021-05-18",38.830002,40.720001,38.77,40.16,29181900,38.727669
"2021-05-19",39.43,39.93,38.919998,39.689999,19409600,38.274422
"2021-05-20",41.650002,41.889999,40.490002,41.52,36244500,40.039162
"2021-05-21",41.759998,42.5,41.240002,42.150002,27099400,40.646694
"2021-05-24",42.25,42.32,41.080002,41.540001,19473100,40.058445
"2021-05-25",41.950001,42.220001,40.66,40.900002,15314900,39.441273
"2021-05-26",41.23,42.66,41.02,42.459999,18656600,40.945637
"2021-05-27",42.799999,43.549999,42.200001,43.150002,22191800,41.611023
"2021-05-28",43.240002,43.259998,42.259998,42.419998,14547300,40.907059
"2021-06-01",42.849998,43.240002,42.43,42.599998,11165200,41.080639
"2021-06-02",43,43.34,41.939999,42.580002,20988600,41.061356
"2021-06-03",42.220001,42.419998,41.16,41.580002,18451200,40.097023
"2021-06-04",41.689999,42.07,41.32,41.700001,11105600,40.212738
"2021-06-07",41.970001,42.099998,41.380001,41.740002,9004600,40.251312
"2021-06-08",41.689999,42.169998,41.110001,41.68,12402900,40.193455
"2021-06-09",41.59,42.990002,41.369999,42.25,15497300,40.743122
"2021-06-10",42.52,42.689999,41.220001,41.509998,12086700,40.029522
"2021-06-11",41.740002,42.41,41.290001,42.349998,11266100,40.839558
"2021-06-14",42.139999,43.080002,41.959999,42.630001,13862700,41.343868
"2021-06-15",42.509998,43,41.310001,41.669998,19307900,40.41283
"2021-06-16",41.68,42.18,41.310001,41.810001,12538600,40.548607
"2021-06-17",41.619999,42.029999,39.860001,40.189999,21893700,38.977482
"2021-06-18",39.950001,40.259998,39.439999,40.029999,24690600,38.822304
"2021-06-21",40.299999,41,39.560001,40.959999,14021300,39.724251
"2021-06-22",40.860001,41.07,40.34,40.75,8517300,39.520588
"2021-06-23",40.77,42.970001,40.639999,41.84,29032600,40.577702
"2021-06-24",41.720001,43.23,41.68,42.869999,17000900,41.57663
"2021-06-25",42.919998,43.98,42.560001,43.82,15530300,42.497971
"2021-06-28",44.380001,47.459999,44.310001,46,43425000,44.612198
"2021-06-29",46,46.299999,44.59,44.630001,18654100,43.283527
"2021-06-30",44.5,45.34,43.919998,45.200001,12847500,43.836338
"2021-07-01",45.34,45.869999,44.580002,44.950001,13624100,43.59388
"2021-07-02",44.950001,45.130001,43.810001,44.16,10022300,42.827709
"2021-07-06",44,44.029999,42.110001,42.869999,14026900,41.57663
"2021-07-07",43.139999,43.18,42.060001,42.799999,9848700,41.508739
"2021-07-08",41.939999,42.080002,40.689999,41.459999,15650400,40.209164
"2021-07-09",41.75,42.849998,41.560001,42.77,10049600,41.479649
"2021-07-12",42.5,44.23,41.84,43.439999,17104900,42.129429
"2021-07-13",43.099998,43.560001,42.529999,42.580002,9441000,41.295376
"2021-07-14",42.990002,43.040001,41.689999,41.889999,11243000,40.626194
"2021-07-15",41.790001,42.450001,40.93,41.290001,9672000,40.0443
"2021-07-16",41.380001,41.52,40.07,40.290001,10837100,39.074467
"2021-07-19",39.779999,40.139999,39.169998,39.869999,12677300,38.667137
"2021-07-20",40.209999,41.400002,39.439999,40.389999,12779000,39.171448
"2021-07-21",40.599998,41.740002,40.5,41.299999,8950800,40.053989
"2021-07-22",41.349998,41.360001,40.27,40.869999,6260300,39.636963
"2021-07-23",40.98,41.130001,40.41,40.990002,6552900,39.753353
"2021-07-26",41.029999,42.220001,40.919998,42.16,12283700,40.88805
"2021-07-27",41.779999,42.040001,40.91,41.34,7622600,40.092793
"2021-07-28",41.400002,42.169998,40.720001,41.650002,9449600,40.393436
"2021-07-29",41.759998,42.450001,41.5,41.689999,6833200,40.432228
"2021-07-30",41.470001,41.889999,40.759998,40.93,8020600,39.69516
"2021-08-02",41.16,41.669998,40.720001,40.84,8873800,39.607872
"2021-08-03",40.889999,40.990002,38.040001,38.470001,34007800,37.309372
"2021-08-04",38.299999,39.290001,38.23,38.790001,17040600,37.619724
"2021-08-05",38.75,41.68,38.630001,41.549999,19426900,40.296452
"2021-08-06",41.77,42.110001,41.369999,41.5,10609500,40.247959
"2021-08-09",41.32,41.349998,40.18,40.290001,12343600,39.074467
"2021-08-10",40.419998,40.84,39.849998,40.75,11877200,39.520588
"2021-08-11",40.82,41.040001,40.18,40.82,8285900,39.588474
"2021-08-12",40.73,40.93,39.759998,39.959999,8250300,38.754421
"2021-08-13",40.290001,40.490002,39.110001,39.16,8991800,37.978558
"2021-08-16",38.939999,39.07,38.150002,38.52,9775300,37.357864
"2021-08-17",38.209999,39.080002,37.77,39.029999,12938800,37.852478
"2021-08-18",40,41.630001,39.439999,40.470001,20720100,39.249035
"2021-08-19",40.299999,40.43,39.509998,39.639999,12395500,38.444077
"2021-08-20",39.509998,40.02,39.220001,39.709999,10167300,38.511967
"2021-08-23",39.959999,40.560001,39.599998,40.330002,8201500,39.113262
"2021-08-24",40.5,40.990002,40.32,40.700001,8818500,39.472095
"2021-08-25",40.860001,41.34,40.41,40.970001,9384000,39.733948
"2021-08-26",40.950001,41.209999,39.91,39.959999,8032500,38.754421
"2021-08-27",39.950001,40.919998,39.73,40.889999,7827600,39.656364
"2021-08-30",40.889999,40.919998,39.34,40.23,8721000,39.016273
"2021-08-31",40.18,41.689999,40.119999,41.450001,12153600,40.199467
"2021-09-01",41.619999,41.84,41.209999,41.41,7088000,40.160675
"2021-09-02",41.880001,42.150002,41.25,41.540001,9273300,40.286755
"2021-09-03",41.549999,41.549999,40.950001,41.279999,7396500,40.034595
"2021-09-07",41.23,42.169998,41.07,41.619999,9260800,40.364342
"2021-09-08",41.5,41.970001,40.82,40.91,9544800,39.675758
"2021-09-09",40.889999,41.139999,40.189999,40.34,8952900,39.122955
"2021-09-10",40.529999,40.720001,39.599998,39.650002,10474100,38.453773
"2021-09-13",39.959999,40.509998,39.630001,40.369999,8894700,39.15205
"2021-09-14",40.220001,40.25,38.740002,38.919998,16633100,37.971535
"2021-09-15",38.959999,40.389999,38.57,40.369999,9786400,39.386204
"2021-09-16",40.200001,40.599998,39.950001,40.43,7633000,39.444744
"2021-09-17",40.349998,40.740002,39.889999,39.990002,9895300,39.015469
"2021-09-20",39.040001,39.27,38.119999,38.860001,13967100,37.913002
"2021-09-21",39.150002,39.490002,38.529999,38.66,6875400,37.717876
"2021-09-22",39.080002,40.139999,39.029999,39.200001,9331300,38.244717
"2021-09-23",39.450001,40.43,39.290001,40.060001,8066800,39.083763
"2021-09-24",39.93,40.299999,39.599998,39.990002,5406400,39.015469
"2021-09-27",39.939999,41.130001,39.880001,40.439999,7119000,39.454498
"2021-09-28",40.459999,41.18,40.009998,40.23,9474000,39.249615
"2021-09-29",40.380001,40.52,39.830002,40.119999,7628300,39.142296
"2021-09-30",40.290001,40.360001,39.34,39.509998,9657300,38.547161
"2021-10-01",39.880001,40.220001,39.119999,39.900002,6887500,38.927658
"2021-10-04",39.849998,39.880001,38.990002,39.110001,7925800,38.156914
"2021-10-05",39.130001,39.869999,38.950001,39.57,7714200,38.605698
"2021-10-06",39.310001,39.32,38.599998,39.169998,9146900,38.215443
"2021-10-07",39.400002,40.5,39.32,39.84,9246900,38.869122
"2021-10-08",40.060001,41.080002,39.77,39.810001,6541900,38.839855
"2021-10-11",39.849998,40.060001,39.32,39.369999,6762700,38.410568
"2021-10-12",39.450001,39.84,39.029999,39.150002,6081800,38.195938
"2021-10-13",39.16,39.580002,38.990002,39.369999,7715400,38.410568
"2021-10-14",39.919998,39.919998,39.330002,39.470001,6305600,38.508133
"2021-10-15",39.619999,39.77,38.880001,38.919998,12981100,37.971535
"2021-10-18",38.77,39.23,38.360001,38.529999,12958100,37.591042
"2021-10-19",38.669998,39.119999,38.669998,39.07,6645500,38.117882
"2021-10-20",38.91,39.540001,38.810001,38.869999,6878300,37.922756
"2021-10-21",38.84,39.27,37.09,37.779999,15778100,36.859322
"2021-10-22",37.759998,37.860001,36.93,37.509998,13533900,36.595901
"2021-10-25",37.610001,37.740002,37.18,37.610001,7760800,36.693466
"2021-10-26",37.77,37.860001,37.009998,37.080002,7146300,36.17638
"2021-10-27",37.009998,37.029999,35.73,35.830002,17112300,34.956844
"2021-10-28",35.830002,37.27,35.59,37.02,9769000,36.117844
"2021-10-29",36.849998,37.029999,36.060001,36.220001,8460000,35.337337
"2021-11-01",36.5,37.52,36.369999,37.25,9750900,36.342236
"2021-11-02",37.099998,37.380001,36.740002,37.369999,7792800,36.459312
"2021-11-03",37.23,37.700001,37.009998,37.549999,7745700,36.634926
"2021-11-04",37.689999,38,35.740002,35.900002,21669100,35.025139
"2021-11-05",35.880001,36.869999,35.16,36.34,11927300,35.454411
"2021-11-08",36.34,36.450001,35.459999,35.84,12223600,34.966599
"2021-11-09",35.889999,35.970001,35.139999,35.5,8759300,34.634884
"2021-11-10",35.459999,36.400002,35.32,35.389999,9085500,34.527565
"2021-11-11",35.330002,35.810001,34.689999,35.599998,10585300,34.732449
"2021-11-12",35.66,35.880001,35.009998,35.200001,11691800,34.342194
"2021-11-15",35.52,36.610001,35.470001,35.779999,10887400,34.908058
"2021-11-16",35.82,35.880001,35.139999,35.150002,10061900,34.293415
"2021-11-17",35.119999,35.299999,34.720001,35.080002,9241200,34.225124
"2021-11-18",35.27,35.450001,34.029999,34.23,13599300,33.395836
"2021-11-19",33.990002,34.34,33.330002,33.66,12878500,32.839722
"2021-11-22",33.720001,33.959999,32.939999,33.540001,12943800,32.722649
"2021-11-23",33.470001,33.639999,32.720001,32.950001,15514800,32.14703
"2021-11-24",32.790001,33.439999,32.580002,33.240002,12147400,32.429958
"2021-11-26",32.5,32.970001,32.279999,32.610001,8737400,31.815308
"2021-11-29",32.689999,32.790001,31.549999,32.279999,15881300,31.493353
"2021-11-30",32.139999,32.139999,30.469999,30.950001,21862400,30.195765
"2021-12-01",31,31.870001,29.700001,29.700001,17249900,28.976227
"2021-12-02",29.75,30.059999,28.9,29.559999,31862500,28.839638
"2021-12-03",30.200001,31.16,29.9,31.07,24840000,30.312838
"2021-12-06",31.110001,31.940001,30.59,31.120001,14798200,30.361622
"2021-12-07",31.43,32.540001,31.09,31.379999,16599200,30.615286
"2021-12-08",31.389999,32.099998,31.219999,31.84,10991900,31.064075
"2021-12-09",31.49,31.940001,30.9,31.07,10748400,30.312838
"2021-12-10",31.25,31.42,30.790001,31.219999,18471600,30.459185
"2021-12-13",31.1,31.139999,30.059999,30.33,8300100,29.590874
"2021-12-14",29.879999,30.190001,29.530001,29.6,12239300,29.109001
"2021-12-15",29.43,29.690001,28.66,29.559999,13234200,29.069664
"2021-12-16",29.74,30.32,29.65,29.74,11798400,29.246679
"2021-12-17",29.75,29.940001,28.52,29.52,18207700,29.030327
"2021-12-20",29.02,29.139999,28.290001,28.68,15714400,28.204262
"2021-12-21",28.969999,29.950001,28.709999,29.35,11746900,28.863148
"2021-12-22",29.299999,29.440001,28.65,29.18,14243900,28.695969
"2021-12-23",29.309999,30.690001,29.16,30.58,14137400,30.072746
"2021-12-27",30.530001,30.58,29.9,30.120001,12801800,29.620377
"2021-12-28",30.030001,30.67,29.98,30.120001,11393400,29.620377
"2021-12-29",30.120001,30.459999,29.59,29.99,13096800,29.492531
"2021-12-30",29.92,31.52,29.84,31.120001,12386300,30.603788
"2021-12-31",31.15,31.25,30.120001,30.18,14554500,29.67938
"2022-01-03",30.620001,32.790001,30.58,32.240002,19555600,31.70521
"2022-01-04",32.630001,33.490002,32.330002,33.049999,20568400,32.501774
"2022-01-05",33.450001,34.09,32.560001,32.720001,18118900,32.177246
"2022-01-06",33.200001,33.34,32.16,32.720001,11555100,32.177246
"2022-01-07",33.349998,35.720001,33.080002,35.389999,27736100,34.802959
"2022-01-10",36.549999,36.68,34.330002,34.91,21648300,34.330917
"2022-01-11",34.91,35.330002,34.48,34.959999,9730600,34.380089
"2022-01-12",35.189999,35.580002,34.740002,34.970001,8473900,34.389927
"2022-01-13",35.919998,36.849998,35.32,36.189999,15606600,35.589687
"2022-01-14",35.900002,36.880001,35.41,36.82,10259000,36.20924
"2022-01-18",36.490002,37.400002,34.799999,35.209999,20056700,34.625942
"2022-01-19",35.599998,36.610001,34.759998,35.07,18207400,34.488266
"2022-01-20",35.009998,35.560001,33.669998,33.73,15664500,33.17049
