"","AWK.Open","AWK.High","AWK.Low","AWK.Close","AWK.Volume","AWK.Adjusted"
"2020-07-01",128.449997,131.130005,128.449997,130.619995,766900,126.797951
"2020-07-02",131.149994,132.160004,130.600006,131.059998,731300,127.225113
"2020-07-06",132.630005,133.919998,130.350006,131.039993,551900,127.205681
"2020-07-07",130.25,131.529999,129.380005,130.309998,693700,126.49704
"2020-07-08",130.399994,132.190002,130.009995,131.759995,673400,127.904602
"2020-07-09",131.350006,131.690002,128.759995,130.690002,714000,126.865944
"2020-07-10",130.949997,133.410004,130.740005,133.389999,715700,129.486969
"2020-07-13",132.820007,134.410004,132.169998,132.970001,983800,129.079224
"2020-07-14",133.429993,135.229996,132.850006,134.839996,1170400,130.894501
"2020-07-15",135,135.850006,133.399994,134.059998,918700,130.137329
"2020-07-16",134.029999,138.389999,133.559998,138.320007,1100100,134.272675
"2020-07-17",138.919998,141.529999,138.419998,141.220001,786700,137.087799
"2020-07-20",140.860001,142.839996,138.990005,139.710007,696000,135.622025
"2020-07-21",139.800003,141.869995,139.320007,141.179993,566900,137.048996
"2020-07-22",140.929993,144.479996,140.210007,143.789993,608000,139.582611
"2020-07-23",144.669998,145.809998,143.910004,144.889999,719300,140.650406
"2020-07-24",145,145.970001,143.199997,144.520004,834100,140.29126
"2020-07-27",145,145.910004,143.699997,144.330002,833000,140.106812
"2020-07-28",143.880005,146.270004,143.880005,145.360001,724700,141.106674
"2020-07-29",145.940002,148.160004,145.919998,147.990005,811300,143.659744
"2020-07-30",146.820007,147.979996,145.850006,146.630005,591000,142.339508
"2020-07-31",146.210007,148.509995,145.490005,147.270004,793400,142.960785
"2020-08-03",147,147.369995,145.399994,147.059998,582400,142.756927
"2020-08-04",146.490005,147.690002,145.949997,147.5,686000,143.184052
"2020-08-05",148.190002,148.220001,145.649994,147.25,506400,142.941345
"2020-08-06",146.320007,147.960007,145.009995,146.970001,737600,142.669571
"2020-08-07",147,150.039993,146.089996,149.789993,785500,145.407043
"2020-08-10",150.210007,150.470001,148.440002,149.110001,598600,144.746948
"2020-08-11",148.229996,148.5,141.710007,142.419998,740900,138.764557
"2020-08-12",143.130005,147.080002,142.800003,145.869995,602600,142.126007
"2020-08-13",145.279999,147.169998,144.289993,146.509995,613400,142.749573
"2020-08-14",146.160004,146.679993,144.789993,145.309998,378600,141.580368
"2020-08-17",146,148.119995,145.089996,146.559998,657900,142.798279
"2020-08-18",146.139999,147.199997,145.289993,146,493300,142.25267
"2020-08-19",146.75,147.199997,143.589996,143.919998,603000,140.226044
"2020-08-20",143.550003,145.309998,143.169998,144.279999,432200,140.576813
"2020-08-21",144.380005,144.789993,142.610001,143.639999,603300,139.953232
"2020-08-24",143.619995,144.320007,142.220001,143.880005,468600,140.187088
"2020-08-25",143.979996,143.979996,142.350006,143.529999,389400,139.846069
"2020-08-26",142.380005,142.970001,140.779999,140.899994,583900,137.283554
"2020-08-27",141.880005,142.759995,140.369995,141.369995,704000,137.741516
"2020-08-28",141.139999,141.139999,138.850006,140.789993,773400,137.176361
"2020-08-31",142.149994,142.679993,140.869995,141.339996,881100,137.71225
"2020-09-01",141.779999,142,139.5,140.169998,451700,136.572296
"2020-09-02",140.399994,144.929993,139.75,144.149994,934600,140.450134
"2020-09-03",144.639999,146.300003,141.300003,142.479996,717300,138.823013
"2020-09-04",142.699997,144.009995,141.630005,143.169998,954200,139.4953
"2020-09-08",143,143.210007,140.139999,140.770004,771700,137.156921
"2020-09-09",142.020004,145.119995,142.020004,143.199997,667600,139.524521
"2020-09-10",142.740005,143.419998,140.710007,140.770004,575500,137.156921
"2020-09-11",141.559998,141.770004,140.279999,141.100006,482500,137.478424
"2020-09-14",142.139999,143.820007,141.25,142.880005,684600,139.212738
"2020-09-15",144.160004,144.839996,142.850006,143.589996,812900,139.904526
"2020-09-16",143.850006,145.509995,142.589996,142.770004,678200,139.10556
"2020-09-17",142.330002,142.970001,139.710007,141.020004,733400,137.400482
"2020-09-18",140.75,141.839996,138,138.279999,1420900,134.730804
"2020-09-21",137.940002,140.080002,137.009995,139.720001,746800,136.133865
"2020-09-22",140.240005,141.470001,138.910004,140.169998,718100,136.572296
"2020-09-23",140.649994,141.210007,138.039993,138.050003,585700,134.506714
"2020-09-24",138.919998,141.949997,138.509995,140.660004,902900,137.049698
"2020-09-25",139.539993,144.369995,139.539993,144.229996,898100,140.528091
"2020-09-28",144.470001,146.059998,143.649994,144.550003,599200,140.83989
"2020-09-29",144.75,145.100006,142.880005,143.699997,565100,140.011673
"2020-09-30",144.630005,146.279999,144.139999,144.880005,1099600,141.161392
"2020-10-01",145.559998,148.860001,145.440002,148.570007,1478200,144.756714
"2020-10-02",147.520004,149.970001,146.869995,148.960007,751200,145.136703
"2020-10-05",149.25,152.160004,148.589996,151.889999,707000,147.991516
"2020-10-06",151.850006,153.740005,150.869995,152.490005,718400,148.576096
"2020-10-07",153.940002,155.460007,152.910004,154.509995,942400,150.54422
"2020-10-08",155,156.389999,154.080002,155.850006,554400,151.849854
"2020-10-09",156.210007,157.270004,154.610001,155.75,651900,151.752396
"2020-10-12",156.649994,160,156.289993,158.320007,571000,154.256454
"2020-10-13",156.330002,156.350006,154.5,156.080002,592900,152.073944
"2020-10-14",155.619995,157.389999,154.539993,155.759995,581900,151.762161
"2020-10-15",154.539993,157.169998,153.550003,155.860001,513900,151.859604
"2020-10-16",156.580002,156.649994,155.5,155.720001,1120200,151.72319
"2020-10-19",156.259995,157.539993,153.979996,154.520004,1175100,150.553986
"2020-10-20",155.289993,155.289993,152.610001,153.149994,725600,149.219131
"2020-10-21",153.419998,154.089996,151.850006,152.25,818400,148.342255
"2020-10-22",153.050003,153.960007,152.339996,153.610001,455500,149.667343
"2020-10-23",153.880005,154.679993,152.990005,154.080002,423700,150.125275
"2020-10-26",154.300003,155.020004,152,154.009995,676200,150.057068
"2020-10-27",154.360001,156.179993,153.669998,154.619995,621100,150.651428
"2020-10-28",152.759995,155.600006,152.509995,153,874700,149.072983
"2020-10-29",152.919998,153.960007,150.149994,152.160004,534000,148.254547
"2020-10-30",151.300003,152.339996,149.229996,150.509995,831800,146.646912
"2020-11-02",152,155.070007,151.639999,154.300003,731300,150.33963
"2020-11-03",156.059998,159.410004,155.490005,157.100006,742100,153.067764
"2020-11-04",158.259995,160.559998,155.25,155.410004,728100,151.421127
"2020-11-05",160,162.839996,155.5,158.210007,766900,154.149292
"2020-11-06",158.850006,161.940002,157.800003,161.130005,744800,156.994324
"2020-11-09",171.990005,172.559998,161.929993,162.330002,1347500,158.705246
"2020-11-10",162.210007,164.589996,161.630005,163.509995,1021400,159.858871
"2020-11-11",164.490005,165.699997,163.179993,164.369995,968000,160.699677
"2020-11-12",164.220001,164.710007,160.110001,161.410004,863600,157.805801
"2020-11-13",161.919998,162.899994,160.639999,161.309998,634900,157.708023
"2020-11-16",162.970001,165.630005,161.009995,165.550003,902800,161.853348
"2020-11-17",163.929993,164.559998,158.880005,159.289993,1082500,155.733093
"2020-11-18",160.669998,160.710007,155.970001,156.190002,858100,152.702362
"2020-11-19",156.880005,157.199997,154.539993,156.649994,913000,153.152084
"2020-11-20",155.779999,160.110001,155.779999,157.710007,992800,154.188431
"2020-11-23",157.770004,158.139999,154.759995,155.220001,616900,151.754028
"2020-11-24",156.529999,156.880005,152.880005,153.199997,1006000,149.779083
"2020-11-25",153.979996,154.970001,151.110001,153.130005,1113600,149.710678
"2020-11-27",152.809998,154.190002,151.710007,153.729996,504000,150.297272
"2020-11-30",154,154.809998,152.139999,153.380005,1059700,149.955109
"2020-12-01",154.580002,156.410004,154.039993,154.300003,797200,150.854553
"2020-12-02",154.729996,155.360001,152.710007,154.830002,794100,151.372711
"2020-12-03",153.979996,155.460007,151.919998,152.479996,707700,149.075195
"2020-12-04",152.339996,152.880005,147.899994,148.899994,1318400,145.575104
"2020-12-07",148.839996,151.149994,148.570007,150.320007,1042500,146.96344
"2020-12-08",149.559998,150.25,148.619995,149.350006,811100,146.015106
"2020-12-09",150.089996,150.089996,147.789993,148.470001,919300,145.154739
"2020-12-10",148.649994,148.649994,146.539993,148.070007,888000,144.763672
"2020-12-11",147.970001,148.820007,146.740005,148.279999,760100,144.968979
"2020-12-14",150.119995,151.330002,148.460007,148.550003,811100,145.232941
"2020-12-15",149.009995,153.350006,148.809998,152.990005,1555900,149.573807
"2020-12-16",153.830002,154.759995,150.259995,150.369995,821500,147.012299
