"","SPG.Open","SPG.High","SPG.Low","SPG.Close","SPG.Volume","SPG.Adjusted"
"2020-07-01",69.800003,72.93,69.239998,69.809998,7979600,61.563938
"2020-07-02",71.809998,72.959999,68.68,68.809998,6470600,60.682072
"2020-07-06",69.720001,70.589996,67.010002,68.93,6075600,60.787895
"2020-07-07",67.5,67.660004,65.559998,65.93,5294900,58.142262
"2020-07-08",66,66.800003,64.379997,65.709999,6884900,57.948235
"2020-07-09",64.25,64.400002,59.869999,61.02,9286300,54.898331
"2020-07-10",60.5,64.239998,60.310001,63.98,5824100,57.561378
"2020-07-13",64.779999,65.139999,62.200001,63.689999,5124300,57.30048
"2020-07-14",63.080002,63.959999,61.369999,61.93,5240500,55.717045
"2020-07-15",64.540001,66.720001,63.830002,66.589996,7163100,59.909534
"2020-07-16",65,65.610001,62.599998,62.900002,5227200,56.589733
"2020-07-17",62.790001,63.560001,62.080002,62.400002,4932300,56.139893
"2020-07-20",62.150002,62.389999,60.119999,60.419998,5644400,54.358528
"2020-07-21",60.98,62.380001,60.389999,60.950001,5207900,54.835358
"2020-07-22",61.060001,62.139999,60.119999,62.029999,4059700,55.807014
"2020-07-23",61.02,62.689999,60.610001,61.799999,3274200,55.600082
"2020-07-24",61.599998,62.279999,60.299999,60.57,3115400,54.493477
"2020-07-27",60.470001,61.98,59.029999,61.959999,4299800,55.74403
"2020-07-28",61.57,65.07,61.349998,64.139999,5328400,57.70533
"2020-07-29",64.589996,65.629997,62.650002,65.589996,3809600,59.009857
"2020-07-30",63.5,64.599998,62.619999,63.619999,3311300,57.237499
"2020-07-31",63.310001,63.900002,61.5,62.349998,5134400,56.09491
"2020-08-03",61.209999,61.790001,59.91,61.029999,4149800,54.907333
"2020-08-04",61.23,63.630001,61.07,62.990002,4097700,56.6707
"2020-08-05",63.869999,64.580002,62.27,62.5,3380800,56.229858
"2020-08-06",62.709999,62.709999,61.189999,61.200001,4865100,55.06028
"2020-08-07",61.18,62.540001,60.509998,62.189999,6391300,55.950958
"2020-08-10",65.220001,69.160004,63.82,65.470001,18253800,58.901901
"2020-08-11",68.160004,70.989998,66.830002,67.150002,13635300,60.413364
"2020-08-12",67.800003,68.940002,65.620003,67.830002,6873000,61.025154
"2020-08-13",67.169998,68.25,65.730003,66.019997,5499400,59.396717
"2020-08-14",65.379997,68.449997,65.169998,68.18,5334300,61.340023
"2020-08-17",68.349998,68.389999,66.18,68.18,4441600,61.340023
"2020-08-18",67.370003,67.5,63.880001,65.129997,8189200,58.596004
"2020-08-19",65.120003,65.639999,63.740002,63.880001,4962300,57.471413
"2020-08-20",63.330002,65.449997,62.900002,64.870003,4220400,58.362099
"2020-08-21",64.800003,65.540001,63.900002,64.519997,3014100,58.047207
